Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,4.17,4.58
01-Jul-20,12:30:00 AM,3.92,4.27
01-Jul-20,1:00:00 AM,3.86,4.22
01-Jul-20,1:30:00 AM,3.78,4.13
01-Jul-20,2:00:00 AM,3.76,4.10
01-Jul-20,2:30:00 AM,3.76,4.11
01-Jul-20,3:00:00 AM,3.87,4.23
01-Jul-20,3:30:00 AM,3.84,4.19
01-Jul-20,4:00:00 AM,3.81,4.17
01-Jul-20,4:30:00 AM,3.81,4.17
01-Jul-20,5:00:00 AM,4.02,4.40
01-Jul-20,5:30:00 AM,4.11,4.50
01-Jul-20,6:00:00 AM,4.24,4.64
01-Jul-20,6:30:00 AM,3.99,4.40
01-Jul-20,7:00:00 AM,3.78,4.20
01-Jul-20,7:30:00 AM,4.06,4.49
01-Jul-20,8:00:00 AM,3.89,4.31
01-Jul-20,8:30:00 AM,3.87,4.31
01-Jul-20,9:00:00 AM,3.84,4.28
01-Jul-20,9:30:00 AM,3.73,4.19
01-Jul-20,10:00:00 AM,3.61,4.04
01-Jul-20,10:30:00 AM,3.67,4.10
01-Jul-20,11:00:00 AM,4.54,4.97
01-Jul-20,11:30:00 AM,4.61,5.06
01-Jul-20,12:00:00 PM,6.11,6.32
01-Jul-20,12:30:00 PM,8.26,8.29
01-Jul-20,1:00:00 PM,8.14,8.17
01-Jul-20,1:30:00 PM,8.07,8.09
01-Jul-20,2:00:00 PM,8.26,8.29
01-Jul-20,2:30:00 PM,8.35,8.38
01-Jul-20,3:00:00 PM,8.48,8.52
01-Jul-20,3:30:00 PM,8.35,8.37
01-Jul-20,4:00:00 PM,8.52,8.56
01-Jul-20,4:30:00 PM,8.14,8.17
01-Jul-20,5:00:00 PM,8.02,8.04
01-Jul-20,5:30:00 PM,8.12,8.14
01-Jul-20,6:00:00 PM,8.16,8.18
01-Jul-20,6:30:00 PM,7.98,8.00
01-Jul-20,7:00:00 PM,7.92,7.93
01-Jul-20,7:30:00 PM,7.85,7.86
01-Jul-20,8:00:00 PM,7.78,7.79
01-Jul-20,8:30:00 PM,7.87,7.88
01-Jul-20,9:00:00 PM,7.91,7.91
01-Jul-20,9:30:00 PM,7.93,7.95
01-Jul-20,10:00:00 PM,7.87,7.88
01-Jul-20,10:30:00 PM,7.67,7.68
01-Jul-20,11:00:00 PM,7.59,7.60
01-Jul-20,11:30:00 PM,7.69,7.70
02-Jul-20,12:00:00 AM,7.69,7.70
02-Jul-20,12:30:00 AM,7.49,7.50
02-Jul-20,1:00:00 AM,7.60,7.60
02-Jul-20,1:30:00 AM,7.68,7.69
02-Jul-20,2:00:00 AM,7.69,7.70
02-Jul-20,2:30:00 AM,7.67,7.68
02-Jul-20,3:00:00 AM,8.15,8.17
02-Jul-20,3:30:00 AM,8.90,9.01
02-Jul-20,4:00:00 AM,9.02,9.06
02-Jul-20,4:30:00 AM,8.14,8.16
02-Jul-20,5:00:00 AM,8.40,8.42
02-Jul-20,5:30:00 AM,8.65,8.69
02-Jul-20,6:00:00 AM,8.74,8.79
02-Jul-20,6:30:00 AM,8.19,8.21
02-Jul-20,7:00:00 AM,8.04,8.06
02-Jul-20,7:30:00 AM,8.10,8.13
02-Jul-20,8:00:00 AM,8.19,8.22
02-Jul-20,8:30:00 AM,8.37,8.39
02-Jul-20,9:00:00 AM,8.15,8.18
02-Jul-20,9:30:00 AM,8.39,8.42
02-Jul-20,10:00:00 AM,8.48,8.51
02-Jul-20,10:30:00 AM,8.33,8.35
02-Jul-20,11:00:00 AM,8.18,8.20
02-Jul-20,11:30:00 AM,8.10,8.12
02-Jul-20,12:00:00 PM,8.05,8.07
02-Jul-20,12:30:00 PM,8.22,8.25
02-Jul-20,1:00:00 PM,8.44,8.47
02-Jul-20,1:30:00 PM,8.43,8.46
02-Jul-20,2:00:00 PM,8.26,8.29
02-Jul-20,2:30:00 PM,8.26,8.30
