Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,7.93,8.00
01-Jul-20,12:30:00 AM,7.27,7.35
01-Jul-20,1:00:00 AM,6.70,6.82
01-Jul-20,1:30:00 AM,6.31,6.44
01-Jul-20,2:00:00 AM,5.88,6.04
01-Jul-20,2:30:00 AM,5.88,6.04
01-Jul-20,3:00:00 AM,5.75,5.93
01-Jul-20,3:30:00 AM,5.70,5.88
01-Jul-20,4:00:00 AM,5.96,6.13
01-Jul-20,4:30:00 AM,6.70,6.82
01-Jul-20,5:00:00 AM,7.54,7.59
01-Jul-20,5:30:00 AM,9.00,9.01
01-Jul-20,6:00:00 AM,11.30,11.31
01-Jul-20,6:30:00 AM,12.84,12.85
01-Jul-20,7:00:00 AM,14.15,14.19
01-Jul-20,7:30:00 AM,13.85,13.91
01-Jul-20,8:00:00 AM,12.73,12.81
01-Jul-20,8:30:00 AM,11.05,11.15
01-Jul-20,9:00:00 AM,9.35,9.46
01-Jul-20,9:30:00 AM,8.77,8.93
01-Jul-20,10:00:00 AM,7.89,8.04
01-Jul-20,10:30:00 AM,7.23,7.47
01-Jul-20,11:00:00 AM,7.39,7.52
01-Jul-20,11:30:00 AM,7.45,7.61
01-Jul-20,12:00:00 PM,6.55,6.71
01-Jul-20,12:30:00 PM,6.85,6.98
01-Jul-20,1:00:00 PM,6.09,6.26
01-Jul-20,1:30:00 PM,6.62,6.75
01-Jul-20,2:00:00 PM,7.69,7.76
01-Jul-20,2:30:00 PM,9.12,9.16
01-Jul-20,3:00:00 PM,9.36,9.37
01-Jul-20,3:30:00 PM,8.01,8.01
01-Jul-20,4:00:00 PM,10.25,10.25
01-Jul-20,4:30:00 PM,11.63,11.63
01-Jul-20,5:00:00 PM,11.93,11.95
01-Jul-20,5:30:00 PM,12.78,12.79
01-Jul-20,6:00:00 PM,12.52,12.54
01-Jul-20,6:30:00 PM,12.50,12.52
01-Jul-20,7:00:00 PM,12.11,12.13
01-Jul-20,7:30:00 PM,11.76,11.79
01-Jul-20,8:00:00 PM,11.65,11.68
01-Jul-20,8:30:00 PM,11.09,11.13
01-Jul-20,9:00:00 PM,10.30,10.36
01-Jul-20,9:30:00 PM,9.71,9.77
01-Jul-20,10:00:00 PM,9.49,9.56
01-Jul-20,10:30:00 PM,9.01,9.10
01-Jul-20,11:00:00 PM,8.39,8.47
01-Jul-20,11:30:00 PM,7.64,7.75
02-Jul-20,12:00:00 AM,6.22,6.40
02-Jul-20,12:30:00 AM,5.65,5.84
02-Jul-20,1:00:00 AM,5.23,5.44
02-Jul-20,1:30:00 AM,5.16,5.36
02-Jul-20,2:00:00 AM,5.11,5.31
02-Jul-20,2:30:00 AM,4.91,5.12
02-Jul-20,3:00:00 AM,4.79,5.02
02-Jul-20,3:30:00 AM,4.80,5.04
02-Jul-20,4:00:00 AM,5.04,5.28
02-Jul-20,4:30:00 AM,5.64,5.81
02-Jul-20,5:00:00 AM,6.68,6.76
02-Jul-20,5:30:00 AM,8.10,8.13
02-Jul-20,6:00:00 AM,9.67,9.67
02-Jul-20,6:30:00 AM,11.29,11.29
02-Jul-20,7:00:00 AM,12.03,12.04
02-Jul-20,7:30:00 AM,11.72,11.75
02-Jul-20,8:00:00 AM,11.10,11.15
02-Jul-20,8:30:00 AM,8.95,8.99
02-Jul-20,9:00:00 AM,7.02,7.07
02-Jul-20,9:30:00 AM,8.79,8.86
02-Jul-20,10:00:00 AM,8.14,8.26
02-Jul-20,10:30:00 AM,6.48,6.61
02-Jul-20,11:00:00 AM,4.20,4.36
02-Jul-20,11:30:00 AM,2.91,3.11
02-Jul-20,12:00:00 PM,5.80,5.90
02-Jul-20,12:30:00 PM,5.09,5.17
02-Jul-20,1:00:00 PM,6.21,6.24
02-Jul-20,1:30:00 PM,4.07,4.13
02-Jul-20,2:00:00 PM,5.93,5.99
02-Jul-20,2:30:00 PM,6.61,6.68
02-Jul-20,3:00:00 PM,7.69,7.71
02-Jul-20,3:30:00 PM,8.20,8.20
02-Jul-20,4:00:00 PM,9.24,9.24
02-Jul-20,4:30:00 PM,10.29,10.30
02-Jul-20,5:00:00 PM,10.81,10.84
02-Jul-20,5:30:00 PM,11.88,11.89
02-Jul-20,6:00:00 PM,11.86,11.88
02-Jul-20,6:30:00 PM,11.76,11.78
02-Jul-20,7:00:00 PM,11.50,11.52
02-Jul-20,7:30:00 PM,11.25,11.28
02-Jul-20,8:00:00 PM,11.31,11.35
02-Jul-20,8:30:00 PM,10.53,10.59
02-Jul-20,9:00:00 PM,10.09,10.15
02-Jul-20,9:30:00 PM,9.80,9.86
02-Jul-20,10:00:00 PM,9.32,9.38
02-Jul-20,10:30:00 PM,9.20,9.27
02-Jul-20,11:00:00 PM,8.39,8.50
02-Jul-20,11:30:00 PM,7.54,7.64
03-Jul-20,12:00:00 AM,6.59,6.72
03-Jul-20,12:30:00 AM,5.95,6.10
03-Jul-20,1:00:00 AM,5.54,5.71
03-Jul-20,1:30:00 AM,5.30,5.47
03-Jul-20,2:00:00 AM,4.92,5.17
03-Jul-20,2:30:00 AM,4.59,4.87
03-Jul-20,3:00:00 AM,4.59,4.84
03-Jul-20,3:30:00 AM,4.53,4.82
03-Jul-20,4:00:00 AM,4.88,5.12
03-Jul-20,4:30:00 AM,5.61,5.78
03-Jul-20,5:00:00 AM,6.41,6.50
03-Jul-20,5:30:00 AM,7.76,7.78
03-Jul-20,6:00:00 AM,9.30,9.30
03-Jul-20,6:30:00 AM,10.63,10.63
03-Jul-20,7:00:00 AM,11.67,11.68
03-Jul-20,7:30:00 AM,11.14,11.15
03-Jul-20,8:00:00 AM,10.21,10.24
03-Jul-20,8:30:00 AM,8.46,8.49
03-Jul-20,9:00:00 AM,7.45,7.50
03-Jul-20,9:30:00 AM,6.95,7.02
03-Jul-20,10:00:00 AM,5.80,5.91
03-Jul-20,10:30:00 AM,5.05,5.22
03-Jul-20,11:00:00 AM,4.19,4.40
03-Jul-20,11:30:00 AM,3.97,4.22
03-Jul-20,12:00:00 PM,3.07,3.25
03-Jul-20,12:30:00 PM,2.82,2.94
03-Jul-20,1:00:00 PM,2.37,2.44
03-Jul-20,1:30:00 PM,2.90,2.96
03-Jul-20,2:00:00 PM,3.88,3.90
03-Jul-20,2:30:00 PM,4.87,4.87
03-Jul-20,3:00:00 PM,6.44,6.44
03-Jul-20,3:30:00 PM,6.63,6.64
03-Jul-20,4:00:00 PM,7.33,7.37
03-Jul-20,4:30:00 PM,8.63,8.68
03-Jul-20,5:00:00 PM,9.32,9.36
03-Jul-20,5:30:00 PM,10.19,10.22
03-Jul-20,6:00:00 PM,10.21,10.25
03-Jul-20,6:30:00 PM,10.40,10.44
03-Jul-20,7:00:00 PM,9.99,10.04
03-Jul-20,7:30:00 PM,9.70,9.75
03-Jul-20,8:00:00 PM,9.72,9.78
03-Jul-20,8:30:00 PM,9.43,9.48
03-Jul-20,9:00:00 PM,9.01,9.10
03-Jul-20,9:30:00 PM,8.49,8.59
03-Jul-20,10:00:00 PM,8.02,8.12
03-Jul-20,10:30:00 PM,7.90,8.02
03-Jul-20,11:00:00 PM,7.38,7.51
03-Jul-20,11:30:00 PM,6.44,6.60
04-Jul-20,12:00:00 AM,5.66,5.85
04-Jul-20,12:30:00 AM,5.10,5.32
04-Jul-20,1:00:00 AM,4.65,4.91
04-Jul-20,1:30:00 AM,4.45,4.72
04-Jul-20,2:00:00 AM,4.33,4.60
04-Jul-20,2:30:00 AM,4.37,4.64
04-Jul-20,3:00:00 AM,4.21,4.48
04-Jul-20,3:30:00 AM,4.01,4.30
04-Jul-20,4:00:00 AM,4.12,4.39
04-Jul-20,4:30:00 AM,4.34,4.61
04-Jul-20,5:00:00 AM,4.62,4.83
04-Jul-20,5:30:00 AM,5.14,5.29
04-Jul-20,6:00:00 AM,5.84,5.92
04-Jul-20,6:30:00 AM,6.13,6.27
04-Jul-20,7:00:00 AM,6.19,6.34
04-Jul-20,7:30:00 AM,5.84,5.97
04-Jul-20,8:00:00 AM,5.14,5.27
04-Jul-20,8:30:00 AM,4.32,4.42
04-Jul-20,9:00:00 AM,3.03,3.16
04-Jul-20,9:30:00 AM,2.06,2.18
04-Jul-20,10:00:00 AM,1.41,1.53
04-Jul-20,10:30:00 AM,2.03,2.10
04-Jul-20,11:00:00 AM,1.34,1.47
04-Jul-20,11:30:00 AM,0.74,1.07
04-Jul-20,12:00:00 PM,0.43,0.89
04-Jul-20,12:30:00 PM,0.51,0.98
04-Jul-20,1:00:00 PM,0.74,1.14
04-Jul-20,1:30:00 PM,1.21,1.55
04-Jul-20,2:00:00 PM,2.23,2.50
04-Jul-20,2:30:00 PM,3.62,3.78
04-Jul-20,3:00:00 PM,4.72,4.87
04-Jul-20,3:30:00 PM,6.21,6.35
04-Jul-20,4:00:00 PM,8.01,8.12
04-Jul-20,4:30:00 PM,9.29,9.40
04-Jul-20,5:00:00 PM,10.25,10.35
04-Jul-20,5:30:00 PM,10.56,10.63
04-Jul-20,6:00:00 PM,10.91,10.98
04-Jul-20,6:30:00 PM,10.89,10.96
04-Jul-20,7:00:00 PM,10.53,10.61
04-Jul-20,7:30:00 PM,10.24,10.32
04-Jul-20,8:00:00 PM,10.09,10.18
04-Jul-20,8:30:00 PM,9.69,9.79
04-Jul-20,9:00:00 PM,9.20,9.32
04-Jul-20,9:30:00 PM,8.89,9.02
04-Jul-20,10:00:00 PM,8.64,8.77
04-Jul-20,10:30:00 PM,8.57,8.72
04-Jul-20,11:00:00 PM,8.16,8.31
04-Jul-20,11:30:00 PM,7.29,7.47
05-Jul-20,12:00:00 AM,6.52,6.71
05-Jul-20,12:30:00 AM,5.98,6.21
05-Jul-20,1:00:00 AM,5.60,5.84
05-Jul-20,1:30:00 AM,5.13,5.40
05-Jul-20,2:00:00 AM,4.84,5.12
05-Jul-20,2:30:00 AM,4.76,5.04
05-Jul-20,3:00:00 AM,4.68,4.97
05-Jul-20,3:30:00 AM,4.48,4.80
05-Jul-20,4:00:00 AM,4.59,4.89
05-Jul-20,4:30:00 AM,4.81,5.09
05-Jul-20,5:00:00 AM,4.90,5.19
05-Jul-20,5:30:00 AM,5.30,5.55
05-Jul-20,6:00:00 AM,5.61,5.86
05-Jul-20,6:30:00 AM,5.99,6.30
05-Jul-20,7:00:00 AM,6.29,6.57
05-Jul-20,7:30:00 AM,6.17,6.42
05-Jul-20,8:00:00 AM,5.41,5.67
05-Jul-20,8:30:00 AM,4.57,4.83
05-Jul-20,9:00:00 AM,3.30,3.62
05-Jul-20,9:30:00 AM,1.82,2.30
05-Jul-20,10:00:00 AM,0.92,1.61
05-Jul-20,10:30:00 AM,-0.13,1.31
05-Jul-20,11:00:00 AM,-0.82,1.50
05-Jul-20,11:30:00 AM,-1.33,1.81
05-Jul-20,12:00:00 PM,-1.54,1.98
05-Jul-20,12:30:00 PM,-1.61,2.00
05-Jul-20,1:00:00 PM,-1.20,1.72
05-Jul-20,1:30:00 PM,-0.36,1.43
05-Jul-20,2:00:00 PM,0.40,1.49
05-Jul-20,2:30:00 PM,2.41,2.89
05-Jul-20,3:00:00 PM,3.28,3.67
05-Jul-20,3:30:00 PM,4.58,4.86
05-Jul-20,4:00:00 PM,6.32,6.54
05-Jul-20,4:30:00 PM,8.32,8.50
05-Jul-20,5:00:00 PM,10.19,10.29
05-Jul-20,5:30:00 PM,12.06,12.11
05-Jul-20,6:00:00 PM,12.70,12.74
05-Jul-20,6:30:00 PM,12.64,12.68
05-Jul-20,7:00:00 PM,12.33,12.38
05-Jul-20,7:30:00 PM,12.08,12.13
05-Jul-20,8:00:00 PM,11.79,11.85
05-Jul-20,8:30:00 PM,11.27,11.34
05-Jul-20,9:00:00 PM,10.73,10.81
05-Jul-20,9:30:00 PM,9.95,10.04
05-Jul-20,10:00:00 PM,9.22,9.34
05-Jul-20,10:30:00 PM,9.04,9.17
05-Jul-20,11:00:00 PM,8.25,8.39
05-Jul-20,11:30:00 PM,7.51,7.68
06-Jul-20,12:00:00 AM,6.68,6.87
06-Jul-20,12:30:00 AM,6.04,6.25
06-Jul-20,1:00:00 AM,5.53,5.77
06-Jul-20,1:30:00 AM,5.11,5.38
06-Jul-20,2:00:00 AM,4.86,5.14
06-Jul-20,2:30:00 AM,4.80,5.08
06-Jul-20,3:00:00 AM,4.81,5.09
06-Jul-20,3:30:00 AM,4.89,5.17
06-Jul-20,4:00:00 AM,5.14,5.39
06-Jul-20,4:30:00 AM,5.75,5.96
06-Jul-20,5:00:00 AM,6.80,6.90
06-Jul-20,5:30:00 AM,8.21,8.25
06-Jul-20,6:00:00 AM,9.85,9.85
06-Jul-20,6:30:00 AM,11.60,11.60
06-Jul-20,7:00:00 AM,13.11,13.12
06-Jul-20,7:30:00 AM,13.91,13.95
06-Jul-20,8:00:00 AM,12.12,12.16
06-Jul-20,8:30:00 AM,9.94,9.99
06-Jul-20,9:00:00 AM,8.52,8.59
06-Jul-20,9:30:00 AM,7.28,7.37
06-Jul-20,10:00:00 AM,6.94,7.04
06-Jul-20,10:30:00 AM,5.49,5.64
06-Jul-20,11:00:00 AM,5.56,5.67
06-Jul-20,11:30:00 AM,5.08,5.25
06-Jul-20,12:00:00 PM,4.00,4.23
06-Jul-20,12:30:00 PM,3.45,3.57
