Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,18.61,18.69
01-Jul-20,12:30:00 AM,16.92,17.00
01-Jul-20,1:00:00 AM,15.78,15.87
01-Jul-20,1:30:00 AM,14.99,15.07
01-Jul-20,2:00:00 AM,14.43,14.53
01-Jul-20,2:30:00 AM,14.17,14.27
01-Jul-20,3:00:00 AM,14.08,14.18
01-Jul-20,3:30:00 AM,14.33,14.43
01-Jul-20,4:00:00 AM,14.85,14.95
01-Jul-20,4:30:00 AM,15.98,16.06
01-Jul-20,5:00:00 AM,17.55,17.60
01-Jul-20,5:30:00 AM,19.87,19.89
01-Jul-20,6:00:00 AM,22.19,22.20
01-Jul-20,6:30:00 AM,24.91,24.92
01-Jul-20,7:00:00 AM,27.93,27.94
01-Jul-20,7:30:00 AM,28.49,28.49
01-Jul-20,8:00:00 AM,28.03,28.04
01-Jul-20,8:30:00 AM,25.29,25.29
01-Jul-20,9:00:00 AM,20.42,20.42
01-Jul-20,9:30:00 AM,18.22,18.22
01-Jul-20,10:00:00 AM,16.86,16.86
01-Jul-20,10:30:00 AM,13.48,13.50
01-Jul-20,11:00:00 AM,12.62,12.64
01-Jul-20,11:30:00 AM,12.96,12.96
01-Jul-20,12:00:00 PM,13.14,13.15
01-Jul-20,12:30:00 PM,16.93,16.93
01-Jul-20,1:00:00 PM,16.11,16.11
01-Jul-20,1:30:00 PM,16.52,16.52
01-Jul-20,2:00:00 PM,20.15,20.16
01-Jul-20,2:30:00 PM,21.56,21.57
01-Jul-20,3:00:00 PM,23.14,23.15
01-Jul-20,3:30:00 PM,23.76,23.77
01-Jul-20,4:00:00 PM,26.04,26.05
01-Jul-20,4:30:00 PM,29.01,29.02
01-Jul-20,5:00:00 PM,32.09,32.10
01-Jul-20,5:30:00 PM,34.93,34.93
01-Jul-20,6:00:00 PM,35.41,35.41
01-Jul-20,6:30:00 PM,34.53,34.53
01-Jul-20,7:00:00 PM,32.91,32.91
01-Jul-20,7:30:00 PM,32.56,32.56
01-Jul-20,8:00:00 PM,32.13,32.13
01-Jul-20,8:30:00 PM,30.28,30.28
01-Jul-20,9:00:00 PM,28.40,28.41
01-Jul-20,9:30:00 PM,26.38,26.40
01-Jul-20,10:00:00 PM,26.44,26.47
01-Jul-20,10:30:00 PM,27.21,27.24
01-Jul-20,11:00:00 PM,24.81,24.85
01-Jul-20,11:30:00 PM,21.60,21.65
02-Jul-20,12:00:00 AM,18.97,19.04
02-Jul-20,12:30:00 AM,17.20,17.28
02-Jul-20,1:00:00 AM,15.89,15.98
02-Jul-20,1:30:00 AM,14.97,15.08
02-Jul-20,2:00:00 AM,14.62,14.73
02-Jul-20,2:30:00 AM,14.35,14.47
02-Jul-20,3:00:00 AM,14.14,14.25
02-Jul-20,3:30:00 AM,14.54,14.65
02-Jul-20,4:00:00 AM,15.00,15.09
02-Jul-20,4:30:00 AM,16.01,16.09
02-Jul-20,5:00:00 AM,17.87,17.93
02-Jul-20,5:30:00 AM,19.72,19.75
02-Jul-20,6:00:00 AM,22.32,22.33
02-Jul-20,6:30:00 AM,24.65,24.67
02-Jul-20,7:00:00 AM,26.14,26.14
02-Jul-20,7:30:00 AM,26.28,26.28
02-Jul-20,8:00:00 AM,26.01,26.01
02-Jul-20,8:30:00 AM,23.23,23.23
02-Jul-20,9:00:00 AM,22.07,22.07
02-Jul-20,9:30:00 AM,20.91,20.91
02-Jul-20,10:00:00 AM,15.02,15.04
02-Jul-20,10:30:00 AM,11.99,12.02
02-Jul-20,11:00:00 AM,14.15,14.16
02-Jul-20,11:30:00 AM,12.50,12.51
02-Jul-20,12:00:00 PM,11.81,11.82
02-Jul-20,12:30:00 PM,10.11,10.12
02-Jul-20,1:00:00 PM,11.50,11.51
02-Jul-20,1:30:00 PM,11.49,11.50
02-Jul-20,2:00:00 PM,13.94,13.94
02-Jul-20,2:30:00 PM,15.56,15.56
02-Jul-20,3:00:00 PM,17.66,17.66
02-Jul-20,3:30:00 PM,20.15,20.15
02-Jul-20,4:00:00 PM,22.70,22.71
02-Jul-20,4:30:00 PM,25.74,25.75
02-Jul-20,5:00:00 PM,29.00,29.01
02-Jul-20,5:30:00 PM,31.24,31.24
02-Jul-20,6:00:00 PM,31.61,31.61
02-Jul-20,6:30:00 PM,31.80,31.80
02-Jul-20,7:00:00 PM,30.81,30.81
02-Jul-20,7:30:00 PM,30.68,30.69
02-Jul-20,8:00:00 PM,29.90,29.91
02-Jul-20,8:30:00 PM,28.09,28.10
02-Jul-20,9:00:00 PM,27.12,27.14
02-Jul-20,9:30:00 PM,25.70,25.72
02-Jul-20,10:00:00 PM,25.78,25.82
02-Jul-20,10:30:00 PM,26.78,26.82
02-Jul-20,11:00:00 PM,24.34,24.38
02-Jul-20,11:30:00 PM,21.20,21.26
03-Jul-20,12:00:00 AM,18.58,18.65
03-Jul-20,12:30:00 AM,16.82,16.90
03-Jul-20,1:00:00 AM,15.92,16.01
03-Jul-20,1:30:00 AM,15.15,15.24
03-Jul-20,2:00:00 AM,14.87,14.96
03-Jul-20,2:30:00 AM,14.45,14.55
03-Jul-20,3:00:00 AM,14.45,14.55
03-Jul-20,3:30:00 AM,14.51,14.61
03-Jul-20,4:00:00 AM,15.04,15.12
03-Jul-20,4:30:00 AM,16.08,16.15
03-Jul-20,5:00:00 AM,17.86,17.91
03-Jul-20,5:30:00 AM,19.72,19.74
03-Jul-20,6:00:00 AM,21.93,21.94
03-Jul-20,6:30:00 AM,24.36,24.37
03-Jul-20,7:00:00 AM,26.48,26.49
03-Jul-20,7:30:00 AM,27.02,27.02
03-Jul-20,8:00:00 AM,24.41,24.41
03-Jul-20,8:30:00 AM,21.78,21.78
03-Jul-20,9:00:00 AM,19.20,19.21
03-Jul-20,9:30:00 AM,16.63,16.64
03-Jul-20,10:00:00 AM,14.56,14.59
03-Jul-20,10:30:00 AM,12.65,12.69
03-Jul-20,11:00:00 AM,11.45,11.49
03-Jul-20,11:30:00 AM,10.74,10.79
03-Jul-20,12:00:00 PM,10.65,10.70
03-Jul-20,12:30:00 PM,10.49,10.53
03-Jul-20,1:00:00 PM,11.07,11.10
03-Jul-20,1:30:00 PM,12.33,12.36
03-Jul-20,2:00:00 PM,13.68,13.69
03-Jul-20,2:30:00 PM,15.56,15.56
