Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,10.15,10.43
01-Jul-20,12:30:00 AM,9.78,10.06
01-Jul-20,1:00:00 AM,9.54,9.84
01-Jul-20,1:30:00 AM,9.44,9.75
01-Jul-20,2:00:00 AM,9.35,9.64
01-Jul-20,2:30:00 AM,9.19,9.49
01-Jul-20,3:00:00 AM,9.37,9.68
01-Jul-20,3:30:00 AM,9.44,9.74
01-Jul-20,4:00:00 AM,9.42,9.71
01-Jul-20,4:30:00 AM,9.81,10.07
01-Jul-20,5:00:00 AM,10.62,10.84
01-Jul-20,5:30:00 AM,11.52,11.71
01-Jul-20,6:00:00 AM,13.51,13.63
01-Jul-20,6:30:00 AM,15.21,15.29
01-Jul-20,7:00:00 AM,16.98,17.03
01-Jul-20,7:30:00 AM,18.49,18.51
01-Jul-20,8:00:00 AM,18.48,18.50
01-Jul-20,8:30:00 AM,18.35,18.36
01-Jul-20,9:00:00 AM,18.26,18.27
01-Jul-20,9:30:00 AM,17.85,17.86
01-Jul-20,10:00:00 AM,18.18,18.19
01-Jul-20,10:30:00 AM,17.90,17.91
01-Jul-20,11:00:00 AM,17.95,17.96
01-Jul-20,11:30:00 AM,18.10,18.10
01-Jul-20,12:00:00 PM,18.33,18.33
01-Jul-20,12:30:00 PM,18.40,18.40
01-Jul-20,1:00:00 PM,18.59,18.59
01-Jul-20,1:30:00 PM,18.41,18.41
01-Jul-20,2:00:00 PM,18.50,18.50
01-Jul-20,2:30:00 PM,18.29,18.29
01-Jul-20,3:00:00 PM,18.20,18.21
01-Jul-20,3:30:00 PM,18.21,18.22
01-Jul-20,4:00:00 PM,18.57,18.58
01-Jul-20,4:30:00 PM,18.85,18.87
01-Jul-20,5:00:00 PM,19.18,19.21
01-Jul-20,5:30:00 PM,19.50,19.53
01-Jul-20,6:00:00 PM,19.14,19.20
01-Jul-20,6:30:00 PM,18.62,18.70
01-Jul-20,7:00:00 PM,18.12,18.21
01-Jul-20,7:30:00 PM,17.42,17.53
01-Jul-20,8:00:00 PM,16.71,16.84
01-Jul-20,8:30:00 PM,15.94,16.08
01-Jul-20,9:00:00 PM,15.15,15.31
01-Jul-20,9:30:00 PM,14.20,14.38
01-Jul-20,10:00:00 PM,13.01,13.24
01-Jul-20,10:30:00 PM,12.07,12.33
01-Jul-20,11:00:00 PM,11.31,11.56
01-Jul-20,11:30:00 PM,10.70,10.97
02-Jul-20,12:00:00 AM,10.15,10.44
02-Jul-20,12:30:00 AM,9.73,10.03
02-Jul-20,1:00:00 AM,9.49,9.79
02-Jul-20,1:30:00 AM,9.32,9.64
02-Jul-20,2:00:00 AM,9.28,9.59
02-Jul-20,2:30:00 AM,9.25,9.56
02-Jul-20,3:00:00 AM,9.26,9.57
02-Jul-20,3:30:00 AM,9.31,9.63
02-Jul-20,4:00:00 AM,9.30,9.62
02-Jul-20,4:30:00 AM,9.62,9.91
02-Jul-20,5:00:00 AM,10.63,10.87
02-Jul-20,5:30:00 AM,11.66,11.85
02-Jul-20,6:00:00 AM,13.33,13.48
02-Jul-20,6:30:00 AM,14.75,14.86
02-Jul-20,7:00:00 AM,16.92,16.96
02-Jul-20,7:30:00 AM,18.04,18.06
02-Jul-20,8:00:00 AM,17.79,17.82
02-Jul-20,8:30:00 AM,17.94,17.97
02-Jul-20,9:00:00 AM,18.44,18.45
02-Jul-20,9:30:00 AM,17.93,17.94
02-Jul-20,10:00:00 AM,18.16,18.17
02-Jul-20,10:30:00 AM,18.27,18.27
02-Jul-20,11:00:00 AM,18.27,18.28
02-Jul-20,11:30:00 AM,18.13,18.13
02-Jul-20,12:00:00 PM,18.57,18.57
02-Jul-20,12:30:00 PM,18.32,18.32
02-Jul-20,1:00:00 PM,18.56,18.56
02-Jul-20,1:30:00 PM,18.38,18.39
02-Jul-20,2:00:00 PM,18.38,18.38
02-Jul-20,2:30:00 PM,18.41,18.41
02-Jul-20,3:00:00 PM,18.15,18.16
02-Jul-20,3:30:00 PM,18.28,18.28
02-Jul-20,4:00:00 PM,18.33,18.34
02-Jul-20,4:30:00 PM,19.04,19.05
02-Jul-20,5:00:00 PM,19.56,19.57
02-Jul-20,5:30:00 PM,19.61,19.63
02-Jul-20,6:00:00 PM,19.29,19.33
02-Jul-20,6:30:00 PM,18.71,18.77
02-Jul-20,7:00:00 PM,18.07,18.14
02-Jul-20,7:30:00 PM,17.49,17.58
