Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,12.38,12.55
01-Jul-20,12:30:00 AM,11.51,11.70
01-Jul-20,1:00:00 AM,10.87,11.06
01-Jul-20,1:30:00 AM,10.33,10.54
01-Jul-20,2:00:00 AM,10.11,10.33
01-Jul-20,2:30:00 AM,9.85,10.07
01-Jul-20,3:00:00 AM,9.91,10.13
01-Jul-20,3:30:00 AM,10.05,10.27
01-Jul-20,4:00:00 AM,9.99,10.22
01-Jul-20,4:30:00 AM,10.29,10.50
01-Jul-20,5:00:00 AM,11.18,11.36
01-Jul-20,5:30:00 AM,12.14,12.29
01-Jul-20,6:00:00 AM,13.67,13.78
01-Jul-20,6:30:00 AM,15.81,15.90
01-Jul-20,7:00:00 AM,18.08,18.13
01-Jul-20,7:30:00 AM,20.13,20.15
01-Jul-20,8:00:00 AM,20.09,20.10
01-Jul-20,8:30:00 AM,20.12,20.12
01-Jul-20,9:00:00 AM,18.98,18.98
01-Jul-20,9:30:00 AM,17.11,17.11
01-Jul-20,10:00:00 AM,17.36,17.36
01-Jul-20,10:30:00 AM,15.93,15.94
01-Jul-20,11:00:00 AM,16.10,16.10
01-Jul-20,11:30:00 AM,15.15,15.15
01-Jul-20,12:00:00 PM,15.33,15.33
01-Jul-20,12:30:00 PM,14.59,14.59
01-Jul-20,1:00:00 PM,14.09,14.09
01-Jul-20,1:30:00 PM,13.53,13.53
01-Jul-20,2:00:00 PM,15.29,15.29
01-Jul-20,2:30:00 PM,14.91,14.92
01-Jul-20,3:00:00 PM,15.61,15.61
01-Jul-20,3:30:00 PM,16.79,16.80
01-Jul-20,4:00:00 PM,18.14,18.16
01-Jul-20,4:30:00 PM,20.30,20.31
01-Jul-20,5:00:00 PM,23.08,23.08
01-Jul-20,5:30:00 PM,25.29,25.29
01-Jul-20,6:00:00 PM,26.01,26.01
01-Jul-20,6:30:00 PM,26.07,26.07
01-Jul-20,7:00:00 PM,25.30,25.30
01-Jul-20,7:30:00 PM,24.39,24.39
01-Jul-20,8:00:00 PM,23.71,23.72
01-Jul-20,8:30:00 PM,22.34,22.35
01-Jul-20,9:00:00 PM,20.95,20.98
01-Jul-20,9:30:00 PM,19.35,19.39
01-Jul-20,10:00:00 PM,18.12,18.19
01-Jul-20,10:30:00 PM,18.58,18.65
01-Jul-20,11:00:00 PM,16.53,16.62
01-Jul-20,11:30:00 PM,14.51,14.64
02-Jul-20,12:00:00 AM,12.82,12.98
02-Jul-20,12:30:00 AM,11.69,11.87
02-Jul-20,1:00:00 AM,10.93,11.13
02-Jul-20,1:30:00 AM,10.55,10.75
02-Jul-20,2:00:00 AM,10.35,10.56
02-Jul-20,2:30:00 AM,10.17,10.38
02-Jul-20,3:00:00 AM,10.11,10.33
02-Jul-20,3:30:00 AM,10.24,10.46
02-Jul-20,4:00:00 AM,10.34,10.56
02-Jul-20,4:30:00 AM,10.60,10.81
02-Jul-20,5:00:00 AM,11.42,11.60
02-Jul-20,5:30:00 AM,12.57,12.71
02-Jul-20,6:00:00 AM,14.24,14.32
02-Jul-20,6:30:00 AM,16.16,16.24
02-Jul-20,7:00:00 AM,18.78,18.83
02-Jul-20,7:30:00 AM,19.80,19.82
02-Jul-20,8:00:00 AM,20.45,20.46
02-Jul-20,8:30:00 AM,19.73,19.73
02-Jul-20,9:00:00 AM,18.80,18.80
02-Jul-20,9:30:00 AM,17.58,17.58
02-Jul-20,10:00:00 AM,16.32,16.32
02-Jul-20,10:30:00 AM,15.31,15.31
02-Jul-20,11:00:00 AM,14.25,14.25
02-Jul-20,11:30:00 AM,14.51,14.51
02-Jul-20,12:00:00 PM,13.09,13.09
02-Jul-20,12:30:00 PM,14.06,14.06
02-Jul-20,1:00:00 PM,13.22,13.22
02-Jul-20,1:30:00 PM,13.61,13.61
02-Jul-20,2:00:00 PM,13.53,13.53
02-Jul-20,2:30:00 PM,14.71,14.71
02-Jul-20,3:00:00 PM,15.58,15.58
02-Jul-20,3:30:00 PM,17.03,17.04
02-Jul-20,4:00:00 PM,18.35,18.37
02-Jul-20,4:30:00 PM,20.44,20.45
02-Jul-20,5:00:00 PM,22.98,22.99
02-Jul-20,5:30:00 PM,24.96,24.96
02-Jul-20,6:00:00 PM,25.47,25.47
02-Jul-20,6:30:00 PM,25.27,25.27
02-Jul-20,7:00:00 PM,24.40,24.40
02-Jul-20,7:30:00 PM,23.77,23.77
02-Jul-20,8:00:00 PM,23.28,23.29
02-Jul-20,8:30:00 PM,21.85,21.86
02-Jul-20,9:00:00 PM,20.54,20.56
02-Jul-20,9:30:00 PM,19.22,19.26
02-Jul-20,10:00:00 PM,18.11,18.18
02-Jul-20,10:30:00 PM,18.19,18.28
02-Jul-20,11:00:00 PM,16.33,16.43
02-Jul-20,11:30:00 PM,14.40,14.53
03-Jul-20,12:00:00 AM,12.72,12.86
03-Jul-20,12:30:00 AM,11.72,11.89
03-Jul-20,1:00:00 AM,10.96,11.15
03-Jul-20,1:30:00 AM,10.42,10.62
03-Jul-20,2:00:00 AM,10.18,10.39
03-Jul-20,2:30:00 AM,10.06,10.27
03-Jul-20,3:00:00 AM,10.03,10.24
03-Jul-20,3:30:00 AM,9.98,10.18
03-Jul-20,4:00:00 AM,10.10,10.31
03-Jul-20,4:30:00 AM,10.44,10.65
03-Jul-20,5:00:00 AM,11.05,11.24
03-Jul-20,5:30:00 AM,12.24,12.36
03-Jul-20,6:00:00 AM,13.71,13.80
03-Jul-20,6:30:00 AM,15.63,15.72
03-Jul-20,7:00:00 AM,18.11,18.16
