Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,16.14,16.18
01-Jul-20,12:30:00 AM,14.83,14.88
01-Jul-20,1:00:00 AM,13.80,13.85
01-Jul-20,1:30:00 AM,13.30,13.35
01-Jul-20,2:00:00 AM,12.83,12.89
01-Jul-20,2:30:00 AM,12.46,12.52
01-Jul-20,3:00:00 AM,12.48,12.54
01-Jul-20,3:30:00 AM,12.66,12.71
01-Jul-20,4:00:00 AM,12.86,12.91
01-Jul-20,4:30:00 AM,13.51,13.55
01-Jul-20,5:00:00 AM,14.81,14.84
01-Jul-20,5:30:00 AM,16.01,16.03
01-Jul-20,6:00:00 AM,18.16,18.16
01-Jul-20,6:30:00 AM,20.13,20.13
01-Jul-20,7:00:00 AM,22.16,22.16
01-Jul-20,7:30:00 AM,23.21,23.22
01-Jul-20,8:00:00 AM,21.39,21.41
01-Jul-20,8:30:00 AM,20.94,20.96
01-Jul-20,9:00:00 AM,18.19,18.23
01-Jul-20,9:30:00 AM,15.65,15.70
01-Jul-20,10:00:00 AM,14.19,14.27
01-Jul-20,10:30:00 AM,12.72,12.84
01-Jul-20,11:00:00 AM,11.98,12.12
01-Jul-20,11:30:00 AM,11.43,11.59
01-Jul-20,12:00:00 PM,11.89,12.04
01-Jul-20,12:30:00 PM,12.70,12.83
01-Jul-20,1:00:00 PM,14.77,14.86
01-Jul-20,1:30:00 PM,15.61,15.68
01-Jul-20,2:00:00 PM,15.75,15.83
01-Jul-20,2:30:00 PM,17.26,17.30
01-Jul-20,3:00:00 PM,18.49,18.51
01-Jul-20,3:30:00 PM,18.87,18.88
01-Jul-20,4:00:00 PM,20.60,20.60
01-Jul-20,4:30:00 PM,22.33,22.33
01-Jul-20,5:00:00 PM,23.49,23.49
01-Jul-20,5:30:00 PM,24.43,24.44
01-Jul-20,6:00:00 PM,24.39,24.39
01-Jul-20,6:30:00 PM,24.80,24.80
01-Jul-20,7:00:00 PM,24.24,24.24
01-Jul-20,7:30:00 PM,24.44,24.44
01-Jul-20,8:00:00 PM,24.85,24.85
01-Jul-20,8:30:00 PM,23.83,23.83
01-Jul-20,9:00:00 PM,22.60,22.60
01-Jul-20,9:30:00 PM,22.03,22.04
01-Jul-20,10:00:00 PM,22.34,22.35
01-Jul-20,10:30:00 PM,21.19,21.21
01-Jul-20,11:00:00 PM,19.46,19.49
01-Jul-20,11:30:00 PM,18.07,18.10
02-Jul-20,12:00:00 AM,16.38,16.41
02-Jul-20,12:30:00 AM,15.32,15.35
02-Jul-20,1:00:00 AM,14.26,14.30
02-Jul-20,1:30:00 AM,13.58,13.63
02-Jul-20,2:00:00 AM,13.27,13.32
02-Jul-20,2:30:00 AM,12.95,13.01
02-Jul-20,3:00:00 AM,12.71,12.76
02-Jul-20,3:30:00 AM,12.95,12.99
02-Jul-20,4:00:00 AM,13.12,13.17
02-Jul-20,4:30:00 AM,13.81,13.84
02-Jul-20,5:00:00 AM,15.10,15.12
02-Jul-20,5:30:00 AM,16.50,16.51
02-Jul-20,6:00:00 AM,18.63,18.63
02-Jul-20,6:30:00 AM,20.54,20.54
02-Jul-20,7:00:00 AM,22.10,22.10
02-Jul-20,7:30:00 AM,21.45,21.46
02-Jul-20,8:00:00 AM,22.93,22.95
02-Jul-20,8:30:00 AM,21.39,21.42
02-Jul-20,9:00:00 AM,21.19,21.22
02-Jul-20,9:30:00 AM,17.80,17.86
02-Jul-20,10:00:00 AM,16.14,16.20
02-Jul-20,10:30:00 AM,12.63,12.72
02-Jul-20,11:00:00 AM,12.37,12.52
02-Jul-20,11:30:00 AM,12.10,12.27
02-Jul-20,12:00:00 PM,14.14,14.24
02-Jul-20,12:30:00 PM,12.66,12.77
02-Jul-20,1:00:00 PM,12.24,12.37
02-Jul-20,1:30:00 PM,13.83,13.94
02-Jul-20,2:00:00 PM,13.77,13.89
02-Jul-20,2:30:00 PM,15.57,15.65
02-Jul-20,3:00:00 PM,17.14,17.19
02-Jul-20,3:30:00 PM,18.89,18.91
02-Jul-20,4:00:00 PM,20.52,20.53
02-Jul-20,4:30:00 PM,22.05,22.05
02-Jul-20,5:00:00 PM,23.33,23.33
02-Jul-20,5:30:00 PM,24.21,24.22
02-Jul-20,6:00:00 PM,24.15,24.15
02-Jul-20,6:30:00 PM,24.31,24.31
02-Jul-20,7:00:00 PM,23.80,23.80
02-Jul-20,7:30:00 PM,23.95,23.95
02-Jul-20,8:00:00 PM,24.09,24.09
