Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,6.84,6.84
01-Jul-20,12:30:00 AM,6.45,6.45
01-Jul-20,1:00:00 AM,6.11,6.12
01-Jul-20,1:30:00 AM,5.94,5.95
01-Jul-20,2:00:00 AM,5.88,5.89
01-Jul-20,2:30:00 AM,5.80,5.81
01-Jul-20,3:00:00 AM,5.85,5.85
01-Jul-20,3:30:00 AM,5.93,5.93
01-Jul-20,4:00:00 AM,6.07,6.07
01-Jul-20,4:30:00 AM,6.33,6.33
01-Jul-20,5:00:00 AM,6.96,6.96
01-Jul-20,5:30:00 AM,7.49,7.49
01-Jul-20,6:00:00 AM,8.31,8.31
01-Jul-20,6:30:00 AM,9.25,9.25
01-Jul-20,7:00:00 AM,10.49,10.50
01-Jul-20,7:30:00 AM,10.57,10.57
01-Jul-20,8:00:00 AM,10.26,10.27
01-Jul-20,8:30:00 AM,9.49,9.50
01-Jul-20,9:00:00 AM,8.62,8.63
01-Jul-20,9:30:00 AM,7.61,7.62
01-Jul-20,10:00:00 AM,7.05,7.07
01-Jul-20,10:30:00 AM,6.25,6.28
01-Jul-20,11:00:00 AM,6.04,6.07
01-Jul-20,11:30:00 AM,5.97,6.01
01-Jul-20,12:00:00 PM,5.88,5.91
01-Jul-20,12:30:00 PM,5.86,5.89
01-Jul-20,1:00:00 PM,6.29,6.31
01-Jul-20,1:30:00 PM,6.60,6.63
01-Jul-20,2:00:00 PM,6.94,6.97
01-Jul-20,2:30:00 PM,7.14,7.16
01-Jul-20,3:00:00 PM,7.85,7.86
01-Jul-20,3:30:00 PM,8.36,8.37
01-Jul-20,4:00:00 PM,9.44,9.45
01-Jul-20,4:30:00 PM,10.18,10.18
01-Jul-20,5:00:00 PM,11.22,11.23
01-Jul-20,5:30:00 PM,11.89,11.91
01-Jul-20,6:00:00 PM,11.93,11.95
01-Jul-20,6:30:00 PM,11.72,11.73
01-Jul-20,7:00:00 PM,11.39,11.40
01-Jul-20,7:30:00 PM,11.00,11.01
01-Jul-20,8:00:00 PM,10.58,10.58
01-Jul-20,8:30:00 PM,10.10,10.10
01-Jul-20,9:00:00 PM,10.57,10.57
01-Jul-20,9:30:00 PM,9.34,9.34
01-Jul-20,10:00:00 PM,8.41,8.41
01-Jul-20,10:30:00 PM,7.72,7.72
01-Jul-20,11:00:00 PM,7.67,7.67
01-Jul-20,11:30:00 PM,7.30,7.30
02-Jul-20,12:00:00 AM,6.78,6.78
02-Jul-20,12:30:00 AM,6.57,6.57
02-Jul-20,1:00:00 AM,6.23,6.23
02-Jul-20,1:30:00 AM,5.91,5.91
02-Jul-20,2:00:00 AM,5.90,5.90
02-Jul-20,2:30:00 AM,5.81,5.81
02-Jul-20,3:00:00 AM,5.87,5.88
02-Jul-20,3:30:00 AM,5.80,5.80
02-Jul-20,4:00:00 AM,6.05,6.05
02-Jul-20,4:30:00 AM,6.32,6.32
02-Jul-20,5:00:00 AM,6.89,6.89
02-Jul-20,5:30:00 AM,7.37,7.37
02-Jul-20,6:00:00 AM,8.34,8.34
02-Jul-20,6:30:00 AM,9.13,9.13
02-Jul-20,7:00:00 AM,10.08,10.08
02-Jul-20,7:30:00 AM,10.38,10.38
02-Jul-20,8:00:00 AM,10.39,10.40
02-Jul-20,8:30:00 AM,10.42,10.43
02-Jul-20,9:00:00 AM,9.90,9.91
02-Jul-20,9:30:00 AM,8.73,8.75
02-Jul-20,10:00:00 AM,7.42,7.44
02-Jul-20,10:30:00 AM,6.67,6.69
02-Jul-20,11:00:00 AM,6.56,6.59
02-Jul-20,11:30:00 AM,6.37,6.40
02-Jul-20,12:00:00 PM,6.24,6.27
02-Jul-20,12:30:00 PM,5.79,5.83
02-Jul-20,1:00:00 PM,6.12,6.15
02-Jul-20,1:30:00 PM,6.03,6.06
02-Jul-20,2:00:00 PM,6.52,6.55
02-Jul-20,2:30:00 PM,7.05,7.07
02-Jul-20,3:00:00 PM,7.55,7.56
02-Jul-20,3:30:00 PM,8.25,8.26
02-Jul-20,4:00:00 PM,8.99,9.00
02-Jul-20,4:30:00 PM,9.88,9.88
02-Jul-20,5:00:00 PM,11.16,11.17
02-Jul-20,5:30:00 PM,12.23,12.25
02-Jul-20,6:00:00 PM,12.24,12.26
02-Jul-20,6:30:00 PM,12.02,12.03
02-Jul-20,7:00:00 PM,11.86,11.87
02-Jul-20,7:30:00 PM,11.64,11.65
02-Jul-20,8:00:00 PM,11.18,11.19
02-Jul-20,8:30:00 PM,10.61,10.61
02-Jul-20,9:00:00 PM,10.70,10.71
02-Jul-20,9:30:00 PM,9.30,9.30
02-Jul-20,10:00:00 PM,8.32,8.32
02-Jul-20,10:30:00 PM,7.63,7.63
02-Jul-20,11:00:00 PM,7.59,7.59
02-Jul-20,11:30:00 PM,7.18,7.18
03-Jul-20,12:00:00 AM,6.71,6.71
03-Jul-20,12:30:00 AM,6.21,6.21
03-Jul-20,1:00:00 AM,6.06,6.07
03-Jul-20,1:30:00 AM,5.87,5.88
