Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,7.95,7.95
01-Jul-20,12:30:00 AM,7.49,7.49
01-Jul-20,1:00:00 AM,7.09,7.09
01-Jul-20,1:30:00 AM,6.80,6.80
01-Jul-20,2:00:00 AM,6.81,6.81
01-Jul-20,2:30:00 AM,6.62,6.62
01-Jul-20,3:00:00 AM,6.60,6.60
01-Jul-20,3:30:00 AM,6.54,6.54
01-Jul-20,4:00:00 AM,6.69,6.69
01-Jul-20,4:30:00 AM,7.01,7.01
01-Jul-20,5:00:00 AM,7.66,7.66
01-Jul-20,5:30:00 AM,8.58,8.58
01-Jul-20,6:00:00 AM,9.70,9.72
01-Jul-20,6:30:00 AM,10.33,10.34
01-Jul-20,7:00:00 AM,11.15,11.17
01-Jul-20,7:30:00 AM,11.67,11.69
01-Jul-20,8:00:00 AM,11.47,11.51
01-Jul-20,8:30:00 AM,10.71,10.76
01-Jul-20,9:00:00 AM,10.02,10.07
01-Jul-20,9:30:00 AM,9.63,9.69
01-Jul-20,10:00:00 AM,9.30,9.40
01-Jul-20,10:30:00 AM,9.09,9.19
01-Jul-20,11:00:00 AM,8.47,8.58
01-Jul-20,11:30:00 AM,8.16,8.28
01-Jul-20,12:00:00 PM,8.48,8.62
01-Jul-20,12:30:00 PM,8.17,8.31
01-Jul-20,1:00:00 PM,8.59,8.73
01-Jul-20,1:30:00 PM,9.11,9.28
01-Jul-20,2:00:00 PM,9.13,9.26
01-Jul-20,2:30:00 PM,9.46,9.57
01-Jul-20,3:00:00 PM,9.30,9.39
01-Jul-20,3:30:00 PM,10.00,10.09
01-Jul-20,4:00:00 PM,10.48,10.53
01-Jul-20,4:30:00 PM,11.05,11.09
01-Jul-20,5:00:00 PM,11.70,11.73
01-Jul-20,5:30:00 PM,12.18,12.23
01-Jul-20,6:00:00 PM,11.70,11.72
01-Jul-20,6:30:00 PM,11.51,11.53
01-Jul-20,7:00:00 PM,11.50,11.51
01-Jul-20,7:30:00 PM,11.41,11.42
01-Jul-20,8:00:00 PM,11.50,11.50
01-Jul-20,8:30:00 PM,11.01,11.02
01-Jul-20,9:00:00 PM,10.60,10.61
01-Jul-20,9:30:00 PM,10.37,10.37
01-Jul-20,10:00:00 PM,10.10,10.11
01-Jul-20,10:30:00 PM,9.17,9.17
01-Jul-20,11:00:00 PM,8.84,8.84
01-Jul-20,11:30:00 PM,8.32,8.32
02-Jul-20,12:00:00 AM,7.78,7.78
02-Jul-20,12:30:00 AM,7.32,7.32
02-Jul-20,1:00:00 AM,7.10,7.10
02-Jul-20,1:30:00 AM,6.96,6.96
02-Jul-20,2:00:00 AM,6.72,6.72
02-Jul-20,2:30:00 AM,6.66,6.66
02-Jul-20,3:00:00 AM,6.65,6.65
02-Jul-20,3:30:00 AM,6.60,6.60
02-Jul-20,4:00:00 AM,6.76,6.76
02-Jul-20,4:30:00 AM,6.95,6.95
02-Jul-20,5:00:00 AM,7.63,7.63
02-Jul-20,5:30:00 AM,8.51,8.51
02-Jul-20,6:00:00 AM,9.59,9.60
02-Jul-20,6:30:00 AM,10.31,10.34
02-Jul-20,7:00:00 AM,10.74,10.78
02-Jul-20,7:30:00 AM,11.49,11.56
02-Jul-20,8:00:00 AM,11.93,12.01
02-Jul-20,8:30:00 AM,11.40,11.49
02-Jul-20,9:00:00 AM,11.49,11.59
02-Jul-20,9:30:00 AM,11.14,11.24
02-Jul-20,10:00:00 AM,9.92,10.04
02-Jul-20,10:30:00 AM,9.37,9.51
02-Jul-20,11:00:00 AM,9.14,9.30
02-Jul-20,11:30:00 AM,8.76,8.93
02-Jul-20,12:00:00 PM,9.78,9.95
02-Jul-20,12:30:00 PM,9.56,9.73
02-Jul-20,1:00:00 PM,9.08,9.25
02-Jul-20,1:30:00 PM,9.77,9.94
02-Jul-20,2:00:00 PM,9.86,10.03
02-Jul-20,2:30:00 PM,10.26,10.39
02-Jul-20,3:00:00 PM,10.51,10.64
02-Jul-20,3:30:00 PM,10.69,10.78
02-Jul-20,4:00:00 PM,11.11,11.18
02-Jul-20,4:30:00 PM,11.57,11.63
02-Jul-20,5:00:00 PM,11.88,11.93
02-Jul-20,5:30:00 PM,12.04,12.07
02-Jul-20,6:00:00 PM,11.96,11.98
02-Jul-20,6:30:00 PM,11.95,11.97
02-Jul-20,7:00:00 PM,11.78,11.80
02-Jul-20,7:30:00 PM,11.72,11.73
02-Jul-20,8:00:00 PM,11.69,11.70
02-Jul-20,8:30:00 PM,11.15,11.16
02-Jul-20,9:00:00 PM,10.80,10.81
02-Jul-20,9:30:00 PM,10.22,10.23
02-Jul-20,10:00:00 PM,9.83,9.83
02-Jul-20,10:30:00 PM,9.18,9.18
02-Jul-20,11:00:00 PM,8.94,8.94
02-Jul-20,11:30:00 PM,8.47,8.47
03-Jul-20,12:00:00 AM,7.65,7.65
03-Jul-20,12:30:00 AM,7.37,7.37
03-Jul-20,1:00:00 AM,7.18,7.18
03-Jul-20,1:30:00 AM,6.96,6.96
03-Jul-20,2:00:00 AM,6.82,6.82
03-Jul-20,2:30:00 AM,6.76,6.76
03-Jul-20,3:00:00 AM,6.79,6.79
03-Jul-20,3:30:00 AM,6.78,6.78
03-Jul-20,4:00:00 AM,6.90,6.90
03-Jul-20,4:30:00 AM,7.13,7.13
03-Jul-20,5:00:00 AM,7.85,7.86
03-Jul-20,5:30:00 AM,8.53,8.54
03-Jul-20,6:00:00 AM,9.47,9.48
03-Jul-20,6:30:00 AM,10.63,10.65
03-Jul-20,7:00:00 AM,11.36,11.38
03-Jul-20,7:30:00 AM,12.46,12.53
03-Jul-20,8:00:00 AM,12.60,12.68
03-Jul-20,8:30:00 AM,11.97,12.04
03-Jul-20,9:00:00 AM,11.30,11.37
03-Jul-20,9:30:00 AM,10.43,10.53
03-Jul-20,10:00:00 AM,9.34,9.42
03-Jul-20,10:30:00 AM,8.79,8.87
03-Jul-20,11:00:00 AM,8.57,8.69
03-Jul-20,11:30:00 AM,8.05,8.17
03-Jul-20,12:00:00 PM,8.27,8.40
03-Jul-20,12:30:00 PM,8.22,8.34
03-Jul-20,1:00:00 PM,8.97,9.11
03-Jul-20,1:30:00 PM,9.32,9.47
03-Jul-20,2:00:00 PM,9.61,9.77
03-Jul-20,2:30:00 PM,10.05,10.19
03-Jul-20,3:00:00 PM,10.37,10.50
03-Jul-20,3:30:00 PM,10.32,10.40
03-Jul-20,4:00:00 PM,10.49,10.55
03-Jul-20,4:30:00 PM,10.98,11.03
03-Jul-20,5:00:00 PM,11.22,11.26
03-Jul-20,5:30:00 PM,11.13,11.16
03-Jul-20,6:00:00 PM,10.93,10.95
03-Jul-20,6:30:00 PM,10.75,10.76
03-Jul-20,7:00:00 PM,10.70,10.71
03-Jul-20,7:30:00 PM,10.48,10.48
03-Jul-20,8:00:00 PM,10.67,10.68
03-Jul-20,8:30:00 PM,10.21,10.21
03-Jul-20,9:00:00 PM,9.89,9.90
03-Jul-20,9:30:00 PM,9.62,9.62
03-Jul-20,10:00:00 PM,9.32,9.32
03-Jul-20,10:30:00 PM,8.75,8.75
03-Jul-20,11:00:00 PM,8.36,8.36
03-Jul-20,11:30:00 PM,7.89,7.89
04-Jul-20,12:00:00 AM,7.50,7.50
04-Jul-20,12:30:00 AM,7.08,7.08
04-Jul-20,1:00:00 AM,6.88,6.88
04-Jul-20,1:30:00 AM,6.62,6.62
04-Jul-20,2:00:00 AM,6.52,6.52
04-Jul-20,2:30:00 AM,6.34,6.34
04-Jul-20,3:00:00 AM,6.29,6.30
04-Jul-20,3:30:00 AM,6.11,6.12
04-Jul-20,4:00:00 AM,6.12,6.13
04-Jul-20,4:30:00 AM,6.22,6.22
04-Jul-20,5:00:00 AM,6.43,6.44
04-Jul-20,5:30:00 AM,6.87,6.87
04-Jul-20,6:00:00 AM,7.23,7.23
04-Jul-20,6:30:00 AM,7.47,7.47
04-Jul-20,7:00:00 AM,7.63,7.63
04-Jul-20,7:30:00 AM,7.86,7.86
04-Jul-20,8:00:00 AM,8.02,8.02
04-Jul-20,8:30:00 AM,8.41,8.42
04-Jul-20,9:00:00 AM,8.07,8.09
04-Jul-20,9:30:00 AM,7.97,7.98
04-Jul-20,10:00:00 AM,7.16,7.18
04-Jul-20,10:30:00 AM,6.61,6.63
04-Jul-20,11:00:00 AM,6.46,6.48
04-Jul-20,11:30:00 AM,6.85,6.88
04-Jul-20,12:00:00 PM,6.72,6.76
04-Jul-20,12:30:00 PM,6.76,6.79
04-Jul-20,1:00:00 PM,6.49,6.52
04-Jul-20,1:30:00 PM,6.80,6.83
04-Jul-20,2:00:00 PM,6.68,6.70
04-Jul-20,2:30:00 PM,7.64,7.66
04-Jul-20,3:00:00 PM,8.15,8.17
04-Jul-20,3:30:00 PM,8.21,8.22
04-Jul-20,4:00:00 PM,8.87,8.88
04-Jul-20,4:30:00 PM,9.51,9.51
04-Jul-20,5:00:00 PM,10.48,10.49
04-Jul-20,5:30:00 PM,10.74,10.75
04-Jul-20,6:00:00 PM,10.48,10.48
04-Jul-20,6:30:00 PM,10.47,10.47
04-Jul-20,7:00:00 PM,10.26,10.26
04-Jul-20,7:30:00 PM,10.22,10.22
04-Jul-20,8:00:00 PM,10.33,10.33
04-Jul-20,8:30:00 PM,9.98,9.98
04-Jul-20,9:00:00 PM,9.68,9.68
04-Jul-20,9:30:00 PM,9.48,9.49
04-Jul-20,10:00:00 PM,9.58,9.58
04-Jul-20,10:30:00 PM,9.05,9.05
04-Jul-20,11:00:00 PM,8.66,8.66
04-Jul-20,11:30:00 PM,8.25,8.25
05-Jul-20,12:00:00 AM,7.78,7.79
05-Jul-20,12:30:00 AM,7.44,7.44
05-Jul-20,1:00:00 AM,7.07,7.07
05-Jul-20,1:30:00 AM,6.74,6.74
05-Jul-20,2:00:00 AM,6.57,6.58
05-Jul-20,2:30:00 AM,6.45,6.46
05-Jul-20,3:00:00 AM,6.44,6.44
05-Jul-20,3:30:00 AM,6.46,6.47
05-Jul-20,4:00:00 AM,6.46,6.47
05-Jul-20,4:30:00 AM,6.53,6.54
05-Jul-20,5:00:00 AM,6.63,6.64
05-Jul-20,5:30:00 AM,6.85,6.86
05-Jul-20,6:00:00 AM,7.34,7.35
05-Jul-20,6:30:00 AM,7.53,7.54
05-Jul-20,7:00:00 AM,7.34,7.36
05-Jul-20,7:30:00 AM,6.38,6.39
05-Jul-20,8:00:00 AM,6.49,6.50
05-Jul-20,8:30:00 AM,6.64,6.64
05-Jul-20,9:00:00 AM,6.22,6.22
05-Jul-20,9:30:00 AM,6.01,6.01
05-Jul-20,10:00:00 AM,5.80,5.80
05-Jul-20,10:30:00 AM,6.12,6.13
05-Jul-20,11:00:00 AM,6.78,6.79
05-Jul-20,11:30:00 AM,6.32,6.33
05-Jul-20,12:00:00 PM,5.90,5.90
05-Jul-20,12:30:00 PM,5.90,5.90
05-Jul-20,1:00:00 PM,6.41,6.42
05-Jul-20,1:30:00 PM,7.22,7.24
05-Jul-20,2:00:00 PM,7.81,7.82
05-Jul-20,2:30:00 PM,7.52,7.53
05-Jul-20,3:00:00 PM,7.53,7.53
05-Jul-20,3:30:00 PM,8.02,8.02
05-Jul-20,4:00:00 PM,8.67,8.67
05-Jul-20,4:30:00 PM,9.37,9.37
05-Jul-20,5:00:00 PM,10.19,10.19
05-Jul-20,5:30:00 PM,10.86,10.86
05-Jul-20,6:00:00 PM,10.96,10.96
05-Jul-20,6:30:00 PM,11.14,11.14
05-Jul-20,7:00:00 PM,11.06,11.06
05-Jul-20,7:30:00 PM,10.84,10.84
05-Jul-20,8:00:00 PM,11.28,11.28
05-Jul-20,8:30:00 PM,10.83,10.83
05-Jul-20,9:00:00 PM,10.34,10.34
05-Jul-20,9:30:00 PM,10.10,10.10
05-Jul-20,10:00:00 PM,9.88,9.88
05-Jul-20,10:30:00 PM,9.30,9.31
05-Jul-20,11:00:00 PM,8.76,8.76
05-Jul-20,11:30:00 PM,8.25,8.25
06-Jul-20,12:00:00 AM,7.82,7.82
06-Jul-20,12:30:00 AM,7.49,7.49
06-Jul-20,1:00:00 AM,7.20,7.21
06-Jul-20,1:30:00 AM,6.91,6.92
06-Jul-20,2:00:00 AM,6.74,6.75
06-Jul-20,2:30:00 AM,6.60,6.60
06-Jul-20,3:00:00 AM,6.57,6.57
06-Jul-20,3:30:00 AM,6.69,6.69
06-Jul-20,4:00:00 AM,6.72,6.73
06-Jul-20,4:30:00 AM,7.01,7.01
06-Jul-20,5:00:00 AM,7.71,7.71
06-Jul-20,5:30:00 AM,8.63,8.63
06-Jul-20,6:00:00 AM,10.09,10.11
06-Jul-20,6:30:00 AM,11.00,11.02
06-Jul-20,7:00:00 AM,11.64,11.67
06-Jul-20,7:30:00 AM,12.45,12.52
06-Jul-20,8:00:00 AM,12.60,12.69
06-Jul-20,8:30:00 AM,11.65,11.74
06-Jul-20,9:00:00 AM,10.81,10.87
06-Jul-20,9:30:00 AM,10.34,10.42
06-Jul-20,10:00:00 AM,9.91,10.02
06-Jul-20,10:30:00 AM,9.46,9.57
06-Jul-20,11:00:00 AM,8.38,8.46
06-Jul-20,11:30:00 AM,8.06,8.14
06-Jul-20,12:00:00 PM,8.40,8.51
06-Jul-20,12:30:00 PM,8.85,8.99
06-Jul-20,1:00:00 PM,9.23,9.37
06-Jul-20,1:30:00 PM,9.09,9.21
06-Jul-20,2:00:00 PM,9.64,9.76
06-Jul-20,2:30:00 PM,9.19,9.27
06-Jul-20,3:00:00 PM,9.42,9.47
06-Jul-20,3:30:00 PM,10.28,10.34
06-Jul-20,4:00:00 PM,10.27,10.32
06-Jul-20,4:30:00 PM,10.78,10.81
06-Jul-20,5:00:00 PM,11.58,11.61
06-Jul-20,5:30:00 PM,11.80,11.82
06-Jul-20,6:00:00 PM,11.90,11.92
06-Jul-20,6:30:00 PM,11.83,11.85
06-Jul-20,7:00:00 PM,11.81,11.82
06-Jul-20,7:30:00 PM,11.83,11.84
06-Jul-20,8:00:00 PM,11.80,11.81
06-Jul-20,8:30:00 PM,11.29,11.29
06-Jul-20,9:00:00 PM,10.91,10.92
06-Jul-20,9:30:00 PM,10.58,10.58
06-Jul-20,10:00:00 PM,10.12,10.12
06-Jul-20,10:30:00 PM,9.46,9.46
06-Jul-20,11:00:00 PM,8.88,8.88
06-Jul-20,11:30:00 PM,8.35,8.35
07-Jul-20,12:00:00 AM,7.93,7.93
07-Jul-20,12:30:00 AM,7.36,7.36
07-Jul-20,1:00:00 AM,7.13,7.14
07-Jul-20,1:30:00 AM,6.98,6.98
07-Jul-20,2:00:00 AM,6.81,6.81
07-Jul-20,2:30:00 AM,6.72,6.72
07-Jul-20,3:00:00 AM,6.63,6.64
07-Jul-20,3:30:00 AM,6.69,6.69
07-Jul-20,4:00:00 AM,6.98,6.98
07-Jul-20,4:30:00 AM,7.16,7.16
07-Jul-20,5:00:00 AM,7.90,7.91
07-Jul-20,5:30:00 AM,8.82,8.82
07-Jul-20,6:00:00 AM,10.28,10.31
07-Jul-20,6:30:00 AM,11.79,11.83
07-Jul-20,7:00:00 AM,12.38,12.43
07-Jul-20,7:30:00 AM,12.97,13.03
07-Jul-20,8:00:00 AM,12.92,13.00
07-Jul-20,8:30:00 AM,11.95,12.04
07-Jul-20,9:00:00 AM,11.51,11.61
07-Jul-20,9:30:00 AM,10.40,10.49
07-Jul-20,10:00:00 AM,9.38,9.47
07-Jul-20,10:30:00 AM,9.34,9.45
07-Jul-20,11:00:00 AM,9.01,9.14
07-Jul-20,11:30:00 AM,8.42,8.51
07-Jul-20,12:00:00 PM,8.16,8.25
07-Jul-20,12:30:00 PM,8.09,8.19
07-Jul-20,1:00:00 PM,8.83,8.95
07-Jul-20,1:30:00 PM,8.77,8.88
07-Jul-20,2:00:00 PM,9.16,9.27
07-Jul-20,2:30:00 PM,9.21,9.31
07-Jul-20,3:00:00 PM,9.09,9.15
07-Jul-20,3:30:00 PM,9.81,9.88
07-Jul-20,4:00:00 PM,10.44,10.50
07-Jul-20,4:30:00 PM,10.43,10.45
07-Jul-20,5:00:00 PM,11.44,11.47
07-Jul-20,5:30:00 PM,11.62,11.64
07-Jul-20,6:00:00 PM,11.67,11.68
07-Jul-20,6:30:00 PM,11.56,11.58
07-Jul-20,7:00:00 PM,11.55,11.56
07-Jul-20,7:30:00 PM,11.47,11.48
07-Jul-20,8:00:00 PM,11.56,11.57
07-Jul-20,8:30:00 PM,11.06,11.06
07-Jul-20,9:00:00 PM,10.64,10.65
07-Jul-20,9:30:00 PM,10.31,10.31
07-Jul-20,10:00:00 PM,10.01,10.01
07-Jul-20,10:30:00 PM,9.30,9.30
07-Jul-20,11:00:00 PM,8.78,8.78
07-Jul-20,11:30:00 PM,8.27,8.27
08-Jul-20,12:00:00 AM,7.83,7.83
08-Jul-20,12:30:00 AM,7.43,7.43
08-Jul-20,1:00:00 AM,7.03,7.04
08-Jul-20,1:30:00 AM,6.80,6.80
08-Jul-20,2:00:00 AM,6.70,6.70
08-Jul-20,2:30:00 AM,6.63,6.63
08-Jul-20,3:00:00 AM,6.61,6.62
08-Jul-20,3:30:00 AM,6.60,6.61
08-Jul-20,4:00:00 AM,6.69,6.70
08-Jul-20,4:30:00 AM,7.04,7.04
08-Jul-20,5:00:00 AM,7.84,7.84
08-Jul-20,5:30:00 AM,8.72,8.72
08-Jul-20,6:00:00 AM,9.98,10.00
08-Jul-20,6:30:00 AM,10.95,10.99
08-Jul-20,7:00:00 AM,11.51,11.56
08-Jul-20,7:30:00 AM,11.70,11.77
08-Jul-20,8:00:00 AM,11.52,11.60
08-Jul-20,8:30:00 AM,10.68,10.77
08-Jul-20,9:00:00 AM,9.87,9.95
08-Jul-20,9:30:00 AM,9.53,9.61
08-Jul-20,10:00:00 AM,8.93,9.03
08-Jul-20,10:30:00 AM,8.48,8.59
08-Jul-20,11:00:00 AM,7.95,8.07
08-Jul-20,11:30:00 AM,8.10,8.22
08-Jul-20,12:00:00 PM,8.11,8.24
08-Jul-20,12:30:00 PM,7.85,7.97
08-Jul-20,1:00:00 PM,8.34,8.48
08-Jul-20,1:30:00 PM,8.43,8.56
08-Jul-20,2:00:00 PM,8.82,8.91
08-Jul-20,2:30:00 PM,8.60,8.69
08-Jul-20,3:00:00 PM,9.03,9.10
08-Jul-20,3:30:00 PM,9.35,9.39
08-Jul-20,4:00:00 PM,10.16,10.20
08-Jul-20,4:30:00 PM,10.69,10.73
08-Jul-20,5:00:00 PM,11.25,11.28
08-Jul-20,5:30:00 PM,11.65,11.68
08-Jul-20,6:00:00 PM,11.48,11.50
08-Jul-20,6:30:00 PM,11.48,11.49
08-Jul-20,7:00:00 PM,11.30,11.31
08-Jul-20,7:30:00 PM,11.12,11.13
08-Jul-20,8:00:00 PM,11.24,11.25
08-Jul-20,8:30:00 PM,10.70,10.70
08-Jul-20,9:00:00 PM,10.31,10.32
08-Jul-20,9:30:00 PM,10.11,10.11
08-Jul-20,10:00:00 PM,9.81,9.81
08-Jul-20,10:30:00 PM,8.95,8.95
08-Jul-20,11:00:00 PM,8.56,8.56
08-Jul-20,11:30:00 PM,8.12,8.12
09-Jul-20,12:00:00 AM,7.66,7.66
09-Jul-20,12:30:00 AM,7.14,7.14
09-Jul-20,1:00:00 AM,6.88,6.88
09-Jul-20,1:30:00 AM,6.64,6.64
09-Jul-20,2:00:00 AM,6.52,6.52
09-Jul-20,2:30:00 AM,6.35,6.35
09-Jul-20,3:00:00 AM,6.40,6.40
09-Jul-20,3:30:00 AM,6.34,6.34
09-Jul-20,4:00:00 AM,6.69,6.69
09-Jul-20,4:30:00 AM,6.69,6.69
09-Jul-20,5:00:00 AM,7.32,7.32
09-Jul-20,5:30:00 AM,7.83,7.84
09-Jul-20,6:00:00 AM,9.13,9.15
09-Jul-20,6:30:00 AM,9.96,9.99
