Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,8.57,8.57
01-Jul-20,12:30:00 AM,8.03,8.03
01-Jul-20,1:00:00 AM,7.50,7.51
01-Jul-20,1:30:00 AM,7.11,7.12
01-Jul-20,2:00:00 AM,6.88,6.89
01-Jul-20,2:30:00 AM,6.79,6.80
01-Jul-20,3:00:00 AM,6.54,6.56
01-Jul-20,3:30:00 AM,6.27,6.28
01-Jul-20,4:00:00 AM,6.42,6.43
01-Jul-20,4:30:00 AM,6.83,6.86
01-Jul-20,5:00:00 AM,7.31,7.32
01-Jul-20,5:30:00 AM,8.14,8.14
01-Jul-20,6:00:00 AM,9.27,9.27
01-Jul-20,6:30:00 AM,10.96,10.96
01-Jul-20,7:00:00 AM,12.07,12.08
01-Jul-20,7:30:00 AM,12.78,12.81
01-Jul-20,8:00:00 AM,11.87,11.89
01-Jul-20,8:30:00 AM,9.71,9.73
01-Jul-20,9:00:00 AM,8.04,8.06
01-Jul-20,9:30:00 AM,6.00,6.05
01-Jul-20,10:00:00 AM,4.69,4.75
01-Jul-20,10:30:00 AM,3.38,3.47
01-Jul-20,11:00:00 AM,3.03,3.10
01-Jul-20,11:30:00 AM,3.45,3.51
01-Jul-20,12:00:00 PM,3.67,3.75
01-Jul-20,12:30:00 PM,3.14,3.25
01-Jul-20,1:00:00 PM,4.27,4.33
01-Jul-20,1:30:00 PM,4.99,5.02
01-Jul-20,2:00:00 PM,5.45,5.48
01-Jul-20,2:30:00 PM,7.65,7.66
01-Jul-20,3:00:00 PM,8.08,8.10
01-Jul-20,3:30:00 PM,8.42,8.44
01-Jul-20,4:00:00 PM,10.28,10.31
01-Jul-20,4:30:00 PM,12.10,12.12
01-Jul-20,5:00:00 PM,14.26,14.33
01-Jul-20,5:30:00 PM,16.21,16.30
01-Jul-20,6:00:00 PM,16.71,16.80
01-Jul-20,6:30:00 PM,16.54,16.61
01-Jul-20,7:00:00 PM,15.20,15.23
01-Jul-20,7:30:00 PM,14.74,14.77
01-Jul-20,8:00:00 PM,14.29,14.30
01-Jul-20,8:30:00 PM,13.27,13.28
01-Jul-20,9:00:00 PM,12.58,12.59
01-Jul-20,9:30:00 PM,11.78,11.79
01-Jul-20,10:00:00 PM,11.74,11.74
01-Jul-20,10:30:00 PM,11.99,12.00
01-Jul-20,11:00:00 PM,10.97,10.97
01-Jul-20,11:30:00 PM,9.80,9.80
02-Jul-20,12:00:00 AM,8.53,8.53
02-Jul-20,12:30:00 AM,7.93,7.93
02-Jul-20,1:00:00 AM,7.45,7.45
02-Jul-20,1:30:00 AM,7.25,7.26
02-Jul-20,2:00:00 AM,6.97,6.98
02-Jul-20,2:30:00 AM,6.80,6.81
02-Jul-20,3:00:00 AM,6.78,6.79
02-Jul-20,3:30:00 AM,6.52,6.53
02-Jul-20,4:00:00 AM,6.67,6.68
02-Jul-20,4:30:00 AM,7.00,7.01
02-Jul-20,5:00:00 AM,7.43,7.45
02-Jul-20,5:30:00 AM,8.20,8.20
02-Jul-20,6:00:00 AM,9.20,9.20
02-Jul-20,6:30:00 AM,10.92,10.92
02-Jul-20,7:00:00 AM,12.09,12.09
02-Jul-20,7:30:00 AM,12.08,12.09
02-Jul-20,8:00:00 AM,11.03,11.05
02-Jul-20,8:30:00 AM,9.41,9.45
02-Jul-20,9:00:00 AM,7.99,8.03
02-Jul-20,9:30:00 AM,6.41,6.47
02-Jul-20,10:00:00 AM,4.99,5.08
02-Jul-20,10:30:00 AM,5.12,5.18
02-Jul-20,11:00:00 AM,3.10,3.27
02-Jul-20,11:30:00 AM,2.95,3.12
02-Jul-20,12:00:00 PM,2.34,2.53
02-Jul-20,12:30:00 PM,1.99,2.17
02-Jul-20,1:00:00 PM,2.65,2.75
02-Jul-20,1:30:00 PM,2.86,2.93
02-Jul-20,2:00:00 PM,3.68,3.73
02-Jul-20,2:30:00 PM,4.81,4.83
02-Jul-20,3:00:00 PM,6.20,6.21
02-Jul-20,3:30:00 PM,7.72,7.73
02-Jul-20,4:00:00 PM,9.32,9.32
02-Jul-20,4:30:00 PM,10.88,10.89
02-Jul-20,5:00:00 PM,12.73,12.75
02-Jul-20,5:30:00 PM,14.03,14.07
02-Jul-20,6:00:00 PM,14.63,14.68
02-Jul-20,6:30:00 PM,14.42,14.46
02-Jul-20,7:00:00 PM,13.92,13.94
02-Jul-20,7:30:00 PM,13.91,13.93
02-Jul-20,8:00:00 PM,13.23,13.24
02-Jul-20,8:30:00 PM,12.82,12.82
02-Jul-20,9:00:00 PM,12.31,12.32
02-Jul-20,9:30:00 PM,11.67,11.68
02-Jul-20,10:00:00 PM,11.52,11.52
02-Jul-20,10:30:00 PM,11.80,11.80
02-Jul-20,11:00:00 PM,10.83,10.83
02-Jul-20,11:30:00 PM,9.88,9.89
03-Jul-20,12:00:00 AM,8.72,8.72
03-Jul-20,12:30:00 AM,7.98,7.98
03-Jul-20,1:00:00 AM,7.45,7.45
03-Jul-20,1:30:00 AM,7.23,7.24
03-Jul-20,2:00:00 AM,6.92,6.92
03-Jul-20,2:30:00 AM,6.77,6.77
03-Jul-20,3:00:00 AM,6.56,6.57
03-Jul-20,3:30:00 AM,6.62,6.63
03-Jul-20,4:00:00 AM,6.61,6.62
03-Jul-20,4:30:00 AM,6.58,6.59
03-Jul-20,5:00:00 AM,7.06,7.06
03-Jul-20,5:30:00 AM,7.70,7.70
03-Jul-20,6:00:00 AM,8.94,8.94
03-Jul-20,6:30:00 AM,10.38,10.38
03-Jul-20,7:00:00 AM,11.52,11.52
03-Jul-20,7:30:00 AM,11.29,11.31
03-Jul-20,8:00:00 AM,10.34,10.35
03-Jul-20,8:30:00 AM,8.66,8.68
03-Jul-20,9:00:00 AM,7.00,7.03
03-Jul-20,9:30:00 AM,5.44,5.49
03-Jul-20,10:00:00 AM,4.07,4.16
03-Jul-20,10:30:00 AM,2.97,3.09
03-Jul-20,11:00:00 AM,2.18,2.30
03-Jul-20,11:30:00 AM,1.82,2.01
03-Jul-20,12:00:00 PM,1.77,1.98
03-Jul-20,12:30:00 PM,1.70,1.88
03-Jul-20,1:00:00 PM,1.97,2.11
03-Jul-20,1:30:00 PM,2.69,2.76
03-Jul-20,2:00:00 PM,3.88,3.91
03-Jul-20,2:30:00 PM,4.86,4.88
03-Jul-20,3:00:00 PM,6.11,6.12
03-Jul-20,3:30:00 PM,7.53,7.53
03-Jul-20,4:00:00 PM,8.88,8.89
03-Jul-20,4:30:00 PM,10.41,10.42
03-Jul-20,5:00:00 PM,11.73,11.74
03-Jul-20,5:30:00 PM,13.21,13.23
03-Jul-20,6:00:00 PM,13.62,13.65
03-Jul-20,6:30:00 PM,13.69,13.72
03-Jul-20,7:00:00 PM,13.07,13.09
03-Jul-20,7:30:00 PM,13.06,13.08
03-Jul-20,8:00:00 PM,12.76,12.77
03-Jul-20,8:30:00 PM,12.18,12.19
03-Jul-20,9:00:00 PM,11.86,11.87
03-Jul-20,9:30:00 PM,11.13,11.13
03-Jul-20,10:00:00 PM,11.19,11.19
03-Jul-20,10:30:00 PM,11.71,11.72
03-Jul-20,11:00:00 PM,10.82,10.82
03-Jul-20,11:30:00 PM,9.78,9.78
04-Jul-20,12:00:00 AM,8.69,8.69
04-Jul-20,12:30:00 AM,7.84,7.85
04-Jul-20,1:00:00 AM,7.31,7.31
04-Jul-20,1:30:00 AM,6.85,6.85
04-Jul-20,2:00:00 AM,6.71,6.71
04-Jul-20,2:30:00 AM,6.62,6.62
04-Jul-20,3:00:00 AM,6.61,6.62
04-Jul-20,3:30:00 AM,6.56,6.56
04-Jul-20,4:00:00 AM,6.49,6.49
04-Jul-20,4:30:00 AM,6.41,6.41
04-Jul-20,5:00:00 AM,6.49,6.49
04-Jul-20,5:30:00 AM,6.84,6.85
04-Jul-20,6:00:00 AM,7.60,7.60
04-Jul-20,6:30:00 AM,8.44,8.45
04-Jul-20,7:00:00 AM,9.23,9.23
04-Jul-20,7:30:00 AM,9.20,9.20
04-Jul-20,8:00:00 AM,8.68,8.68
04-Jul-20,8:30:00 AM,7.95,7.96
04-Jul-20,9:00:00 AM,6.81,6.83
04-Jul-20,9:30:00 AM,5.16,5.17
04-Jul-20,10:00:00 AM,3.94,3.96
04-Jul-20,10:30:00 AM,2.78,2.80
04-Jul-20,11:00:00 AM,1.92,1.97
04-Jul-20,11:30:00 AM,1.68,1.76
04-Jul-20,12:00:00 PM,1.41,1.50
04-Jul-20,12:30:00 PM,1.55,1.64
04-Jul-20,1:00:00 PM,1.77,1.84
04-Jul-20,1:30:00 PM,2.53,2.56
04-Jul-20,2:00:00 PM,3.69,3.70
04-Jul-20,2:30:00 PM,5.07,5.08
04-Jul-20,3:00:00 PM,6.65,6.65
