Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,8.08,8.09
01-Jul-20,12:30:00 AM,7.86,7.86
01-Jul-20,1:00:00 AM,7.53,7.54
01-Jul-20,1:30:00 AM,7.57,7.58
01-Jul-20,2:00:00 AM,7.59,7.60
01-Jul-20,2:30:00 AM,7.52,7.52
01-Jul-20,3:00:00 AM,7.67,7.67
01-Jul-20,3:30:00 AM,7.61,7.61
01-Jul-20,4:00:00 AM,7.85,7.85
01-Jul-20,4:30:00 AM,7.88,7.88
01-Jul-20,5:00:00 AM,8.23,8.23
01-Jul-20,5:30:00 AM,8.37,8.37
01-Jul-20,6:00:00 AM,8.93,8.93
01-Jul-20,6:30:00 AM,9.39,9.40
01-Jul-20,7:00:00 AM,9.84,9.84
01-Jul-20,7:30:00 AM,9.94,9.94
01-Jul-20,8:00:00 AM,9.91,9.91
01-Jul-20,8:30:00 AM,9.60,9.61
01-Jul-20,9:00:00 AM,9.32,9.32
01-Jul-20,9:30:00 AM,9.76,9.76
01-Jul-20,10:00:00 AM,9.86,9.86
01-Jul-20,10:30:00 AM,9.53,9.53
01-Jul-20,11:00:00 AM,9.59,9.59
01-Jul-20,11:30:00 AM,9.63,9.64
01-Jul-20,12:00:00 PM,9.62,9.62
01-Jul-20,12:30:00 PM,9.76,9.76
01-Jul-20,1:00:00 PM,10.00,10.00
01-Jul-20,1:30:00 PM,10.15,10.16
01-Jul-20,2:00:00 PM,10.10,10.11
01-Jul-20,2:30:00 PM,10.22,10.23
01-Jul-20,3:00:00 PM,10.31,10.31
01-Jul-20,3:30:00 PM,10.36,10.36
01-Jul-20,4:00:00 PM,10.23,10.23
01-Jul-20,4:30:00 PM,10.19,10.20
01-Jul-20,5:00:00 PM,10.13,10.13
01-Jul-20,5:30:00 PM,9.89,9.89
01-Jul-20,6:00:00 PM,9.75,9.75
01-Jul-20,6:30:00 PM,9.70,9.70
01-Jul-20,7:00:00 PM,9.48,9.48
01-Jul-20,7:30:00 PM,9.51,9.51
01-Jul-20,8:00:00 PM,9.29,9.29
01-Jul-20,8:30:00 PM,9.07,9.07
01-Jul-20,9:00:00 PM,8.94,8.94
01-Jul-20,9:30:00 PM,9.00,9.00
01-Jul-20,10:00:00 PM,8.89,8.90
01-Jul-20,10:30:00 PM,8.89,8.89
01-Jul-20,11:00:00 PM,8.66,8.67
01-Jul-20,11:30:00 PM,8.34,8.34
02-Jul-20,12:00:00 AM,8.15,8.15
02-Jul-20,12:30:00 AM,7.86,7.87
02-Jul-20,1:00:00 AM,7.75,7.75
02-Jul-20,1:30:00 AM,7.91,7.91
02-Jul-20,2:00:00 AM,7.83,7.83
02-Jul-20,2:30:00 AM,7.85,7.85
02-Jul-20,3:00:00 AM,7.85,7.85
02-Jul-20,3:30:00 AM,7.66,7.66
02-Jul-20,4:00:00 AM,8.04,8.04
02-Jul-20,4:30:00 AM,8.10,8.10
02-Jul-20,5:00:00 AM,8.20,8.20
02-Jul-20,5:30:00 AM,8.47,8.47
02-Jul-20,6:00:00 AM,8.99,8.99
02-Jul-20,6:30:00 AM,9.40,9.40
02-Jul-20,7:00:00 AM,9.88,9.89
02-Jul-20,7:30:00 AM,10.03,10.03
02-Jul-20,8:00:00 AM,9.90,9.90
02-Jul-20,8:30:00 AM,9.76,9.76
02-Jul-20,9:00:00 AM,9.66,9.66
02-Jul-20,9:30:00 AM,9.85,9.85
02-Jul-20,10:00:00 AM,9.69,9.69
02-Jul-20,10:30:00 AM,9.64,9.64
02-Jul-20,11:00:00 AM,9.77,9.77
02-Jul-20,11:30:00 AM,9.70,9.71
02-Jul-20,12:00:00 PM,9.57,9.58
02-Jul-20,12:30:00 PM,9.63,9.63
02-Jul-20,1:00:00 PM,9.50,9.50
02-Jul-20,1:30:00 PM,9.67,9.67
02-Jul-20,2:00:00 PM,9.72,9.72
02-Jul-20,2:30:00 PM,9.67,9.68
02-Jul-20,3:00:00 PM,9.82,9.83
02-Jul-20,3:30:00 PM,9.88,9.88
02-Jul-20,4:00:00 PM,10.06,10.06
02-Jul-20,4:30:00 PM,9.96,9.96
02-Jul-20,5:00:00 PM,9.94,9.94
02-Jul-20,5:30:00 PM,9.77,9.77
02-Jul-20,6:00:00 PM,9.60,9.60
02-Jul-20,6:30:00 PM,9.61,9.61
02-Jul-20,7:00:00 PM,9.40,9.40
02-Jul-20,7:30:00 PM,9.34,9.34
02-Jul-20,8:00:00 PM,9.17,9.17
02-Jul-20,8:30:00 PM,8.97,8.97
02-Jul-20,9:00:00 PM,8.95,8.95
02-Jul-20,9:30:00 PM,9.02,9.02
02-Jul-20,10:00:00 PM,8.91,8.91
02-Jul-20,10:30:00 PM,8.97,8.97
02-Jul-20,11:00:00 PM,8.71,8.71
02-Jul-20,11:30:00 PM,8.35,8.35
03-Jul-20,12:00:00 AM,8.07,8.07
03-Jul-20,12:30:00 AM,7.80,7.80
03-Jul-20,1:00:00 AM,7.72,7.72
03-Jul-20,1:30:00 AM,7.95,7.95
03-Jul-20,2:00:00 AM,7.81,7.81
03-Jul-20,2:30:00 AM,7.74,7.75
03-Jul-20,3:00:00 AM,7.85,7.85
03-Jul-20,3:30:00 AM,7.89,7.90
03-Jul-20,4:00:00 AM,8.07,8.07
03-Jul-20,4:30:00 AM,8.05,8.05
03-Jul-20,5:00:00 AM,8.41,8.41
03-Jul-20,5:30:00 AM,8.51,8.51
03-Jul-20,6:00:00 AM,9.13,9.13
03-Jul-20,6:30:00 AM,9.44,9.44
03-Jul-20,7:00:00 AM,9.89,9.89
03-Jul-20,7:30:00 AM,9.93,9.93
03-Jul-20,8:00:00 AM,9.78,9.78
03-Jul-20,8:30:00 AM,9.69,9.69
03-Jul-20,9:00:00 AM,9.77,9.77
03-Jul-20,9:30:00 AM,9.83,9.83
03-Jul-20,10:00:00 AM,9.76,9.76
03-Jul-20,10:30:00 AM,9.76,9.77
03-Jul-20,11:00:00 AM,9.74,9.74
03-Jul-20,11:30:00 AM,9.80,9.80
03-Jul-20,12:00:00 PM,9.75,9.75
03-Jul-20,12:30:00 PM,9.67,9.67
03-Jul-20,1:00:00 PM,9.69,9.69
03-Jul-20,1:30:00 PM,9.84,9.85
