Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,3.62,3.78
01-Jul-20,12:30:00 AM,3.32,3.51
01-Jul-20,1:00:00 AM,3.11,3.30
01-Jul-20,1:30:00 AM,2.99,3.17
01-Jul-20,2:00:00 AM,2.77,2.99
01-Jul-20,2:30:00 AM,2.78,3.00
01-Jul-20,3:00:00 AM,2.79,3.02
01-Jul-20,3:30:00 AM,2.85,3.07
01-Jul-20,4:00:00 AM,2.96,3.18
01-Jul-20,4:30:00 AM,3.07,3.27
01-Jul-20,5:00:00 AM,3.33,3.51
01-Jul-20,5:30:00 AM,3.77,3.91
01-Jul-20,6:00:00 AM,4.23,4.36
01-Jul-20,6:30:00 AM,4.90,5.02
01-Jul-20,7:00:00 AM,5.61,5.71
01-Jul-20,7:30:00 AM,5.13,5.24
01-Jul-20,8:00:00 AM,5.19,5.29
01-Jul-20,8:30:00 AM,4.03,4.14
01-Jul-20,9:00:00 AM,3.43,3.53
01-Jul-20,9:30:00 AM,2.74,2.85
01-Jul-20,10:00:00 AM,2.08,2.21
01-Jul-20,10:30:00 AM,1.76,1.90
01-Jul-20,11:00:00 AM,1.68,1.84
01-Jul-20,11:30:00 AM,1.93,2.10
01-Jul-20,12:00:00 PM,1.76,1.94
01-Jul-20,12:30:00 PM,2.05,2.23
01-Jul-20,1:00:00 PM,1.84,2.02
01-Jul-20,1:30:00 PM,1.89,2.07
01-Jul-20,2:00:00 PM,1.75,1.95
01-Jul-20,2:30:00 PM,2.44,2.60
01-Jul-20,3:00:00 PM,2.90,3.05
01-Jul-20,3:30:00 PM,3.72,3.85
01-Jul-20,4:00:00 PM,4.56,4.69
01-Jul-20,4:30:00 PM,5.65,5.76
01-Jul-20,5:00:00 PM,6.85,6.92
01-Jul-20,5:30:00 PM,8.09,8.13
01-Jul-20,6:00:00 PM,8.21,8.25
01-Jul-20,6:30:00 PM,7.93,7.98
01-Jul-20,7:00:00 PM,7.40,7.45
01-Jul-20,7:30:00 PM,7.21,7.27
01-Jul-20,8:00:00 PM,6.95,7.02
01-Jul-20,8:30:00 PM,6.49,6.57
01-Jul-20,9:00:00 PM,6.07,6.16
01-Jul-20,9:30:00 PM,5.51,5.62
01-Jul-20,10:00:00 PM,4.94,5.07
01-Jul-20,10:30:00 PM,4.85,4.99
01-Jul-20,11:00:00 PM,4.39,4.55
01-Jul-20,11:30:00 PM,3.95,4.13
02-Jul-20,12:00:00 AM,3.53,3.73
02-Jul-20,12:30:00 AM,3.35,3.55
02-Jul-20,1:00:00 AM,3.13,3.35
02-Jul-20,1:30:00 AM,2.95,3.18
02-Jul-20,2:00:00 AM,2.86,3.09
02-Jul-20,2:30:00 AM,2.81,3.04
02-Jul-20,3:00:00 AM,2.76,3.01
02-Jul-20,3:30:00 AM,2.78,3.04
02-Jul-20,4:00:00 AM,2.83,3.09
02-Jul-20,4:30:00 AM,3.04,3.26
02-Jul-20,5:00:00 AM,3.28,3.47
02-Jul-20,5:30:00 AM,3.66,3.82
02-Jul-20,6:00:00 AM,4.49,4.61
02-Jul-20,6:30:00 AM,5.39,5.48
02-Jul-20,7:00:00 AM,5.94,6.02
02-Jul-20,7:30:00 AM,5.66,5.74
02-Jul-20,8:00:00 AM,5.11,5.20
02-Jul-20,8:30:00 AM,4.22,4.31
02-Jul-20,9:00:00 AM,3.45,3.54
02-Jul-20,9:30:00 AM,3.08,3.16
02-Jul-20,10:00:00 AM,2.53,2.63
02-Jul-20,10:30:00 AM,1.96,2.09
02-Jul-20,11:00:00 AM,2.17,2.30
02-Jul-20,11:30:00 AM,1.70,1.87
02-Jul-20,12:00:00 PM,1.13,1.36
02-Jul-20,12:30:00 PM,1.31,1.50
02-Jul-20,1:00:00 PM,1.46,1.65
02-Jul-20,1:30:00 PM,1.49,1.68
02-Jul-20,2:00:00 PM,2.56,2.73
02-Jul-20,2:30:00 PM,2.49,2.65
02-Jul-20,3:00:00 PM,2.98,3.13
02-Jul-20,3:30:00 PM,3.74,3.86
02-Jul-20,4:00:00 PM,4.54,4.66
02-Jul-20,4:30:00 PM,5.63,5.73
02-Jul-20,5:00:00 PM,6.51,6.59
02-Jul-20,5:30:00 PM,7.60,7.65
02-Jul-20,6:00:00 PM,7.87,7.92
02-Jul-20,6:30:00 PM,7.68,7.73
02-Jul-20,7:00:00 PM,7.16,7.22
02-Jul-20,7:30:00 PM,7.04,7.10
02-Jul-20,8:00:00 PM,6.64,6.71
02-Jul-20,8:30:00 PM,6.31,6.39
02-Jul-20,9:00:00 PM,5.93,6.02
02-Jul-20,9:30:00 PM,5.45,5.55
02-Jul-20,10:00:00 PM,4.99,5.12
02-Jul-20,10:30:00 PM,5.00,5.13
02-Jul-20,11:00:00 PM,4.55,4.70
02-Jul-20,11:30:00 PM,4.02,4.19
03-Jul-20,12:00:00 AM,3.56,3.75
03-Jul-20,12:30:00 AM,3.24,3.46
03-Jul-20,1:00:00 AM,3.05,3.28
03-Jul-20,1:30:00 AM,2.93,3.16
03-Jul-20,2:00:00 AM,2.75,3.00
03-Jul-20,2:30:00 AM,2.69,2.95
03-Jul-20,3:00:00 AM,2.66,2.92
03-Jul-20,3:30:00 AM,2.73,2.99
03-Jul-20,4:00:00 AM,2.80,3.07
03-Jul-20,4:30:00 AM,2.93,3.17
03-Jul-20,5:00:00 AM,3.15,3.38
03-Jul-20,5:30:00 AM,3.56,3.75
03-Jul-20,6:00:00 AM,4.25,4.38
03-Jul-20,6:30:00 AM,5.02,5.13
03-Jul-20,7:00:00 AM,5.65,5.74
03-Jul-20,7:30:00 AM,5.32,5.41
03-Jul-20,8:00:00 AM,4.86,4.95
03-Jul-20,8:30:00 AM,4.05,4.16
03-Jul-20,9:00:00 AM,3.42,3.52
03-Jul-20,9:30:00 AM,2.69,2.79
03-Jul-20,10:00:00 AM,2.13,2.25
03-Jul-20,10:30:00 AM,1.66,1.80
03-Jul-20,11:00:00 AM,1.25,1.43
03-Jul-20,11:30:00 AM,0.92,1.14
03-Jul-20,12:00:00 PM,0.73,1.02
