Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,8.67,9.17
01-Jul-20,12:30:00 AM,8.09,8.64
01-Jul-20,1:00:00 AM,7.83,8.39
01-Jul-20,1:30:00 AM,7.46,8.05
01-Jul-20,2:00:00 AM,7.29,7.90
01-Jul-20,2:30:00 AM,7.28,7.88
01-Jul-20,3:00:00 AM,7.37,7.96
01-Jul-20,3:30:00 AM,7.24,7.86
01-Jul-20,4:00:00 AM,7.47,8.04
01-Jul-20,4:30:00 AM,7.91,8.45
01-Jul-20,5:00:00 AM,8.71,9.18
01-Jul-20,5:30:00 AM,9.42,9.84
01-Jul-20,6:00:00 AM,10.39,10.74
01-Jul-20,6:30:00 AM,11.17,11.52
01-Jul-20,7:00:00 AM,11.80,12.15
01-Jul-20,7:30:00 AM,11.65,11.96
01-Jul-20,8:00:00 AM,10.67,11.02
01-Jul-20,8:30:00 AM,8.93,9.33
01-Jul-20,9:00:00 AM,7.48,7.93
01-Jul-20,9:30:00 AM,5.22,5.78
01-Jul-20,10:00:00 AM,4.10,4.74
01-Jul-20,10:30:00 AM,3.68,4.32
01-Jul-20,11:00:00 AM,4.68,5.23
01-Jul-20,11:30:00 AM,5.15,5.66
01-Jul-20,12:00:00 PM,5.08,5.61
01-Jul-20,12:30:00 PM,4.65,5.23
01-Jul-20,1:00:00 PM,6.39,6.87
01-Jul-20,1:30:00 PM,7.08,7.53
01-Jul-20,2:00:00 PM,5.60,6.12
01-Jul-20,2:30:00 PM,7.57,8.04
01-Jul-20,3:00:00 PM,7.77,8.20
01-Jul-20,3:30:00 PM,8.90,9.29
01-Jul-20,4:00:00 PM,11.19,11.52
01-Jul-20,4:30:00 PM,13.20,13.50
01-Jul-20,5:00:00 PM,15.86,16.09
01-Jul-20,5:30:00 PM,17.74,17.89
01-Jul-20,6:00:00 PM,18.31,18.46
01-Jul-20,6:30:00 PM,18.48,18.64
01-Jul-20,7:00:00 PM,17.93,18.10
01-Jul-20,7:30:00 PM,17.25,17.44
01-Jul-20,8:00:00 PM,17.04,17.23
01-Jul-20,8:30:00 PM,16.08,16.28
01-Jul-20,9:00:00 PM,14.91,15.15
01-Jul-20,9:30:00 PM,13.70,13.97
01-Jul-20,10:00:00 PM,12.52,12.85
01-Jul-20,10:30:00 PM,11.83,12.19
01-Jul-20,11:00:00 PM,10.71,11.08
01-Jul-20,11:30:00 PM,9.70,10.15
02-Jul-20,12:00:00 AM,9.04,9.53
02-Jul-20,12:30:00 AM,8.53,9.03
02-Jul-20,1:00:00 AM,8.29,8.81
02-Jul-20,1:30:00 AM,8.04,8.58
02-Jul-20,2:00:00 AM,7.84,8.40
02-Jul-20,2:30:00 AM,7.71,8.28
02-Jul-20,3:00:00 AM,7.84,8.39
02-Jul-20,3:30:00 AM,7.86,8.42
02-Jul-20,4:00:00 AM,8.08,8.62
02-Jul-20,4:30:00 AM,8.54,9.05
02-Jul-20,5:00:00 AM,9.22,9.69
02-Jul-20,5:30:00 AM,10.21,10.61
02-Jul-20,6:00:00 AM,11.40,11.73
02-Jul-20,6:30:00 AM,12.18,12.50
02-Jul-20,7:00:00 AM,12.32,12.63
02-Jul-20,7:30:00 AM,11.85,12.14
02-Jul-20,8:00:00 AM,11.68,11.97
02-Jul-20,8:30:00 AM,10.96,11.28
02-Jul-20,9:00:00 AM,7.23,7.67
02-Jul-20,9:30:00 AM,5.34,5.86
02-Jul-20,10:00:00 AM,4.49,5.07
02-Jul-20,10:30:00 AM,3.37,4.06
02-Jul-20,11:00:00 AM,4.46,5.02
02-Jul-20,11:30:00 AM,4.65,5.17
02-Jul-20,12:00:00 PM,3.65,4.30
02-Jul-20,12:30:00 PM,3.47,4.15
02-Jul-20,1:00:00 PM,3.00,3.71
02-Jul-20,1:30:00 PM,4.77,5.33
02-Jul-20,2:00:00 PM,5.07,5.61
02-Jul-20,2:30:00 PM,5.66,6.18
02-Jul-20,3:00:00 PM,6.99,7.44
02-Jul-20,3:30:00 PM,8.51,8.90
02-Jul-20,4:00:00 PM,10.48,10.83
02-Jul-20,4:30:00 PM,12.69,13.00
02-Jul-20,5:00:00 PM,15.15,15.38
02-Jul-20,5:30:00 PM,17.39,17.53
02-Jul-20,6:00:00 PM,18.05,18.20
02-Jul-20,6:30:00 PM,17.94,18.09
02-Jul-20,7:00:00 PM,17.36,17.53
02-Jul-20,7:30:00 PM,17.18,17.36
02-Jul-20,8:00:00 PM,16.89,17.07
02-Jul-20,8:30:00 PM,15.95,16.17
02-Jul-20,9:00:00 PM,14.74,14.98
02-Jul-20,9:30:00 PM,13.63,13.91
02-Jul-20,10:00:00 PM,12.68,13.00
02-Jul-20,10:30:00 PM,11.86,12.21
02-Jul-20,11:00:00 PM,10.68,11.08
02-Jul-20,11:30:00 PM,9.78,10.21
03-Jul-20,12:00:00 AM,8.98,9.46
03-Jul-20,12:30:00 AM,8.42,8.95
03-Jul-20,1:00:00 AM,8.14,8.68
03-Jul-20,1:30:00 AM,7.91,8.46
03-Jul-20,2:00:00 AM,7.79,8.36
03-Jul-20,2:30:00 AM,7.45,8.06
03-Jul-20,3:00:00 AM,7.53,8.14
03-Jul-20,3:30:00 AM,7.41,8.04
03-Jul-20,4:00:00 AM,7.70,8.29
03-Jul-20,4:30:00 AM,8.20,8.75
03-Jul-20,5:00:00 AM,9.11,9.58
03-Jul-20,5:30:00 AM,9.92,10.34
03-Jul-20,6:00:00 AM,10.99,11.34
03-Jul-20,6:30:00 AM,11.97,12.32
03-Jul-20,7:00:00 AM,12.22,12.54
03-Jul-20,7:30:00 AM,11.87,12.17
03-Jul-20,8:00:00 AM,10.24,10.56
03-Jul-20,8:30:00 AM,8.52,8.87
03-Jul-20,9:00:00 AM,6.80,7.22
03-Jul-20,9:30:00 AM,5.48,5.97
03-Jul-20,10:00:00 AM,4.25,4.85
03-Jul-20,10:30:00 AM,3.43,4.07
03-Jul-20,11:00:00 AM,2.94,3.68
03-Jul-20,11:30:00 AM,2.61,3.39
03-Jul-20,12:00:00 PM,2.52,3.33
03-Jul-20,12:30:00 PM,2.62,3.43
03-Jul-20,1:00:00 PM,3.07,3.78
03-Jul-20,1:30:00 PM,3.46,4.14
03-Jul-20,2:00:00 PM,4.39,5.02
03-Jul-20,2:30:00 PM,5.46,5.99
03-Jul-20,3:00:00 PM,6.89,7.33
03-Jul-20,3:30:00 PM,9.09,9.47
03-Jul-20,4:00:00 PM,10.49,10.84
03-Jul-20,4:30:00 PM,12.34,12.65
03-Jul-20,5:00:00 PM,14.22,14.49
03-Jul-20,5:30:00 PM,16.02,16.21
03-Jul-20,6:00:00 PM,16.25,16.44
03-Jul-20,6:30:00 PM,16.36,16.56
03-Jul-20,7:00:00 PM,15.94,16.15
03-Jul-20,7:30:00 PM,15.38,15.61
03-Jul-20,8:00:00 PM,15.14,15.38
03-Jul-20,8:30:00 PM,14.41,14.67
03-Jul-20,9:00:00 PM,13.50,13.79
03-Jul-20,9:30:00 PM,12.52,12.87
03-Jul-20,10:00:00 PM,11.76,12.13
03-Jul-20,10:30:00 PM,11.21,11.61
03-Jul-20,11:00:00 PM,10.31,10.75
03-Jul-20,11:30:00 PM,9.30,9.79
04-Jul-20,12:00:00 AM,8.70,9.21
04-Jul-20,12:30:00 AM,8.25,8.79
04-Jul-20,1:00:00 AM,7.80,8.39
