Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,11.86,11.89
01-Jul-20,12:30:00 AM,11.29,11.30
01-Jul-20,1:00:00 AM,10.97,10.98
01-Jul-20,1:30:00 AM,10.84,10.86
01-Jul-20,2:00:00 AM,10.83,10.85
01-Jul-20,2:30:00 AM,10.80,10.82
01-Jul-20,3:00:00 AM,10.80,10.82
01-Jul-20,3:30:00 AM,10.95,10.97
01-Jul-20,4:00:00 AM,11.41,11.44
01-Jul-20,4:30:00 AM,11.58,11.61
01-Jul-20,5:00:00 AM,12.52,12.57
01-Jul-20,5:30:00 AM,13.53,13.60
01-Jul-20,6:00:00 AM,14.67,14.75
01-Jul-20,6:30:00 AM,15.40,15.47
01-Jul-20,7:00:00 AM,16.18,16.26
01-Jul-20,7:30:00 AM,16.55,16.64
01-Jul-20,8:00:00 AM,16.30,16.40
01-Jul-20,8:30:00 AM,15.27,15.40
01-Jul-20,9:00:00 AM,14.75,14.86
01-Jul-20,9:30:00 AM,14.07,14.21
01-Jul-20,10:00:00 AM,13.99,14.16
01-Jul-20,10:30:00 AM,13.71,13.89
01-Jul-20,11:00:00 AM,13.50,13.70
01-Jul-20,11:30:00 AM,13.67,13.90
01-Jul-20,12:00:00 PM,13.40,13.61
01-Jul-20,12:30:00 PM,13.46,13.64
01-Jul-20,1:00:00 PM,13.82,14.01
01-Jul-20,1:30:00 PM,14.12,14.30
01-Jul-20,2:00:00 PM,14.66,14.82
01-Jul-20,2:30:00 PM,15.06,15.20
01-Jul-20,3:00:00 PM,14.91,15.03
01-Jul-20,3:30:00 PM,14.96,15.07
01-Jul-20,4:00:00 PM,15.33,15.42
01-Jul-20,4:30:00 PM,16.00,16.10
01-Jul-20,5:00:00 PM,16.73,16.82
01-Jul-20,5:30:00 PM,17.31,17.40
01-Jul-20,6:00:00 PM,16.84,16.91
01-Jul-20,6:30:00 PM,17.21,17.28
01-Jul-20,7:00:00 PM,16.90,16.97
01-Jul-20,7:30:00 PM,16.71,16.78
01-Jul-20,8:00:00 PM,16.59,16.64
01-Jul-20,8:30:00 PM,16.14,16.19
01-Jul-20,9:00:00 PM,15.44,15.48
01-Jul-20,9:30:00 PM,14.98,15.02
01-Jul-20,10:00:00 PM,14.05,14.08
01-Jul-20,10:30:00 PM,13.58,13.62
01-Jul-20,11:00:00 PM,12.67,12.70
01-Jul-20,11:30:00 PM,12.17,12.19
02-Jul-20,12:00:00 AM,11.48,11.50
02-Jul-20,12:30:00 AM,10.99,11.00
02-Jul-20,1:00:00 AM,10.90,10.91
02-Jul-20,1:30:00 AM,10.71,10.73
02-Jul-20,2:00:00 AM,10.72,10.74
02-Jul-20,2:30:00 AM,10.60,10.62
02-Jul-20,3:00:00 AM,10.76,10.78
02-Jul-20,3:30:00 AM,10.77,10.78
02-Jul-20,4:00:00 AM,11.17,11.19
02-Jul-20,4:30:00 AM,11.64,11.67
02-Jul-20,5:00:00 AM,12.65,12.70
02-Jul-20,5:30:00 AM,13.69,13.78
02-Jul-20,6:00:00 AM,14.89,14.97
02-Jul-20,6:30:00 AM,15.70,15.78
02-Jul-20,7:00:00 AM,16.15,16.23
02-Jul-20,7:30:00 AM,16.14,16.23
02-Jul-20,8:00:00 AM,15.78,15.88
02-Jul-20,8:30:00 AM,15.60,15.72
02-Jul-20,9:00:00 AM,15.42,15.53
02-Jul-20,9:30:00 AM,14.58,14.70
02-Jul-20,10:00:00 AM,14.80,14.93
02-Jul-20,10:30:00 AM,14.50,14.64
02-Jul-20,11:00:00 AM,14.28,14.46
02-Jul-20,11:30:00 AM,13.85,14.06
02-Jul-20,12:00:00 PM,14.38,14.56
02-Jul-20,12:30:00 PM,13.82,14.03
02-Jul-20,1:00:00 PM,14.21,14.42
02-Jul-20,1:30:00 PM,14.46,14.72
02-Jul-20,2:00:00 PM,14.08,14.32
02-Jul-20,2:30:00 PM,14.43,14.61
02-Jul-20,3:00:00 PM,14.67,14.83
02-Jul-20,3:30:00 PM,15.14,15.28
02-Jul-20,4:00:00 PM,15.65,15.77
02-Jul-20,4:30:00 PM,16.19,16.31
02-Jul-20,5:00:00 PM,16.79,16.89
02-Jul-20,5:30:00 PM,17.22,17.31
02-Jul-20,6:00:00 PM,17.05,17.13
02-Jul-20,6:30:00 PM,17.09,17.16
02-Jul-20,7:00:00 PM,16.95,17.02
02-Jul-20,7:30:00 PM,16.83,16.89
02-Jul-20,8:00:00 PM,16.82,16.88
02-Jul-20,8:30:00 PM,16.13,16.19
02-Jul-20,9:00:00 PM,15.45,15.49
02-Jul-20,9:30:00 PM,14.98,15.02
02-Jul-20,10:00:00 PM,14.53,14.58
02-Jul-20,10:30:00 PM,13.69,13.73
02-Jul-20,11:00:00 PM,13.01,13.04
02-Jul-20,11:30:00 PM,12.59,12.62
03-Jul-20,12:00:00 AM,11.84,11.86
03-Jul-20,12:30:00 AM,11.72,11.75
03-Jul-20,1:00:00 AM,11.05,11.07
03-Jul-20,1:30:00 AM,10.93,10.94
03-Jul-20,2:00:00 AM,10.80,10.81
03-Jul-20,2:30:00 AM,10.74,10.75
03-Jul-20,3:00:00 AM,10.80,10.81
03-Jul-20,3:30:00 AM,11.00,11.02
03-Jul-20,4:00:00 AM,11.31,11.33
03-Jul-20,4:30:00 AM,12.01,12.05
03-Jul-20,5:00:00 AM,12.67,12.72
03-Jul-20,5:30:00 AM,13.65,13.72
03-Jul-20,6:00:00 AM,14.71,14.79
03-Jul-20,6:30:00 AM,15.54,15.61
03-Jul-20,7:00:00 AM,15.95,16.04
03-Jul-20,7:30:00 AM,15.87,15.96
03-Jul-20,8:00:00 AM,15.66,15.76
03-Jul-20,8:30:00 AM,15.25,15.36
03-Jul-20,9:00:00 AM,14.79,14.90
03-Jul-20,9:30:00 AM,14.20,14.34
03-Jul-20,10:00:00 AM,14.01,14.16
