Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,8.06,8.19
01-Jul-20,12:30:00 AM,7.46,7.62
01-Jul-20,1:00:00 AM,7.10,7.26
01-Jul-20,1:30:00 AM,6.57,6.73
01-Jul-20,2:00:00 AM,6.35,6.53
01-Jul-20,2:30:00 AM,6.09,6.28
01-Jul-20,3:00:00 AM,6.12,6.31
01-Jul-20,3:30:00 AM,6.23,6.41
01-Jul-20,4:00:00 AM,6.60,6.77
01-Jul-20,4:30:00 AM,7.01,7.16
01-Jul-20,5:00:00 AM,7.66,7.78
01-Jul-20,5:30:00 AM,8.36,8.46
01-Jul-20,6:00:00 AM,9.08,9.17
01-Jul-20,6:30:00 AM,9.82,9.93
01-Jul-20,7:00:00 AM,10.58,10.68
01-Jul-20,7:30:00 AM,10.86,10.95
01-Jul-20,8:00:00 AM,10.46,10.55
01-Jul-20,8:30:00 AM,7.90,8.02
01-Jul-20,9:00:00 AM,6.53,6.66
01-Jul-20,9:30:00 AM,5.24,5.40
01-Jul-20,10:00:00 AM,4.21,4.43
01-Jul-20,10:30:00 AM,3.64,3.88
01-Jul-20,11:00:00 AM,3.89,4.15
01-Jul-20,11:30:00 AM,3.72,3.97
01-Jul-20,12:00:00 PM,2.90,3.18
01-Jul-20,12:30:00 PM,2.53,2.80
01-Jul-20,1:00:00 PM,2.99,3.23
01-Jul-20,1:30:00 PM,2.89,3.15
01-Jul-20,2:00:00 PM,3.31,3.56
01-Jul-20,2:30:00 PM,3.90,4.12
01-Jul-20,3:00:00 PM,4.83,5.02
01-Jul-20,3:30:00 PM,6.08,6.24
01-Jul-20,4:00:00 PM,7.72,7.85
01-Jul-20,4:30:00 PM,9.84,9.95
01-Jul-20,5:00:00 PM,11.85,11.91
01-Jul-20,5:30:00 PM,13.62,13.65
01-Jul-20,6:00:00 PM,14.17,14.20
01-Jul-20,6:30:00 PM,14.16,14.19
01-Jul-20,7:00:00 PM,14.20,14.23
01-Jul-20,7:30:00 PM,14.15,14.19
01-Jul-20,8:00:00 PM,14.18,14.22
01-Jul-20,8:30:00 PM,13.72,13.76
01-Jul-20,9:00:00 PM,12.84,12.89
01-Jul-20,9:30:00 PM,11.98,12.04
01-Jul-20,10:00:00 PM,10.93,11.02
01-Jul-20,10:30:00 PM,10.52,10.62
01-Jul-20,11:00:00 PM,9.62,9.73
01-Jul-20,11:30:00 PM,8.63,8.75
02-Jul-20,12:00:00 AM,7.70,7.84
02-Jul-20,12:30:00 AM,7.11,7.27
02-Jul-20,1:00:00 AM,6.69,6.86
02-Jul-20,1:30:00 AM,6.43,6.61
02-Jul-20,2:00:00 AM,6.03,6.21
02-Jul-20,2:30:00 AM,5.90,6.08
02-Jul-20,3:00:00 AM,5.80,5.99
02-Jul-20,3:30:00 AM,5.96,6.15
02-Jul-20,4:00:00 AM,6.25,6.42
02-Jul-20,4:30:00 AM,6.64,6.80
02-Jul-20,5:00:00 AM,7.30,7.43
02-Jul-20,5:30:00 AM,7.84,7.95
02-Jul-20,6:00:00 AM,8.69,8.79
02-Jul-20,6:30:00 AM,9.09,9.21
02-Jul-20,7:00:00 AM,9.34,9.47
02-Jul-20,7:30:00 AM,9.52,9.64
02-Jul-20,8:00:00 AM,9.29,9.40
02-Jul-20,8:30:00 AM,9.11,9.21
02-Jul-20,9:00:00 AM,8.57,8.67
02-Jul-20,9:30:00 AM,6.59,6.72
02-Jul-20,10:00:00 AM,4.27,4.45
02-Jul-20,10:30:00 AM,4.00,4.20
02-Jul-20,11:00:00 AM,4.12,4.32
02-Jul-20,11:30:00 AM,3.35,3.59
02-Jul-20,12:00:00 PM,3.17,3.40
02-Jul-20,12:30:00 PM,2.45,2.73
02-Jul-20,1:00:00 PM,2.43,2.69
02-Jul-20,1:30:00 PM,3.15,3.36
02-Jul-20,2:00:00 PM,4.22,4.38
02-Jul-20,2:30:00 PM,4.67,4.83
02-Jul-20,3:00:00 PM,5.69,5.84
02-Jul-20,3:30:00 PM,6.81,6.90
02-Jul-20,4:00:00 PM,8.36,8.43
02-Jul-20,4:30:00 PM,10.08,10.14
02-Jul-20,5:00:00 PM,11.97,12.03
02-Jul-20,5:30:00 PM,13.59,13.61
02-Jul-20,6:00:00 PM,13.98,14.00
02-Jul-20,6:30:00 PM,14.25,14.26
02-Jul-20,7:00:00 PM,13.85,13.88
02-Jul-20,7:30:00 PM,13.75,13.79
02-Jul-20,8:00:00 PM,13.56,13.59
02-Jul-20,8:30:00 PM,12.93,12.98
02-Jul-20,9:00:00 PM,12.49,12.54
02-Jul-20,9:30:00 PM,11.97,12.01
02-Jul-20,10:00:00 PM,10.75,10.81
02-Jul-20,10:30:00 PM,10.15,10.25
02-Jul-20,11:00:00 PM,9.24,9.35
02-Jul-20,11:30:00 PM,8.23,8.36
03-Jul-20,12:00:00 AM,7.40,7.55
03-Jul-20,12:30:00 AM,6.91,7.07
03-Jul-20,1:00:00 AM,6.45,6.62
03-Jul-20,1:30:00 AM,6.01,6.21
03-Jul-20,2:00:00 AM,5.74,5.94
03-Jul-20,2:30:00 AM,5.56,5.76
03-Jul-20,3:00:00 AM,5.50,5.69
03-Jul-20,3:30:00 AM,5.60,5.80
03-Jul-20,4:00:00 AM,5.74,5.94
03-Jul-20,4:30:00 AM,6.13,6.32
03-Jul-20,5:00:00 AM,6.78,6.91
03-Jul-20,5:30:00 AM,7.16,7.28
03-Jul-20,6:00:00 AM,8.32,8.41
03-Jul-20,6:30:00 AM,8.99,9.10
03-Jul-20,7:00:00 AM,9.57,9.68
03-Jul-20,7:30:00 AM,9.26,9.37
03-Jul-20,8:00:00 AM,8.43,8.54
03-Jul-20,8:30:00 AM,7.57,7.68
03-Jul-20,9:00:00 AM,6.25,6.37
03-Jul-20,9:30:00 AM,4.85,5.00
03-Jul-20,10:00:00 AM,3.84,4.03
03-Jul-20,10:30:00 AM,3.25,3.46
03-Jul-20,11:00:00 AM,2.52,2.77
03-Jul-20,11:30:00 AM,2.32,2.56
03-Jul-20,12:00:00 PM,2.17,2.44
03-Jul-20,12:30:00 PM,2.05,2.34
03-Jul-20,1:00:00 PM,2.16,2.44
03-Jul-20,1:30:00 PM,2.64,2.87
03-Jul-20,2:00:00 PM,3.34,3.54
03-Jul-20,2:30:00 PM,4.07,4.22
03-Jul-20,3:00:00 PM,4.91,5.06
03-Jul-20,3:30:00 PM,6.11,6.25
03-Jul-20,4:00:00 PM,7.42,7.54
03-Jul-20,4:30:00 PM,9.06,9.18
03-Jul-20,5:00:00 PM,10.53,10.62
03-Jul-20,5:30:00 PM,11.70,11.74
03-Jul-20,6:00:00 PM,12.08,12.12
03-Jul-20,6:30:00 PM,12.23,12.28
03-Jul-20,7:00:00 PM,11.81,11.85
03-Jul-20,7:30:00 PM,11.89,11.94
03-Jul-20,8:00:00 PM,11.93,11.98
03-Jul-20,8:30:00 PM,11.49,11.55
03-Jul-20,9:00:00 PM,10.85,10.92
03-Jul-20,9:30:00 PM,10.22,10.31
03-Jul-20,10:00:00 PM,9.74,9.83
03-Jul-20,10:30:00 PM,9.61,9.71
03-Jul-20,11:00:00 PM,9.04,9.14
03-Jul-20,11:30:00 PM,8.10,8.23
04-Jul-20,12:00:00 AM,7.21,7.36
04-Jul-20,12:30:00 AM,6.67,6.83
04-Jul-20,1:00:00 AM,6.25,6.43
04-Jul-20,1:30:00 AM,5.86,6.04
04-Jul-20,2:00:00 AM,5.57,5.77
04-Jul-20,2:30:00 AM,5.34,5.54
04-Jul-20,3:00:00 AM,5.34,5.54
04-Jul-20,3:30:00 AM,5.19,5.39
04-Jul-20,4:00:00 AM,5.37,5.57
04-Jul-20,4:30:00 AM,5.54,5.73
04-Jul-20,5:00:00 AM,5.67,5.84
04-Jul-20,5:30:00 AM,6.05,6.22
04-Jul-20,6:00:00 AM,6.40,6.56
04-Jul-20,6:30:00 AM,6.71,6.91
04-Jul-20,7:00:00 AM,7.33,7.51
04-Jul-20,7:30:00 AM,7.16,7.34
04-Jul-20,8:00:00 AM,7.08,7.23
04-Jul-20,8:30:00 AM,6.35,6.50
04-Jul-20,9:00:00 AM,5.51,5.67
04-Jul-20,9:30:00 AM,4.72,4.89
04-Jul-20,10:00:00 AM,4.10,4.27
04-Jul-20,10:30:00 AM,3.50,3.68
04-Jul-20,11:00:00 AM,3.13,3.33
04-Jul-20,11:30:00 AM,2.80,3.02
04-Jul-20,12:00:00 PM,2.53,2.77
04-Jul-20,12:30:00 PM,2.48,2.72
04-Jul-20,1:00:00 PM,2.62,2.87
04-Jul-20,1:30:00 PM,3.02,3.27
04-Jul-20,2:00:00 PM,3.64,3.86
04-Jul-20,2:30:00 PM,4.30,4.51
04-Jul-20,3:00:00 PM,5.27,5.47
04-Jul-20,3:30:00 PM,6.32,6.48
04-Jul-20,4:00:00 PM,7.94,8.08
04-Jul-20,4:30:00 PM,9.84,9.95
04-Jul-20,5:00:00 PM,11.50,11.59
04-Jul-20,5:30:00 PM,13.11,13.15
04-Jul-20,6:00:00 PM,13.82,13.85
04-Jul-20,6:30:00 PM,14.00,14.03
04-Jul-20,7:00:00 PM,13.87,13.90
04-Jul-20,7:30:00 PM,13.70,13.73
04-Jul-20,8:00:00 PM,14.00,14.04
04-Jul-20,8:30:00 PM,13.72,13.75
04-Jul-20,9:00:00 PM,13.21,13.25
04-Jul-20,9:30:00 PM,12.74,12.79
04-Jul-20,10:00:00 PM,12.30,12.36
04-Jul-20,10:30:00 PM,12.06,12.12
04-Jul-20,11:00:00 PM,11.16,11.23
04-Jul-20,11:30:00 PM,10.18,10.27
05-Jul-20,12:00:00 AM,9.30,9.41
05-Jul-20,12:30:00 AM,8.73,8.85
05-Jul-20,1:00:00 AM,8.14,8.27
05-Jul-20,1:30:00 AM,7.64,7.78
05-Jul-20,2:00:00 AM,7.26,7.41
05-Jul-20,2:30:00 AM,7.13,7.27
05-Jul-20,3:00:00 AM,6.92,7.08
05-Jul-20,3:30:00 AM,6.97,7.12
05-Jul-20,4:00:00 AM,6.92,7.07
05-Jul-20,4:30:00 AM,7.08,7.22
05-Jul-20,5:00:00 AM,7.33,7.47
05-Jul-20,5:30:00 AM,7.85,7.97
05-Jul-20,6:00:00 AM,8.26,8.38
05-Jul-20,6:30:00 AM,8.92,9.07
05-Jul-20,7:00:00 AM,9.40,9.54
05-Jul-20,7:30:00 AM,9.53,9.64
05-Jul-20,8:00:00 AM,9.50,9.59
05-Jul-20,8:30:00 AM,9.02,9.10
05-Jul-20,9:00:00 AM,8.12,8.21
05-Jul-20,9:30:00 AM,7.27,7.36
05-Jul-20,10:00:00 AM,6.16,6.28
05-Jul-20,10:30:00 AM,5.31,5.44
05-Jul-20,11:00:00 AM,4.60,4.75
05-Jul-20,11:30:00 AM,4.46,4.63
05-Jul-20,12:00:00 PM,6.22,6.37
05-Jul-20,12:30:00 PM,5.83,5.98
05-Jul-20,1:00:00 PM,4.17,4.36
05-Jul-20,1:30:00 PM,4.83,5.00
05-Jul-20,2:00:00 PM,6.03,6.20
05-Jul-20,2:30:00 PM,6.54,6.71
05-Jul-20,3:00:00 PM,7.89,8.03
05-Jul-20,3:30:00 PM,8.31,8.44
05-Jul-20,4:00:00 PM,9.49,9.60
05-Jul-20,4:30:00 PM,11.31,11.40
05-Jul-20,5:00:00 PM,13.75,13.80
05-Jul-20,5:30:00 PM,15.60,15.62
05-Jul-20,6:00:00 PM,16.35,16.37
05-Jul-20,6:30:00 PM,16.66,16.68
05-Jul-20,7:00:00 PM,16.53,16.55
05-Jul-20,7:30:00 PM,16.54,16.56
05-Jul-20,8:00:00 PM,16.66,16.68
05-Jul-20,8:30:00 PM,16.01,16.04
05-Jul-20,9:00:00 PM,15.13,15.16
05-Jul-20,9:30:00 PM,14.26,14.30
05-Jul-20,10:00:00 PM,13.21,13.26
05-Jul-20,10:30:00 PM,12.63,12.69
05-Jul-20,11:00:00 PM,11.50,11.57
05-Jul-20,11:30:00 PM,10.37,10.45
06-Jul-20,12:00:00 AM,9.34,9.45
06-Jul-20,12:30:00 AM,8.78,8.89
06-Jul-20,1:00:00 AM,8.28,8.41
06-Jul-20,1:30:00 AM,7.71,7.84
06-Jul-20,2:00:00 AM,7.36,7.49
06-Jul-20,2:30:00 AM,7.25,7.39
06-Jul-20,3:00:00 AM,7.32,7.45
06-Jul-20,3:30:00 AM,7.30,7.44
06-Jul-20,4:00:00 AM,7.61,7.74
06-Jul-20,4:30:00 AM,8.08,8.19
06-Jul-20,5:00:00 AM,8.78,8.88
06-Jul-20,5:30:00 AM,9.91,9.98
06-Jul-20,6:00:00 AM,11.19,11.24
06-Jul-20,6:30:00 AM,11.76,11.82
06-Jul-20,7:00:00 AM,11.89,11.95
06-Jul-20,7:30:00 AM,11.42,11.48
06-Jul-20,8:00:00 AM,11.13,11.19
06-Jul-20,8:30:00 AM,9.77,9.83
06-Jul-20,9:00:00 AM,8.58,8.65
06-Jul-20,9:30:00 AM,7.27,7.35
06-Jul-20,10:00:00 AM,6.06,6.16
06-Jul-20,10:30:00 AM,4.96,5.07
06-Jul-20,11:00:00 AM,4.55,4.66
06-Jul-20,11:30:00 AM,3.74,3.86
06-Jul-20,12:00:00 PM,3.64,3.74
06-Jul-20,12:30:00 PM,3.51,3.64
06-Jul-20,1:00:00 PM,3.49,3.65
06-Jul-20,1:30:00 PM,3.62,3.79
06-Jul-20,2:00:00 PM,4.19,4.34
06-Jul-20,2:30:00 PM,4.65,4.82
06-Jul-20,3:00:00 PM,5.64,5.80
06-Jul-20,3:30:00 PM,7.02,7.16
06-Jul-20,4:00:00 PM,8.77,8.87
06-Jul-20,4:30:00 PM,10.80,10.89
06-Jul-20,5:00:00 PM,13.15,13.20
06-Jul-20,5:30:00 PM,15.23,15.24
06-Jul-20,6:00:00 PM,15.94,15.95
06-Jul-20,6:30:00 PM,16.43,16.44
06-Jul-20,7:00:00 PM,16.26,16.28
06-Jul-20,7:30:00 PM,16.25,16.27
06-Jul-20,8:00:00 PM,16.42,16.44
06-Jul-20,8:30:00 PM,16.03,16.05
06-Jul-20,9:00:00 PM,15.07,15.10
06-Jul-20,9:30:00 PM,14.17,14.20
06-Jul-20,10:00:00 PM,12.84,12.88
06-Jul-20,10:30:00 PM,12.12,12.19
06-Jul-20,11:00:00 PM,11.03,11.11
06-Jul-20,11:30:00 PM,9.82,9.92
07-Jul-20,12:00:00 AM,9.03,9.14
07-Jul-20,12:30:00 AM,8.42,8.54
07-Jul-20,1:00:00 AM,7.94,8.08
07-Jul-20,1:30:00 AM,7.32,7.47
07-Jul-20,2:00:00 AM,6.93,7.10
07-Jul-20,2:30:00 AM,6.86,7.03
07-Jul-20,3:00:00 AM,6.92,7.08
07-Jul-20,3:30:00 AM,7.08,7.23
07-Jul-20,4:00:00 AM,7.37,7.52
07-Jul-20,4:30:00 AM,7.79,7.92
07-Jul-20,5:00:00 AM,8.58,8.69
07-Jul-20,5:30:00 AM,9.44,9.53
07-Jul-20,6:00:00 AM,10.48,10.54
07-Jul-20,6:30:00 AM,11.11,11.19
07-Jul-20,7:00:00 AM,11.83,11.90
07-Jul-20,7:30:00 AM,11.33,11.39
07-Jul-20,8:00:00 AM,10.65,10.70
07-Jul-20,8:30:00 AM,9.29,9.32
07-Jul-20,9:00:00 AM,7.58,7.67
07-Jul-20,9:30:00 AM,6.51,6.61
07-Jul-20,10:00:00 AM,5.39,5.50
07-Jul-20,10:30:00 AM,4.53,4.67
07-Jul-20,11:00:00 AM,3.81,3.97
07-Jul-20,11:30:00 AM,3.37,3.54
07-Jul-20,12:00:00 PM,3.03,3.24
07-Jul-20,12:30:00 PM,2.82,3.03
07-Jul-20,1:00:00 PM,3.12,3.33
07-Jul-20,1:30:00 PM,3.38,3.58
07-Jul-20,2:00:00 PM,4.14,4.29
07-Jul-20,2:30:00 PM,4.87,5.01
07-Jul-20,3:00:00 PM,5.90,6.04
07-Jul-20,3:30:00 PM,7.02,7.15
07-Jul-20,4:00:00 PM,8.52,8.59
07-Jul-20,4:30:00 PM,10.24,10.29
07-Jul-20,5:00:00 PM,12.51,12.57
07-Jul-20,5:30:00 PM,14.46,14.48
07-Jul-20,6:00:00 PM,15.16,15.17
07-Jul-20,6:30:00 PM,15.70,15.71
07-Jul-20,7:00:00 PM,15.64,15.66
07-Jul-20,7:30:00 PM,15.12,15.15
07-Jul-20,8:00:00 PM,15.04,15.07
07-Jul-20,8:30:00 PM,14.66,14.69
07-Jul-20,9:00:00 PM,14.10,14.13
07-Jul-20,9:30:00 PM,13.43,13.47
07-Jul-20,10:00:00 PM,11.96,12.03
07-Jul-20,10:30:00 PM,11.42,11.49
07-Jul-20,11:00:00 PM,10.37,10.46
07-Jul-20,11:30:00 PM,9.16,9.27
08-Jul-20,12:00:00 AM,8.11,8.25
08-Jul-20,12:30:00 AM,7.49,7.64
08-Jul-20,1:00:00 AM,7.12,7.28
08-Jul-20,1:30:00 AM,6.68,6.83
08-Jul-20,2:00:00 AM,6.43,6.61
08-Jul-20,2:30:00 AM,6.27,6.45
08-Jul-20,3:00:00 AM,6.30,6.47
08-Jul-20,3:30:00 AM,6.45,6.62
08-Jul-20,4:00:00 AM,6.75,6.91
08-Jul-20,4:30:00 AM,7.16,7.30
08-Jul-20,5:00:00 AM,7.94,8.06
08-Jul-20,5:30:00 AM,8.72,8.81
08-Jul-20,6:00:00 AM,10.01,10.07
08-Jul-20,6:30:00 AM,10.73,10.81
08-Jul-20,7:00:00 AM,11.03,11.11
08-Jul-20,7:30:00 AM,10.20,10.25
08-Jul-20,8:00:00 AM,9.04,9.13
08-Jul-20,8:30:00 AM,7.91,7.99
08-Jul-20,9:00:00 AM,6.62,6.72
08-Jul-20,9:30:00 AM,5.54,5.65
08-Jul-20,10:00:00 AM,4.34,4.48
08-Jul-20,10:30:00 AM,3.77,3.93
08-Jul-20,11:00:00 AM,3.17,3.34
08-Jul-20,11:30:00 AM,2.86,3.03
08-Jul-20,12:00:00 PM,2.60,2.72
08-Jul-20,12:30:00 PM,2.48,2.63
08-Jul-20,1:00:00 PM,2.58,2.81
08-Jul-20,1:30:00 PM,3.16,3.36
08-Jul-20,2:00:00 PM,3.81,3.97
08-Jul-20,2:30:00 PM,4.78,4.92
08-Jul-20,3:00:00 PM,5.46,5.60
08-Jul-20,3:30:00 PM,6.68,6.81
08-Jul-20,4:00:00 PM,8.31,8.41
08-Jul-20,4:30:00 PM,10.13,10.19
08-Jul-20,5:00:00 PM,12.06,12.10
08-Jul-20,5:30:00 PM,13.89,13.92
08-Jul-20,6:00:00 PM,14.46,14.48
08-Jul-20,6:30:00 PM,14.90,14.92
08-Jul-20,7:00:00 PM,14.52,14.53
08-Jul-20,7:30:00 PM,14.34,14.36
08-Jul-20,8:00:00 PM,14.11,14.14
08-Jul-20,8:30:00 PM,13.69,13.73
08-Jul-20,9:00:00 PM,13.08,13.11
08-Jul-20,9:30:00 PM,12.14,12.17
08-Jul-20,10:00:00 PM,10.77,10.85
08-Jul-20,10:30:00 PM,10.08,10.17
08-Jul-20,11:00:00 PM,9.38,9.49
08-Jul-20,11:30:00 PM,8.31,8.44
09-Jul-20,12:00:00 AM,7.34,7.49
09-Jul-20,12:30:00 AM,6.72,6.89
09-Jul-20,1:00:00 AM,6.34,6.53
09-Jul-20,1:30:00 AM,5.87,6.06
09-Jul-20,2:00:00 AM,5.63,5.81
09-Jul-20,2:30:00 AM,5.38,5.59
09-Jul-20,3:00:00 AM,5.30,5.50
09-Jul-20,3:30:00 AM,5.38,5.58
