Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,5.68,5.81
01-Jul-20,12:30:00 AM,5.16,5.31
01-Jul-20,1:00:00 AM,4.86,5.02
01-Jul-20,1:30:00 AM,4.52,4.69
01-Jul-20,2:00:00 AM,4.27,4.44
01-Jul-20,2:30:00 AM,4.18,4.37
01-Jul-20,3:00:00 AM,4.16,4.35
01-Jul-20,3:30:00 AM,4.13,4.32
01-Jul-20,4:00:00 AM,4.26,4.44
01-Jul-20,4:30:00 AM,4.67,4.82
01-Jul-20,5:00:00 AM,5.15,5.29
01-Jul-20,5:30:00 AM,5.75,5.87
01-Jul-20,6:00:00 AM,6.37,6.45
01-Jul-20,6:30:00 AM,7.06,7.16
01-Jul-20,7:00:00 AM,7.52,7.62
01-Jul-20,7:30:00 AM,7.35,7.45
01-Jul-20,8:00:00 AM,6.54,6.64
01-Jul-20,8:30:00 AM,4.71,4.83
01-Jul-20,9:00:00 AM,3.96,4.10
01-Jul-20,9:30:00 AM,2.16,2.33
01-Jul-20,10:00:00 AM,1.15,1.46
01-Jul-20,10:30:00 AM,0.49,0.93
01-Jul-20,11:00:00 AM,-0.05,0.76
01-Jul-20,11:30:00 AM,-0.55,0.90
01-Jul-20,12:00:00 PM,-0.47,0.87
01-Jul-20,12:30:00 PM,-0.21,0.84
01-Jul-20,1:00:00 PM,-0.05,0.77
01-Jul-20,1:30:00 PM,2.09,2.27
01-Jul-20,2:00:00 PM,1.63,1.86
01-Jul-20,2:30:00 PM,4.14,4.28
01-Jul-20,3:00:00 PM,4.33,4.47
01-Jul-20,3:30:00 PM,4.45,4.59
01-Jul-20,4:00:00 PM,6.26,6.37
01-Jul-20,4:30:00 PM,7.99,8.08
01-Jul-20,5:00:00 PM,9.47,9.52
01-Jul-20,5:30:00 PM,10.57,10.59
01-Jul-20,6:00:00 PM,10.68,10.70
01-Jul-20,6:30:00 PM,10.55,10.58
01-Jul-20,7:00:00 PM,10.24,10.28
01-Jul-20,7:30:00 PM,10.30,10.34
01-Jul-20,8:00:00 PM,10.28,10.32
01-Jul-20,8:30:00 PM,9.79,9.83
01-Jul-20,9:00:00 PM,9.24,9.30
01-Jul-20,9:30:00 PM,8.64,8.70
01-Jul-20,10:00:00 PM,8.24,8.31
01-Jul-20,10:30:00 PM,8.65,8.72
01-Jul-20,11:00:00 PM,7.75,7.83
