Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,7.11,7.12
01-Jul-20,12:30:00 AM,6.24,6.25
01-Jul-20,1:00:00 AM,6.58,6.59
01-Jul-20,1:30:00 AM,6.24,6.24
01-Jul-20,2:00:00 AM,5.50,5.50
01-Jul-20,2:30:00 AM,6.71,6.73
01-Jul-20,3:00:00 AM,6.59,6.61
01-Jul-20,3:30:00 AM,6.70,6.71
01-Jul-20,4:00:00 AM,6.76,6.77
01-Jul-20,4:30:00 AM,7.22,7.24
01-Jul-20,5:00:00 AM,7.60,7.61
01-Jul-20,5:30:00 AM,8.41,8.44
01-Jul-20,6:00:00 AM,10.13,10.21
01-Jul-20,6:30:00 AM,11.11,11.20
01-Jul-20,7:00:00 AM,12.46,12.57
01-Jul-20,7:30:00 AM,12.09,12.20
01-Jul-20,8:00:00 AM,12.72,12.88
01-Jul-20,8:30:00 AM,11.62,11.79
01-Jul-20,9:00:00 AM,11.83,12.05
01-Jul-20,9:30:00 AM,11.04,11.25
01-Jul-20,10:00:00 AM,10.68,10.96
01-Jul-20,10:30:00 AM,10.76,11.07
01-Jul-20,11:00:00 AM,9.89,10.21
01-Jul-20,11:30:00 AM,9.70,10.00
01-Jul-20,12:00:00 PM,10.47,10.78
01-Jul-20,12:30:00 PM,10.32,10.61
01-Jul-20,1:00:00 PM,10.39,10.72
01-Jul-20,1:30:00 PM,10.42,10.72
01-Jul-20,2:00:00 PM,9.64,9.88
01-Jul-20,2:30:00 PM,9.43,9.64
01-Jul-20,3:00:00 PM,9.16,9.34
01-Jul-20,3:30:00 PM,9.30,9.44
01-Jul-20,4:00:00 PM,9.44,9.56
01-Jul-20,4:30:00 PM,9.69,9.79
01-Jul-20,5:00:00 PM,10.05,10.12
01-Jul-20,5:30:00 PM,10.92,10.99
01-Jul-20,6:00:00 PM,11.02,11.07
01-Jul-20,6:30:00 PM,11.35,11.41
01-Jul-20,7:00:00 PM,10.85,10.91
01-Jul-20,7:30:00 PM,10.09,10.13
01-Jul-20,8:00:00 PM,10.86,10.91
01-Jul-20,8:30:00 PM,10.37,10.40
01-Jul-20,9:00:00 PM,10.04,10.07
01-Jul-20,9:30:00 PM,9.67,9.70
01-Jul-20,10:00:00 PM,8.24,8.25
01-Jul-20,10:30:00 PM,7.32,7.32
01-Jul-20,11:00:00 PM,7.32,7.32
01-Jul-20,11:30:00 PM,7.04,7.05
02-Jul-20,12:00:00 AM,7.03,7.04
02-Jul-20,12:30:00 AM,6.92,6.93
02-Jul-20,1:00:00 AM,6.43,6.43
02-Jul-20,1:30:00 AM,6.13,6.13
02-Jul-20,2:00:00 AM,5.72,5.72
02-Jul-20,2:30:00 AM,5.52,5.52
02-Jul-20,3:00:00 AM,5.95,5.95
02-Jul-20,3:30:00 AM,5.87,5.88
02-Jul-20,4:00:00 AM,6.30,6.31
02-Jul-20,4:30:00 AM,6.91,6.93
02-Jul-20,5:00:00 AM,7.93,7.95
02-Jul-20,5:30:00 AM,8.72,8.77
02-Jul-20,6:00:00 AM,10.00,10.10
02-Jul-20,6:30:00 AM,10.59,10.67
02-Jul-20,7:00:00 AM,11.63,11.73
02-Jul-20,7:30:00 AM,12.78,12.97
02-Jul-20,8:00:00 AM,12.61,12.81
02-Jul-20,8:30:00 AM,12.30,12.55
02-Jul-20,9:00:00 AM,11.83,12.07
02-Jul-20,9:30:00 AM,12.20,12.49
02-Jul-20,10:00:00 AM,11.38,11.67
02-Jul-20,10:30:00 AM,10.23,10.52
02-Jul-20,11:00:00 AM,10.63,10.94
02-Jul-20,11:30:00 AM,9.79,10.08
02-Jul-20,12:00:00 PM,10.41,10.75
02-Jul-20,12:30:00 PM,10.96,11.35
02-Jul-20,1:00:00 PM,10.92,11.35
02-Jul-20,1:30:00 PM,10.49,10.76
02-Jul-20,2:00:00 PM,9.82,10.07
02-Jul-20,2:30:00 PM,9.72,9.93
02-Jul-20,3:00:00 PM,9.97,10.16
02-Jul-20,3:30:00 PM,9.77,9.93
02-Jul-20,4:00:00 PM,9.45,9.56
02-Jul-20,4:30:00 PM,9.92,10.01
02-Jul-20,5:00:00 PM,9.75,9.78
02-Jul-20,5:30:00 PM,10.07,10.13
02-Jul-20,6:00:00 PM,10.26,10.30
02-Jul-20,6:30:00 PM,10.81,10.86
02-Jul-20,7:00:00 PM,10.80,10.86
02-Jul-20,7:30:00 PM,10.59,10.64
02-Jul-20,8:00:00 PM,10.26,10.30
02-Jul-20,8:30:00 PM,10.11,10.16
02-Jul-20,9:00:00 PM,9.77,9.82
02-Jul-20,9:30:00 PM,8.53,8.56
02-Jul-20,10:00:00 PM,8.02,8.04
02-Jul-20,10:30:00 PM,7.57,7.59
02-Jul-20,11:00:00 PM,7.58,7.60
02-Jul-20,11:30:00 PM,7.07,7.07
03-Jul-20,12:00:00 AM,7.27,7.28
03-Jul-20,12:30:00 AM,6.81,6.81
03-Jul-20,1:00:00 AM,6.72,6.73
03-Jul-20,1:30:00 AM,6.14,6.14
03-Jul-20,2:00:00 AM,5.82,5.82
03-Jul-20,2:30:00 AM,5.29,5.29
03-Jul-20,3:00:00 AM,5.66,5.66
03-Jul-20,3:30:00 AM,5.50,5.50
03-Jul-20,4:00:00 AM,5.66,5.66
03-Jul-20,4:30:00 AM,6.21,6.21
03-Jul-20,5:00:00 AM,6.59,6.60
03-Jul-20,5:30:00 AM,7.69,7.72
03-Jul-20,6:00:00 AM,8.04,8.08
03-Jul-20,6:30:00 AM,9.14,9.19
03-Jul-20,7:00:00 AM,10.14,10.21
03-Jul-20,7:30:00 AM,11.02,11.15
03-Jul-20,8:00:00 AM,11.10,11.24
03-Jul-20,8:30:00 AM,11.27,11.42
03-Jul-20,9:00:00 AM,10.70,10.89
03-Jul-20,9:30:00 AM,9.86,10.02
03-Jul-20,10:00:00 AM,9.11,9.30
03-Jul-20,10:30:00 AM,8.88,9.11
03-Jul-20,11:00:00 AM,8.94,9.21
03-Jul-20,11:30:00 AM,9.09,9.39
03-Jul-20,12:00:00 PM,8.34,8.57
03-Jul-20,12:30:00 PM,8.73,8.95
03-Jul-20,1:00:00 PM,8.59,8.77
03-Jul-20,1:30:00 PM,7.57,7.72
03-Jul-20,2:00:00 PM,7.64,7.81
03-Jul-20,2:30:00 PM,7.36,7.49
03-Jul-20,3:00:00 PM,7.49,7.59
03-Jul-20,3:30:00 PM,7.32,7.37
03-Jul-20,4:00:00 PM,7.60,7.63
03-Jul-20,4:30:00 PM,7.90,7.92
03-Jul-20,5:00:00 PM,8.37,8.39
03-Jul-20,5:30:00 PM,8.91,8.93
03-Jul-20,6:00:00 PM,8.29,8.30
03-Jul-20,6:30:00 PM,8.67,8.68
03-Jul-20,7:00:00 PM,8.37,8.38
03-Jul-20,7:30:00 PM,8.35,8.36
03-Jul-20,8:00:00 PM,8.06,8.06
03-Jul-20,8:30:00 PM,7.50,7.50
03-Jul-20,9:00:00 PM,7.34,7.34
03-Jul-20,9:30:00 PM,6.96,6.96
03-Jul-20,10:00:00 PM,6.72,6.72
03-Jul-20,10:30:00 PM,6.45,6.45
03-Jul-20,11:00:00 PM,6.21,6.21
03-Jul-20,11:30:00 PM,6.06,6.06
04-Jul-20,12:00:00 AM,5.50,5.50
04-Jul-20,12:30:00 AM,5.01,5.01
04-Jul-20,1:00:00 AM,4.82,4.83
04-Jul-20,1:30:00 AM,4.65,4.65
04-Jul-20,2:00:00 AM,4.56,4.57
04-Jul-20,2:30:00 AM,4.48,4.49
04-Jul-20,3:00:00 AM,4.50,4.51
04-Jul-20,3:30:00 AM,4.41,4.42
04-Jul-20,4:00:00 AM,4.47,4.48
04-Jul-20,4:30:00 AM,4.57,4.58
04-Jul-20,5:00:00 AM,4.74,4.74
04-Jul-20,5:30:00 AM,4.91,4.91
04-Jul-20,6:00:00 AM,5.19,5.20
04-Jul-20,6:30:00 AM,5.24,5.25
04-Jul-20,7:00:00 AM,5.56,5.57
04-Jul-20,7:30:00 AM,5.58,5.58
04-Jul-20,8:00:00 AM,5.68,5.68
04-Jul-20,8:30:00 AM,5.47,5.47
04-Jul-20,9:00:00 AM,5.34,5.34
04-Jul-20,9:30:00 AM,4.92,4.92
04-Jul-20,10:00:00 AM,4.57,4.57
04-Jul-20,10:30:00 AM,4.38,4.39
04-Jul-20,11:00:00 AM,4.07,4.07
04-Jul-20,11:30:00 AM,3.88,3.88
04-Jul-20,12:00:00 PM,3.78,3.79
04-Jul-20,12:30:00 PM,3.61,3.61
04-Jul-20,1:00:00 PM,3.61,3.61
04-Jul-20,1:30:00 PM,3.61,3.61
04-Jul-20,2:00:00 PM,3.80,3.80
04-Jul-20,2:30:00 PM,4.06,4.06
04-Jul-20,3:00:00 PM,4.31,4.32
04-Jul-20,3:30:00 PM,4.69,4.69
04-Jul-20,4:00:00 PM,5.16,5.17
04-Jul-20,4:30:00 PM,5.82,5.82
04-Jul-20,5:00:00 PM,6.36,6.37
04-Jul-20,5:30:00 PM,7.00,7.00
04-Jul-20,6:00:00 PM,7.27,7.27
04-Jul-20,6:30:00 PM,7.29,7.29
04-Jul-20,7:00:00 PM,7.19,7.19
04-Jul-20,7:30:00 PM,7.21,7.21
04-Jul-20,8:00:00 PM,7.21,7.21
04-Jul-20,8:30:00 PM,6.88,6.88
04-Jul-20,9:00:00 PM,6.67,6.68
04-Jul-20,9:30:00 PM,6.42,6.42
04-Jul-20,10:00:00 PM,6.19,6.19
04-Jul-20,10:30:00 PM,5.86,5.87
04-Jul-20,11:00:00 PM,5.66,5.67
04-Jul-20,11:30:00 PM,5.39,5.41
05-Jul-20,12:00:00 AM,5.10,5.12
05-Jul-20,12:30:00 AM,5.02,5.03
05-Jul-20,1:00:00 AM,4.80,4.82
05-Jul-20,1:30:00 AM,4.71,4.72
05-Jul-20,2:00:00 AM,4.58,4.60
05-Jul-20,2:30:00 AM,4.62,4.64
05-Jul-20,3:00:00 AM,4.59,4.61
05-Jul-20,3:30:00 AM,4.52,4.54
05-Jul-20,4:00:00 AM,4.61,4.63
05-Jul-20,4:30:00 AM,4.68,4.69
05-Jul-20,5:00:00 AM,4.77,4.79
05-Jul-20,5:30:00 AM,4.95,4.97
05-Jul-20,6:00:00 AM,5.10,5.12
05-Jul-20,6:30:00 AM,5.24,5.27
05-Jul-20,7:00:00 AM,5.54,5.57
05-Jul-20,7:30:00 AM,5.74,5.76
05-Jul-20,8:00:00 AM,5.53,5.55
05-Jul-20,8:30:00 AM,5.37,5.39
05-Jul-20,9:00:00 AM,5.20,5.21
05-Jul-20,9:30:00 AM,4.80,4.81
05-Jul-20,10:00:00 AM,4.55,4.56
05-Jul-20,10:30:00 AM,4.12,4.12
05-Jul-20,11:00:00 AM,3.84,3.85
05-Jul-20,11:30:00 AM,3.74,3.74
05-Jul-20,12:00:00 PM,3.64,3.64
05-Jul-20,12:30:00 PM,3.78,3.79
05-Jul-20,1:00:00 PM,3.85,3.86
