Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,4.95,5.06
01-Jul-20,12:30:00 AM,4.50,4.64
01-Jul-20,1:00:00 AM,4.10,4.26
01-Jul-20,1:30:00 AM,3.91,4.08
01-Jul-20,2:00:00 AM,3.77,3.95
01-Jul-20,2:30:00 AM,3.63,3.82
01-Jul-20,3:00:00 AM,3.63,3.82
01-Jul-20,3:30:00 AM,3.73,3.90
01-Jul-20,4:00:00 AM,3.94,4.10
01-Jul-20,4:30:00 AM,4.02,4.16
01-Jul-20,5:00:00 AM,4.46,4.58
01-Jul-20,5:30:00 AM,4.88,4.97
01-Jul-20,6:00:00 AM,5.76,5.82
01-Jul-20,6:30:00 AM,6.74,6.78
01-Jul-20,7:00:00 AM,7.39,7.42
01-Jul-20,7:30:00 AM,6.97,7.01
01-Jul-20,8:00:00 AM,5.99,6.02
01-Jul-20,8:30:00 AM,4.59,4.64
01-Jul-20,9:00:00 AM,3.30,3.35
01-Jul-20,9:30:00 AM,2.20,2.27
01-Jul-20,10:00:00 AM,1.23,1.34
01-Jul-20,10:30:00 AM,0.56,0.75
01-Jul-20,11:00:00 AM,0.15,0.55
01-Jul-20,11:30:00 AM,0.44,0.71
01-Jul-20,12:00:00 PM,1.10,1.28
01-Jul-20,12:30:00 PM,1.96,2.09
01-Jul-20,1:00:00 PM,2.76,2.87
01-Jul-20,1:30:00 PM,2.54,2.65
01-Jul-20,2:00:00 PM,2.83,2.93
01-Jul-20,2:30:00 PM,3.39,3.48
01-Jul-20,3:00:00 PM,3.74,3.83
01-Jul-20,3:30:00 PM,4.20,4.29
01-Jul-20,4:00:00 PM,5.29,5.37
01-Jul-20,4:30:00 PM,6.38,6.44
01-Jul-20,5:00:00 PM,7.62,7.66
01-Jul-20,5:30:00 PM,8.76,8.77
01-Jul-20,6:00:00 PM,9.23,9.24
01-Jul-20,6:30:00 PM,9.33,9.34
01-Jul-20,7:00:00 PM,9.16,9.18
01-Jul-20,7:30:00 PM,8.81,8.83
01-Jul-20,8:00:00 PM,8.76,8.78
01-Jul-20,8:30:00 PM,8.49,8.51
01-Jul-20,9:00:00 PM,8.10,8.13
01-Jul-20,9:30:00 PM,7.61,7.65
01-Jul-20,10:00:00 PM,7.48,7.53
01-Jul-20,10:30:00 PM,6.85,6.91
01-Jul-20,11:00:00 PM,6.27,6.35
01-Jul-20,11:30:00 PM,5.82,5.92
02-Jul-20,12:00:00 AM,5.12,5.23
02-Jul-20,12:30:00 AM,4.62,4.75
02-Jul-20,1:00:00 AM,4.21,4.37
02-Jul-20,1:30:00 AM,3.94,4.11
02-Jul-20,2:00:00 AM,3.80,3.98
02-Jul-20,2:30:00 AM,3.76,3.94
02-Jul-20,3:00:00 AM,3.75,3.92
02-Jul-20,3:30:00 AM,3.69,3.87
02-Jul-20,4:00:00 AM,3.80,3.97
02-Jul-20,4:30:00 AM,4.02,4.16
02-Jul-20,5:00:00 AM,4.41,4.53
02-Jul-20,5:30:00 AM,4.93,5.03
02-Jul-20,6:00:00 AM,5.71,5.78
02-Jul-20,6:30:00 AM,6.84,6.89
02-Jul-20,7:00:00 AM,7.35,7.38
02-Jul-20,7:30:00 AM,7.03,7.05
02-Jul-20,8:00:00 AM,5.50,5.52
02-Jul-20,8:30:00 AM,4.40,4.43
02-Jul-20,9:00:00 AM,4.31,4.35
02-Jul-20,9:30:00 AM,2.83,2.88
02-Jul-20,10:00:00 AM,1.88,1.94
02-Jul-20,10:30:00 AM,1.69,1.78
02-Jul-20,11:00:00 AM,0.80,0.92
02-Jul-20,11:30:00 AM,0.34,0.62
02-Jul-20,12:00:00 PM,0.06,0.52
02-Jul-20,12:30:00 PM,1.41,1.54
02-Jul-20,1:00:00 PM,1.34,1.51
02-Jul-20,1:30:00 PM,-0.12,0.49
02-Jul-20,2:00:00 PM,1.13,1.28
02-Jul-20,2:30:00 PM,2.08,2.19
02-Jul-20,3:00:00 PM,2.80,2.90
02-Jul-20,3:30:00 PM,3.97,4.05
02-Jul-20,4:00:00 PM,5.09,5.16
02-Jul-20,4:30:00 PM,6.02,6.08
02-Jul-20,5:00:00 PM,7.16,7.20
02-Jul-20,5:30:00 PM,8.25,8.27
02-Jul-20,6:00:00 PM,8.71,8.73
02-Jul-20,6:30:00 PM,8.70,8.72
02-Jul-20,7:00:00 PM,8.51,8.54
02-Jul-20,7:30:00 PM,8.31,8.33
02-Jul-20,8:00:00 PM,8.30,8.32
02-Jul-20,8:30:00 PM,7.84,7.87
02-Jul-20,9:00:00 PM,7.43,7.48
02-Jul-20,9:30:00 PM,7.23,7.28
02-Jul-20,10:00:00 PM,7.14,7.20
02-Jul-20,10:30:00 PM,6.64,6.71
02-Jul-20,11:00:00 PM,6.08,6.17
02-Jul-20,11:30:00 PM,5.46,5.56
03-Jul-20,12:00:00 AM,4.86,4.98
03-Jul-20,12:30:00 AM,4.32,4.47
03-Jul-20,1:00:00 AM,4.06,4.22
03-Jul-20,1:30:00 AM,3.87,4.04
03-Jul-20,2:00:00 AM,3.75,3.92
03-Jul-20,2:30:00 AM,3.70,3.87
03-Jul-20,3:00:00 AM,3.67,3.84
03-Jul-20,3:30:00 AM,3.59,3.76
03-Jul-20,4:00:00 AM,3.69,3.86
03-Jul-20,4:30:00 AM,3.96,4.11
03-Jul-20,5:00:00 AM,4.28,4.41
03-Jul-20,5:30:00 AM,4.77,4.88
03-Jul-20,6:00:00 AM,5.65,5.72
03-Jul-20,6:30:00 AM,6.47,6.52
03-Jul-20,7:00:00 AM,7.09,7.13
03-Jul-20,7:30:00 AM,6.74,6.78
03-Jul-20,8:00:00 AM,5.90,5.94
03-Jul-20,8:30:00 AM,4.71,4.74
03-Jul-20,9:00:00 AM,3.47,3.52
03-Jul-20,9:30:00 AM,2.25,2.31
03-Jul-20,10:00:00 AM,1.24,1.33
03-Jul-20,10:30:00 AM,0.42,0.59
03-Jul-20,11:00:00 AM,-0.33,0.50
03-Jul-20,11:30:00 AM,-0.65,0.75
03-Jul-20,12:00:00 PM,-0.71,0.81
03-Jul-20,12:30:00 PM,-0.62,0.74
03-Jul-20,1:00:00 PM,0.13,0.50
03-Jul-20,1:30:00 PM,0.93,1.11
03-Jul-20,2:00:00 PM,1.38,1.53
03-Jul-20,2:30:00 PM,1.85,1.97
03-Jul-20,3:00:00 PM,3.17,3.26
03-Jul-20,3:30:00 PM,4.58,4.66
03-Jul-20,4:00:00 PM,4.93,5.01
03-Jul-20,4:30:00 PM,5.77,5.84
03-Jul-20,5:00:00 PM,6.73,6.78
03-Jul-20,5:30:00 PM,7.64,7.67
03-Jul-20,6:00:00 PM,8.08,8.10
03-Jul-20,6:30:00 PM,8.06,8.09
03-Jul-20,7:00:00 PM,7.85,7.88
03-Jul-20,7:30:00 PM,7.60,7.64
03-Jul-20,8:00:00 PM,7.47,7.51
03-Jul-20,8:30:00 PM,7.04,7.09
03-Jul-20,9:00:00 PM,6.82,6.88
03-Jul-20,9:30:00 PM,6.60,6.67
