Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,6.04,6.21
01-Jul-20,12:30:00 AM,5.52,5.71
01-Jul-20,1:00:00 AM,5.22,5.40
01-Jul-20,1:30:00 AM,4.96,5.16
01-Jul-20,2:00:00 AM,4.80,5.02
01-Jul-20,2:30:00 AM,4.89,5.10
01-Jul-20,3:00:00 AM,4.95,5.16
01-Jul-20,3:30:00 AM,4.88,5.10
01-Jul-20,4:00:00 AM,5.08,5.29
01-Jul-20,4:30:00 AM,5.30,5.48
01-Jul-20,5:00:00 AM,5.60,5.78
01-Jul-20,5:30:00 AM,6.04,6.21
01-Jul-20,6:00:00 AM,6.96,7.10
01-Jul-20,6:30:00 AM,7.81,7.97
01-Jul-20,7:00:00 AM,8.14,8.28
01-Jul-20,7:30:00 AM,7.99,8.11
01-Jul-20,8:00:00 AM,7.16,7.29
01-Jul-20,8:30:00 AM,6.16,6.26
01-Jul-20,9:00:00 AM,5.66,5.77
01-Jul-20,9:30:00 AM,5.75,5.83
01-Jul-20,10:00:00 AM,4.81,4.91
01-Jul-20,10:30:00 AM,2.78,2.90
01-Jul-20,11:00:00 AM,2.12,2.22
01-Jul-20,11:30:00 AM,2.56,2.66
01-Jul-20,12:00:00 PM,3.23,3.33
01-Jul-20,12:30:00 PM,2.04,2.12
01-Jul-20,1:00:00 PM,2.30,2.40
01-Jul-20,1:30:00 PM,3.09,3.20
01-Jul-20,2:00:00 PM,3.09,3.21
01-Jul-20,2:30:00 PM,6.04,6.14
01-Jul-20,3:00:00 PM,6.24,6.36
01-Jul-20,3:30:00 PM,6.15,6.25
01-Jul-20,4:00:00 PM,7.44,7.55
01-Jul-20,4:30:00 PM,8.93,9.05
01-Jul-20,5:00:00 PM,10.34,10.42
01-Jul-20,5:30:00 PM,11.33,11.40
01-Jul-20,6:00:00 PM,11.51,11.57
01-Jul-20,6:30:00 PM,11.61,11.67
01-Jul-20,7:00:00 PM,11.14,11.22
01-Jul-20,7:30:00 PM,11.19,11.27
01-Jul-20,8:00:00 PM,11.15,11.24
01-Jul-20,8:30:00 PM,10.55,10.64
01-Jul-20,9:00:00 PM,9.61,9.71
01-Jul-20,9:30:00 PM,9.00,9.11
01-Jul-20,10:00:00 PM,8.61,8.75
01-Jul-20,10:30:00 PM,8.61,8.74
01-Jul-20,11:00:00 PM,7.73,7.86
01-Jul-20,11:30:00 PM,6.85,7.01
02-Jul-20,12:00:00 AM,6.09,6.24
02-Jul-20,12:30:00 AM,5.54,5.73
02-Jul-20,1:00:00 AM,5.35,5.55
02-Jul-20,1:30:00 AM,4.95,5.16
02-Jul-20,2:00:00 AM,4.88,5.08
02-Jul-20,2:30:00 AM,5.01,5.20
02-Jul-20,3:00:00 AM,4.98,5.19
02-Jul-20,3:30:00 AM,5.08,5.29
02-Jul-20,4:00:00 AM,5.16,5.37
02-Jul-20,4:30:00 AM,5.37,5.56
02-Jul-20,5:00:00 AM,5.71,5.89
02-Jul-20,5:30:00 AM,6.21,6.38
02-Jul-20,6:00:00 AM,7.15,7.29
02-Jul-20,6:30:00 AM,8.14,8.30
02-Jul-20,7:00:00 AM,8.50,8.63
02-Jul-20,7:30:00 AM,7.83,7.96
02-Jul-20,8:00:00 AM,7.35,7.46
02-Jul-20,8:30:00 AM,6.37,6.48
02-Jul-20,9:00:00 AM,5.21,5.30
02-Jul-20,9:30:00 AM,5.09,5.20
02-Jul-20,10:00:00 AM,5.24,5.36
02-Jul-20,10:30:00 AM,3.79,3.92
02-Jul-20,11:00:00 AM,2.27,2.43
02-Jul-20,11:30:00 AM,1.61,1.79
02-Jul-20,12:00:00 PM,3.56,3.68
02-Jul-20,12:30:00 PM,3.30,3.45
02-Jul-20,1:00:00 PM,5.02,5.14
02-Jul-20,1:30:00 PM,3.14,3.27
02-Jul-20,2:00:00 PM,4.98,5.11
02-Jul-20,2:30:00 PM,4.06,4.17
02-Jul-20,3:00:00 PM,4.90,5.00
02-Jul-20,3:30:00 PM,5.97,6.10
02-Jul-20,4:00:00 PM,7.51,7.63
02-Jul-20,4:30:00 PM,8.93,9.03
02-Jul-20,5:00:00 PM,10.26,10.35
02-Jul-20,5:30:00 PM,11.17,11.24
02-Jul-20,6:00:00 PM,11.34,11.42
02-Jul-20,6:30:00 PM,11.46,11.53
02-Jul-20,7:00:00 PM,11.18,11.26
02-Jul-20,7:30:00 PM,11.18,11.28
02-Jul-20,8:00:00 PM,11.20,11.29
02-Jul-20,8:30:00 PM,10.42,10.53
02-Jul-20,9:00:00 PM,9.79,9.90
02-Jul-20,9:30:00 PM,8.94,9.05
02-Jul-20,10:00:00 PM,8.68,8.82
02-Jul-20,10:30:00 PM,8.55,8.69
02-Jul-20,11:00:00 PM,7.53,7.69
