Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,1.11,1.13
01-Jul-20,12:30:00 AM,1.09,1.10
01-Jul-20,1:00:00 AM,1.06,1.07
01-Jul-20,1:30:00 AM,1.05,1.07
01-Jul-20,2:00:00 AM,1.07,1.08
01-Jul-20,2:30:00 AM,1.04,1.06
01-Jul-20,3:00:00 AM,1.02,1.04
01-Jul-20,3:30:00 AM,1.00,1.02
01-Jul-20,4:00:00 AM,1.07,1.09
01-Jul-20,4:30:00 AM,1.07,1.09
01-Jul-20,5:00:00 AM,1.11,1.13
01-Jul-20,5:30:00 AM,1.18,1.21
01-Jul-20,6:00:00 AM,1.22,1.24
01-Jul-20,6:30:00 AM,1.33,1.35
01-Jul-20,7:00:00 AM,1.51,1.58
01-Jul-20,7:30:00 AM,1.74,1.78
01-Jul-20,8:00:00 AM,1.77,1.86
01-Jul-20,8:30:00 AM,1.75,1.84
01-Jul-20,9:00:00 AM,1.83,1.93
01-Jul-20,9:30:00 AM,1.62,1.73
01-Jul-20,10:00:00 AM,1.17,1.22
01-Jul-20,10:30:00 AM,1.10,1.21
01-Jul-20,11:00:00 AM,1.23,1.41
01-Jul-20,11:30:00 AM,1.16,1.37
01-Jul-20,12:00:00 PM,1.27,1.44
01-Jul-20,12:30:00 PM,1.06,1.18
01-Jul-20,1:00:00 PM,0.92,0.99
01-Jul-20,1:30:00 PM,1.07,1.18
01-Jul-20,2:00:00 PM,1.22,1.38
01-Jul-20,2:30:00 PM,1.29,1.47
01-Jul-20,3:00:00 PM,1.37,1.47
01-Jul-20,3:30:00 PM,1.31,1.37
01-Jul-20,4:00:00 PM,1.41,1.45
01-Jul-20,4:30:00 PM,1.43,1.46
01-Jul-20,5:00:00 PM,1.55,1.59
01-Jul-20,5:30:00 PM,1.59,1.61
01-Jul-20,6:00:00 PM,1.56,1.57
01-Jul-20,6:30:00 PM,1.57,1.58
01-Jul-20,7:00:00 PM,1.44,1.46
01-Jul-20,7:30:00 PM,1.43,1.45
01-Jul-20,8:00:00 PM,1.40,1.42
01-Jul-20,8:30:00 PM,1.39,1.41
01-Jul-20,9:00:00 PM,1.32,1.33
01-Jul-20,9:30:00 PM,1.31,1.32
01-Jul-20,10:00:00 PM,1.23,1.23
01-Jul-20,10:30:00 PM,1.17,1.18
01-Jul-20,11:00:00 PM,1.13,1.14
01-Jul-20,11:30:00 PM,1.10,1.12
02-Jul-20,12:00:00 AM,1.11,1.13
02-Jul-20,12:30:00 AM,1.04,1.05
02-Jul-20,1:00:00 AM,1.07,1.08
02-Jul-20,1:30:00 AM,1.05,1.06
02-Jul-20,2:00:00 AM,1.00,1.02
02-Jul-20,2:30:00 AM,1.00,1.02
02-Jul-20,3:00:00 AM,1.00,1.02
02-Jul-20,3:30:00 AM,1.02,1.03
02-Jul-20,4:00:00 AM,1.03,1.04
02-Jul-20,4:30:00 AM,1.07,1.09
02-Jul-20,5:00:00 AM,1.10,1.11
02-Jul-20,5:30:00 AM,1.15,1.17
02-Jul-20,6:00:00 AM,1.32,1.35
02-Jul-20,6:30:00 AM,1.50,1.52
02-Jul-20,7:00:00 AM,1.49,1.55
02-Jul-20,7:30:00 AM,1.56,1.63
02-Jul-20,8:00:00 AM,1.44,1.49
02-Jul-20,8:30:00 AM,1.46,1.53
02-Jul-20,9:00:00 AM,1.48,1.57
