Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,10.39,10.40
01-Jul-20,12:30:00 AM,10.34,10.35
01-Jul-20,1:00:00 AM,10.51,10.52
01-Jul-20,1:30:00 AM,10.30,10.31
01-Jul-20,2:00:00 AM,9.99,9.99
01-Jul-20,2:30:00 AM,9.72,9.73
01-Jul-20,3:00:00 AM,9.75,9.75
01-Jul-20,3:30:00 AM,9.66,9.66
01-Jul-20,4:00:00 AM,9.81,9.82
01-Jul-20,4:30:00 AM,10.12,10.13
01-Jul-20,5:00:00 AM,10.94,10.95
01-Jul-20,5:30:00 AM,11.56,11.57
01-Jul-20,6:00:00 AM,12.54,12.54
01-Jul-20,6:30:00 AM,13.44,13.44
01-Jul-20,7:00:00 AM,14.16,14.16
01-Jul-20,7:30:00 AM,15.08,15.08
01-Jul-20,8:00:00 AM,14.50,14.50
01-Jul-20,8:30:00 AM,12.14,12.14
01-Jul-20,9:00:00 AM,10.41,10.41
01-Jul-20,9:30:00 AM,9.10,9.10
01-Jul-20,10:00:00 AM,8.22,8.22
01-Jul-20,10:30:00 AM,7.48,7.48
01-Jul-20,11:00:00 AM,6.88,6.88
01-Jul-20,11:30:00 AM,6.72,6.72
01-Jul-20,12:00:00 PM,6.66,6.66
01-Jul-20,12:30:00 PM,6.65,6.65
01-Jul-20,1:00:00 PM,7.16,7.16
01-Jul-20,1:30:00 PM,7.64,7.65
01-Jul-20,2:00:00 PM,8.13,8.13
01-Jul-20,2:30:00 PM,8.79,8.80
01-Jul-20,3:00:00 PM,9.53,9.53
01-Jul-20,3:30:00 PM,10.82,10.82
01-Jul-20,4:00:00 PM,11.91,11.91
01-Jul-20,4:30:00 PM,13.46,13.46
01-Jul-20,5:00:00 PM,14.20,14.20
01-Jul-20,5:30:00 PM,15.03,15.03
01-Jul-20,6:00:00 PM,14.92,14.92
01-Jul-20,6:30:00 PM,14.68,14.68
01-Jul-20,7:00:00 PM,14.48,14.48
01-Jul-20,7:30:00 PM,14.18,14.18
01-Jul-20,8:00:00 PM,14.33,14.33
01-Jul-20,8:30:00 PM,14.34,14.34
01-Jul-20,9:00:00 PM,13.40,13.40
01-Jul-20,9:30:00 PM,13.28,13.28
01-Jul-20,10:00:00 PM,12.12,12.12
01-Jul-20,10:30:00 PM,11.10,11.10
01-Jul-20,11:00:00 PM,10.74,10.76
01-Jul-20,11:30:00 PM,10.67,10.69
02-Jul-20,12:00:00 AM,10.26,10.27
02-Jul-20,12:30:00 AM,10.04,10.05
02-Jul-20,1:00:00 AM,10.30,10.31
02-Jul-20,1:30:00 AM,10.13,10.13
02-Jul-20,2:00:00 AM,9.87,9.88
02-Jul-20,2:30:00 AM,9.60,9.61
02-Jul-20,3:00:00 AM,9.46,9.47
02-Jul-20,3:30:00 AM,9.57,9.58
02-Jul-20,4:00:00 AM,9.73,9.74
02-Jul-20,4:30:00 AM,10.00,10.01
02-Jul-20,5:00:00 AM,10.60,10.61
02-Jul-20,5:30:00 AM,11.16,11.16
02-Jul-20,6:00:00 AM,11.97,11.97
02-Jul-20,6:30:00 AM,12.77,12.77
02-Jul-20,7:00:00 AM,13.13,13.14
02-Jul-20,7:30:00 AM,12.60,12.61
02-Jul-20,8:00:00 AM,12.43,12.44
02-Jul-20,8:30:00 AM,12.20,12.20
02-Jul-20,9:00:00 AM,11.45,11.45
02-Jul-20,9:30:00 AM,9.49,9.49
02-Jul-20,10:00:00 AM,7.49,7.49
02-Jul-20,10:30:00 AM,8.37,8.37
02-Jul-20,11:00:00 AM,8.76,8.76
02-Jul-20,11:30:00 AM,8.43,8.43
02-Jul-20,12:00:00 PM,8.09,8.10
02-Jul-20,12:30:00 PM,7.05,7.05
02-Jul-20,1:00:00 PM,7.08,7.08
02-Jul-20,1:30:00 PM,7.70,7.70
02-Jul-20,2:00:00 PM,8.74,8.74
02-Jul-20,2:30:00 PM,9.24,9.24
02-Jul-20,3:00:00 PM,10.20,10.20
02-Jul-20,3:30:00 PM,11.11,11.11
02-Jul-20,4:00:00 PM,12.44,12.44
02-Jul-20,4:30:00 PM,13.48,13.49
02-Jul-20,5:00:00 PM,14.17,14.17
02-Jul-20,5:30:00 PM,15.00,15.00
02-Jul-20,6:00:00 PM,15.37,15.37
02-Jul-20,6:30:00 PM,15.20,15.20
02-Jul-20,7:00:00 PM,14.75,14.75
02-Jul-20,7:30:00 PM,14.23,14.23
02-Jul-20,8:00:00 PM,14.38,14.38
02-Jul-20,8:30:00 PM,14.34,14.34
02-Jul-20,9:00:00 PM,13.34,13.34
02-Jul-20,9:30:00 PM,12.96,12.96
02-Jul-20,10:00:00 PM,12.02,12.02
02-Jul-20,10:30:00 PM,10.99,10.99
02-Jul-20,11:00:00 PM,10.67,10.69
02-Jul-20,11:30:00 PM,10.57,10.58
03-Jul-20,12:00:00 AM,10.15,10.15
03-Jul-20,12:30:00 AM,10.05,10.05
03-Jul-20,1:00:00 AM,10.15,10.16
03-Jul-20,1:30:00 AM,9.89,9.90
03-Jul-20,2:00:00 AM,9.58,9.59
03-Jul-20,2:30:00 AM,9.39,9.39
03-Jul-20,3:00:00 AM,9.39,9.40
03-Jul-20,3:30:00 AM,9.32,9.32
03-Jul-20,4:00:00 AM,9.40,9.40
03-Jul-20,4:30:00 AM,9.71,9.72
03-Jul-20,5:00:00 AM,10.42,10.42
03-Jul-20,5:30:00 AM,10.83,10.84
03-Jul-20,6:00:00 AM,11.35,11.35
03-Jul-20,6:30:00 AM,12.10,12.10
03-Jul-20,7:00:00 AM,12.81,12.81
03-Jul-20,7:30:00 AM,12.88,12.89
03-Jul-20,8:00:00 AM,11.92,11.92
03-Jul-20,8:30:00 AM,10.85,10.85
03-Jul-20,9:00:00 AM,10.02,10.02
03-Jul-20,9:30:00 AM,8.88,8.88
03-Jul-20,10:00:00 AM,8.12,8.12
03-Jul-20,10:30:00 AM,7.62,7.62
03-Jul-20,11:00:00 AM,7.25,7.25
03-Jul-20,11:30:00 AM,6.89,6.89
03-Jul-20,12:00:00 PM,6.76,6.76
03-Jul-20,12:30:00 PM,7.12,7.12
03-Jul-20,1:00:00 PM,7.48,7.48
03-Jul-20,1:30:00 PM,7.99,7.99
03-Jul-20,2:00:00 PM,8.68,8.68
03-Jul-20,2:30:00 PM,9.68,9.68
03-Jul-20,3:00:00 PM,10.38,10.38
03-Jul-20,3:30:00 PM,11.32,11.32
03-Jul-20,4:00:00 PM,12.36,12.36
03-Jul-20,4:30:00 PM,13.33,13.33
03-Jul-20,5:00:00 PM,13.75,13.75
03-Jul-20,5:30:00 PM,14.37,14.37
03-Jul-20,6:00:00 PM,14.02,14.02
03-Jul-20,6:30:00 PM,13.79,13.79
03-Jul-20,7:00:00 PM,13.47,13.47
03-Jul-20,7:30:00 PM,13.02,13.02
03-Jul-20,8:00:00 PM,13.29,13.29
03-Jul-20,8:30:00 PM,13.45,13.45
03-Jul-20,9:00:00 PM,12.78,12.78
03-Jul-20,9:30:00 PM,12.71,12.71
03-Jul-20,10:00:00 PM,11.65,11.66
03-Jul-20,10:30:00 PM,10.77,10.78
03-Jul-20,11:00:00 PM,10.66,10.67
03-Jul-20,11:30:00 PM,10.48,10.49
04-Jul-20,12:00:00 AM,10.01,10.02
04-Jul-20,12:30:00 AM,9.87,9.88
04-Jul-20,1:00:00 AM,9.92,9.94
04-Jul-20,1:30:00 AM,9.76,9.78
04-Jul-20,2:00:00 AM,9.52,9.54
04-Jul-20,2:30:00 AM,9.35,9.37
04-Jul-20,3:00:00 AM,9.13,9.15
04-Jul-20,3:30:00 AM,9.08,9.10
04-Jul-20,4:00:00 AM,9.07,9.09
04-Jul-20,4:30:00 AM,9.19,9.20
04-Jul-20,5:00:00 AM,9.29,9.31
04-Jul-20,5:30:00 AM,9.65,9.66
04-Jul-20,6:00:00 AM,10.19,10.20
04-Jul-20,6:30:00 AM,10.85,10.86
04-Jul-20,7:00:00 AM,11.32,11.33
04-Jul-20,7:30:00 AM,11.00,11.01
04-Jul-20,8:00:00 AM,10.38,10.39
04-Jul-20,8:30:00 AM,9.74,9.74
04-Jul-20,9:00:00 AM,9.09,9.09
04-Jul-20,9:30:00 AM,8.59,8.59
04-Jul-20,10:00:00 AM,7.89,7.89
04-Jul-20,10:30:00 AM,7.18,7.18
04-Jul-20,11:00:00 AM,6.74,6.74
04-Jul-20,11:30:00 AM,6.54,6.54
04-Jul-20,12:00:00 PM,6.24,6.24
04-Jul-20,12:30:00 PM,6.46,6.46
04-Jul-20,1:00:00 PM,6.68,6.68
04-Jul-20,1:30:00 PM,7.12,7.12
04-Jul-20,2:00:00 PM,7.59,7.60
04-Jul-20,2:30:00 PM,8.55,8.56
04-Jul-20,3:00:00 PM,9.47,9.48
04-Jul-20,3:30:00 PM,10.76,10.76
04-Jul-20,4:00:00 PM,11.77,11.78
04-Jul-20,4:30:00 PM,13.05,13.06
04-Jul-20,5:00:00 PM,13.69,13.70
04-Jul-20,5:30:00 PM,14.50,14.50
04-Jul-20,6:00:00 PM,14.81,14.81
04-Jul-20,6:30:00 PM,14.67,14.67
04-Jul-20,7:00:00 PM,14.40,14.40
04-Jul-20,7:30:00 PM,13.94,13.94
04-Jul-20,8:00:00 PM,14.14,14.14
04-Jul-20,8:30:00 PM,14.36,14.36
04-Jul-20,9:00:00 PM,13.71,13.71
04-Jul-20,9:30:00 PM,13.69,13.69
04-Jul-20,10:00:00 PM,12.85,12.85
04-Jul-20,10:30:00 PM,11.91,11.91
04-Jul-20,11:00:00 PM,11.72,11.72
04-Jul-20,11:30:00 PM,11.64,11.65
05-Jul-20,12:00:00 AM,11.09,11.09
05-Jul-20,12:30:00 AM,10.89,10.89
05-Jul-20,1:00:00 AM,10.80,10.80
05-Jul-20,1:30:00 AM,10.76,10.77
05-Jul-20,2:00:00 AM,10.44,10.46
05-Jul-20,2:30:00 AM,10.18,10.20
05-Jul-20,3:00:00 AM,9.99,10.01
05-Jul-20,3:30:00 AM,9.87,9.89
05-Jul-20,4:00:00 AM,9.92,9.94
05-Jul-20,4:30:00 AM,10.03,10.05
05-Jul-20,5:00:00 AM,10.34,10.36
05-Jul-20,5:30:00 AM,10.70,10.71
05-Jul-20,6:00:00 AM,11.49,11.49
05-Jul-20,6:30:00 AM,11.91,11.91
05-Jul-20,7:00:00 AM,12.55,12.55
05-Jul-20,7:30:00 AM,12.83,12.83
05-Jul-20,8:00:00 AM,12.44,12.44
05-Jul-20,8:30:00 AM,11.77,11.77
05-Jul-20,9:00:00 AM,10.65,10.65
05-Jul-20,9:30:00 AM,9.68,9.68
05-Jul-20,10:00:00 AM,8.77,8.78
05-Jul-20,10:30:00 AM,8.03,8.03
05-Jul-20,11:00:00 AM,7.35,7.35
05-Jul-20,11:30:00 AM,7.24,7.24
05-Jul-20,12:00:00 PM,9.10,9.10
05-Jul-20,12:30:00 PM,8.86,8.86
05-Jul-20,1:00:00 PM,7.35,7.35
05-Jul-20,1:30:00 PM,8.03,8.03
05-Jul-20,2:00:00 PM,9.19,9.19
05-Jul-20,2:30:00 PM,10.19,10.19
05-Jul-20,3:00:00 PM,11.10,11.10
05-Jul-20,3:30:00 PM,11.49,11.50
05-Jul-20,4:00:00 PM,12.18,12.19
05-Jul-20,4:30:00 PM,13.50,13.51
05-Jul-20,5:00:00 PM,14.71,14.71
05-Jul-20,5:30:00 PM,16.03,16.03
05-Jul-20,6:00:00 PM,16.44,16.44
05-Jul-20,6:30:00 PM,15.89,15.89
05-Jul-20,7:00:00 PM,15.61,15.61
05-Jul-20,7:30:00 PM,15.52,15.52
