Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,9.64,9.75
01-Jul-20,12:30:00 AM,8.80,8.91
01-Jul-20,1:00:00 AM,8.29,8.41
01-Jul-20,1:30:00 AM,7.85,7.99
01-Jul-20,2:00:00 AM,7.52,7.67
01-Jul-20,2:30:00 AM,7.40,7.55
01-Jul-20,3:00:00 AM,7.45,7.60
01-Jul-20,3:30:00 AM,7.51,7.66
01-Jul-20,4:00:00 AM,7.74,7.89
01-Jul-20,4:30:00 AM,8.00,8.13
01-Jul-20,5:00:00 AM,8.72,8.83
01-Jul-20,5:30:00 AM,9.75,9.84
01-Jul-20,6:00:00 AM,11.18,11.24
01-Jul-20,6:30:00 AM,12.67,12.75
01-Jul-20,7:00:00 AM,13.68,13.74
01-Jul-20,7:30:00 AM,13.14,13.19
01-Jul-20,8:00:00 AM,12.20,12.25
01-Jul-20,8:30:00 AM,11.01,11.05
01-Jul-20,9:00:00 AM,9.70,9.75
01-Jul-20,9:30:00 AM,8.26,8.31
01-Jul-20,10:00:00 AM,7.30,7.33
01-Jul-20,10:30:00 AM,6.31,6.34
01-Jul-20,11:00:00 AM,5.71,5.75
01-Jul-20,11:30:00 AM,6.03,6.06
01-Jul-20,12:00:00 PM,7.12,7.14
01-Jul-20,12:30:00 PM,7.11,7.14
01-Jul-20,1:00:00 PM,8.11,8.15
01-Jul-20,1:30:00 PM,10.05,10.08
01-Jul-20,2:00:00 PM,10.13,10.17
01-Jul-20,2:30:00 PM,10.45,10.49
01-Jul-20,3:00:00 PM,9.88,9.92
01-Jul-20,3:30:00 PM,10.21,10.26
01-Jul-20,4:00:00 PM,11.86,11.90
01-Jul-20,4:30:00 PM,13.57,13.61
01-Jul-20,5:00:00 PM,15.08,15.10
01-Jul-20,5:30:00 PM,16.18,16.19
01-Jul-20,6:00:00 PM,16.51,16.52
01-Jul-20,6:30:00 PM,16.95,16.96
01-Jul-20,7:00:00 PM,17.05,17.06
01-Jul-20,7:30:00 PM,16.89,16.90
01-Jul-20,8:00:00 PM,17.31,17.33
01-Jul-20,8:30:00 PM,16.23,16.26
01-Jul-20,9:00:00 PM,15.15,15.18
01-Jul-20,9:30:00 PM,15.00,15.04
01-Jul-20,10:00:00 PM,14.51,14.56
01-Jul-20,10:30:00 PM,13.10,13.16
01-Jul-20,11:00:00 PM,12.18,12.24
01-Jul-20,11:30:00 PM,11.15,11.24
02-Jul-20,12:00:00 AM,10.05,10.15
02-Jul-20,12:30:00 AM,9.10,9.21
02-Jul-20,1:00:00 AM,8.46,8.58
02-Jul-20,1:30:00 AM,8.00,8.13
02-Jul-20,2:00:00 AM,7.73,7.88
02-Jul-20,2:30:00 AM,7.53,7.68
02-Jul-20,3:00:00 AM,7.56,7.71
02-Jul-20,3:30:00 AM,7.58,7.73
02-Jul-20,4:00:00 AM,7.73,7.88
02-Jul-20,4:30:00 AM,8.05,8.19
02-Jul-20,5:00:00 AM,8.83,8.94
02-Jul-20,5:30:00 AM,9.82,9.91
02-Jul-20,6:00:00 AM,11.19,11.27
02-Jul-20,6:30:00 AM,12.64,12.73
02-Jul-20,7:00:00 AM,13.49,13.56
02-Jul-20,7:30:00 AM,12.97,13.02
02-Jul-20,8:00:00 AM,11.72,11.76
02-Jul-20,8:30:00 AM,11.49,11.53
