year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Aberdeen 66_11kV,01MAY2020,MW,2.11820,1.99438,1.93273,1.82925,1.77932,1.71172,1.61276,1.48889,1.43636,1.43449,1.39668,1.35869,1.37979,1.34635,1.32294,1.32717,1.32579,1.34520,1.37268,1.38940,1.45160,1.49925,1.53086,1.53222,1.61597,1.69957,1.77774,1.73034,1.70487,1.75537,1.73318,1.76966,1.58571,1.39960,1.36213,1.24125,1.35899,1.52187,1.26270,1.21825,1.37616,1.38709,1.17395,1.09949,1.08014,1.25785,1.12587,1.07523,1.06443,1.13328,1.29448,1.42904,1.29832,1.19109,1.43675,1.49030,1.41614,1.28048,1.48238,1.57503,1.68319,1.68747,1.74685,1.76173,1.77718,1.79728,1.91314,2.09013,2.20946,2.33213,2.43718,2.58546,2.66536,2.63586,2.63558,2.74100,2.70522,2.61763,2.59209,2.52623,2.48626,2.30936,2.22885,2.20789,2.14507,2.12125,2.12537,2.22246,2.28773,2.34717,2.26582,2.34564,2.39224,2.40151,2.38894,2.32532
2021,Aberdeen 66_11kV,02MAY2020,MW,2.24955,2.16060,2.10089,2.03277,1.91932,1.83165,1.71271,1.59052,1.58914,1.55439,1.51347,1.51325,1.44912,1.44496,1.42603,1.39380,1.43572,1.42641,1.43476,1.48710,1.47693,1.49316,1.52923,1.55975,1.62557,1.64076,1.66929,1.71985,1.74163,1.77474,1.88741,1.92259,1.89288,1.88498,1.94806,1.78277,1.77194,1.65811,1.83633,1.72096,1.53447,1.48747,1.54201,1.72836,1.77670,1.66670,1.70377,1.60183,1.45393,1.74504,1.67508,1.64558,1.64805,1.53303,1.58549,1.83021,1.73249,1.38838,1.24664,1.54393,1.59154,1.56467,1.52908,1.63135,1.87101,2.05325,2.22649,2.31285,2.37538,2.41896,2.54489,2.55671,2.51309,2.59912,2.59619,2.57517,2.47685,2.46440,2.40351,2.42835,2.36964,2.33017,2.26404,2.24661,2.11929,2.07470,2.10852,1.99393,1.99589,1.96463,1.88991,1.81405,1.87227,1.82033,1.75339,1.80007
2021,Aberdeen 66_11kV,03MAY2020,MW,1.73012,1.68190,1.65629,1.61542,1.55869,1.52419,1.49749,1.44115,1.48428,1.44183,1.38002,1.37675,1.37916,1.35830,1.35352,1.35061,1.37863,1.41041,1.45312,1.49720,1.50024,1.46031,1.42659,1.48395,1.52704,1.56657,1.59862,1.63721,1.66157,1.63400,1.64883,1.56909,1.58110,1.60175,1.48817,1.44025,1.36899,1.29855,1.23180,1.18157,1.07966,0.97903,0.90482,0.90507,0.88063,0.88864,0.85267,0.85714,0.78401,0.80154,0.82432,0.80395,0.79566,0.81890,0.83912,0.81617,0.87680,0.89267,1.04477,1.18693,1.11327,1.21238,1.27954,1.34652,1.44839,1.55427,1.68175,1.85103,2.05816,2.24953,2.40210,2.50130,2.56760,2.62191,2.62709,2.49223,2.47955,2.43519,2.33968,2.36459,2.33504,2.28169,2.30252,2.23710,2.17466,2.03685,2.03046,1.90813,1.87830,1.86302,1.80747,1.75937,1.87238,1.81056,1.77199,1.71694
2021,Aberdeen 66_11kV,04MAY2020,MW,1.72762,1.69185,1.72474,1.67624,1.59225,1.55972,1.51769,1.51449,1.50735,1.53411,1.52336,1.49797,1.52154,1.45816,1.45085,1.48390,1.50096,1.48525,1.52226,1.62380,1.65656,1.70552,1.76028,1.79221,1.88536,1.99420,2.06178,1.99615,1.96516,1.94502,1.87684,1.88314,1.80862,1.73816,1.66772,1.55268,1.46136,1.34717,1.24366,1.16103,1.10467,1.06689,1.02083,0.97660,0.95721,0.89859,0.89730,0.87193,0.90071,0.85613,0.83090,0.80867,0.84461,0.84123,0.82459,0.83970,0.90087,0.94086,1.01560,1.14665,1.21067,1.22237,1.31480,1.40091,1.47319,1.62744,1.73790,1.86381,2.02841,2.25960,2.43517,2.59608,2.71029,2.77882,2.75928,2.72437,2.66659,2.61708,2.55773,2.53116,2.43275,2.41760,2.36368,2.29085,2.23684,2.20082,2.25909,2.28933,2.35487,2.42626,2.38574,2.41129,2.48179,2.49032,2.44614,2.45058
2021,Aberdeen 66_11kV,05MAY2020,MW,2.37246,2.27679,2.23665,2.09582,1.91898,1.87071,1.77613,1.70877,1.67188,1.64366,1.64545,1.60639,1.58829,1.67625,1.63644,1.58076,1.58027,1.61547,1.58483,1.65177,1.78502,1.73752,1.79104,1.85820,1.87966,1.87480,1.96669,1.85225,1.83235,1.88934,1.87585,1.84883,1.91372,1.88531,1.88881,1.82195,1.74913,1.65234,1.48726,1.46644,1.31815,1.22353,1.31373,1.39203,1.42177,1.43936,1.52718,1.62596,1.56131,1.40487,1.48624,1.52614,1.59786,1.52432,1.51622,1.54733,1.45884,1.65929,1.48010,1.44212,1.52074,1.45909,1.48556,1.68588,1.72558,1.79667,1.94249,2.02912,2.13285,2.38558,2.57076,2.66234,2.73873,2.79061,2.75453,2.67245,2.61904,2.56684,2.50648,2.50797,2.44533,2.43849,2.30932,2.27186,2.24142,2.17515,2.26284,2.32188,2.32630,2.39895,2.34329,2.38541,2.45557,2.44522,2.39978,2.38713
2021,Aberdeen 66_11kV,06MAY2020,MW,2.30198,2.16160,2.02281,1.89769,1.83336,1.76941,1.64352,1.60179,1.54310,1.46661,1.50659,1.45121,1.43538,1.45305,1.44358,1.43003,1.41290,1.41528,1.48194,1.58555,1.66161,1.75032,1.78989,1.74994,1.73666,1.84823,1.90127,1.84407,1.80580,1.87571,1.90235,1.82454,1.69542,1.64462,1.58451,1.57847,1.45283,1.36636,1.25097,1.08994,0.96905,0.95066,0.89329,0.86836,0.85862,0.84605,0.80011,0.77952,0.78356,0.79622,0.81417,0.81052,0.80229,0.78910,0.81107,0.79565,0.86389,0.88528,0.97126,1.02970,1.10290,1.12974,1.23186,1.34524,1.45032,1.53068,1.56507,1.79601,1.86407,2.01917,2.18544,2.26688,2.34555,2.40954,2.44370,2.40924,2.35483,2.31825,2.31409,2.20567,2.14909,2.07860,2.12637,2.14473,2.14083,2.06104,2.15461,2.15663,2.20548,2.29841,2.24963,2.30171,2.43378,2.42651,2.41464,2.32434
2021,Aberdeen 66_11kV,07MAY2020,MW,2.20603,2.08910,2.01263,1.92231,1.87040,1.81307,1.67855,1.57183,1.55359,1.47180,1.47266,1.40971,1.39944,1.43005,1.39655,1.39932,1.44443,1.49769,1.59809,1.61944,1.68925,1.71543,1.74158,1.75849,1.81111,1.91445,1.94716,1.95404,1.91010,2.00016,2.02798,2.04240,1.93109,1.92230,1.82556,1.64357,1.55145,1.55026,1.50623,1.34582,1.23821,1.18600,1.07286,1.06455,1.05435,1.05441,1.04917,1.01854,1.02219,0.99687,1.09134,1.08199,1.07463,1.19936,1.23459,1.22361,1.09326,1.07154,1.18168,1.14665,1.15345,1.25945,1.40199,1.33577,1.44431,1.63186,1.73942,1.86488,2.00446,2.12981,2.26591,2.35451,2.42094,2.46839,2.47450,2.40214,2.36166,2.33884,2.28651,2.26830,2.23079,2.16321,2.15432,2.10788,2.09592,2.14558,2.16416,2.24426,2.25022,2.27613,2.30914,2.37370,2.48072,2.50161,2.41943,2.37179
2021,Aberdeen 66_11kV,08MAY2020,MW,2.32733,2.20872,2.11169,1.97941,1.93854,1.87504,1.79127,1.71503,1.68682,1.67502,1.63792,1.59163,1.56479,1.54301,1.55018,1.57459,1.58515,1.63988,1.69050,1.76836,1.76554,1.80357,1.84912,1.88749,1.94224,2.00803,2.00373,1.93102,1.91595,1.87624,1.84524,1.75934,1.69463,1.61915,1.47348,1.37039,1.26265,1.20035,1.05461,1.01639,1.06391,0.83510,0.76553,0.93361,0.78394,0.74342,0.71993,0.72202,0.76890,0.79857,0.80486,0.75091,0.73857,0.77252,0.82383,0.81212,0.87739,0.87968,0.91663,1.01534,1.02081,1.08934,1.12718,1.25789,1.41862,1.53041,1.61769,1.64727,1.73766,1.78566,1.91449,1.97569,2.01096,2.03458,2.08889,2.06479,2.04407,1.99920,1.96059,1.98615,1.98003,1.92121,1.93394,1.94107,1.87525,1.84817,1.96667,2.00671,2.09799,2.24179,2.14542,2.18697,2.21244,2.21959,2.21210,2.15281
2021,Aberdeen 66_11kV,09MAY2020,MW,2.08440,1.96148,1.92026,1.82569,1.73633,1.72954,1.65423,1.62536,1.53048,1.45974,1.45964,1.45063,1.41521,1.40847,1.39651,1.36480,1.38292,1.32196,1.35028,1.35286,1.42857,1.46372,1.44329,1.50232,1.51776,1.55387,1.56257,1.58808,1.59458,1.63278,1.70423,1.71054,1.64978,1.71743,1.72734,1.45457,1.53163,1.57056,1.61196,1.53004,1.45572,1.31986,1.00496,0.98739,1.25187,1.30977,1.10864,0.96861,1.10630,1.27374,1.36371,1.46771,1.49018,1.50648,1.48374,1.36322,1.50525,1.66705,1.77551,1.74166,1.62828,1.66062,1.49765,1.41155,1.51545,1.61617,1.70808,1.88095,1.90014,2.02515,2.20101,2.30600,2.32326,2.38237,2.39237,2.36338,2.28987,2.21479,2.16318,2.16622,2.13883,2.08839,2.03923,2.03333,1.93297,1.90755,1.91016,1.80527,1.82288,1.79517,1.77314,1.75803,1.85880,1.78740,1.76485,1.79699
2021,Aberdeen 66_11kV,10MAY2020,MW,1.74429,1.70305,1.64579,1.61020,1.56526,1.51776,1.47794,1.43957,1.40208,1.44224,1.35926,1.33527,1.32759,1.34297,1.33842,1.33770,1.38076,1.38873,1.42199,1.42601,1.47063,1.51959,1.56645,1.58668,1.64307,1.64823,1.62572,1.64454,1.66678,1.71305,1.68834,1.75227,1.64570,1.63722,1.57045,1.53517,1.42455,1.45729,1.37058,1.27546,1.17350,1.13735,1.04222,0.98670,0.93722,0.87122,0.89847,0.87064,0.84321,0.86094,0.89093,0.82619,0.80052,0.84612,0.86030,0.93208,0.97700,1.03907,1.12927,1.20328,1.17111,1.24978,1.28585,1.43577,1.52099,1.64754,1.81194,1.94822,2.17952,2.43088,2.65004,2.74803,2.77675,2.76263,2.71123,2.66004,2.63576,2.59413,2.56519,2.55247,2.47047,2.41315,2.33171,2.29822,2.26403,2.17636,2.23173,2.14392,2.17437,2.05824,1.94704,1.84319,1.94603,1.89429,1.83465,1.86005
