year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Argenton 132_11kV,01MAY2020,MW,11.34280,11.32920,11.38773,10.58493,10.64186,10.23624,9.73135,9.20882,9.20640,8.69286,8.39506,8.10665,8.06675,7.88601,7.75035,7.47049,7.45031,7.51032,7.67518,7.94101,8.22415,8.72542,9.38115,9.97452,10.77971,11.68756,12.81678,13.84866,14.45111,14.40821,14.38060,13.97086,13.46576,13.64377,13.20496,12.68997,12.12252,12.46526,12.47594,12.34020,11.93341,12.30431,12.70714,11.76886,11.83102,12.01410,11.49262,12.36033,13.46468,12.85711,11.28818,10.95813,11.70843,10.83144,10.41743,10.63478,10.37494,10.38054,9.98034,10.06488,10.34571,10.53037,10.48719,10.98834,11.24831,11.73109,12.37402,13.14222,13.78825,14.96049,15.68542,16.21166,15.82547,15.68092,15.50699,15.19683,14.91184,14.73135,14.66456,14.32456,13.84358,13.59032,13.15821,12.83038,12.59979,12.15070,12.46400,11.96167,12.11633,13.08583,13.07857,12.44888,13.00241,12.63340,12.11510,12.00199
2021,Argenton 132_11kV,02MAY2020,MW,12.31196,12.38158,12.19486,11.58299,11.63923,11.23656,10.56461,9.89191,9.25266,9.09894,8.97382,8.61757,8.44041,8.17669,7.91528,7.71319,7.61846,7.62972,7.70929,7.61897,7.69780,7.91089,8.12308,8.27318,8.58026,8.87960,9.23113,9.60639,9.89238,10.16003,10.37844,10.36596,10.20067,10.02324,9.97932,9.95427,9.42878,9.06842,8.88093,8.33302,8.13873,7.64099,7.41753,7.10399,6.66419,6.54755,6.51452,6.18601,5.95210,5.96186,6.03265,5.94504,5.98560,6.25241,6.24143,6.36825,6.52137,6.83770,7.15512,7.26855,7.58207,8.06173,8.51940,9.47314,9.64447,10.00148,10.77438,11.53552,11.82993,12.55738,13.12464,13.62548,13.51906,13.38434,13.02040,12.70794,12.30513,11.97745,12.11826,11.57118,11.17297,10.94751,10.89647,10.68555,10.68813,10.49084,10.84338,11.63522,11.73098,11.07237,10.44416,10.57456,11.21867,10.96317,10.71538,10.03597
2021,Argenton 132_11kV,03MAY2020,MW,9.89419,9.97227,9.68168,9.08422,9.55784,9.01486,8.32702,8.16303,7.75837,7.86858,7.54498,7.36529,7.64180,7.57834,7.32850,7.08765,7.05370,7.00509,7.18472,7.13867,7.33452,7.30182,7.45110,7.67809,8.01955,8.26543,8.69283,8.87786,8.73006,8.76170,8.80982,8.90322,8.98195,8.95514,8.77987,8.60930,8.28919,8.00098,7.70996,7.38416,7.17031,6.95302,6.68517,6.37557,6.11686,5.97177,5.78767,5.72269,5.90456,6.43279,6.04507,6.43717,6.16753,6.62809,6.78098,6.42645,7.09373,7.99255,8.15819,8.39604,8.26689,8.51237,8.95921,9.71243,10.07076,10.50425,11.04125,11.75121,12.04167,12.76438,13.74401,14.29801,13.98311,13.86003,13.72652,13.46849,13.32261,12.92569,12.91854,12.54836,12.08821,11.86207,11.65283,11.55706,11.29599,11.03394,11.30441,12.18755,12.31156,11.39623,11.04006,10.99802,11.66205,11.44800,11.03783,10.52452
2021,Argenton 132_11kV,04MAY2020,MW,10.47007,10.52991,10.15087,9.57403,10.05301,9.58558,8.88338,8.28451,8.32439,8.06868,7.80295,7.50978,7.71195,7.99284,7.90274,7.83154,7.74640,7.85056,8.02012,8.45928,8.87629,9.40647,9.95053,10.62108,11.45141,12.50209,13.11910,14.18067,14.74871,15.21155,15.12868,14.97722,14.90000,14.58708,14.16937,13.66995,13.17509,12.52224,12.09715,11.58350,11.21306,10.71779,10.48328,10.12378,9.94450,9.50474,9.32531,9.25417,9.22365,9.25155,9.38662,9.33987,9.28890,9.53897,9.80763,10.07141,10.15440,10.28017,10.29722,10.38684,10.37826,10.76039,11.08000,11.70793,12.24327,12.80126,13.37112,14.01270,14.57327,15.74762,16.61067,16.72195,16.40455,16.03497,15.78255,15.22480,15.06338,14.37479,14.85481,14.27355,14.27896,13.77704,13.26175,12.92923,12.62414,12.19748,12.40370,11.80724,11.68063,12.48826,12.25665,11.64295,12.21003,11.77129,11.24513,11.11431
2021,Argenton 132_11kV,05MAY2020,MW,11.46457,11.53678,11.13177,10.61697,10.78501,10.44729,9.86413,9.42796,9.49966,8.98679,8.26027,7.93192,7.95348,7.70324,7.50158,7.61093,7.55549,7.56174,7.83757,8.21485,8.73179,9.20674,9.66532,10.21213,10.94469,11.77790,12.18932,12.64540,12.83485,13.18906,14.05251,14.73805,14.87780,14.55698,13.47978,12.78459,13.72927,13.40893,13.17944,11.76315,11.58458,10.93310,10.33260,11.28212,12.92409,13.90746,13.38105,13.30729,13.53142,13.88078,14.15390,13.53132,13.22608,12.83455,12.83070,12.24693,12.03841,12.59081,12.41016,12.37096,12.42535,13.00017,13.17656,13.25450,13.26094,13.58174,13.91775,14.55462,15.29889,16.24176,16.74915,16.95063,16.41031,16.08079,15.79181,15.44617,14.55461,14.62043,14.85839,14.34241,14.17123,13.86356,13.62641,13.42841,12.66647,12.12684,12.17441,11.68842,11.55091,12.57510,12.36521,11.84187,12.44320,11.68537,11.19305,10.99902
2021,Argenton 132_11kV,06MAY2020,MW,11.29992,11.59602,11.36105,10.76620,10.72585,10.56883,9.94885,9.41196,9.67088,9.14298,8.58943,8.19882,8.11514,7.96408,7.86348,7.70950,7.67334,7.89992,8.26239,8.29698,8.66696,9.09482,9.66369,10.16156,11.00137,11.80367,12.51619,13.17995,13.31442,13.60213,13.57857,13.78372,13.38608,12.98936,12.46250,12.48124,11.89680,11.49471,11.28014,10.94266,10.37885,10.12343,10.24117,10.04941,9.85904,10.02573,10.06051,10.26761,10.32147,10.28915,10.09850,10.09913,9.95109,9.90732,9.96445,10.02051,10.52673,10.54117,10.37258,10.41009,10.87551,11.27080,11.70181,11.79441,11.87917,11.97036,12.77372,13.34043,13.92353,14.78797,15.40096,15.38781,14.98441,14.87345,14.71355,14.56832,14.39262,13.76018,13.83846,13.68381,13.64272,13.19959,12.68045,12.50661,12.32699,11.91362,12.14445,11.51955,11.14648,12.02946,11.84884,11.30003,12.05017,11.50747,10.83529,10.74789
2021,Argenton 132_11kV,07MAY2020,MW,11.11620,11.25543,11.04872,10.53450,10.62482,10.33319,9.73996,9.17030,9.32830,9.01123,8.41059,7.79619,7.67504,7.57924,7.56189,7.39904,7.44018,7.34293,7.53670,8.08246,8.94085,9.40173,9.89210,10.22517,11.24302,12.28972,12.98531,14.11337,14.16352,13.95375,14.15883,14.58371,14.48875,14.12960,14.22681,14.05933,13.81222,13.24462,13.10039,12.88469,12.74492,12.45040,12.67497,12.49494,12.45192,12.27652,12.12568,12.91118,12.84776,12.65656,12.50997,12.02318,11.70510,11.75621,12.12442,12.05010,11.90128,12.62887,11.81466,11.63192,12.54712,12.11054,12.26788,12.07105,12.35657,12.58601,12.88755,13.20566,13.87767,14.38411,15.13883,15.25996,14.67234,14.42595,14.21392,13.83391,13.46371,12.98068,12.97864,12.52826,12.57120,12.23515,11.82409,11.50904,11.32264,10.91007,11.28192,10.90759,10.98707,12.16925,12.12553,11.51215,12.13677,11.79202,11.20342,11.16322
2021,Argenton 132_11kV,08MAY2020,MW,11.49239,11.66977,11.41562,10.67706,10.74358,10.28554,9.80168,9.31117,9.46076,8.96270,8.42103,7.96079,8.05507,7.93625,7.89501,7.65260,7.58966,7.70135,8.06116,8.43286,8.54845,9.00401,9.42186,10.11984,11.41685,12.19791,12.94205,13.41669,13.90501,13.94837,13.58976,13.41826,13.24934,12.75506,12.51257,12.47510,12.04860,11.38381,11.08967,10.85070,10.81074,10.61005,10.38369,10.34265,10.06110,10.05799,10.16654,9.82977,10.01608,9.51241,9.37945,9.88720,9.76306,10.11900,10.15779,10.24672,10.18680,9.94423,10.06853,10.33065,10.36587,10.65186,10.20109,10.52206,10.97155,11.68159,11.87330,12.03996,12.37977,12.98933,13.65287,13.85622,13.24842,12.67627,12.76865,12.63288,12.44078,11.90411,11.51542,11.16389,11.38917,11.18210,10.98121,10.80957,10.41167,10.12525,10.52593,10.15689,9.95708,10.83072,10.75210,10.39381,11.22322,10.83413,10.47809,10.35998
2021,Argenton 132_11kV,09MAY2020,MW,10.73408,10.78819,10.62849,10.03072,10.10509,9.70921,9.26751,8.66163,8.21292,7.91584,7.83723,7.54946,7.53798,7.25068,7.06941,6.95619,6.84967,6.92389,6.97754,6.79031,7.00594,7.20314,7.36643,7.37844,7.74791,8.17827,8.43015,8.77081,8.98827,9.31609,9.27379,9.16719,9.03045,10.12471,9.79684,9.12852,9.38535,10.24849,8.77004,8.89765,7.74643,8.01426,8.67178,6.55659,6.38856,6.44297,7.78065,8.77831,8.52277,7.19590,6.08165,7.76217,7.80713,9.07895,9.41511,9.16808,9.50061,9.63031,9.61878,9.82359,9.80286,10.22942,10.50584,10.47051,10.14242,10.03762,10.28631,10.85978,10.81675,11.59187,12.13501,12.27532,12.16773,11.97995,11.56927,11.21907,10.84737,10.74692,10.94014,10.73885,10.39739,10.22041,9.93117,9.68933,9.52372,9.52461,9.94575,10.82403,11.03926,10.46320,10.16597,10.09416,10.73613,10.59933,10.38901,9.69233
2021,Argenton 132_11kV,10MAY2020,MW,9.76627,9.89711,9.44513,8.91282,9.51430,8.99015,8.12291,7.62764,7.30997,7.27839,7.32227,7.11481,7.13562,7.11238,7.00124,6.78314,6.86776,6.85747,6.91911,6.93141,7.02132,7.09429,7.06301,7.25555,7.68484,7.89331,8.35879,8.50972,8.50446,8.74986,8.87937,8.90170,9.02755,9.08346,9.00454,8.79175,8.49510,8.10013,7.79426,7.71299,7.46558,7.02186,6.61811,6.34349,6.33048,5.83837,5.87719,5.67805,5.67705,5.68366,5.73113,5.42862,5.43719,5.57636,5.59971,5.79405,5.80381,5.80964,6.17301,6.50806,6.95382,7.57112,7.92528,8.56771,9.10997,9.54470,10.37462,11.45782,11.77853,12.62572,13.65278,14.17135,13.79569,13.84704,13.57161,13.55236,13.43522,13.38543,13.46410,13.05195,12.79385,12.60268,12.44270,12.22773,11.77936,11.49593,11.58761,12.38474,12.49537,11.70547,11.03429,10.85869,11.53685,11.39040,10.97553,10.30260
