year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Auburn 33_11kV,01MAY2020,MW,7.31334,7.27593,7.27593,7.27593,6.88314,6.77092,6.90185,7.10759,7.10759,7.18241,7.48168,7.35075,7.31334,7.31334,7.31334,7.57520,7.38816,7.89317,7.94928,8.19244,8.49170,8.49170,8.75356,8.75356,9.53914,9.80100,10.17508,10.64268,11.12899,11.24122,11.57789,12.06420,12.68144,12.56922,13.03682,13.16775,12.98071,13.37350,13.35479,13.39220,13.16775,13.05553,13.35479,13.42961,13.37350,13.27998,12.88719,13.07423,12.98071,12.79367,12.70015,13.33609,13.29868,13.07423,12.66274,12.51310,12.45699,12.13902,12.19513,12.00809,12.17643,12.40088,12.23254,12.40088,12.06420,11.89587,11.98939,11.97068,11.52178,11.44696,10.84843,10.47435,10.02545,10.06285,9.72618,9.33339,9.63266,9.31469,8.95931,8.82838,8.82838,8.82838,8.84708,9.01542,8.32336,8.32336,8.30466,7.78094,7.89317,8.21114,7.78094,7.65001,7.40686,7.40686,7.40686,7.40686
2021,Auburn 33_11kV,02MAY2020,MW,6.97666,6.84573,6.73351,6.73351,6.73351,6.75221,6.77092,6.77092,6.77092,6.77092,6.77092,6.39683,6.15368,6.30331,6.47165,6.45295,6.52776,6.75221,6.77092,7.08889,7.53779,7.53779,7.85576,7.66872,7.44427,7.44427,7.59390,7.65001,7.72483,7.51908,7.93058,8.00539,8.52911,8.73486,9.46432,9.44562,9.67007,9.23987,9.22117,9.20246,8.88449,8.71615,8.90319,8.95931,8.73486,8.49170,8.49170,8.49170,8.49170,8.49170,8.32336,8.45429,8.45429,8.28596,8.43559,8.32336,8.24855,8.24855,8.24855,8.24855,8.24855,8.26725,8.75356,8.75356,8.75356,8.90319,9.35210,9.35210,9.35210,9.22117,8.95931,8.77227,8.49170,8.49170,8.49170,8.49170,8.49170,8.06151,7.98669,7.98669,7.98669,7.98669,7.98669,7.93058,7.65001,7.65001,7.65001,7.23852,7.14500,7.14500,7.14500,6.80833,6.92055,7.10759,6.65869,6.49035
2021,Auburn 33_11kV,03MAY2020,MW,6.49035,6.49035,6.49035,6.49035,6.49035,6.11627,5.98534,5.98534,5.98534,5.98534,5.98534,5.98534,5.98534,5.98534,5.98534,5.98534,6.15368,6.32202,6.49035,6.43424,6.50906,6.69610,6.69610,6.24720,6.24720,6.52776,6.49035,6.06016,6.06016,6.30331,6.56517,6.56517,6.56517,6.84573,7.53779,7.57520,7.78094,7.76224,7.98669,8.00539,8.36077,8.06151,8.00539,8.00539,8.00539,7.98669,7.85576,8.06151,8.15503,8.21114,8.47300,8.13632,8.09891,7.87446,7.87446,8.00539,8.13632,8.37948,8.37948,8.39818,8.41689,8.41689,8.41689,8.64134,8.77227,8.97801,9.07153,9.03412,9.16505,8.99672,8.60393,8.32336,8.32336,8.32336,8.32336,8.04280,8.00539,8.00539,8.00539,8.00539,8.00539,8.00539,8.00539,7.93058,7.48168,7.48168,7.48168,7.10759,6.99537,6.99537,6.99537,6.99537,6.99537,6.99537,6.99537,6.56517
2021,Auburn 33_11kV,04MAY2020,MW,6.54647,6.54647,6.22850,6.13497,6.13497,6.13497,6.13497,6.13497,6.13497,6.13497,6.13497,6.13497,6.13497,6.13497,6.13497,6.13497,6.65869,6.90185,6.97666,6.97666,7.57520,7.91187,7.98669,8.32336,9.27728,9.40821,9.63266,10.10026,10.54916,10.96066,11.82105,12.28865,13.09293,13.33609,13.78499,13.80369,14.00944,13.89721,14.00944,13.97203,13.71017,13.54183,13.74758,13.61665,13.39220,13.44831,13.14905,13.35479,13.39220,13.26127,13.22386,13.09293,13.16775,13.16775,13.18645,13.14905,12.96200,12.98071,13.13034,13.05553,12.51310,12.25125,12.43829,12.34477,12.34477,12.06420,11.85846,11.70882,11.40956,11.37215,10.69880,10.34342,10.15638,10.00674,10.15638,10.24990,10.10026,9.85711,9.78229,9.85711,9.29598,9.31469,9.29598,9.29598,9.10894,8.75356,8.36077,8.32336,8.32336,8.37948,8.08021,8.11762,7.81835,7.53779,8.00539,8.08021
2021,Auburn 33_11kV,05MAY2020,MW,7.81835,7.76224,7.31334,7.23852,7.23852,7.48168,7.38816,7.35075,7.65001,7.65001,7.50038,7.57520,7.44427,7.44427,7.44427,7.70613,7.91187,8.02410,8.30466,8.30466,8.84708,8.60393,8.79097,9.03412,9.72618,9.95063,10.39953,11.09159,11.54049,12.12032,12.45699,12.53181,13.46702,14.00944,14.27130,13.89721,14.04685,14.21519,13.71017,13.97203,14.08426,14.40223,14.34611,14.42093,14.40223,14.47704,14.02814,13.89721,13.41090,13.29868,13.09293,13.46702,13.61665,13.71017,13.74758,14.29000,13.78499,13.84110,13.76628,13.67276,13.20516,13.07423,12.90589,13.11164,12.75626,12.41958,12.41958,12.40088,11.89587,11.48437,11.11029,10.92325,10.81102,10.51176,10.53046,10.26860,10.15638,10.23119,9.80100,9.80100,9.80100,9.93193,9.85711,9.65136,9.20246,9.18376,8.97801,8.52911,8.37948,8.52911,8.62263,8.15503,8.36077,7.98669,8.04280,8.04280
2021,Auburn 33_11kV,06MAY2020,MW,7.74354,7.70613,7.76224,7.70613,7.51908,7.50038,7.48168,7.33204,7.33204,7.33204,7.33204,7.33204,7.07018,7.03278,7.48168,7.35075,7.87446,8.26725,8.00539,8.06151,8.54782,8.54782,8.54782,9.25857,9.46432,9.91322,10.56787,11.01677,11.33474,11.82105,11.85846,12.23254,12.60662,12.92460,13.67276,13.48572,13.76628,13.89721,13.46702,13.61665,13.85981,13.95333,13.95333,14.10296,13.76628,13.82240,13.50443,13.85981,13.85981,13.89721,13.84110,13.80369,14.02814,13.85981,13.65406,13.56054,13.91592,13.65406,13.35479,13.14905,12.70015,12.99941,13.20516,13.05553,12.83107,12.75626,12.98071,12.40088,12.19513,11.87716,10.99806,10.49305,10.23119,10.06285,10.26860,10.49305,10.36212,10.10026,10.00674,10.00674,9.95063,9.59525,9.59525,9.46432,9.09024,9.05283,8.52911,8.24855,8.30466,8.41689,8.41689,8.41689,8.36077,8.30466,7.74354,7.91187
2021,Auburn 33_11kV,07MAY2020,MW,8.08021,7.87446,7.61261,7.53779,7.42556,7.53779,7.63131,7.65001,7.48168,7.33204,7.33204,7.55649,7.53779,7.36945,7.57520,7.12630,7.68742,7.65001,8.00539,8.02410,8.62263,8.94060,8.67874,8.99672,9.31469,9.78229,10.24990,10.79232,11.24122,11.89587,12.23254,12.41958,12.94330,13.56054,13.95333,14.27130,14.49575,14.51445,14.58927,14.38352,14.30871,14.08426,14.06555,14.17778,14.10296,13.85981,13.85981,13.85981,13.85981,14.19648,13.95333,13.78499,14.43964,14.10296,13.99073,13.76628,14.17778,14.17778,14.23389,13.95333,13.80369,13.65406,13.27998,13.33609,12.71885,12.73755,12.71885,12.60662,12.40088,11.97068,11.57789,11.40956,11.35344,11.35344,11.35344,10.99806,11.20381,10.82973,10.60528,10.21249,10.24990,9.83840,9.87581,9.87581,9.12765,8.75356,8.45429,8.24855,8.21114,7.94928,7.87446,7.87446,7.87446,7.87446,7.81835,7.44427
2021,Auburn 33_11kV,08MAY2020,MW,7.57520,7.61261,7.23852,7.07018,7.07018,7.07018,7.16371,7.27593,7.23852,7.23852,7.23852,7.23852,7.23852,7.10759,7.12630,7.29463,7.66872,7.83706,7.94928,8.13632,8.41689,8.41689,8.37948,8.30466,8.67874,9.25857,9.46432,9.85711,10.39953,10.88584,10.92325,11.48437,12.00809,11.98939,12.40088,12.81237,12.71885,12.71885,12.98071,12.88719,12.96200,12.98071,12.92460,13.16775,13.11164,13.41090,13.56054,13.44831,13.46702,13.52313,13.61665,13.63536,13.93462,14.08426,13.63536,13.74758,13.91592,13.82240,14.04685,13.42961,13.31738,13.11164,12.96200,12.92460,12.79367,12.60662,12.64403,12.55051,11.95198,11.40956,10.58657,10.23119,9.55784,9.31469,9.33339,9.22117,8.95931,8.82838,8.56652,8.56652,8.62263,8.58522,8.56652,8.45429,7.87446,7.68742,7.61261,7.61261,7.50038,7.14500,7.14500,7.05148,6.82703,6.82703,6.82703,7.05148
2021,Auburn 33_11kV,09MAY2020,MW,6.73351,6.73351,6.73351,6.47165,6.43424,6.43424,6.28461,5.89182,5.89182,5.89182,5.89182,5.89182,5.89182,5.89182,5.89182,5.89182,6.07886,6.19109,6.24720,6.49035,6.65869,6.69610,6.69610,6.69610,6.99537,6.99537,7.16371,7.23852,7.65001,7.65001,7.65001,7.65001,8.13632,8.39818,9.14635,9.07153,9.25857,9.18376,9.35210,9.35210,9.68877,9.61395,9.44562,9.85711,10.11897,9.83840,9.05283,9.05283,9.09024,9.29598,9.52043,9.01542,9.68877,9.89452,9.72618,9.38950,9.38950,9.35210,9.48302,9.33339,9.67007,9.46432,9.46432,9.46432,9.46432,9.50173,9.76359,9.81970,9.57655,9.37080,9.03412,8.49170,8.49170,8.19244,7.98669,7.98669,7.98669,7.98669,7.70613,7.57520,7.53779,7.35075,7.27593,7.27593,7.27593,6.82703,6.77092,6.77092,6.77092,6.77092,6.77092,6.32202,6.19109,6.19109,6.19109,6.19109
2021,Auburn 33_11kV,10MAY2020,MW,6.19109,6.19109,6.13497,5.92923,5.92923,5.92923,5.92923,5.92923,5.83571,5.62996,5.62996,5.62996,5.62996,5.62996,5.62996,5.62996,5.62996,5.72348,5.89182,5.89182,5.89182,5.89182,5.89182,5.89182,5.89182,5.89182,6.15368,6.11627,6.04145,6.39683,6.39683,6.39683,6.39683,6.39683,6.67740,7.08889,7.27593,7.27593,7.33204,7.61261,7.61261,8.00539,8.15503,8.15503,7.66872,7.85576,8.08021,7.83706,8.00539,8.04280,8.04280,8.15503,7.89317,8.06151,8.08021,8.08021,8.08021,8.08021,8.08021,8.08021,7.81835,8.13632,8.13632,8.41689,8.45429,8.60393,8.75356,8.75356,8.69745,8.41689,8.32336,8.21114,8.04280,7.98669,7.98669,7.98669,7.98669,7.98669,7.98669,7.98669,7.79965,7.50038,7.50038,7.50038,7.50038,7.23852,6.99537,6.99537,6.99537,6.99537,6.99537,6.99537,6.99537,6.99537,6.99537,6.99537
