year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Avoca 66_11kV,01MAY2020,MW,17.76287,18.59156,19.23634,17.84215,16.87564,15.37737,16.51999,16.00251,14.37580,13.23197,12.23450,11.74782,10.97578,10.62306,10.23146,10.17709,9.85246,9.99086,9.94755,10.09945,10.30603,10.73237,11.08878,11.56854,12.45679,13.63294,14.82143,15.89690,15.04797,15.41637,15.84836,15.97569,16.30186,16.33216,15.75546,15.51899,14.86965,14.41264,13.93901,13.46975,13.10287,12.61480,12.35658,11.81845,11.34614,11.13035,11.05851,10.90101,10.87541,10.76534,10.82735,11.66813,11.05490,10.79610,10.96218,10.69638,10.89390,11.46485,11.70423,12.02006,12.35580,13.12491,13.63676,14.37171,15.24173,16.29563,17.64789,18.93950,20.05668,21.81166,23.58706,25.14586,25.44740,25.55344,25.43405,25.01903,24.36056,23.46582,23.04838,22.36730,22.48521,22.16359,21.90246,21.40376,21.21438,20.61472,19.84568,18.50906,18.26355,18.21182,19.64060,18.75175,18.89605,19.13358,19.99479,19.82268
2021,Avoca 66_11kV,02MAY2020,MW,19.22765,20.36616,21.00475,19.10819,18.07483,16.42961,17.73250,16.66946,15.49168,14.13375,13.42403,12.28366,11.67619,11.07836,10.95090,10.52180,10.25698,10.13588,10.06444,10.15515,10.22393,10.36763,10.55148,10.72044,11.25286,11.98724,12.78590,13.48960,13.16244,13.67302,14.13693,14.47981,14.90375,14.89915,14.92532,14.89115,14.68603,14.55042,14.47806,14.00722,13.41162,12.91091,12.58007,12.11382,11.70052,11.53072,11.36562,11.36764,11.17525,11.05438,10.82439,10.71935,10.70757,10.58979,10.77891,10.82372,11.07529,11.20189,11.64175,12.03387,12.62566,13.01692,13.79332,14.48706,15.09906,16.06168,17.20569,18.60510,19.53265,20.89662,22.87970,23.90384,24.13804,24.09269,23.56043,23.17194,22.45879,21.69800,21.24088,20.47506,20.73074,20.39175,20.39834,19.64756,19.27332,19.11777,18.46488,17.55275,17.34703,17.15476,18.98186,18.09565,18.37002,18.46503,19.58848,19.55573
2021,Avoca 66_11kV,03MAY2020,MW,19.19987,20.05570,20.82507,19.39455,18.42391,16.87357,17.86065,17.08076,15.73566,14.78306,13.60173,12.84672,12.20898,11.48618,11.01329,10.52372,10.42272,10.33179,10.15793,10.31567,10.29216,10.24734,10.40786,10.66179,11.33581,11.67618,12.53571,13.38385,13.22092,13.78723,14.24232,14.58029,15.20108,15.46045,15.37017,15.26306,15.11649,14.88588,14.31022,13.87266,13.58138,12.85054,12.33810,11.95060,11.34241,11.21493,10.99772,10.86552,10.74957,10.53072,10.54954,10.52941,10.62158,10.57712,10.58108,10.80229,10.90520,11.01425,11.42187,11.73491,12.23950,12.69376,13.16901,14.03965,14.67082,15.74942,16.98074,18.36558,19.19682,20.80576,22.99455,23.97736,24.24163,24.32607,23.93233,23.41648,22.55581,21.84162,21.06176,20.62580,20.87748,20.75251,20.23068,19.76861,19.20692,18.77504,18.25063,16.99671,16.60209,16.34103,18.23936,17.10292,17.53722,18.07183,19.09202,19.07797
2021,Avoca 66_11kV,04MAY2020,MW,18.77934,19.59091,20.28377,19.01778,17.97206,16.49352,17.92074,17.09700,15.58814,14.44004,13.46390,12.38428,11.73596,11.33501,10.81628,10.42797,10.25705,10.35388,10.44532,10.53801,10.77367,11.09096,11.47483,12.06018,13.14426,14.29222,15.43131,16.74271,16.21503,16.75988,17.27399,17.66800,17.61508,17.51045,17.06530,16.43949,15.77551,15.16690,14.48371,13.89663,13.36848,12.55021,12.12365,11.50087,10.95929,10.48639,10.25051,10.34420,10.43022,10.62961,10.59565,10.51685,10.81177,10.51573,10.74432,10.50887,10.56314,10.87370,10.91439,11.02974,11.45972,12.13155,12.47731,13.46006,14.35946,15.25819,16.68072,18.17702,19.45129,21.68715,23.63434,24.73399,25.08494,25.13944,24.63590,23.73159,22.74330,21.99433,21.15691,20.47707,20.72249,20.29635,20.12854,19.57228,18.89123,18.40055,17.46026,16.45193,16.04470,15.90858,17.70654,16.60795,16.79947,17.28029,18.28348,18.38589
2021,Avoca 66_11kV,05MAY2020,MW,18.00784,18.86807,19.42965,18.16205,17.09837,15.67128,16.83708,16.16756,14.93427,13.55335,12.58718,11.64019,11.16311,10.68016,10.26736,10.02352,9.82616,9.83824,9.77197,9.90697,10.24870,10.41081,10.63280,10.98764,11.94366,13.05090,13.96915,14.95881,14.64121,15.19151,15.77671,15.97727,16.50271,16.65108,17.29802,17.43067,16.95575,17.12801,17.20363,16.72101,16.21440,16.07269,16.15231,14.74833,14.88934,15.10403,15.51718,15.38929,13.99901,13.11563,14.02381,13.74253,12.59212,11.87692,11.61183,11.36508,11.11258,11.12592,11.19854,11.71001,11.94401,12.05843,12.52189,13.00093,13.99112,14.61872,15.50981,16.79938,17.99101,19.86865,21.87915,23.38963,23.64737,23.51818,23.18269,22.36527,21.54439,20.79833,20.16431,19.48633,19.41070,19.10431,18.64087,18.19238,17.64597,17.29065,16.68987,15.74325,15.62007,15.39742,17.48833,16.49085,16.85609,17.04121,18.01832,18.00343
2021,Avoca 66_11kV,06MAY2020,MW,17.58660,18.63358,19.32071,17.66658,16.85375,15.34405,16.64902,15.88420,14.59258,13.46013,12.28517,11.43001,10.76015,10.42819,10.09810,9.96750,9.78667,9.77855,9.73093,9.83251,9.97387,10.41593,10.74598,11.18306,11.92124,13.21809,14.26293,15.02992,14.35628,14.89053,15.14486,15.31652,15.24826,15.01080,14.63345,14.05246,13.45751,12.78815,12.22126,11.79618,11.22886,10.76918,10.49037,10.13862,10.18797,10.07995,9.87535,9.99915,10.13452,10.38911,10.23074,9.86937,9.73924,9.50866,9.42201,9.76269,9.74813,9.88190,10.21993,10.47080,10.73540,11.04433,11.76606,12.39453,13.11387,13.84220,14.75746,15.95126,16.82632,18.60016,20.37459,21.45196,21.79234,22.08686,21.86844,21.22707,20.27542,19.61435,19.07796,18.55154,18.65790,18.49049,18.19424,17.81900,17.49784,17.17721,16.58751,15.44312,15.41158,15.33788,17.18376,16.32298,16.66534,16.91154,17.85069,18.02082
2021,Avoca 66_11kV,07MAY2020,MW,17.69045,18.47517,19.15533,17.58697,16.72261,15.36739,16.53063,15.75603,14.45558,13.33827,12.36299,11.53489,11.06592,10.56066,10.25001,10.04743,9.95988,9.81385,9.83310,9.95947,10.15738,10.45994,10.69264,11.33545,12.24844,13.05548,14.29350,15.26381,14.31958,14.83139,15.33550,15.61243,15.57854,15.48111,15.62323,15.54467,15.42459,14.95932,14.76991,14.23865,13.67525,13.28867,12.84053,12.81357,12.27060,12.04240,11.82515,11.47082,11.35879,11.02927,10.72965,10.98806,10.63357,9.64145,9.87104,10.12793,10.83445,10.11798,10.42970,10.59791,10.73509,11.38506,11.78792,12.36153,12.85185,13.53295,14.51807,15.82245,16.68786,18.18927,19.72274,20.65798,21.01121,21.12944,20.91851,20.38252,19.46871,18.77599,18.41776,17.68309,17.74015,17.61566,17.46914,17.16217,17.00550,16.47905,15.92504,15.04110,15.06803,15.14229,16.81695,16.16198,16.42690,16.66014,17.42980,17.52758
2021,Avoca 66_11kV,08MAY2020,MW,17.28045,18.03099,18.81740,17.24987,16.53183,14.88648,16.03542,15.36139,14.30937,12.91262,11.97411,11.34719,10.70026,10.18945,9.87272,9.67202,9.52170,9.49221,9.41524,9.42126,9.72188,9.98041,10.34058,10.71168,11.45874,12.20502,13.06411,13.84879,13.21982,13.59672,13.88630,13.97975,13.81487,13.71981,13.28202,12.93972,12.65653,12.15293,11.69125,11.18691,10.74914,10.40305,9.98210,9.69171,9.34327,9.17900,9.28271,9.14079,9.02050,8.89843,9.02685,9.06043,9.01355,9.10680,9.05226,9.34094,9.51266,9.75818,10.10911,10.42154,10.79900,11.17694,11.64038,12.06888,12.62928,13.21785,13.80118,14.65399,15.19251,16.36315,17.85780,18.67647,18.96547,18.87113,18.41504,18.06224,17.44323,16.70018,16.33524,15.78764,16.02277,15.73630,15.48404,15.44981,15.20120,14.90058,14.55248,13.82934,13.79593,13.97608,16.03207,15.35625,15.80983,16.23880,17.22750,17.12100
2021,Avoca 66_11kV,09MAY2020,MW,16.93947,17.71197,18.39118,16.95478,15.91249,14.42335,15.72898,14.94263,13.50548,12.27810,11.37710,10.66354,10.07243,9.75891,9.35606,9.09857,8.99739,8.92111,8.67839,8.84605,8.97756,9.01526,9.23196,9.53453,9.93178,10.35077,10.80473,11.20588,10.83031,11.17453,11.60869,11.82148,12.55826,13.32557,13.03867,12.38743,12.27150,12.02686,11.79797,12.00480,13.17281,12.03068,10.13970,10.15977,10.14093,12.91525,11.94057,11.81021,11.51504,10.17340,10.14094,10.05694,9.93480,9.35531,11.60783,11.14017,12.09515,11.99583,12.18021,12.56550,12.91474,13.33644,13.58342,13.55838,13.51512,13.58555,14.02352,14.89406,15.37520,17.00240,18.41676,19.04776,19.29033,18.92921,18.64660,18.33455,17.68642,16.92270,16.19534,15.89883,16.29329,16.02536,15.89096,15.70516,15.40292,15.16479,14.85354,14.33420,14.36631,14.57622,16.46291,15.77344,16.21560,16.63075,17.71277,17.68531
2021,Avoca 66_11kV,10MAY2020,MW,17.46532,18.33859,18.96942,17.47470,16.48963,14.94606,16.18545,15.36923,13.97766,12.79949,11.80823,11.07324,10.42105,10.06146,9.65674,9.40404,9.27434,9.17798,8.99573,9.05906,9.08596,9.26468,9.31196,9.73655,10.13261,10.58971,11.20027,12.11989,11.93589,12.58126,13.19557,13.85152,14.25249,14.61310,14.73625,14.83027,14.85481,14.43646,14.20141,13.72659,13.24311,12.68753,12.13569,11.83424,11.43221,11.22964,10.92063,10.67714,10.65772,10.39521,10.15394,10.27644,10.09210,10.06941,10.13169,10.11832,10.19740,10.36088,10.60256,11.02583,11.46030,12.14946,12.63391,13.38112,14.05518,15.16004,16.38834,17.74447,18.47747,20.17489,21.66117,22.66028,22.87717,22.94315,22.98382,22.63492,22.32067,21.56360,21.17631,20.68619,20.98901,20.65192,20.40014,19.98678,19.19082,18.64637,17.92552,16.80899,16.42101,16.26562,18.04370,17.04947,17.12004,17.39752,18.63097,18.57932
