year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Avondale 33_11kV,01MAY2020,MW,4.57885,4.33599,4.27197,4.14684,3.90807,3.56916,3.42882,3.46388,3.32511,3.17613,2.99923,2.91258,2.80249,2.79336,2.78764,2.71749,2.66034,2.67199,2.67978,2.70161,2.74689,2.86866,3.05342,3.23759,3.46396,3.60938,3.70583,3.72559,3.64158,3.72302,3.71764,3.65816,3.62222,3.43442,3.13930,2.87276,2.66652,2.50459,2.43525,2.23192,1.98449,2.28124,1.90676,1.88666,2.21783,1.92588,2.58787,2.35723,2.94675,2.26341,1.98964,1.93063,1.67049,1.84515,1.98126,1.60727,1.49186,1.58508,1.96773,2.12725,2.11546,2.41214,2.51065,2.83508,3.35594,3.49128,3.76958,4.10838,4.37428,4.76281,5.13079,5.32838,5.30182,5.30328,5.22276,5.09830,5.01189,4.96412,4.85600,4.77264,4.63186,4.51267,4.42140,4.36488,4.23355,4.11863,4.11582,3.97076,4.71211,4.51230,4.38808,4.25183,4.42662,4.28244,4.37916,4.56916
2021,Avondale 33_11kV,02MAY2020,MW,4.75437,4.52417,4.43885,4.36329,4.07489,3.82375,3.50206,3.21678,3.46950,3.35159,3.23813,3.07639,2.92760,2.89874,2.86775,2.76909,2.67546,2.59384,2.65789,2.67202,2.74830,2.78369,2.76954,2.82368,2.93605,3.03398,3.14162,3.32146,3.36679,3.33294,3.34866,3.37532,3.34814,3.29835,3.26316,3.14374,2.94595,2.70958,2.49270,2.36235,2.12687,1.93304,1.68138,1.59490,1.47448,1.44263,1.40301,1.41850,1.40166,1.31851,1.33120,1.34001,1.25426,1.23416,1.30412,1.35483,1.43037,1.54678,1.66310,1.84041,2.16656,2.30947,2.49947,2.73004,3.02452,3.32460,3.62093,3.93146,4.07130,4.34728,4.64167,4.82246,4.86350,4.78261,4.74782,4.64412,4.59450,4.59846,4.34789,4.28235,4.21330,4.00783,3.97705,3.90669,3.89966,3.77666,4.42276,4.12368,3.97611,3.82217,3.86921,3.77016,4.20567,4.00456,3.81428,3.82589
2021,Avondale 33_11kV,03MAY2020,MW,3.90824,3.65886,3.62376,3.64391,3.39898,3.13556,2.96820,2.85919,3.01462,2.91107,2.81788,2.73443,2.66055,2.67978,2.60237,2.55060,2.56832,2.60121,2.55195,2.59290,2.60116,2.67214,2.78586,2.85267,2.86721,3.01501,3.23100,3.34950,3.39733,3.42997,3.43075,3.46052,3.39269,3.33500,3.20829,3.11255,2.95196,2.74864,2.60039,2.38708,2.13744,1.90686,1.77179,1.74779,1.54648,1.40894,1.38147,1.38328,1.38448,1.36632,1.59432,1.46220,1.51139,1.34860,1.45097,1.56708,1.80289,1.71568,2.06414,1.91617,2.57268,2.38397,2.48424,2.83298,3.22089,3.55698,3.73711,3.98147,4.29482,4.74897,4.96627,5.05356,5.15522,5.10115,5.05241,5.00417,4.82207,4.77716,4.67651,4.58500,4.48445,4.43123,4.32095,4.22008,4.15418,4.01761,4.54923,4.32891,4.22866,3.98577,3.96223,3.83943,4.22673,4.08279,3.91256,4.01198
2021,Avondale 33_11kV,04MAY2020,MW,4.05655,3.86250,3.79486,3.75026,3.54884,3.32501,3.18366,3.16226,3.15075,3.04936,2.92633,2.86604,2.84530,2.86472,2.73548,2.71171,2.77013,2.85398,2.87733,2.90587,2.98076,3.05539,3.28440,3.52290,3.71943,3.97769,4.23027,4.31696,4.21767,4.37018,4.43189,4.46073,4.27766,4.17438,3.75851,3.47781,3.21151,2.94438,2.64662,2.37021,2.22630,1.93359,1.70167,1.67033,1.53962,1.36871,1.31500,1.36118,1.35888,1.27947,1.27068,1.35691,1.35908,1.36385,1.48268,1.91709,1.81805,1.86291,1.95310,2.02997,2.18654,2.32611,2.83404,2.92501,3.19180,3.38543,3.66601,3.95005,4.21470,4.60969,5.03247,5.17539,5.33331,5.32617,5.19386,5.15021,5.14833,5.14190,4.84550,4.71248,4.63895,4.53307,4.39668,4.37427,4.23154,4.05724,4.03314,3.95224,4.60821,4.38144,4.17173,4.04643,4.25949,4.08360,4.18001,4.35881
2021,Avondale 33_11kV,05MAY2020,MW,4.56331,4.36489,4.21037,4.12643,3.91107,3.65459,3.51646,3.40856,3.37762,3.15953,2.97363,2.84812,2.80820,2.75481,2.67883,2.69955,2.72896,2.69121,2.66878,2.71147,2.86750,2.94761,3.00943,3.19333,3.37540,3.70737,3.77020,3.71511,3.71523,3.58294,3.68487,3.84480,3.86812,4.12365,3.97654,3.67074,3.41113,3.93121,3.55050,2.48054,2.40925,3.30075,3.60052,3.41296,2.97505,2.76393,3.28094,3.26655,3.29381,3.33591,3.69294,3.62908,3.29843,3.20704,3.34304,3.29192,3.11904,3.00496,3.37701,3.61523,3.65677,3.59509,3.69173,3.86597,4.09918,4.32057,4.54783,4.75518,4.94534,5.22225,5.48906,5.54859,5.53962,5.46820,5.41034,5.23910,5.09727,5.00971,4.78202,4.74572,4.64788,4.58005,4.39154,4.33173,4.24099,4.08366,4.01651,3.94559,4.74466,4.47103,4.29739,4.13516,4.40979,4.21999,4.29401,4.53574
2021,Avondale 33_11kV,06MAY2020,MW,4.64362,4.50333,4.41861,4.30840,4.05794,3.79039,3.57139,3.68454,3.59989,3.32540,3.15784,3.06550,2.96476,2.91898,2.90294,2.85017,2.90553,2.90563,2.84356,2.90817,3.07273,3.12220,3.32432,3.52717,3.65141,3.89565,4.13274,4.08576,4.04141,4.12786,4.19762,4.15220,4.11332,3.89961,3.59207,3.31116,3.00636,2.63731,2.40153,2.15620,1.99281,1.71642,1.60604,1.52954,1.43237,1.28205,1.32163,1.24919,1.24826,1.41235,1.54163,1.47998,1.26104,1.22783,1.27806,1.38798,1.46998,1.57932,1.73515,1.90502,2.05694,2.28851,2.55537,2.75418,2.96372,3.19695,3.48194,3.75175,3.96554,4.37856,4.76120,4.81860,4.85409,4.88285,4.85690,4.80745,4.64065,4.63415,4.49204,4.44972,4.40757,4.23873,4.15016,4.10191,3.98458,3.85950,3.88366,3.79262,4.48722,4.25179,4.06612,3.92830,4.14390,4.04322,4.20583,4.40398
2021,Avondale 33_11kV,07MAY2020,MW,4.55314,4.38745,4.28816,4.22586,4.08620,3.75033,3.53599,3.62613,3.53974,3.32584,3.16185,3.02088,2.95595,2.88666,2.84687,2.76071,2.75305,2.78367,2.80602,2.91601,3.05661,3.13568,3.31940,3.49138,3.71900,3.97713,4.09709,3.99870,3.98667,4.07782,4.18313,4.10270,4.16004,4.13647,4.04261,3.95807,3.79204,3.58438,3.28199,3.31154,3.04461,2.83457,2.69838,2.61006,2.53249,2.19426,2.35983,2.56003,2.79189,2.53294,2.20886,2.05898,2.13948,1.89496,2.12884,2.19187,1.64136,2.52655,2.25859,2.30117,2.52242,2.57559,2.86535,2.80120,2.89372,3.22344,3.46524,3.74101,2.87750,2.76238,2.95108,3.05376,3.03004,3.10696,3.09614,3.00352,2.88602,2.85959,2.76374,2.70351,2.61279,2.73715,3.90658,4.04221,3.92764,3.77243,3.78435,3.69327,4.32348,4.18467,4.02210,3.87815,4.13766,4.02255,4.17885,4.31032
2021,Avondale 33_11kV,08MAY2020,MW,4.56035,4.30164,4.16007,4.11152,3.84185,3.62350,3.52068,3.47283,3.37848,3.18997,3.01269,2.89725,2.87366,2.76294,2.72239,2.74556,2.70924,2.79230,2.86745,2.84915,2.92072,3.08091,3.21469,3.27931,3.47824,3.70823,3.86178,3.79743,3.75771,3.81089,3.77778,3.68942,3.64868,3.43077,3.12000,2.84342,2.71852,2.40082,2.26868,2.07636,1.89863,1.65651,1.49982,1.43762,1.35074,1.21932,1.16419,1.21895,1.13831,1.14264,1.18507,1.23069,1.16725,1.18758,1.29266,1.35937,1.45984,1.61777,1.77421,1.92300,2.07038,2.26608,2.47106,2.69582,2.98511,3.16174,3.33010,3.47459,3.63921,3.82946,4.10960,4.07247,4.12722,4.15022,4.03420,3.98801,3.91746,3.94575,3.76327,3.70706,3.63073,3.61323,3.52626,3.45675,3.33974,3.31329,3.40451,3.37986,4.10337,3.92182,3.75925,3.67930,3.93789,3.81725,3.91288,4.04942
2021,Avondale 33_11kV,09MAY2020,MW,4.19319,4.12641,4.06392,3.94135,3.74012,3.51698,3.29417,3.12742,3.29868,3.17343,2.98742,2.84041,2.74302,2.67806,2.64927,2.59944,2.51432,2.54196,2.53309,2.59556,2.61340,2.66524,2.69479,2.71860,2.85838,2.96302,3.10555,3.23718,3.37033,3.37819,3.37410,3.28173,3.62159,3.72868,3.65339,3.62913,3.45589,3.14171,3.34564,3.19273,3.08708,2.25266,2.15351,1.63745,1.42954,1.42004,1.21334,2.52233,2.57553,2.12956,0.88765,1.13664,2.38171,2.42282,2.54194,2.37428,2.56081,2.80683,2.93406,3.06618,3.18174,3.44134,3.62876,3.25349,3.22053,3.37827,3.36412,3.47028,3.72167,3.97599,4.22743,4.33239,4.31582,4.25042,4.18360,4.19778,4.09120,4.04385,3.85443,3.81818,3.73328,3.78804,3.71020,3.66101,3.62903,3.52779,4.10751,3.82207,3.72202,3.57410,3.61074,3.48501,3.94187,3.83799,3.69433,3.73282
2021,Avondale 33_11kV,10MAY2020,MW,3.82742,3.63830,3.58916,3.61009,3.26418,2.97720,2.84682,2.73525,2.91453,2.79671,2.71911,2.63302,2.64899,2.62751,2.59952,2.57509,2.53212,2.54147,2.49902,2.54714,2.63069,2.66711,2.73021,2.80875,2.89990,3.02801,3.14565,3.22205,3.28159,3.40360,3.42748,3.43150,3.44238,3.34270,3.33635,3.21827,3.22309,2.97056,2.74366,2.62796,2.44704,2.19732,1.93763,1.84159,1.68791,1.51123,1.52883,1.53952,1.49043,1.46970,1.50432,1.35260,1.27699,1.34877,1.36556,1.38343,1.42712,1.56654,1.69926,1.90195,2.08575,2.38637,2.49180,2.89912,3.15584,3.47947,3.82433,4.13258,4.48928,4.75703,5.09837,5.30909,5.35660,5.34504,5.31082,5.22496,5.16005,5.10808,5.09409,5.00712,5.00037,4.99592,4.86946,4.69756,4.62166,4.45354,4.95241,4.62244,4.49728,4.31112,4.34916,4.18184,4.51850,4.32132,4.14138,4.17039
