year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Balgowlah North 132_11kV,01MAY2020,MW,10.56599,10.25561,9.92881,9.87267,10.58901,10.14727,9.77016,9.38241,9.14845,8.81525,8.68537,8.50257,8.44055,8.30963,8.25929,8.24240,8.24472,8.31191,8.35096,8.42263,8.69386,8.85378,9.08656,9.46602,10.26291,10.90485,11.68013,12.43404,13.18445,14.04035,14.85226,15.46113,15.97695,16.14244,15.98161,15.68521,15.59053,15.32447,14.82643,14.48392,13.99475,13.85890,13.78182,13.61967,13.35813,12.99331,13.06960,12.91734,12.83538,12.82215,13.00765,13.10438,13.05544,13.37479,13.12615,12.98147,12.85838,13.02627,13.46879,13.73173,13.40593,13.57534,14.00710,14.31740,14.92885,15.43625,16.26138,16.94347,17.74613,18.91752,20.63145,21.80870,22.34184,22.59638,22.53469,22.18857,21.71909,20.98384,20.55190,20.24390,19.63333,19.51982,19.67336,18.81709,18.18898,17.72667,17.23895,16.52673,16.57458,16.23156,15.26641,14.57128,14.16551,13.27417,12.82627,12.17117
2021,Balgowlah North 132_11kV,02MAY2020,MW,11.77062,11.38395,10.98358,10.78866,11.56230,11.06478,10.57373,10.09703,9.78190,9.49605,9.35126,9.10498,8.96795,8.92634,8.81164,8.74214,8.73260,8.71583,8.64679,8.63168,8.70478,8.80585,9.07032,9.32259,9.80355,10.35916,10.78639,11.27463,11.91614,12.52205,13.22724,13.78795,14.20113,14.39534,14.53630,14.69465,14.73090,14.87270,14.91595,14.68804,14.60531,14.29827,14.05276,13.76682,13.53702,13.13670,12.99515,12.87775,12.90435,12.91001,12.91628,12.94219,12.98130,12.79844,12.85873,13.02446,12.99100,12.99367,13.19836,13.39640,13.62924,13.84196,13.92492,14.40335,14.88462,15.56467,16.32126,17.21217,18.14954,19.48083,21.20270,22.25797,22.66844,22.72180,22.58122,22.24707,21.67275,20.82363,20.16197,19.52979,19.15653,18.98079,19.21737,18.44849,17.92376,17.44201,16.98379,16.32761,16.17894,15.78135,14.84535,14.16961,13.87655,13.05227,12.74666,12.19785
2021,Balgowlah North 132_11kV,03MAY2020,MW,11.83860,11.45385,11.03227,10.88965,11.65547,11.21295,10.76287,10.37753,10.24365,9.92096,9.72192,9.47921,9.32750,9.14115,9.04222,8.89315,8.89011,8.82354,8.77257,8.80652,8.84198,8.99466,9.09041,9.41399,9.78110,10.23486,10.73547,11.20358,11.76015,12.55479,13.25774,13.64211,14.19632,14.64193,14.90075,14.99880,15.19584,15.00588,15.02857,15.03943,14.81501,14.50087,14.37703,13.88030,13.60244,13.26586,13.43178,12.86057,12.60985,12.62589,12.53815,12.51558,12.58962,12.54940,12.60302,12.44870,12.57544,12.63902,12.71777,12.94777,13.15033,13.49741,13.88762,14.35686,14.87105,15.45534,16.14088,17.38519,18.20140,19.77517,21.49760,22.68633,23.07558,23.36876,23.05915,22.48119,21.77168,21.17777,20.66369,20.04803,19.51836,19.47136,19.55249,18.72291,17.83087,17.03162,16.42894,15.44875,15.31365,14.73256,13.76121,13.02287,12.73498,11.98869,11.86670,11.41262
2021,Balgowlah North 132_11kV,04MAY2020,MW,11.03466,10.83200,10.46842,10.43212,11.23119,10.77027,10.38340,10.07341,9.82716,9.60951,9.33344,9.18782,9.07101,8.95345,8.81989,8.80337,8.85633,8.80518,8.82341,8.96996,9.15356,9.47882,9.76248,10.27982,11.00332,11.82513,12.78344,13.87236,14.51903,15.56901,16.29209,16.84978,17.29139,17.32042,17.25137,17.16521,16.92942,16.63175,16.01143,15.68422,15.27059,14.79251,14.44308,14.18380,13.87292,13.51745,13.20694,13.44241,14.16471,13.97780,14.08835,13.99121,13.96509,13.88466,13.91440,13.61743,13.05734,13.63532,13.82347,13.91210,14.03651,14.09329,14.28242,14.70862,15.21022,15.85492,16.86316,18.05838,19.24051,21.11796,22.96743,24.15766,24.63712,24.86366,24.43167,23.91366,23.27397,22.58425,21.72435,21.15590,20.42945,20.07320,20.05535,18.95619,18.24029,17.39600,16.77185,15.83739,15.76959,15.25241,14.24597,13.47409,13.13847,12.32955,11.93770,11.36413
2021,Balgowlah North 132_11kV,05MAY2020,MW,11.06046,10.82257,10.39823,10.39685,11.19985,10.74972,10.35795,10.03240,9.73380,9.46432,9.26287,9.11089,9.05577,8.90125,8.88326,8.79059,8.76060,8.78020,8.77267,8.84933,9.03263,9.21189,9.73169,10.11638,10.69236,11.32848,12.21384,13.29590,13.87366,14.86709,16.44781,17.48569,18.35571,18.65297,18.43511,18.29853,17.55409,17.12918,16.20264,15.83672,15.90899,16.09556,16.37654,16.01714,15.45997,15.57016,15.24168,14.18239,14.79879,15.22745,14.10447,13.85145,14.06137,13.39500,13.41055,13.20537,12.93919,13.23005,13.35713,13.38863,13.44046,13.84982,14.33152,14.67779,14.82431,15.10640,15.62515,16.39388,17.38473,18.92023,20.82798,22.00886,22.64467,23.08146,22.83665,22.37754,21.55341,20.83837,20.34538,19.74874,19.32014,18.92114,19.17826,18.28975,17.53803,16.89683,16.35725,15.41529,15.26381,14.87499,14.04875,13.31141,13.00831,12.08322,11.81511,11.29292
2021,Balgowlah North 132_11kV,06MAY2020,MW,11.00930,10.65662,10.37122,10.28139,11.04658,10.66635,10.25769,9.88479,9.69541,9.41710,9.15823,9.02221,9.00805,8.79358,8.70743,8.73900,8.73336,8.73902,8.73463,8.83106,9.02206,9.33154,9.62048,10.04206,10.82084,11.58262,12.40735,13.29441,14.04761,14.78191,15.47853,15.97546,16.24834,16.54120,16.47821,16.26827,15.87001,15.28493,14.70298,14.35460,14.26258,13.81841,13.56760,13.23676,13.10661,12.88408,12.27591,12.25553,12.36454,12.29807,12.43106,12.35627,12.43523,12.30566,12.15502,12.04393,11.94805,12.00341,12.09793,12.23440,12.35208,12.64473,12.94362,13.23580,13.60923,14.14274,14.79933,15.58308,16.60321,18.26803,20.02736,21.13477,21.57259,21.72191,21.53225,21.21233,20.28628,19.80094,19.29865,18.71968,18.32972,18.26648,18.38868,17.52042,16.73903,16.14637,15.54790,14.76801,14.87939,14.59030,13.82208,13.14716,12.78747,11.83061,11.64582,11.12615
2021,Balgowlah North 132_11kV,07MAY2020,MW,10.76826,10.47006,10.09315,10.03250,10.92725,10.48655,10.10963,9.71492,9.44133,9.23175,8.97817,8.81103,8.79623,8.57417,8.51172,8.49415,8.50802,8.58462,8.52691,8.62842,8.86321,9.10676,9.34127,9.86841,10.67780,11.25025,12.08753,12.78546,13.13829,14.18163,15.11143,15.58791,16.26625,16.54927,16.61432,16.73546,16.75087,16.38771,16.17878,16.02078,15.69962,15.31251,15.03995,14.85385,14.57391,13.81011,13.44874,13.53597,13.70302,13.63042,13.51252,13.04034,13.17257,12.90634,13.04802,12.47868,12.45310,12.66999,12.78052,13.21263,13.05166,12.88568,12.81729,13.54805,14.00750,14.35395,14.89288,15.75895,16.55140,17.95804,19.44264,20.52220,21.13679,21.37389,21.03128,20.72234,20.15742,19.61250,18.83617,18.26292,17.87724,17.91693,17.99277,17.09777,16.45929,15.57452,15.22715,14.48313,14.35443,14.18018,13.50620,12.78385,12.61653,11.73747,11.49304,11.03074
2021,Balgowlah North 132_11kV,08MAY2020,MW,10.71847,10.35691,9.98573,9.86097,10.57947,10.25770,9.82653,9.45432,9.32846,9.07511,8.90389,8.58783,8.55871,8.37162,8.30219,8.31371,8.22109,8.24603,8.30996,8.35022,8.54079,8.67489,8.99026,9.46683,10.05666,10.70478,11.42450,12.03162,12.35792,13.17380,13.65282,13.96628,14.48301,14.64384,14.60462,14.43889,14.16359,13.83955,13.60922,13.32214,12.96014,12.74595,12.48063,12.34729,12.29932,11.95645,11.81957,11.78796,11.89036,11.78474,11.86650,12.02283,11.90384,11.94808,12.03392,12.05752,12.03586,12.06976,12.15095,12.34827,12.56007,12.81698,13.01003,13.37280,13.37921,13.89065,14.32543,14.88964,15.39995,16.60726,17.68146,18.31582,18.57640,18.55281,18.34075,18.11644,17.58712,16.89966,16.41738,15.95272,15.67616,15.61315,15.81648,15.12388,14.40534,14.02278,13.81019,13.42926,13.64644,13.55207,12.90428,12.50275,12.27481,11.46381,11.24815,10.74481
2021,Balgowlah North 132_11kV,09MAY2020,MW,10.41277,10.06398,9.77508,9.74848,10.51897,10.08858,9.70979,9.38868,8.94880,8.68604,8.43975,8.29882,8.29231,8.07310,7.99742,7.98310,7.91110,7.82219,7.84745,7.91424,7.96179,8.00700,8.18783,8.33167,8.83733,9.26819,9.73213,10.15068,10.44493,11.02419,11.80558,12.18349,12.65322,12.51648,12.50858,12.44388,13.29317,13.06580,13.26851,13.20043,13.77705,14.72425,14.28477,14.63433,14.46587,13.33360,12.37318,12.31139,12.06773,11.79127,11.82391,11.92880,12.46355,12.87150,12.30686,11.68043,12.29491,12.31349,11.74990,12.36570,12.46317,12.54797,12.69339,13.02260,13.47433,13.71898,14.10909,14.67414,15.01927,16.28375,17.49531,18.16870,18.28394,18.28608,18.02427,17.51137,17.12126,16.47126,15.81524,15.44800,15.00442,14.93075,15.26680,14.52600,14.08309,13.58251,13.40163,12.93695,13.02579,12.77711,12.11916,11.71005,11.55045,10.99150,10.93842,10.50350
2021,Balgowlah North 132_11kV,10MAY2020,MW,10.24686,9.93414,9.60897,9.70538,10.43863,9.99761,9.44560,9.08282,8.85935,8.66303,8.54219,8.38255,8.33057,8.25240,8.09970,8.08293,7.98151,7.96628,7.88106,7.99589,8.10980,8.09707,8.25132,8.51766,8.85845,9.25227,9.76379,10.13111,10.72179,11.30045,11.86389,12.37033,12.97048,13.43696,13.71418,14.11147,14.19407,14.16533,14.24318,14.04550,13.82114,13.49697,13.38608,13.16516,12.96500,12.66579,12.47030,12.38001,12.24612,12.02933,12.04586,11.95035,11.76213,11.78021,11.84564,11.87903,11.94409,11.90898,12.10447,12.22702,12.42871,12.74197,13.41105,13.84207,14.39603,14.95669,15.70393,16.60250,17.71175,19.16794,20.25340,21.25408,21.64256,21.69234,21.57478,21.37031,20.72062,20.35256,19.73209,19.33773,19.03938,18.94765,19.14936,18.27004,17.82023,16.97313,16.47577,15.69974,15.52570,14.87488,13.86108,13.10446,12.87139,12.07269,11.86353,11.35903
