year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Bankstown 132_11kV,01MAY2020,MW,18.97217,18.20509,17.36054,17.43082,17.05055,16.45497,15.78180,15.11912,14.58324,14.15252,14.29674,13.68754,13.50812,13.36909,13.32374,13.57043,14.41105,14.62298,15.11265,15.16053,15.74252,15.80293,15.80851,16.23960,17.26809,17.58095,18.49094,19.54949,20.22143,21.20361,21.48946,21.95927,22.56593,23.22337,23.66798,23.56238,23.56764,23.31480,23.52598,23.60134,23.24071,22.97461,22.70591,22.71484,22.85473,22.72652,22.42673,22.44340,22.30230,22.68266,23.20693,22.76655,22.21630,22.55535,22.18508,22.29412,22.64082,22.55937,22.60883,22.41436,22.51944,23.24034,23.13774,23.55735,23.76278,24.51413,24.94147,25.83621,26.47039,25.98812,25.67047,26.55550,26.73171,26.73507,26.31148,25.82949,25.39569,24.99874,24.60118,24.26545,23.91916,23.92167,23.74698,23.27706,22.95221,22.57047,22.56866,22.12092,22.30654,22.28092,22.32250,22.57870,21.72675,20.97989,21.62574,21.00019
2021,Bankstown 132_11kV,02MAY2020,MW,20.51566,19.72133,18.63240,18.59204,17.99513,17.11310,16.48921,16.02544,15.50811,15.15728,14.81938,14.44433,14.13849,13.96910,13.84228,14.02863,14.58836,14.93762,15.21317,14.86243,15.15956,14.98926,14.63574,14.57541,14.59454,14.39379,14.48079,14.57320,14.09448,14.42903,14.37783,14.63616,14.96159,14.82581,14.95254,16.11782,16.98787,16.97693,16.72393,16.21540,15.75533,15.66359,16.09545,15.91887,15.67332,15.97515,15.90033,15.85922,16.00283,15.87842,15.89781,15.78289,15.72181,15.72383,15.65384,15.99929,16.15660,16.40558,16.63234,16.92820,17.07242,17.54374,17.88499,18.63343,19.35679,20.19264,21.40297,22.21995,22.97661,22.49149,22.33850,23.22254,23.49132,23.56506,23.40119,23.31281,23.08559,22.63707,22.56683,22.13619,22.00466,21.71595,21.66179,21.42357,21.44634,21.26944,21.06805,20.82881,21.06122,21.34373,21.53497,22.16823,21.44609,20.74947,21.32387,20.52088
2021,Bankstown 132_11kV,03MAY2020,MW,20.22500,19.48671,18.60924,18.49308,18.10063,17.32204,16.69264,16.08262,15.42517,14.87273,14.48369,14.10367,13.83751,13.58939,13.29171,13.46932,13.78379,14.23697,14.54978,14.54696,14.78451,14.45818,13.94660,13.66682,13.56429,13.46621,13.32496,13.39642,13.23469,13.40391,13.47801,13.44725,13.65571,13.62598,13.68711,13.76399,13.79127,13.85612,13.71170,13.81066,14.01242,14.20303,14.16014,14.05945,13.83667,14.01862,14.18529,14.43541,15.08515,14.16653,14.17820,14.30893,14.44977,14.71688,14.61110,14.79430,14.76809,15.05737,15.03633,15.32590,15.68485,16.16212,16.68453,17.42417,18.15355,19.13398,20.05876,21.16574,22.03775,21.49674,21.84176,22.98112,23.11903,23.33379,23.10184,23.05841,22.82031,22.62726,22.41531,22.26793,22.14839,21.78890,21.69536,21.46631,21.49425,21.30641,21.13764,20.73413,20.76824,20.93111,21.07352,21.50439,20.68379,19.86299,20.42379,19.83397
2021,Bankstown 132_11kV,04MAY2020,MW,19.35310,18.75881,17.98009,17.89566,17.44299,16.78357,16.09824,15.51740,14.97027,14.58574,14.19743,13.99060,13.70390,13.73517,13.82774,13.85105,14.41602,14.98280,15.58165,15.74003,16.37765,16.46485,16.12797,16.84647,17.90398,18.37389,19.10052,19.73127,20.52918,21.77501,22.60047,22.83634,23.47037,24.01837,24.23304,24.45948,24.46717,24.37092,23.90554,24.01942,23.79408,23.50246,23.31518,23.21932,23.05720,23.12029,22.96380,23.01490,23.30866,23.97747,24.14789,23.52453,23.06582,23.12262,23.22595,22.86922,23.98049,24.49098,24.46722,24.33626,23.63630,23.80553,23.73158,24.15608,24.55838,24.90867,25.60968,26.72775,27.18242,26.62956,26.67876,27.16102,27.54721,27.55850,27.15617,26.51938,26.13591,25.70974,25.43321,25.11208,24.63291,24.44756,23.97509,23.49868,23.02512,22.45464,22.35410,21.73235,21.74468,21.95360,21.98752,22.40242,21.52826,20.71107,21.06362,20.29825
2021,Bankstown 132_11kV,05MAY2020,MW,19.80067,19.15384,18.46018,18.35818,17.92856,17.02335,16.47274,16.02280,15.30320,14.78759,14.35801,13.94075,13.87780,13.70025,13.84348,13.93128,14.74555,15.19302,15.79254,16.21275,16.79376,16.71401,16.58694,16.88204,18.04643,18.82646,19.33838,20.05435,21.10865,21.81700,22.68176,22.99051,24.33690,24.54498,24.14423,24.13523,24.17234,23.69864,23.50413,24.03518,25.46144,25.25460,25.73168,24.83070,25.19898,25.11853,24.47649,24.11866,23.79108,23.44640,23.72951,25.13053,23.65709,23.67248,23.90105,24.12284,23.76849,23.78523,23.65538,23.58554,23.45538,23.25389,23.06241,23.34524,23.69197,24.42307,24.87562,25.54658,25.72390,24.88096,24.93600,25.69797,25.90435,25.86895,25.28955,24.95072,24.72448,24.19310,23.87994,23.65396,23.42542,23.13331,23.06564,22.45181,22.41475,22.06513,21.95205,21.45144,21.44437,21.41836,21.59145,22.02712,21.10964,20.39295,20.79884,20.05587
2021,Bankstown 132_11kV,06MAY2020,MW,19.79218,18.72738,17.95405,18.07059,17.63838,16.86454,16.16232,15.53560,14.99318,14.62652,14.20154,14.07466,14.18479,14.09358,13.99577,14.18243,14.71509,15.27727,15.86033,16.16641,16.83108,16.95892,16.95152,17.40016,18.41491,19.11709,19.81821,20.68599,21.34150,22.09651,23.07651,23.31686,23.96127,24.67231,24.93255,24.67907,24.19806,23.83917,23.80459,23.68564,23.58666,23.67143,23.53596,23.63378,23.29424,23.33740,23.31572,23.25391,22.55550,22.51804,22.76385,23.00319,23.04232,23.16359,23.39525,23.19900,23.27328,23.32113,23.04924,22.95187,22.95216,22.92185,22.98865,23.09003,23.30068,23.95311,24.28195,24.89768,24.62839,24.14145,24.44440,24.89276,25.01662,24.65479,24.33291,24.07478,23.71450,23.43353,23.02011,22.94241,22.64418,22.22325,21.93967,21.70107,21.53067,21.25224,21.05895,20.63518,20.89441,21.06804,20.99182,21.69229,20.90965,20.11189,20.33636,19.65070
2021,Bankstown 132_11kV,07MAY2020,MW,19.13012,18.39666,17.68573,17.86432,17.33636,16.58432,15.99190,15.36820,14.96993,14.36164,14.04158,13.66212,13.81868,13.54814,13.56025,13.74011,14.71188,15.13630,15.56332,15.82101,16.45567,16.76458,16.61171,16.97336,17.95041,18.58332,19.31154,20.31528,21.23913,22.53606,23.19045,23.62686,24.50349,25.15193,25.49720,25.92446,25.78711,25.39202,25.14126,25.59316,25.36438,25.24568,25.09133,24.55674,24.30421,23.67193,23.91959,24.03575,23.74825,23.67354,23.77979,23.43720,23.02182,24.25698,24.33588,23.45752,23.26278,23.51567,23.68160,23.20481,23.25071,23.94878,23.54894,23.62541,24.01321,24.54271,25.24630,25.49089,25.30183,24.37556,24.72823,25.11073,25.01190,24.71395,24.28853,23.88499,23.26699,23.10028,22.77528,22.38789,22.15161,21.83902,21.52129,21.13690,20.95019,20.54098,20.29985,19.92099,20.04870,20.38054,20.26282,20.84517,19.96419,19.33141,19.51266,18.87457
2021,Bankstown 132_11kV,08MAY2020,MW,18.54053,17.80107,17.17165,17.21068,16.82476,16.05920,15.53244,15.02262,14.64681,14.17758,13.71756,13.57195,13.45056,13.22681,13.14743,13.28724,14.13517,14.33225,14.79123,14.97840,15.47341,15.59813,15.60891,15.97911,17.33770,17.73724,18.13060,19.16796,19.86036,20.30197,20.99484,21.20581,21.66430,22.14933,22.67825,22.69957,22.51402,22.46716,22.18645,22.16864,21.97866,21.90207,21.94126,22.12179,22.04395,22.10350,22.12013,22.06846,21.45676,21.51634,21.89206,21.96269,22.00963,21.80809,21.75061,21.78704,22.01017,22.10824,22.19337,22.17630,22.25500,22.46574,22.51528,23.08713,23.43931,23.52512,23.50751,24.03594,23.95706,23.16387,23.33745,23.48200,23.52143,22.98014,22.55879,22.12069,21.56662,21.25697,21.02128,20.38760,20.05900,19.93985,19.65273,19.31614,18.98746,18.70680,18.94088,18.69541,18.97558,19.14268,19.22090,19.93108,19.02704,18.24792,18.79905,18.21310
2021,Bankstown 132_11kV,09MAY2020,MW,17.86169,17.12487,16.42268,16.42820,16.13402,15.21327,14.67355,14.29024,13.92319,13.53653,13.22315,12.83639,12.65113,12.53292,12.45879,12.53520,12.93416,13.50864,13.67235,13.77993,13.80168,13.79712,13.54182,13.53515,13.66772,13.62124,13.45911,13.50614,13.69243,14.02332,14.29661,14.58190,14.66532,14.73755,14.80555,14.75445,15.74371,17.26689,16.98652,17.71324,17.60597,17.00985,17.08085,16.49899,16.65426,15.74712,15.18562,15.14122,15.30015,15.38140,15.16617,15.14218,16.99131,17.62545,16.15362,15.63714,16.96621,17.86466,17.52937,17.60059,17.09189,17.19697,17.44950,18.11283,18.61604,19.27668,19.94772,20.78995,20.93582,20.19683,20.85264,21.02719,20.86018,20.61900,20.35092,19.88421,19.75895,19.36883,18.92561,18.57867,18.22879,17.93577,17.84777,17.76316,17.44133,17.44102,17.45890,17.34561,17.48100,17.91662,18.26009,19.00783,18.44901,17.91320,18.45161,17.82692
2021,Bankstown 132_11kV,10MAY2020,MW,17.72165,17.02336,16.40668,16.42363,16.08111,15.37954,14.68374,14.11602,13.73361,13.30844,12.96731,12.76825,12.51651,12.33133,12.26448,12.20615,12.47030,12.90599,13.05578,13.19625,13.23551,13.15241,12.87879,12.68321,12.81902,12.69453,12.57513,12.67994,12.68330,12.78238,12.98880,13.26415,13.62594,13.62562,13.61137,13.84727,13.83840,13.84616,13.90293,13.79278,14.01762,13.77548,13.72159,13.82390,13.70461,13.59727,13.82262,13.79063,13.72052,13.80269,13.71401,13.98972,13.95376,14.16487,14.21381,14.19055,14.18803,14.45740,14.62737,14.88664,15.19762,15.65862,16.71759,17.53500,18.05506,18.94005,20.12892,21.05075,21.12753,20.82324,21.63715,22.34949,22.46642,22.42482,22.42222,22.30548,22.41635,22.03594,22.01923,21.85203,21.66297,21.56434,21.62962,21.49205,21.46516,21.11796,21.04106,20.82620,20.86449,21.19688,21.18931,21.66956,20.86911,20.04442,20.41201,19.84883
