year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Bass Hill 33_11kV,01MAY2020,MW,8.67198,8.34403,7.80537,7.96302,7.92410,7.43328,7.07686,6.78681,6.54965,6.23362,5.96612,5.70054,5.58917,5.44064,5.39708,5.38951,5.44951,5.59277,5.72175,5.77817,5.90714,5.93052,6.00399,6.15523,6.50874,6.60065,6.96176,7.21787,7.12178,7.39267,7.59802,7.69450,8.43873,8.35383,8.08068,8.04111,8.01673,7.94493,7.76938,7.77744,7.54809,7.52274,7.48898,7.45277,7.47028,7.49773,7.54758,7.63327,7.43385,7.54727,7.36500,6.97232,7.29805,7.06497,7.38567,7.48419,7.63705,7.70635,7.15535,7.22051,7.29526,7.34564,7.45166,7.73815,8.15328,8.41241,8.67141,9.16639,9.53017,9.47109,9.48235,9.81724,9.91487,9.93669,10.03221,9.83535,9.46304,9.32642,9.26042,9.21897,9.24385,9.05936,8.93357,8.81281,8.54129,8.32402,8.29285,8.18810,8.18657,8.45025,8.51002,9.51114,9.37024,9.01107,9.29058,9.26216
2021,Bass Hill 33_11kV,02MAY2020,MW,8.99219,8.57279,8.07570,8.17017,8.19819,7.60896,7.27301,7.00278,6.67830,6.28869,5.96452,5.76581,5.69419,5.55828,5.40413,5.38701,5.44908,5.50173,5.56770,5.46150,5.54993,5.43331,5.41910,5.50877,5.65579,5.64101,5.72978,5.87207,5.68489,5.71782,5.66894,5.85638,5.99754,6.13958,6.71233,6.79744,6.73327,6.65813,6.63822,6.44944,6.15917,6.17486,6.21623,5.85259,5.70135,5.76076,5.93941,5.96949,5.71822,5.52629,5.78419,5.77866,6.17752,6.21911,6.26694,6.02991,6.30396,6.35537,6.56950,6.66340,6.52553,6.72750,6.81647,7.07589,7.28657,7.65172,8.02909,8.44369,8.66139,8.60646,8.68766,8.99806,9.13423,9.17246,9.09295,9.11575,9.14631,9.01602,8.88745,8.83533,8.89986,8.80513,8.74329,8.61053,8.41325,8.36372,8.32672,8.11917,8.23015,8.45163,8.61106,9.77252,9.47590,9.17035,9.67820,9.63038
2021,Bass Hill 33_11kV,03MAY2020,MW,9.29262,8.94205,8.63585,8.67584,8.71628,8.30913,7.83048,7.54922,7.15868,6.74772,6.50052,6.14020,5.53187,5.14714,5.07127,5.06023,5.05339,4.98082,5.03598,4.97054,5.02842,5.08626,5.02356,5.05630,5.12522,5.05935,5.05691,5.25367,5.17075,5.21757,5.15050,5.19565,5.34364,5.32995,5.30816,5.38610,5.40534,5.54104,5.40566,5.36203,5.41692,5.32304,5.20842,5.20160,5.11845,5.13520,5.14344,5.07823,5.02791,5.06367,5.07416,4.99403,5.09169,4.93747,4.84751,5.01859,5.03538,5.09124,5.13714,5.33001,5.47034,5.42751,5.67613,5.87567,6.13491,6.50440,6.86189,7.17615,7.31413,7.35451,7.60097,8.09021,8.33924,8.34470,8.36804,8.24909,8.15235,8.16352,8.08609,8.12421,8.11643,7.93715,7.87050,7.77556,7.66670,7.70055,7.89964,7.86242,7.80508,8.04428,8.19696,9.26174,9.06866,8.71829,9.12513,8.97725
2021,Bass Hill 33_11kV,04MAY2020,MW,8.75347,8.33791,8.07993,8.38985,8.23199,7.82115,7.37157,7.02310,6.71484,6.33014,6.04500,5.81637,5.70817,5.53946,5.43328,5.46233,5.49592,5.62339,5.73807,5.78875,5.98147,6.04641,6.13211,6.35464,6.62802,6.73211,6.95542,7.15724,7.14601,7.54049,7.86411,8.09505,8.75097,8.88937,8.96117,8.70496,8.12001,7.81276,7.71853,7.31613,7.12868,7.23612,7.18156,7.07696,7.07294,7.02198,7.06388,7.11073,7.04217,6.94300,6.70868,6.85366,7.04526,7.42128,6.91458,6.89501,7.08379,7.27307,7.31461,7.34663,7.40342,7.61833,7.60305,7.78556,7.98805,8.40807,8.89272,9.69543,9.91476,9.57981,9.75125,10.08072,10.08829,10.16045,10.07710,10.03436,9.77325,9.63622,9.55544,9.37511,9.20070,9.03194,8.92840,8.73414,8.52755,8.48484,8.52359,8.32733,8.21527,8.41346,8.52602,9.51519,9.29243,8.95311,9.28731,9.06577
2021,Bass Hill 33_11kV,05MAY2020,MW,8.78137,8.48447,8.08839,8.22232,7.79394,7.27039,6.83047,6.43281,6.02024,5.70650,5.54119,5.30669,5.26506,5.13008,5.02146,4.95744,5.04315,5.14157,5.20733,5.20145,5.43565,5.48528,5.61613,5.74826,5.88112,6.05496,6.42071,6.67016,6.75306,6.93087,7.13708,7.42967,8.03088,7.97470,7.96813,7.94113,7.95851,7.84308,7.67926,7.23961,7.34131,7.62408,7.63594,7.52482,7.84739,7.70319,7.70892,7.10422,7.08853,6.81897,7.31956,6.69489,6.63398,6.84514,7.55225,7.51856,7.91859,7.61363,7.53406,7.50976,7.43238,7.64853,7.76530,7.88089,8.14931,8.23827,8.45547,8.83429,8.96086,8.71296,8.92553,9.19400,9.17945,9.22139,9.23102,9.11025,9.01311,8.77217,8.61809,8.60853,8.55510,8.56411,8.42891,8.26488,8.08609,8.00632,8.03430,7.89580,7.94063,8.20117,8.34250,9.29740,9.10746,8.67235,9.19540,9.11074
2021,Bass Hill 33_11kV,06MAY2020,MW,8.93755,8.45011,7.99855,8.23175,8.22319,7.72987,7.03077,6.42694,6.19423,5.74182,5.54636,5.36921,5.19206,5.41876,5.50004,5.50552,5.49672,5.36086,5.31342,5.42318,5.54880,5.63837,5.74301,5.84819,6.08671,6.36185,6.69830,6.92793,6.97919,7.31972,7.51153,7.47396,8.33798,8.16706,7.86542,7.92535,7.86443,7.95594,7.93075,7.51889,7.44902,7.31498,7.22233,7.23864,7.18475,6.98797,6.87742,7.07430,7.26323,7.24236,6.96861,6.93719,7.23610,7.16759,7.12648,7.19699,7.19099,7.20343,7.33228,7.28638,7.48736,7.36780,7.48896,7.64015,7.77815,7.95831,8.14928,8.45968,8.38611,8.25604,8.47458,8.76279,8.81818,8.77207,8.50409,8.51291,8.35608,8.25581,8.20323,8.16955,8.02911,7.83327,7.74879,7.61109,7.49250,7.40717,7.46971,7.29788,7.29135,7.75874,7.81829,8.92897,8.73300,8.36459,8.81568,8.77203
2021,Bass Hill 33_11kV,07MAY2020,MW,8.48542,8.17436,7.77254,7.91218,7.84502,7.34656,6.82274,6.60697,6.29335,6.03975,5.85956,5.55920,5.51275,5.39487,5.28009,5.21663,5.25478,5.37259,5.54101,5.56327,5.72920,5.82688,5.95168,5.91881,6.10240,6.21647,6.44654,6.69776,6.85198,7.13054,7.45146,7.81944,8.37094,8.39238,8.20394,8.21193,8.01354,7.86379,7.81506,7.82930,7.53567,7.42142,7.31514,7.17489,7.01843,7.12071,7.26124,6.99743,7.27675,7.34350,7.16775,7.17915,7.40364,7.76769,7.51373,7.55560,7.48326,7.50092,7.68219,7.42970,7.40328,7.61298,7.63485,7.72945,7.96435,8.27126,8.60156,8.86131,8.65349,8.26569,8.30983,8.58578,8.64492,8.66732,8.57478,8.44846,8.28222,8.07431,7.84803,7.65783,7.64742,7.59938,7.64837,7.46091,7.28660,7.12852,7.12277,7.11233,7.14078,7.39561,7.49064,8.30230,8.08012,7.71960,8.04838,7.95763
2021,Bass Hill 33_11kV,08MAY2020,MW,7.74264,7.39104,7.00891,7.17505,7.06945,6.63907,6.28822,6.13886,5.83419,5.39678,5.17763,4.93745,4.80905,4.64994,4.58873,4.57967,4.55643,4.70928,4.74262,4.87376,5.02468,4.91571,5.14673,5.26081,5.40607,5.53775,5.83984,6.42823,6.57941,6.77617,7.04655,7.13370,7.86556,7.77803,7.33426,7.41762,7.27292,6.95527,6.76726,6.78570,6.68664,6.38554,6.52066,6.78739,6.58133,6.70135,6.58994,6.74016,6.71073,6.78783,6.69853,6.69979,6.94842,7.09637,7.00212,6.90369,7.02528,6.86649,6.87233,6.86862,6.92873,7.12532,7.24347,7.43687,7.44403,7.75972,7.92834,8.22298,8.03333,7.86375,7.88182,7.92354,7.99705,8.11283,7.92530,7.74217,7.40653,7.31411,7.20920,7.06095,6.90726,6.95946,6.90292,6.74037,6.67256,6.58134,6.61220,6.52916,6.61815,6.90869,7.14050,8.22153,8.09020,7.78775,8.22899,8.11899
2021,Bass Hill 33_11kV,09MAY2020,MW,7.94072,7.57678,7.16753,7.29337,7.23835,6.80083,6.40858,6.15606,5.86065,5.68413,5.33418,5.14533,5.06242,4.95745,4.87084,4.85856,4.87599,5.01011,5.07256,5.04914,5.09745,5.16601,5.05702,5.12372,5.13657,5.18656,5.23777,5.23727,5.22867,5.01406,4.96030,5.10760,4.89412,4.99343,5.04620,5.12113,5.56816,5.82310,5.79031,5.94369,5.83258,5.34085,5.50306,5.37985,5.70636,5.16575,5.23407,5.04155,5.02259,4.94134,4.95225,4.98637,5.38323,5.20956,4.90866,5.02752,5.50252,5.55389,5.58478,5.38870,5.65289,5.62590,5.71656,5.86119,6.04140,6.30451,6.56653,7.05999,7.12911,6.97729,7.09608,7.29555,7.36970,7.27850,7.17091,7.07248,6.88103,6.85504,6.72666,6.64678,6.62129,6.53857,6.67506,6.59357,6.54361,6.36031,6.51771,6.41785,6.49319,6.87616,7.08847,8.26209,8.11244,7.85318,8.27288,8.32828
2021,Bass Hill 33_11kV,10MAY2020,MW,8.15077,7.85691,7.41133,7.62002,7.70403,7.17934,6.84763,6.52176,6.13815,5.85361,5.60689,5.55877,5.35989,5.26917,5.06312,5.03220,5.00486,5.12714,5.04266,5.07682,5.06208,5.04881,5.10014,5.01325,5.04685,5.12585,5.16312,5.40583,5.27937,5.32145,5.43488,5.49661,5.51533,5.57685,5.54709,5.39871,5.49327,5.55427,5.45663,5.55991,5.58890,5.58998,5.65381,5.67113,5.63296,5.55754,5.51419,5.48216,5.57592,5.50181,5.53502,5.47865,5.39320,5.34786,5.32262,5.28414,5.26904,5.39865,5.53389,5.54874,5.75634,5.83696,6.11182,6.33561,6.62604,6.89878,7.31110,7.82092,7.76564,7.75381,8.07260,8.43333,8.49439,8.48426,8.54312,8.53811,8.46489,8.45303,8.17694,8.08797,8.06180,8.08036,8.08673,8.01484,7.88786,7.93978,7.80002,7.70975,7.54867,7.90804,8.28372,9.43170,9.27014,8.93963,9.24153,9.15374
