year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Belrose 33_11kV,01MAY2020,MW,10.38354,10.03620,9.63402,9.39637,10.07276,9.96308,9.57918,9.17700,8.93935,8.50061,8.08015,7.87906,7.80594,7.58656,7.45860,7.34891,7.34891,7.42204,7.56828,7.56828,7.73281,8.06187,8.24468,8.37264,9.08560,9.79855,10.42010,11.13306,11.64492,12.26647,12.77833,13.14395,13.39988,13.52785,13.30848,13.01599,12.79662,12.43100,12.02882,11.59008,11.55352,11.42555,11.00509,10.67603,10.60291,10.38354,10.29213,10.34698,10.23729,10.71260,11.95569,11.71804,10.63947,10.31042,10.10933,10.10933,10.51151,11.18790,10.80400,10.56635,11.11477,11.20618,11.55352,11.84601,12.50412,12.96114,13.74722,14.44189,15.02688,16.14202,17.54964,18.40885,18.75618,19.10352,19.06696,18.75618,18.29916,17.97010,17.42168,17.05606,16.67216,16.43451,16.96466,16.45279,15.97749,15.44734,15.13657,14.55158,14.51502,14.56986,14.31393,13.65582,13.63754,12.86974,12.44928,11.84601
2021,Belrose 33_11kV,02MAY2020,MW,11.46211,10.84056,10.31042,9.94480,10.54807,10.52979,10.10933,9.65230,9.23184,8.92107,8.50061,8.24468,8.18983,8.00703,7.80594,7.78765,7.78765,7.78765,7.78765,7.78765,7.87906,8.02531,8.24468,8.26296,8.73826,9.28669,9.65230,10.12761,10.52979,10.96853,11.55352,11.86429,12.13850,12.26647,12.33959,12.46756,12.52240,12.54068,12.59553,12.48584,12.15678,11.90085,11.59008,11.13306,10.71260,10.42010,10.43838,10.18245,10.25557,10.36526,10.21901,10.20073,10.12761,9.94480,9.90824,9.94480,10.12761,10.27385,10.38354,10.38354,10.63947,11.07821,11.27930,11.69976,12.32131,12.81490,13.50957,14.55158,14.97204,16.37967,17.47652,18.33572,18.40885,18.33572,18.07979,17.86042,17.47652,17.22059,16.76357,16.43451,16.14202,15.61187,16.28826,15.97749,15.28281,14.95376,14.82579,14.20424,14.16768,14.27737,14.24080,13.38160,13.43645,12.72349,12.33959,11.82773
2021,Belrose 33_11kV,03MAY2020,MW,11.59008,10.98681,10.56635,10.14589,10.84056,10.65775,10.31042,9.87167,9.57918,9.14044,8.82966,8.61029,8.39092,8.24468,7.98874,7.87906,7.87906,7.87906,7.87906,7.87906,7.95218,8.13499,8.13499,8.31780,8.62857,9.03075,9.52434,10.07276,10.42010,10.82228,11.13306,11.59008,11.95569,12.44928,12.65037,12.68693,12.86974,12.86974,12.54068,12.19335,11.93741,11.71804,11.59008,11.24274,10.85884,10.56635,10.34698,10.27385,10.18245,10.10933,9.99964,9.81683,9.79855,9.83511,9.99964,9.83511,9.83511,9.83511,9.83511,10.16417,10.21901,10.47494,10.89540,11.13306,11.69976,11.99226,12.94286,13.61925,14.22252,15.33766,16.72700,17.56792,17.93354,18.04323,17.71417,17.49480,17.01950,16.52591,16.23342,15.81296,15.59359,15.28281,15.88608,15.39250,14.89892,14.33221,14.00315,13.39988,13.19879,13.36332,13.19879,12.35787,12.39444,11.69976,11.46211,10.95025
2021,Belrose 33_11kV,04MAY2020,MW,10.80400,10.31042,9.85339,9.46950,10.21901,10.23729,9.85339,9.45121,9.01247,8.73826,8.53717,8.40920,8.24468,7.98874,7.84250,7.62313,7.62313,7.62313,7.62313,7.82422,7.98874,8.33608,8.70170,9.01247,9.52434,10.31042,11.00509,12.01054,12.55896,13.12567,13.54613,13.89347,13.96659,14.16768,14.13112,13.94831,13.61925,13.12567,12.79662,12.10194,11.62664,11.20618,10.84056,10.73088,10.47494,10.05448,9.87167,9.79855,9.74371,9.68887,9.81683,10.56635,10.98681,10.09105,10.18245,9.67058,9.39637,9.63402,9.96308,9.87167,10.31042,10.34698,10.51151,10.96853,11.59008,12.04710,12.97942,13.74722,14.40533,15.88608,17.45824,18.29916,18.51853,18.53681,18.29916,17.98838,17.34855,16.85497,16.36139,15.97749,15.63015,15.20969,15.73984,15.24625,14.55158,13.96659,13.69238,12.99770,13.01599,13.21708,13.03427,12.32131,12.41272,11.71804,11.37071,10.96853
2021,Belrose 33_11kV,05MAY2020,MW,10.71260,10.32870,9.79855,9.57918,10.27385,10.16417,9.74371,9.57918,9.21356,8.79310,8.48233,8.18983,7.91562,7.75109,7.51344,7.51344,7.58656,7.51344,7.60485,7.75109,7.82422,8.11671,8.42749,8.99419,9.48778,9.87167,10.49322,11.26102,11.60836,12.06538,12.61381,13.83863,14.35049,14.71611,14.25909,13.49129,13.21708,12.61381,11.95569,11.51695,11.05993,10.67603,10.73088,11.16962,11.29758,10.47494,10.34698,10.31042,10.07276,10.21901,10.49322,10.63947,10.71260,10.12761,10.52979,9.85339,9.61574,9.56090,9.63402,9.79855,10.21901,10.07276,10.23729,10.52979,11.02337,11.42555,11.95569,12.76005,13.50957,14.62470,15.92265,16.69044,17.05606,17.09262,16.72700,16.32482,15.81296,15.33766,14.95376,14.67955,14.51502,14.20424,14.80751,14.35049,13.89347,13.27192,13.27192,12.79662,12.70521,13.03427,12.79662,12.01054,12.08366,11.51695,11.09649,10.65775
2021,Belrose 33_11kV,06MAY2020,MW,10.38354,9.94480,9.48778,9.14044,9.98136,9.94480,9.52434,9.08560,8.75654,8.50061,8.22640,8.04359,7.89734,7.80594,7.67797,7.56828,7.56828,7.56828,7.56828,7.56828,7.86078,8.20811,8.29952,8.53717,9.15872,9.79855,10.52979,11.22446,11.66320,12.13850,12.57724,12.74177,12.96114,13.14395,12.86974,12.59553,12.13850,11.84601,11.26102,10.87712,10.43838,10.10933,9.76199,9.34153,9.10388,8.84795,8.77482,8.90279,8.90279,8.90279,8.95763,8.95763,8.68342,8.73826,8.64686,8.64686,8.64686,8.64686,8.88451,8.88451,9.19528,9.35981,9.59746,9.81683,10.38354,10.82228,11.35243,11.91913,12.39444,13.67410,14.95376,15.64843,16.19686,16.12374,15.73984,15.50219,15.13657,14.73439,14.44189,14.18596,13.71066,13.52785,14.20424,13.82034,13.29020,12.77833,12.55896,12.15678,12.17507,12.46756,12.15678,11.59008,11.62664,11.13306,10.91368,10.45666
2021,Belrose 33_11kV,07MAY2020,MW,10.16417,9.81683,9.28669,8.93935,9.76199,9.61574,9.28669,9.06732,8.68342,8.39092,7.98874,7.67797,7.42204,7.36719,7.20267,7.20267,7.20267,7.20267,7.42204,7.42204,7.58656,7.86078,8.02531,8.29952,8.86623,9.50606,10.09105,10.52979,10.78572,11.44383,11.84601,12.21163,12.41272,12.76005,12.96114,12.81490,12.79662,12.55896,12.50412,11.97398,11.48039,11.40727,11.26102,10.95025,10.42010,10.01792,9.78027,10.10933,10.45666,10.29213,9.67058,9.76199,9.41465,9.41465,9.19528,9.12216,9.61574,9.32325,9.45121,9.68887,9.34153,9.50606,9.54262,10.34698,10.65775,10.93197,11.57180,12.22991,12.83318,13.56441,14.69783,15.42906,15.63015,15.57531,15.19141,15.04516,14.71611,14.38705,13.82034,13.50957,13.23536,13.03427,13.54613,13.19879,12.70521,12.22991,12.08366,11.64492,11.75461,12.21163,12.06538,11.42555,11.49867,10.91368,10.65775,10.18245
2021,Belrose 33_11kV,08MAY2020,MW,9.87167,9.57918,9.17700,8.88451,9.70715,9.46950,9.17700,8.75654,8.40920,8.18983,7.98874,7.82422,7.69625,7.36719,7.27579,7.18439,7.01986,7.07470,7.27579,7.27579,7.33063,7.62313,7.80594,8.13499,8.55545,9.21356,9.39637,9.96308,10.36526,10.76744,11.05993,11.16962,11.33414,11.49867,11.49867,11.16962,11.16962,10.89540,10.52979,10.09105,9.78027,9.48778,9.30497,9.12216,8.90279,8.57373,8.57373,8.66514,8.71998,8.53717,8.70170,8.68342,8.59201,8.59201,8.59201,8.59201,8.59201,8.90279,8.93935,8.95763,9.30497,9.61574,9.76199,9.85339,10.32870,10.73088,10.96853,11.31586,11.62664,12.48584,13.39988,13.80206,13.93003,13.80206,13.83863,13.60097,13.21708,12.86974,12.39444,12.01054,11.91913,11.73632,12.32131,11.84601,11.49867,11.20618,11.00509,11.00509,11.13306,11.60836,11.64492,11.07821,11.22446,10.60291,10.32870,9.94480
2021,Belrose 33_11kV,09MAY2020,MW,9.50606,9.32325,8.99419,8.57373,9.43293,9.37809,9.21356,8.86623,8.35436,8.09843,7.69625,7.42204,7.38548,7.22095,7.14782,7.14782,6.92845,6.96501,6.96501,6.96501,7.09298,7.20267,7.20267,7.20267,7.55000,7.93390,8.13499,8.39092,8.46405,8.90279,9.52434,9.87167,9.98136,9.98136,10.25557,10.07276,10.40182,10.31042,10.12761,10.43838,10.60291,10.87712,10.78572,10.78572,10.49322,9.35981,9.19528,9.81683,9.04904,9.04904,9.14044,9.25012,9.76199,10.14589,9.25012,8.97591,9.67058,9.78027,9.30497,10.10933,9.90824,9.78027,9.83511,10.09105,10.47494,10.69431,11.04165,11.60836,12.04710,12.72349,13.52785,14.05800,14.00315,13.96659,13.80206,13.58269,13.16223,12.74177,12.35787,12.08366,11.86429,11.62664,12.33959,11.90085,11.57180,11.20618,11.15134,10.95025,11.04165,11.53523,11.57180,11.00509,11.22446,10.73088,10.47494,9.96308
2021,Belrose 33_11kV,10MAY2020,MW,9.70715,9.46950,9.03075,8.71998,9.41465,9.35981,9.01247,8.62857,8.33608,8.11671,7.76937,7.67797,7.45860,7.42204,7.22095,7.14782,6.98330,6.98330,6.98330,6.98330,6.98330,7.18439,7.29407,7.40376,7.73281,8.11671,8.24468,8.81138,9.08560,9.54262,10.05448,10.29213,10.82228,11.24274,11.86429,12.06538,12.15678,12.06538,11.90085,11.79117,11.51695,11.20618,10.69431,10.69431,10.54807,10.29213,9.96308,9.79855,9.79855,9.70715,9.67058,9.43293,9.35981,9.25012,9.15872,9.23184,9.39637,9.41465,9.65230,9.83511,10.21901,10.34698,10.78572,11.00509,11.59008,12.24819,12.85146,13.76550,14.25909,15.39250,16.43451,17.16575,17.34855,17.33027,17.29371,17.14746,16.89153,16.43451,16.06889,15.90436,15.73984,15.57531,16.16030,15.61187,14.99032,14.35049,14.33221,13.58269,13.43645,13.65582,13.38160,12.61381,12.52240,11.79117,11.53523,11.09649
