year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Berowra 132_11kV,01MAY2020,MW,13.23238,14.10099,13.49112,13.43567,13.95314,12.80732,11.67998,10.64505,9.75796,8.88935,8.46429,7.83594,7.31847,7.07822,6.67163,6.37594,6.15417,6.15417,6.15417,6.17265,6.46834,6.85644,7.20758,7.55872,8.13163,8.59366,10.16454,11.49517,10.84834,10.92226,10.92226,11.32884,11.73542,11.45821,11.42125,11.19948,10.95922,10.64505,10.18302,9.97973,9.68403,9.81340,9.68403,9.03720,8.83391,8.59366,8.88935,8.31644,8.90783,9.25897,8.83391,9.61011,8.79695,8.51973,8.51973,8.64910,8.87087,8.42733,8.51973,8.85239,8.59366,9.01872,9.46226,9.88733,10.20150,10.73745,11.07011,12.01264,12.73340,13.58352,14.43365,15.28377,15.45010,15.70883,15.63491,15.54251,15.24681,14.87719,14.72934,14.58149,14.30428,14.00858,13.80529,13.39871,13.10302,12.75188,12.53011,12.38226,12.78884,13.17694,12.91821,12.41922,11.90175,12.28985,13.71289,13.56504
2021,Berowra 132_11kV,02MAY2020,MW,14.21188,14.63694,13.95314,13.95314,14.61846,13.69441,12.64099,11.62454,10.58960,9.96125,9.46226,8.68606,8.02075,7.83594,7.31847,7.15214,6.93037,6.93037,6.91189,6.63467,6.85644,6.85644,6.89341,7.26303,7.68809,8.00227,8.29796,8.44581,8.31644,8.63062,8.74150,8.72302,9.38834,9.57315,9.70252,9.42530,9.40682,9.38834,8.83391,8.61214,8.33492,7.90986,7.85442,7.59568,7.48480,7.24454,7.24454,7.42935,7.26303,7.26303,7.18910,7.13366,7.18910,7.13366,7.20758,7.35543,7.52176,7.59568,7.87290,7.96530,8.31644,8.33492,8.68606,8.81543,9.35138,9.97973,10.70049,11.34732,11.88327,12.97365,14.32276,14.95111,15.15441,15.00656,14.84023,14.82175,14.72934,14.15643,14.02707,13.84226,13.43567,13.02909,12.80732,12.75188,12.60403,12.04960,11.84631,11.58758,12.17897,12.65947,12.58555,12.04960,11.80935,12.21593,13.60200,13.49112
2021,Berowra 132_11kV,03MAY2020,MW,14.13795,15.04352,14.28580,14.43365,15.32073,14.04555,13.08454,11.93871,10.66353,9.94277,9.24049,8.46429,7.87290,7.50328,7.07822,6.81948,6.48682,6.26505,6.26505,6.35746,6.52379,6.50531,6.61619,6.70860,7.24454,7.87290,8.11315,8.77847,9.00024,8.90783,8.85239,9.12961,9.55467,9.53619,9.59163,9.57315,9.68403,9.44378,8.87087,8.64910,8.27948,8.18708,7.92834,7.61416,7.39239,7.28151,7.24454,6.94885,7.15214,7.05974,6.87493,6.72708,6.83796,7.02277,6.96733,6.85644,6.72708,6.96733,7.35543,7.55872,7.87290,7.87290,8.13163,8.57518,9.16657,9.64707,10.31239,10.81137,11.43973,12.25289,13.71289,14.21188,14.24884,14.43365,14.59998,14.35972,13.84226,13.47264,13.10302,13.01061,12.84428,12.32682,12.21593,11.93871,11.77239,11.45821,11.21796,10.68201,11.12555,11.56909,11.58758,11.16251,10.68201,11.01467,12.91821,12.84428
2021,Berowra 132_11kV,04MAY2020,MW,13.65745,14.58149,13.93466,13.91618,14.91415,13.76833,12.77036,11.82783,10.58960,9.83188,9.07416,8.39037,7.85442,7.44784,7.04125,6.52379,6.44986,6.44986,6.44986,6.26505,6.59771,7.13366,7.52176,8.16859,9.46226,9.73948,10.84834,11.71694,10.99618,11.18099,11.45821,12.03112,12.56707,12.62251,12.32682,11.90175,11.66150,10.90378,10.20150,9.70252,9.48074,9.35138,9.01872,8.59366,8.27948,7.63265,7.79897,7.78049,7.65113,7.66961,7.72505,7.81746,7.89138,7.90986,7.89138,8.11315,8.24252,8.22404,7.81746,8.00227,8.37188,8.53821,8.74150,9.12961,9.46226,9.96125,10.42327,11.32884,12.03112,13.01061,14.23036,15.06200,15.61643,15.43162,15.32073,14.95111,14.35972,14.08251,13.87922,13.62048,13.23238,12.89973,12.78884,12.43770,12.01264,11.62454,11.36580,10.84834,11.42125,11.79087,11.79087,11.21796,10.81137,11.10707,12.82580,12.71492
2021,Berowra 132_11kV,05MAY2020,MW,13.19542,14.11947,13.38023,13.38023,14.10099,13.02909,12.12352,11.18099,10.16454,9.49922,8.50125,7.92834,7.31847,6.91189,6.44986,6.30201,6.20961,5.96936,5.96936,6.28353,6.56075,7.00429,7.28151,7.90986,9.77644,10.25695,10.29391,10.57112,10.25695,10.62656,11.12555,11.14403,11.47669,12.04960,12.23441,12.19745,11.77239,11.16251,10.29391,9.61011,9.22201,8.81543,8.87087,8.68606,8.98176,8.35340,8.22404,8.42733,8.61214,8.42733,8.87087,8.42733,8.33492,8.13163,8.18708,8.20556,7.89138,8.11315,8.35340,8.51973,8.63062,8.68606,8.98176,9.18505,9.48074,9.90581,10.21998,10.68201,11.25492,12.21593,13.04757,13.95314,14.35972,14.17491,13.97162,13.82377,13.58352,13.25086,12.75188,12.67795,12.47466,12.10504,11.77239,11.38428,11.16251,10.94074,10.82986,10.25695,10.82986,11.27340,11.49517,11.07011,10.36783,10.70049,12.27137,12.04960
2021,Berowra 132_11kV,06MAY2020,MW,12.53011,13.58352,13.10302,13.10302,14.02707,13.23238,12.38226,11.45821,10.07214,9.29593,8.55669,7.85442,7.50328,7.02277,6.52379,6.28353,6.37594,6.30201,6.17265,6.30201,6.59771,7.05974,7.68809,8.74150,8.66758,8.79695,9.73948,11.18099,9.96125,10.51568,10.79289,11.12555,11.27340,10.95922,10.82986,10.47872,9.96125,9.75796,9.53619,9.00024,8.66758,8.39037,8.09467,7.96530,7.74353,7.61416,7.42935,7.39239,7.29999,7.37391,7.22606,7.28151,7.26303,7.11518,7.26303,7.29999,7.35543,7.28151,7.57720,7.81746,7.98378,8.09467,8.27948,8.40885,8.51973,9.14809,9.53619,9.97973,10.58960,11.58758,12.43770,12.84428,13.23238,13.12150,12.93669,12.67795,12.56707,12.19745,11.93871,11.60606,11.55061,11.38428,11.14403,11.01467,10.79289,10.58960,10.40479,9.94277,10.49720,11.18099,11.01467,10.64505,10.16454,10.55264,12.08656,12.19745
2021,Berowra 132_11kV,07MAY2020,MW,12.77036,13.84226,13.13998,13.12150,13.87922,12.86276,11.77239,10.90378,10.09062,9.25897,8.51973,7.98378,7.63265,7.11518,6.61619,6.41290,6.39442,6.43138,6.50531,6.61619,6.63467,6.87493,7.54024,7.55872,8.05771,9.16657,10.03517,10.27543,9.53619,10.09062,10.38631,10.79289,10.92226,10.97770,11.14403,10.94074,10.64505,10.51568,10.33087,9.88733,9.48074,9.25897,9.42530,9.38834,9.18505,8.64910,8.35340,8.57518,8.39037,7.87290,7.76201,7.65113,7.24454,7.41087,7.54024,7.87290,8.03923,7.81746,8.05771,8.00227,7.87290,7.83594,8.05771,8.79695,8.83391,9.01872,9.20353,9.79492,10.42327,11.14403,12.06808,12.56707,12.67795,12.62251,12.40074,12.32682,12.16049,11.66150,11.51365,11.32884,11.29188,11.01467,10.79289,10.58960,10.29391,9.53619,9.53619,10.12758,10.46024,10.86682,10.97770,10.60808,10.20150,10.58960,12.17897,12.14201
2021,Berowra 132_11kV,08MAY2020,MW,12.86276,13.78681,12.97365,12.93669,13.78681,12.60403,11.92023,11.08859,10.18302,9.29593,8.48277,7.70657,7.02277,6.91189,6.56075,6.06176,5.98784,5.91391,6.22809,6.20961,6.28353,6.85644,8.03923,7.89138,7.85442,8.37188,8.85239,9.27745,8.88935,10.01669,10.36783,10.07214,9.88733,9.66555,9.57315,9.33290,9.03720,8.59366,8.42733,8.11315,8.00227,7.78049,7.42935,7.22606,7.05974,6.87493,6.74556,6.74556,7.00429,7.00429,7.02277,6.94885,6.98581,6.87493,6.98581,7.07822,7.11518,7.11518,7.26303,7.42935,7.41087,7.59568,7.63265,7.92834,8.13163,8.44581,8.55669,8.96328,9.35138,10.23846,10.99618,11.42125,11.47669,11.47669,11.19948,11.08859,10.79289,10.66353,10.36783,9.99821,9.79492,9.55467,9.40682,9.22201,9.12961,8.94480,8.94480,8.83391,9.36986,10.03517,10.29391,9.90581,9.61011,10.07214,11.67998,11.60606
2021,Berowra 132_11kV,09MAY2020,MW,11.93871,13.02909,12.45618,12.30833,13.25086,12.08656,10.90378,10.01669,9.01872,8.27948,7.63265,7.04125,6.56075,6.46834,6.28353,6.04328,5.80303,5.82151,5.78455,5.95088,6.17265,7.33695,7.00429,6.83796,7.05974,7.15214,7.52176,7.59568,7.22606,7.81746,7.79897,7.66961,7.79897,7.74353,7.92834,7.85442,7.52176,6.93037,6.76404,6.83796,6.83796,8.00227,8.18708,8.00227,7.57720,6.67163,7.24454,6.32050,6.13569,6.15417,6.19113,6.57923,7.31847,7.55872,6.46834,6.81948,7.83594,7.72505,7.42935,8.11315,8.11315,7.96530,7.74353,8.27948,8.53821,8.81543,9.03720,9.35138,9.85036,10.44175,11.25492,11.58758,11.64302,11.62454,11.43973,11.29188,10.95922,10.55264,10.21998,9.90581,9.68403,9.35138,9.40682,9.42530,9.16657,8.94480,8.79695,8.74150,9.42530,10.05365,10.12758,9.83188,9.36986,9.62859,11.43973,11.31036
2021,Berowra 132_11kV,10MAY2020,MW,12.12352,13.08454,12.38226,12.49314,13.21390,12.03112,11.19948,10.21998,9.12961,8.55669,7.89138,7.44784,6.96733,6.74556,6.41290,5.95088,5.67366,5.61822,5.61822,5.61822,5.71062,5.83999,5.93240,5.89543,6.06176,6.37594,6.50531,6.74556,6.52379,6.83796,7.50328,7.78049,7.81746,8.00227,8.07619,8.09467,8.35340,7.90986,7.61416,7.70657,7.55872,7.11518,6.89341,6.32050,5.89543,5.76607,5.71062,5.67366,5.71062,5.65518,5.48885,5.58126,5.47037,5.47037,5.47037,5.56278,5.85847,5.78455,6.06176,6.43138,6.76404,7.33695,8.05771,8.55669,8.50125,9.44378,10.21998,10.20150,11.60606,12.40074,13.56504,13.80529,13.97162,14.47061,14.48909,14.32276,14.13795,14.13795,13.58352,13.50960,13.30631,13.28783,12.93669,12.58555,12.27137,12.08656,11.79087,11.25492,11.90175,12.43770,12.41922,11.77239,11.18099,11.36580,12.86276,12.89973
