year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Blackwattle Bay 33_5kV,01MAY2020,MW,4.14364,4.13555,4.13555,4.13555,3.98987,3.86038,3.86038,3.86038,3.86038,3.86038,3.86038,3.64187,3.55285,3.69043,3.66615,3.64997,3.86038,3.86038,3.86038,3.86038,3.86038,3.86038,4.01415,4.18411,4.18411,4.18411,4.18411,4.43499,4.86392,5.02578,5.02578,5.22811,5.35760,5.56802,5.67323,5.67323,5.67323,5.89983,5.94839,5.82700,5.84318,5.82700,5.94030,5.94030,5.91602,5.72179,5.70560,5.70560,5.70560,5.70560,5.70560,5.70560,5.70560,5.70560,5.70560,5.70560,5.78653,5.69751,5.69751,5.69751,5.69751,5.69751,5.69751,5.55183,5.43853,5.60039,5.69751,5.69751,5.69751,5.97267,6.04551,6.04551,6.04551,6.11835,6.22356,6.08597,6.07788,6.02123,5.75416,5.75416,5.69751,5.47899,5.47899,5.47899,5.47899,5.28476,5.21192,5.21192,5.21192,5.19574,4.93676,4.93676,4.88820,4.65350,4.65350,4.65350
2021,Blackwattle Bay 33_5kV,02MAY2020,MW,4.49164,4.37834,4.37834,4.37834,4.37834,4.15173,4.11936,4.11936,4.11936,4.11936,4.09508,3.81183,3.81183,3.81183,3.81183,3.81183,3.81183,3.81183,3.81183,3.81183,3.81183,3.81183,3.81183,3.81183,3.90085,4.13555,4.13555,4.13555,4.30550,4.39453,4.39453,4.39453,4.47546,4.70206,4.92057,4.92057,4.92057,4.92057,4.92057,4.99341,5.17955,5.34951,5.23620,5.20383,5.20383,5.20383,5.20383,5.20383,5.20383,5.30095,5.38997,5.21192,5.21192,5.21192,5.21192,5.21192,5.21192,5.21192,5.21192,5.21192,5.09862,4.93676,4.93676,4.93676,4.93676,5.22002,5.24430,5.24430,5.24430,5.40616,5.60848,5.82700,5.82700,5.82700,5.82700,5.82700,5.68132,5.54374,5.64086,5.53565,5.53565,5.53565,5.48709,5.41425,5.34141,5.38188,5.17955,5.17955,5.17955,5.02578,4.90439,4.90439,4.78299,4.62922,4.62922,4.62922
2021,Blackwattle Bay 33_5kV,03MAY2020,MW,4.62922,4.62922,4.38643,4.30550,4.16792,4.03034,4.03034,4.03034,4.03034,4.03034,3.95750,3.70662,3.70662,3.70662,3.70662,3.70662,3.70662,3.70662,3.70662,3.70662,3.93322,4.00606,4.00606,4.00606,4.00606,4.00606,4.00606,4.00606,4.00606,4.25694,4.31360,4.31360,4.32169,4.58876,4.58876,4.65350,4.91248,4.91248,4.91248,4.99341,5.22811,5.22811,5.22811,5.22811,5.20383,5.03388,5.17955,5.17955,5.22002,5.16337,5.16337,5.29285,5.16337,5.16337,5.18765,5.28476,5.34141,5.39806,5.41425,5.27667,5.11481,5.11481,5.11481,5.34951,5.37379,5.37379,5.37379,5.37379,5.37379,5.66514,5.70560,5.89174,5.89983,5.96458,5.96458,5.96458,5.96458,5.96458,5.85937,5.80272,5.84318,5.61658,5.61658,5.61658,5.61658,5.61658,5.35760,5.26048,5.07434,5.07434,5.07434,4.96913,4.76681,4.76681,4.71825,4.48355
2021,Blackwattle Bay 33_5kV,04MAY2020,MW,4.48355,4.48355,4.48355,4.41881,4.18411,4.18411,4.18411,4.18411,4.04653,3.88466,3.88466,3.88466,3.88466,3.88466,3.88466,3.88466,3.88466,3.88466,3.88466,3.88466,3.94132,4.15983,4.15983,4.33787,4.42690,4.42690,4.42690,4.67778,5.16337,5.28476,5.38188,5.57611,5.81081,5.93221,6.01314,6.10216,6.10216,6.10216,6.10216,6.10216,6.10216,6.10216,6.10216,6.10216,6.10216,5.95648,5.98886,5.87555,6.00504,5.96458,6.15072,6.19118,5.94030,5.94030,5.95648,5.92411,5.92411,5.92411,5.92411,5.77844,5.65704,5.80272,5.81890,5.74607,5.87555,5.85937,5.93221,5.93221,6.19118,6.31258,6.54728,6.54728,6.54728,6.54728,6.54728,6.54728,6.26402,6.15881,6.24783,6.28021,6.10216,5.97267,5.97267,5.94030,5.64895,5.79462,5.64086,5.64086,5.53565,5.34141,5.17146,5.03388,4.90439,4.75871,4.65350,4.45118
2021,Blackwattle Bay 33_5kV,05MAY2020,MW,4.45118,4.45118,4.37025,4.19220,4.19220,4.19220,4.19220,4.19220,3.95750,3.93322,3.93322,3.93322,3.93322,3.93322,3.93322,3.93322,3.93322,3.93322,3.93322,3.93322,3.93322,4.03034,4.19220,4.38643,4.45118,4.47546,4.71016,4.84774,5.19574,5.51137,5.54374,5.66514,5.81081,5.87555,5.95648,6.15881,5.92411,6.15072,6.19928,6.19928,6.19928,6.19928,6.19928,6.19928,6.19928,6.17500,6.18309,6.20737,6.07788,6.19118,6.19118,6.13453,6.21546,6.21546,6.07788,5.94030,5.94030,5.94030,5.94030,5.94030,5.94030,5.71369,5.68132,5.68132,5.68132,5.68132,5.72988,5.85937,5.98076,6.05360,6.24783,6.24783,6.24783,6.37732,6.51491,6.51491,6.31258,6.04551,5.92411,5.92411,5.92411,5.86746,5.81081,5.69751,5.69751,5.69751,5.40616,5.38188,5.29285,5.09862,5.09862,5.09862,4.98532,4.82346,4.75871,4.56448
2021,Blackwattle Bay 33_5kV,06MAY2020,MW,4.38643,4.27313,4.27313,4.27313,4.27313,4.09508,3.94941,3.94941,3.94941,3.94941,3.94941,3.94941,3.94941,3.94941,3.94941,3.94941,3.94941,3.94941,3.94941,3.94941,4.15983,4.02225,4.10318,4.28122,4.37025,4.60495,4.60495,4.70206,5.31713,5.47090,5.47090,5.53565,5.79462,5.79462,5.98886,6.05360,6.20737,6.03742,6.03742,6.03742,6.03742,6.03742,6.03742,6.03742,6.03742,6.06169,5.98076,6.13453,6.14263,6.12644,6.18309,6.22356,5.99695,5.99695,5.99695,5.99695,5.99695,5.99695,5.92411,5.82700,5.69751,5.76225,5.69751,5.69751,5.69751,5.69751,5.69751,5.69751,5.81890,6.00504,6.26402,6.28021,6.28021,6.57965,6.35304,6.32067,6.16690,5.96458,5.94839,5.69751,5.69751,5.69751,5.69751,5.69751,5.69751,5.69751,5.67323,5.39806,5.26858,5.11481,5.11481,4.86392,4.85583,4.67778,4.54829,4.44308
2021,Blackwattle Bay 33_5kV,07MAY2020,MW,4.25694,4.25694,4.25694,4.25694,4.25694,4.20839,3.99797,3.99797,3.99797,3.99797,3.99797,3.99797,3.99797,3.99797,3.94132,3.71471,3.71471,3.90085,4.00606,4.00606,4.00606,4.00606,4.10318,4.31360,4.31360,4.56448,4.61304,4.70206,5.13099,5.31713,5.45472,5.45472,5.80272,6.11835,6.03742,6.11835,6.11835,6.11835,6.05360,6.12644,6.15072,6.08597,6.34495,6.34495,6.30449,6.08597,6.08597,6.08597,6.08597,6.33686,6.28021,6.36923,6.20737,6.23974,6.13453,6.13453,6.07788,6.02123,5.94839,5.94839,5.87555,5.94030,5.89983,6.06979,5.93221,5.80272,5.80272,5.80272,5.80272,6.06169,6.07788,6.39351,6.39351,6.25593,6.11835,6.11835,6.11835,6.09407,6.02123,5.87555,5.77034,5.59230,5.59230,5.59230,5.59230,5.59230,5.43853,5.33332,5.33332,5.16337,5.03388,5.03388,5.03388,5.03388,4.71016,4.65350
2021,Blackwattle Bay 33_5kV,08MAY2020,MW,4.39453,4.39453,4.39453,4.39453,4.23267,4.07890,4.07890,4.07890,4.07890,4.07890,3.80373,3.80373,3.80373,3.80373,3.80373,3.80373,3.80373,3.80373,3.80373,4.03843,4.07890,4.16792,4.37025,4.37025,4.37025,4.52402,4.65350,4.78299,5.20383,5.28476,5.28476,5.53565,5.60848,5.85937,5.86746,5.86746,5.86746,6.07788,6.12644,6.12644,6.12644,6.12644,6.12644,6.12644,6.18309,6.13453,6.13453,6.13453,6.13453,6.26402,6.40160,6.36923,6.19928,6.16690,6.11835,6.11835,6.11835,6.22356,6.20737,6.11025,6.11025,5.91602,6.06169,6.06169,5.95648,5.77844,5.94839,6.06169,6.06169,6.15881,6.32877,6.32877,6.07788,6.19118,6.05360,5.97267,5.97267,5.71369,5.71369,5.71369,5.55183,5.45472,5.45472,5.45472,5.42234,5.19574,5.19574,5.19574,5.19574,5.13099,4.92057,4.92057,4.74253,4.60495,4.60495,4.49164
2021,Blackwattle Bay 33_5kV,09MAY2020,MW,4.28932,4.28932,4.28932,4.28932,4.28932,4.28932,4.03843,3.96559,3.96559,3.96559,3.96559,3.96559,3.96559,3.86848,3.65806,3.65806,3.65806,3.65806,3.75518,3.91704,3.91704,3.91704,3.91704,3.98987,4.18411,4.18411,4.18411,4.18411,4.30550,4.45927,4.45927,4.51592,4.72634,4.96104,5.03388,4.83964,5.05816,5.05816,5.05816,5.07434,5.32523,5.32523,5.56802,5.38997,5.38997,5.38997,5.38997,5.38997,5.42234,5.52755,5.68132,5.48709,5.39806,5.39806,5.39806,5.39806,5.39806,5.39806,5.39806,5.28476,5.28476,5.13099,5.32523,5.10671,5.10671,5.38188,5.26048,5.11481,5.39806,5.55993,5.55183,5.70560,5.70560,5.74607,5.71369,5.67323,5.67323,5.51946,5.34951,5.34951,5.34951,5.34951,5.34951,5.34951,5.09862,5.08244,5.08244,5.08244,5.00150,4.82346,4.82346,4.82346,4.71825,4.55639,4.55639,4.52402
2021,Blackwattle Bay 33_5kV,10MAY2020,MW,4.29741,4.29741,4.29741,4.29741,4.03034,4.02225,4.02225,4.02225,4.02225,4.02225,3.75518,3.71471,3.71471,3.71471,3.71471,3.71471,3.71471,3.71471,3.71471,3.71471,3.71471,3.71471,3.95750,4.03843,4.03843,4.03843,4.03843,4.03843,4.03843,4.03843,4.11936,4.29741,4.29741,4.51592,4.59685,4.72634,4.88011,4.88011,4.88011,4.88011,4.88011,5.16337,5.05006,5.13099,5.13909,5.13909,5.13909,5.13909,5.22002,5.42234,5.33332,5.13909,5.13909,5.13909,5.13909,5.13909,5.13909,5.13909,4.95295,5.13909,5.13909,5.13909,5.13909,5.13909,5.13909,5.13909,5.13909,5.24430,5.44662,5.52755,5.62467,5.76225,5.76225,5.77034,6.06979,6.02932,6.05360,5.84318,5.78653,5.53565,5.53565,5.53565,5.53565,5.53565,5.53565,5.46281,5.26858,5.26858,5.26858,5.23620,4.99341,4.99341,4.70206,4.69397,4.63732,4.41881
