year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Botany 33_11kV,01MAY2020,MW,11.46630,11.30079,11.06289,10.89819,10.81778,10.45529,10.33878,10.21620,10.07159,10.00767,9.89159,10.07548,10.07998,10.07997,10.09451,10.09794,10.28302,10.31885,10.36995,10.53342,10.87693,10.87716,11.04289,11.41527,12.09333,12.30372,12.59532,13.00908,13.48770,13.88624,14.32367,14.63828,14.62936,14.68483,14.77164,15.00259,15.12786,15.13089,15.03423,14.70636,14.60820,14.66213,14.69096,14.81690,14.62284,14.70017,14.57640,14.58500,14.56820,14.45218,14.61711,14.75823,14.71002,14.51571,14.51776,14.71793,14.12195,14.16727,14.19802,14.00591,14.08146,14.34016,14.46615,14.57911,14.52890,14.67720,14.78889,14.93347,14.93828,15.46965,15.87624,16.06804,15.91666,15.80391,15.53386,15.34912,15.03545,14.82481,14.76010,14.36717,14.24982,14.18520,13.98579,14.05743,14.09153,13.97710,13.79596,13.56133,13.46496,13.19716,13.18067,12.89240,12.65479,12.43621,12.42173,12.07401
2021,Botany 33_11kV,02MAY2020,MW,11.91968,11.96192,11.65903,11.42916,11.30672,11.09032,10.92818,10.67968,10.61804,10.63366,10.52810,10.60038,10.65981,10.48745,10.47985,10.52631,10.52170,10.44133,10.29968,10.33855,10.38478,10.44409,10.44102,10.43366,10.89493,10.90041,10.94451,11.03730,11.06945,11.34085,11.61685,11.85419,11.78752,11.88055,11.95052,12.21880,12.61442,12.71590,12.39804,12.42467,12.52135,12.28403,12.29306,12.41477,12.26557,12.22067,12.24688,12.28102,12.18201,12.26381,12.04702,11.90093,11.93302,11.84268,11.80606,11.96862,11.78007,11.91205,11.81029,11.66860,11.83569,12.04027,12.13312,12.19318,12.33796,12.65556,12.58482,12.86040,13.25574,13.71403,14.14556,14.34940,14.48759,14.33315,14.05835,13.89515,13.92697,14.09566,13.97509,13.75711,13.57449,13.41305,13.24684,13.23383,13.05415,12.95374,12.89841,12.80394,12.78859,12.98678,12.73014,12.38522,12.31598,12.17969,12.15720,11.75043
2021,Botany 33_11kV,03MAY2020,MW,11.64357,11.62886,11.29013,11.25376,11.10136,11.00236,10.76481,10.78781,10.74202,10.70633,10.54874,10.69869,10.49350,10.30178,10.24934,10.23892,10.25761,10.27499,10.21298,10.27449,10.25176,10.27632,10.22325,10.28915,10.26474,10.41605,10.60595,10.89559,10.94747,11.04386,11.16034,11.18307,11.25252,11.40587,11.59542,11.81712,11.91243,12.07237,12.14932,11.93936,11.84192,11.93156,11.75890,11.79267,11.72819,11.57683,11.71968,11.69609,11.80545,11.77295,11.66912,11.73006,11.89714,11.81461,11.74570,11.67706,11.73289,11.60414,11.51318,11.87510,12.00046,12.01263,12.08529,12.32366,12.47838,12.59130,12.94872,13.30932,13.66403,14.13838,14.56292,14.99319,14.98260,15.11173,15.15656,14.85952,14.63085,14.55243,14.62369,14.47109,14.29744,14.11965,13.90465,13.78112,13.67608,13.67103,13.59731,13.31511,13.36198,13.36497,13.04692,12.73509,12.66615,12.47651,12.28716,12.23974
2021,Botany 33_11kV,04MAY2020,MW,12.18871,12.04369,11.77424,11.63086,11.62044,11.41620,11.44335,11.14528,11.05357,11.04898,10.96191,10.97871,10.92887,10.89570,10.85537,10.88633,11.02526,11.07277,11.03226,11.11396,11.45760,11.58533,11.86592,12.11379,12.76591,13.15305,13.61147,13.93058,14.39879,15.24851,15.59211,15.94391,16.10828,16.04375,15.95466,16.00071,16.01306,15.83138,15.74947,15.65201,15.41814,15.33606,15.41957,15.37350,15.25029,14.94552,15.13469,15.27211,15.33561,15.37302,15.35579,15.23297,15.22266,15.36132,15.38019,15.24105,15.28378,15.43798,15.29825,15.18760,15.15832,15.15855,15.07785,15.04939,15.17049,15.49520,15.46169,15.69463,16.01321,16.61348,17.19418,17.58656,17.31510,17.32056,17.05369,16.78805,16.28974,15.73588,15.78937,15.54405,15.24252,14.94574,14.61995,14.64930,14.14727,13.93856,13.89952,13.61206,13.31760,13.11828,13.00273,12.69913,12.48801,12.28544,12.21485,11.94230
2021,Botany 33_11kV,05MAY2020,MW,12.01264,11.94644,11.64313,11.52090,11.35353,11.32092,11.14914,10.93511,10.79802,10.80342,10.78681,10.75653,10.67427,10.63041,10.66089,10.70999,10.71906,10.65374,10.79510,10.92207,11.24088,11.39623,11.65487,11.99453,12.54800,12.90499,13.28696,13.63978,14.15754,14.71268,15.41509,15.59121,15.65829,15.69896,15.64157,15.82369,15.78049,15.61923,15.57192,15.58043,15.41122,15.40853,15.43110,15.38429,15.31033,15.12719,15.09203,15.09497,15.28244,15.16219,15.23029,15.35593,15.11732,15.30231,15.01627,14.95703,14.93514,15.00409,15.06974,15.20082,15.13973,15.11376,15.02142,14.98980,15.10822,15.06544,15.09817,15.34691,15.57533,16.00220,16.41325,16.75466,16.65800,16.66977,16.46629,16.27784,15.79784,15.57764,15.70327,15.43128,15.02893,14.86880,14.70722,14.28197,14.15438,14.02115,13.88148,13.68830,13.58248,13.45673,13.26597,13.06244,12.89526,12.66650,12.51330,12.29605
2021,Botany 33_11kV,06MAY2020,MW,12.33796,12.02834,11.95333,11.76944,11.86771,11.82452,11.42234,11.22531,11.02692,11.13069,11.04940,10.93063,10.70658,10.72113,10.92799,10.83107,10.89474,11.02460,11.25938,11.31193,11.72031,11.96218,12.13625,12.51192,13.19345,13.63158,13.78278,14.23160,14.56015,15.20076,15.57537,15.72426,15.92156,15.87670,15.83480,15.84471,15.68357,15.54216,15.73775,15.48436,15.23923,15.36649,15.35358,15.19654,15.22857,15.24977,15.33074,15.17109,15.14630,15.24106,15.22605,14.99241,15.17696,15.01498,15.11666,14.80338,14.88232,14.92983,15.04439,15.02309,14.96862,14.82686,14.83880,14.92545,14.88439,14.88672,15.05391,15.14557,15.50766,15.93518,16.43615,16.47569,16.25116,16.15299,16.27100,15.96952,15.74407,15.44238,15.32114,15.18246,15.04465,14.66049,14.27898,14.16094,14.20906,14.03758,13.75309,13.50451,13.45131,13.28280,13.16551,12.92300,12.68399,12.39165,12.43503,12.24186
2021,Botany 33_11kV,07MAY2020,MW,12.19000,12.05241,11.78347,11.65812,11.69527,11.70465,11.49078,11.21970,11.09723,10.99524,10.98241,10.88142,10.78624,10.82591,10.80326,10.97631,10.91995,10.86735,10.85181,11.26974,11.50609,11.68410,11.90176,12.24997,13.13025,13.37397,13.56582,13.98514,14.48776,14.99669,15.54707,15.48685,15.61144,15.63496,15.95535,15.88180,15.94909,16.00030,15.86782,15.78713,15.68788,15.52753,15.53897,15.15679,15.20641,15.07315,15.22270,15.35772,15.20948,15.49114,15.50550,15.17033,15.24752,15.11469,15.08459,14.90410,14.96650,14.68995,14.90632,14.99685,14.95789,14.87946,14.64419,14.40243,14.38017,14.42923,14.58790,14.81278,15.14925,15.52516,15.85176,16.01070,15.96943,15.84594,15.70026,15.48015,15.07542,14.81804,14.63564,14.48185,14.27301,13.99220,13.73176,13.74164,13.83424,13.45729,13.27007,13.11847,13.12933,12.84068,12.50955,12.45134,12.45526,12.22662,12.09307,11.86969
2021,Botany 33_11kV,08MAY2020,MW,11.87939,11.65882,11.31546,11.12791,11.25768,11.05629,10.93699,10.82078,10.67102,10.74631,10.77046,10.72485,10.66422,10.60473,10.57554,10.47595,10.54987,10.58305,10.70628,10.82107,11.16739,11.23847,11.41052,11.81071,12.28324,12.59443,12.97850,13.24417,13.57998,14.07043,14.27297,14.39335,14.64005,14.65927,14.87695,14.96289,14.90970,14.83999,15.00309,14.78870,14.77877,14.80760,15.01255,14.74107,14.48701,14.62063,14.62250,14.69051,14.68943,14.64018,14.85065,14.96609,15.08839,14.89570,14.98600,15.11523,15.25213,15.12498,14.87844,14.93429,14.99753,14.93512,14.90021,14.75642,14.35089,14.42299,14.52120,14.38132,14.49547,14.84864,15.33313,15.31641,15.05267,14.93224,14.83251,14.50810,14.32398,14.23029,13.99892,13.83498,13.60159,13.39961,13.25713,12.97963,13.00273,12.87159,12.81351,12.61025,12.58844,12.56301,12.26203,12.12449,12.03396,11.92691,11.96949,11.97896
2021,Botany 33_11kV,09MAY2020,MW,11.78024,11.52856,11.41052,11.22882,11.15337,10.93172,10.87171,10.60648,10.44889,10.46977,10.56381,10.43143,10.30797,10.43402,10.25524,10.21251,10.21590,10.23223,10.21283,10.17745,10.20546,10.29135,10.28717,10.38369,10.60469,10.79942,10.74406,10.76004,10.81272,11.03709,11.21874,11.42209,11.47436,11.53240,11.60936,11.85621,12.00537,12.30711,11.65668,12.11124,12.73903,12.60376,12.08114,12.13749,12.29477,12.16434,11.96929,11.88944,11.85960,11.62427,11.63977,11.62115,11.88654,11.98470,11.84632,11.69778,11.52894,11.69645,11.77005,11.76000,11.82612,11.89964,12.02164,12.09999,12.19635,12.29779,12.28446,12.76125,12.91040,13.26407,13.75412,13.75899,13.73956,13.79102,13.64977,13.61453,13.42129,13.12817,13.11307,13.01624,12.71434,12.45988,12.46626,12.41926,12.33076,12.20363,12.09092,12.03081,12.00469,12.21694,12.11358,11.77859,11.66987,11.70208,11.72477,11.44855
2021,Botany 33_11kV,10MAY2020,MW,11.39567,11.25929,11.00337,10.98179,10.93776,10.56481,10.37251,10.26055,10.30480,10.25401,10.02608,10.00912,10.14633,10.13554,10.04860,10.02725,9.86921,9.84777,9.86797,10.00408,9.95767,9.94173,9.91004,10.03332,10.02065,10.18903,10.22201,10.26868,10.37135,10.73156,11.10024,11.07821,11.06020,11.27886,11.34801,11.56192,11.55796,11.61470,11.65019,11.71157,11.72911,11.82202,11.63352,11.38064,11.29943,11.33938,11.53220,11.59527,11.53850,11.44656,11.38481,11.30732,11.34442,11.13240,11.05156,11.09857,11.15143,11.04601,11.16450,11.27160,11.27717,11.59241,11.84951,11.97991,12.20624,12.23940,12.51470,12.78898,13.05527,13.60024,14.00114,14.16230,14.33253,14.41382,14.25728,14.29431,14.10941,14.25391,14.13333,14.06139,13.77468,13.69755,13.70134,13.59359,13.41157,13.32524,13.22353,13.08468,12.98057,12.88246,12.74109,12.38914,12.30566,12.05570,11.92631,11.60875
2021,Botany 33_11kV,11MAY2020,MW,11.63936,11.52100,11.27679,11.17223,11.11595,11.03968,10.91219,10.78807,10.64234,10.62695,10.53568,10.42174,10.42103,10.48840,10.38396,10.34467,10.37869,10.46625,10.50319,10.78699,11.14744,11.26036,11.58254,11.83534,12.65611,13.26293,13.47071,13.98501,14.57694,15.12354,15.49373,15.65956,15.81486,15.78737,15.89329,16.11599,16.15917,16.02501,15.82244,15.64341,15.45584,15.36766,15.29545,15.07684,15.08015,15.10493,15.16634,15.33094,15.29996,15.09822,15.04100,14.78893,14.67628,14.62836,14.60592,14.55776,14.70874,14.69136,14.64189,14.69005,14.70623,14.60165,14.63654,14.64127,14.84463,15.02321,15.30997,15.54459,15.79456,16.48479,16.93305,17.11498,16.85064,16.77927,16.52727,16.26639,15.99546,15.82409,15.63413,15.42197,15.07254,14.88174,14.66104,14.45807,14.19764,13.84604,13.27019,13.14657,13.09597,12.89265,12.54773,12.31660,12.29752,12.02631,11.93523,11.57988
2021,Botany 33_11kV,12MAY2020,MW,11.50508,11.43395,11.21056,11.02894,10.94654,10.71188,10.57657,10.33982,10.40111,10.39992,10.16073,10.05846,9.93476,9.93684,9.91449,9.97924,10.03623,10.04454,10.19464,10.43566,10.80868,11.08142,11.26586,11.71063,12.60043,13.12104,13.36089,13.92233,14.56900,15.08552,15.53095,15.65787,15.71264,15.62624,15.75840,15.78653,15.77674,15.63268,15.47473,15.42091,15.36692,15.36683,15.15745,14.90820,14.84286,14.78151,14.76880,14.69227,14.71109,14.64026,14.59476,14.56641,14.45565,14.49260,14.41456,14.62149,14.47587,14.57329,14.59495,14.52767,14.46579,14.76095,14.70649,14.48098,14.46479,14.57696,14.76589,15.46580,15.66457,16.06993,16.61829,16.64998,16.93709,16.72977,16.58426,16.44572,16.08959,15.70845,15.49343,15.46296,15.35950,15.22880,15.09381,14.74626,14.36029,14.14860,14.04107,13.78969,13.64220,13.45337,13.12170,12.99060,12.87808,12.68647,12.43721,12.35624
2021,Botany 33_11kV,13MAY2020,MW,12.35165,12.12742,11.83075,11.78004,11.69890,11.49387,11.37279,11.20754,11.05161,11.17983,11.03592,10.69266,10.81117,10.85462,10.90195,10.77641,10.76874,11.05531,10.90838,11.00737,11.33778,11.49100,11.73317,12.14246,13.00627,13.59556,13.68608,14.18137,14.69275,15.36862,15.72703,15.91080,15.94235,16.08617,16.12203,16.22286,15.90841,15.86807,15.83814,16.13275,15.95958,15.71898,16.02545,15.93360,15.91861,15.97228,16.07045,15.51567,15.12501,15.40356,15.35244,15.31659,15.48204,15.55745,15.57986,15.49738,15.37549,15.37751,15.05527,14.96165,14.75975,14.90912,15.00006,15.15849,15.37673,15.47586,15.88131,16.07539,16.48457,16.95242,17.22980,17.39160,17.06206,16.92537,16.78145,16.45162,16.17011,15.90348,15.75223,15.52835,15.15298,15.13485,14.76408,14.49472,14.22610,13.88477,13.70475,13.60042,13.63407,13.32254,13.14714,12.87353,12.80816,12.72215,12.63340,12.34855
2021,Botany 33_11kV,14MAY2020,MW,12.20077,12.11810,11.90111,11.84541,11.84035,11.56197,11.37413,11.35136,11.29836,11.08856,10.97735,10.93423,10.85893,10.89772,10.85777,10.82336,10.81801,10.89270,11.02634,11.26589,11.55001,11.68208,12.15654,12.46927,13.29765,13.78240,13.99687,14.27723,14.96215,15.41625,16.04525,16.60991,16.57436,16.72197,16.72470,16.72634,16.57992,16.66046,17.09986,17.12888,16.72260,16.54517,16.52229,16.10331,15.95052,16.03776,16.16095,15.92065,15.81787,15.72594,15.63734,15.58768,15.55884,15.36351,15.39482,15.70097,15.49493,15.09804,15.52761,16.10974,15.87774,16.01716,15.90284,15.87094,15.93181,15.97262,16.02701,16.23656,16.59476,17.23882,17.27345,17.45609,17.20341,17.19338,16.97487,16.79558,16.37773,16.08273,15.76981,15.57420,15.32819,14.99289,14.71507,14.50913,14.26280,13.87127,13.56377,13.44568,13.51536,13.12310,12.90787,12.38137,12.15650,11.85048,11.88611,11.58993
