year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Branxton 66_11kV,01MAY2020,MW,5.77683,5.52933,5.33058,5.06489,4.63720,4.26411,3.89578,3.72497,3.53010,3.35848,3.22812,3.10825,3.09266,3.06008,3.00658,3.06011,3.01596,3.06649,3.23785,3.22729,3.30473,3.31065,3.45216,3.63450,3.74056,3.95352,4.05188,4.09383,3.86265,3.78976,3.58614,3.43888,3.38295,3.26025,3.00453,2.87455,2.89896,2.47821,2.24561,2.07074,2.15714,2.81230,2.76525,2.52878,3.00126,2.51750,2.99708,3.10962,2.47743,2.93674,2.57153,1.95351,2.78799,2.05664,1.75085,1.85352,1.92194,2.04700,2.16892,2.39447,2.56258,3.00721,3.16049,3.38292,3.77339,4.01451,4.41755,4.91095,5.34020,5.74956,6.15838,6.46640,6.55916,6.66574,6.61559,6.53423,6.29710,6.18622,6.04239,5.87076,5.76434,5.64370,5.48305,5.28745,5.13137,5.12244,5.32000,4.97835,4.90462,4.83014,4.70935,5.31607,5.72369,5.55445,5.97432,6.12997
2021,Branxton 66_11kV,02MAY2020,MW,6.03457,5.73408,5.44487,5.11173,4.79388,4.40710,4.11954,3.97379,3.72812,3.48920,3.38515,3.27460,3.31189,3.22051,3.17402,3.12474,3.15473,3.20712,3.23856,3.31036,3.24932,3.27291,3.34990,3.34074,3.45405,3.53248,3.69644,3.71352,3.72104,3.70820,3.86773,3.73912,3.72621,3.65902,3.53384,3.46158,3.33169,3.24110,2.98782,2.99195,2.82575,2.66214,2.64172,2.26256,2.07305,2.02145,1.87761,1.83044,1.80777,1.67138,1.74200,2.00809,2.16396,1.88737,1.89602,2.42996,2.25111,2.00175,2.12107,2.95569,3.28405,3.70606,3.93863,4.13192,4.21301,4.35793,4.63327,4.98413,5.34423,5.69986,5.97355,6.14380,6.33012,6.34911,6.21455,6.10641,5.98602,5.88160,5.66530,5.57993,5.34191,5.15477,5.08792,4.95637,4.90105,4.77854,4.82275,4.69874,4.54959,4.50829,4.35991,4.16109,4.59760,4.45200,4.19641,4.13448
2021,Branxton 66_11kV,03MAY2020,MW,4.18118,4.04271,3.98445,3.88080,3.71187,3.58074,3.47610,3.33681,3.25776,3.14280,3.11268,3.02485,3.03124,2.98687,2.95552,2.92718,2.91973,2.98566,3.02790,2.95306,2.99571,3.04539,3.14967,3.17417,3.28722,3.36287,3.52804,3.67544,3.62623,3.66851,3.66630,3.59216,3.57351,3.46966,3.36952,3.20608,3.10111,2.89187,2.69779,2.41692,2.33994,2.12827,2.05192,1.93849,1.71137,1.59883,1.57432,1.62665,1.59881,1.64442,1.68564,1.86910,1.75636,1.61584,1.84876,2.06389,2.14845,2.09320,2.13576,2.29587,2.40154,2.67386,2.87959,3.16043,3.45171,3.79864,4.18190,4.64913,5.02553,5.51395,6.15870,6.53412,6.58376,6.47794,6.43086,6.34382,6.18087,6.01512,5.87756,5.74976,5.52205,5.42130,5.39597,5.16159,5.08899,4.96415,4.92799,4.70561,4.63857,4.49244,4.27946,4.06237,4.48627,4.39548,4.34597,4.22658
2021,Branxton 66_11kV,04MAY2020,MW,4.28775,4.12355,4.15239,4.05446,3.89609,3.79979,3.56268,3.43240,3.41048,3.37618,3.33277,3.17900,3.10261,3.08787,3.12244,3.13763,3.18302,3.27794,3.31626,3.40987,3.54540,3.66592,3.77859,3.89631,4.07387,4.33122,4.47786,4.64252,4.44725,4.40555,4.28261,4.12766,3.97633,3.74736,3.50592,3.20560,2.97808,2.64012,2.37217,2.08328,1.94210,1.75297,1.60207,1.49559,1.36717,1.27406,1.19881,1.18324,1.15368,1.13172,1.11043,1.16594,1.18975,1.21458,1.26242,1.31356,1.39984,1.51827,1.62315,1.84159,2.03763,2.28871,2.46857,2.66022,2.95455,3.35366,3.73507,4.11695,4.59613,5.12866,5.59586,6.00714,6.04764,6.10256,5.94789,5.73757,5.61293,5.50750,5.34889,5.27094,5.17367,5.07738,4.97113,4.75709,4.66828,4.54708,4.72525,4.47173,4.44358,4.32824,4.34069,4.90704,5.26749,5.16668,5.59859,5.79765
2021,Branxton 66_11kV,05MAY2020,MW,5.59947,5.33966,5.15244,4.86020,4.52349,4.25091,3.91835,3.60549,3.41720,3.34574,3.21246,3.12830,3.09729,3.00771,3.01954,2.96174,2.97852,3.01587,3.08470,3.21485,3.35336,3.45491,3.51881,3.56276,3.71526,3.90155,4.01304,4.16516,4.06169,4.09571,3.89866,3.48176,3.65085,3.77518,3.37884,3.53302,3.33084,3.01372,2.31578,2.01745,1.76897,1.72640,2.31777,2.76062,3.15771,3.38363,2.87404,2.73102,3.46104,3.48941,3.50715,3.73914,4.04173,3.85841,3.55663,3.45808,3.33420,2.94646,2.77259,3.10651,3.32436,3.47069,3.57644,3.73748,3.87190,4.09684,4.41500,4.76740,5.13025,5.51625,5.89147,6.13650,6.28517,6.11967,6.02632,5.85796,5.65312,5.48266,5.41192,5.29787,5.16487,4.97468,4.87801,4.75078,4.57080,4.57343,4.73748,4.48508,4.52206,4.44068,4.44555,4.95750,5.37596,5.11453,5.51481,5.73950
2021,Branxton 66_11kV,06MAY2020,MW,5.61913,5.34616,5.09836,4.89186,4.58002,4.27977,4.00725,3.76201,3.57217,3.40785,3.29941,3.23909,3.14825,3.11420,3.02744,3.08108,3.10889,3.11709,3.20515,3.23862,3.36165,3.51237,3.53697,3.60279,3.71717,3.88573,3.97041,4.18720,4.04372,4.22010,4.51205,4.55371,4.65655,4.60194,4.58800,4.49712,4.42854,4.30523,4.15664,4.04680,4.10841,3.96413,3.78364,3.61924,3.62812,3.34420,3.07843,2.71570,2.24669,1.84759,1.50778,1.53878,1.52825,1.50084,1.60753,1.65168,1.69410,1.84054,2.04178,2.04018,2.14984,2.38186,2.64420,2.92075,3.11535,3.45570,3.75239,4.07526,4.49576,4.96804,5.38996,5.74212,5.85471,5.75127,5.65322,5.53014,5.52193,5.37598,5.34631,5.22333,5.10833,5.00918,4.84003,4.73897,4.66421,4.54649,4.78782,4.57678,4.52889,4.50514,4.43602,5.08833,5.50409,5.32790,5.86929,6.12880
2021,Branxton 66_11kV,07MAY2020,MW,5.83378,5.53569,5.34482,5.06042,4.79517,4.46367,4.07137,3.93784,3.75651,3.56968,3.45688,3.41103,3.44597,3.30988,3.29365,3.33372,3.32678,3.37710,3.50237,3.62088,3.78970,3.85201,3.98955,4.11641,4.37375,4.53830,4.72347,4.68756,4.32444,4.42824,4.50402,4.23559,4.00794,4.04791,3.93793,3.66134,3.53578,3.54380,3.33175,2.72036,2.65989,2.45998,2.30215,2.54292,2.57725,2.41931,2.29071,2.26042,2.27780,2.17857,2.37628,2.42785,2.14540,2.23546,2.13259,2.34305,2.05153,2.04855,2.35803,2.35644,2.55558,2.92774,3.24640,3.34143,2.91547,3.68854,3.80948,4.24097,4.59366,5.06463,5.35926,5.55209,5.75066,5.70274,5.68579,5.65443,5.52924,5.36605,5.28333,5.09553,5.04495,4.92252,4.80961,4.76787,4.64516,4.59428,4.77655,4.44328,4.43354,4.33374,4.31513,4.90748,5.34525,5.19043,5.66505,5.86566
2021,Branxton 66_11kV,08MAY2020,MW,5.70520,5.35589,5.19091,4.95122,4.63763,4.33978,4.00472,3.78181,3.63859,3.48876,3.41344,3.24215,3.24443,3.16486,3.08570,3.16915,3.16558,3.26889,3.37062,3.41294,3.48505,3.64791,3.70905,3.79321,4.02718,4.16138,4.32603,4.52651,4.28011,4.23695,4.07014,3.84265,3.70927,3.48804,3.22816,2.94537,2.72185,2.45297,2.18230,1.91291,1.78128,1.65323,1.55883,1.44060,1.34897,1.25715,1.24807,1.28584,1.24952,1.25010,1.24886,1.21632,1.28365,1.30729,1.40974,1.56140,1.63814,1.82208,1.98972,2.28567,2.40397,2.27809,2.66410,2.97878,3.23346,3.39345,3.62965,3.86309,4.21336,4.46191,4.65163,4.85237,4.93846,4.99838,4.91318,4.73671,4.62642,4.56295,4.40861,4.34110,4.32473,4.21706,4.17142,4.04750,3.99927,4.03176,4.25225,4.01236,4.07113,4.15369,4.11572,4.68591,5.11380,4.97918,5.43674,5.66376
2021,Branxton 66_11kV,09MAY2020,MW,5.37323,5.04854,4.90717,4.61474,4.34690,3.96832,3.72716,3.54320,3.32553,3.23136,3.21035,3.16616,3.13604,3.00826,3.02814,3.01882,2.97562,2.96659,2.99304,2.99154,2.99552,3.06708,3.17429,3.15843,3.24025,3.33078,3.51256,3.66091,3.95611,4.13840,4.10887,4.05642,4.04265,3.66308,3.38384,3.15621,3.86514,3.69589,3.83499,4.02577,3.23116,2.31593,2.08678,2.01735,2.45171,1.88950,1.48027,1.32661,1.83196,1.91327,1.69517,2.61994,3.21821,3.27416,3.43367,3.42339,3.32165,3.61262,3.50957,3.65011,3.98350,3.96645,3.67351,3.58117,3.17355,3.46956,3.86211,4.19315,4.46158,4.82971,5.20317,5.49003,5.74715,5.57042,5.38767,5.28432,5.21507,5.25649,5.19750,5.08638,4.84362,4.76555,4.60573,4.55936,4.56919,4.46925,4.49095,4.31045,4.31926,4.39285,4.28174,4.12937,4.52812,4.36614,4.14694,4.06773
2021,Branxton 66_11kV,10MAY2020,MW,4.04741,3.96616,3.95710,3.79839,3.61568,3.43388,3.33983,3.24320,3.16581,3.08114,3.08541,2.92840,2.85503,2.86689,2.86350,2.84314,2.84206,2.85226,2.85811,2.88113,2.90990,3.00801,3.09226,3.15244,3.21879,3.28388,3.44362,3.61185,3.67110,3.75991,3.72771,3.71750,3.71473,3.61912,3.44633,3.33791,3.07525,2.95596,2.79354,2.59596,2.38392,2.17531,2.02626,1.88939,1.82259,1.62959,1.60500,1.60368,1.52747,1.40343,1.43845,1.51143,1.48815,1.52230,1.52672,1.53409,1.57899,1.67604,1.83942,2.05047,2.24553,2.38862,2.65388,2.97966,3.30247,3.67962,4.02811,4.50938,5.00932,5.60363,6.05759,6.38811,6.48267,6.68858,6.67919,6.63065,6.52689,6.52399,6.37746,6.32689,6.22911,6.11137,5.93772,5.68867,5.50012,5.28903,5.33911,5.07236,4.86854,4.69992,4.57038,4.46445,4.76127,4.56657,4.34294,4.31266
