year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Campbell St 132_11kV,01MAY2020,MW,12.14195,11.93092,11.80837,11.72350,11.54319,11.37272,11.14985,11.11425,11.06663,10.96335,10.88755,10.77105,10.80991,10.76345,10.72325,10.76584,10.79685,10.75754,10.84310,10.92663,11.09204,11.33446,11.52652,11.81189,12.80595,13.10116,13.58789,14.00850,14.87136,15.37537,16.07917,16.70882,17.31472,17.68913,17.97129,18.11057,18.22988,18.40062,18.50911,18.35638,18.47554,18.53421,18.49654,18.65235,18.69281,18.73523,18.75058,19.02935,19.17851,19.07765,19.05348,19.28522,19.26165,19.01365,18.97508,18.86295,18.85542,18.85928,18.74111,18.69837,18.69528,18.66687,18.42343,18.35624,18.27055,18.15865,18.29992,18.68274,18.72133,18.81473,19.21314,19.25865,18.70614,18.67262,18.49015,18.39755,18.07958,17.65279,17.37089,17.12773,16.88369,16.46392,16.25818,16.09004,15.67297,15.30883,15.15011,14.83689,14.56779,14.29985,14.03930,13.77268,13.39331,13.12420,12.82732,12.62287
2021,Campbell St 132_11kV,02MAY2020,MW,12.52304,12.27825,12.13363,12.12249,11.91986,11.75339,11.56568,11.43943,11.32796,11.23641,11.20248,11.10035,10.92295,10.88069,10.94173,10.89935,10.97237,10.89750,10.96026,10.99709,11.18808,11.20215,11.38628,11.48871,11.89240,11.92400,11.93834,12.07562,12.42343,12.80569,13.05703,13.15391,13.44780,13.83583,14.06002,14.43467,14.76461,14.98583,15.03282,15.22356,15.31897,15.63085,15.58047,15.67422,15.67400,15.60671,15.76335,15.95008,15.98518,15.76672,15.78296,15.82100,15.70104,15.68490,15.61222,15.45933,15.42591,15.48484,15.45238,15.60278,15.61294,15.48000,15.48472,15.41663,15.51141,15.48083,15.62879,15.93831,16.15821,16.64654,16.86808,17.41311,17.36358,17.61193,17.45071,17.41932,17.11059,16.92415,16.61942,16.36542,16.15797,15.91492,15.69296,15.52641,15.18132,15.05971,14.72821,14.45934,14.44570,14.48475,14.24375,14.01475,13.83791,13.61797,13.28840,13.13317
2021,Campbell St 132_11kV,03MAY2020,MW,12.95389,12.80311,12.64292,12.37681,12.32484,12.05599,11.99773,11.83259,11.68170,11.50178,11.44373,11.36370,11.30729,11.26891,11.29922,11.20913,11.28805,11.29201,11.29158,11.34110,11.45430,11.51813,11.60753,11.69203,11.73496,11.76687,11.75292,12.03003,12.23916,12.52533,12.67492,12.92022,13.03426,13.22601,13.48062,13.78070,14.14918,14.20171,14.43506,14.68832,14.78947,14.96172,15.02138,14.91400,14.91608,15.04714,15.10793,15.27256,15.23898,15.24180,15.18172,15.26885,15.06016,15.05283,14.88288,14.98070,15.07901,15.15364,15.00182,15.01804,14.98900,15.09337,14.78188,14.79574,15.14776,15.07856,15.35023,15.67417,15.97503,16.23915,16.78520,17.26468,17.51106,17.51657,17.57144,17.57982,17.32243,17.19201,16.88838,16.61796,16.49371,16.20874,16.00798,15.80106,15.47657,15.16188,14.90741,14.53232,14.37174,14.14048,13.73429,13.52115,13.20583,12.86123,12.67512,12.38641
2021,Campbell St 132_11kV,04MAY2020,MW,12.41112,12.10478,11.95450,11.73208,11.58634,11.46276,11.41668,11.33462,11.22194,11.17386,11.08478,11.05566,10.99729,10.98224,10.93319,10.95220,11.06264,10.99931,11.06522,11.16853,11.42934,11.65434,11.91036,12.17687,13.29308,14.00982,14.39696,14.67251,15.66180,16.49717,17.25146,17.58277,18.47925,18.90118,19.24296,19.39517,19.56774,19.49195,19.67059,19.63426,19.61669,19.69876,19.64460,19.61201,19.79342,19.80050,19.71133,19.81431,19.95082,20.00801,20.24512,20.08105,19.95399,19.97284,20.00887,19.72877,19.60923,19.39385,19.35282,19.24902,19.28541,19.30111,19.20034,19.05091,18.90549,19.01550,19.24463,19.37658,19.73226,19.80743,20.24000,20.64444,20.00816,20.12605,19.82169,19.61096,19.20832,18.73380,18.49082,18.30109,17.85024,17.46531,17.22826,16.80062,16.27808,15.95547,15.51970,15.24589,14.94782,14.66277,14.14424,13.80178,13.46507,13.10282,12.69971,12.53924
2021,Campbell St 132_11kV,05MAY2020,MW,12.31545,12.24253,12.14759,11.96764,11.79239,11.53362,11.46264,11.33124,11.20904,11.15645,11.04152,11.01795,10.95067,10.99889,11.00869,11.07082,11.02656,11.10935,11.13902,11.18402,11.45197,11.72188,11.96963,12.51717,13.32776,13.92594,14.35165,14.72681,15.62042,16.48402,17.11465,17.62403,18.40087,18.88099,19.26063,19.54179,19.59446,19.21780,19.38535,19.58179,19.73084,19.67067,19.52747,19.60487,19.72496,19.68214,19.74970,19.77147,20.07833,20.14049,20.16371,20.11239,19.93272,19.72741,19.69844,19.53006,19.43862,19.46613,19.27565,19.44545,19.45810,19.12046,19.04895,18.99458,18.96477,19.04414,19.15880,19.41311,19.45280,19.60193,20.05041,20.28587,19.68171,19.72617,19.57971,19.52598,19.06163,18.56448,18.22849,17.75452,17.48401,17.11505,16.84198,16.63684,17.18347,16.87477,16.49539,16.14040,15.67670,15.61648,15.24015,14.77786,14.40852,14.11940,13.63438,13.49593
2021,Campbell St 132_11kV,06MAY2020,MW,13.40601,13.12152,12.99967,12.72947,12.58964,12.49420,12.16295,12.13725,11.94452,11.92974,11.80861,11.81193,11.71173,11.78767,11.70414,11.71937,11.65775,11.77523,11.82684,11.94644,12.10877,12.36905,12.64285,12.91522,13.76803,14.30344,14.74002,15.29406,16.30576,16.89612,17.71494,18.34734,19.15859,19.60797,19.94587,20.24746,20.29408,20.31609,20.27526,20.39813,20.47897,20.48973,20.39404,20.29660,20.29043,20.35640,20.55633,20.55663,20.77514,20.63322,20.52938,20.53821,20.44868,20.29936,20.34921,20.25067,20.03729,20.05666,20.00591,20.13129,20.00196,19.78061,19.97765,19.74429,19.67889,19.50847,19.66022,19.83837,20.00385,20.26457,20.88070,20.93103,20.31382,20.18283,20.00296,19.99326,19.40212,19.23498,18.75733,18.41633,18.20164,17.76781,17.40262,17.19107,16.83791,16.48259,15.98120,15.76389,15.39136,15.27300,14.83280,14.57349,14.16767,13.88360,13.67341,13.37794
2021,Campbell St 132_11kV,07MAY2020,MW,13.29466,13.09237,12.94547,12.72221,12.72292,12.28869,12.08157,11.87043,11.78416,11.66894,11.66833,11.60855,11.58641,11.68094,11.65041,11.56589,11.65399,11.71388,11.69309,11.80761,11.93470,12.30401,12.72827,13.03142,13.74033,14.06381,14.59198,15.11612,16.04257,16.63265,17.21531,18.05640,18.71172,19.33706,19.54227,19.91789,20.02627,19.91348,19.82130,19.79374,19.92014,20.02960,20.09903,20.08882,19.91620,19.93656,19.93665,20.33213,20.36285,20.22637,20.41290,20.55677,20.45808,20.37545,20.28040,20.17844,19.96494,20.00422,20.00081,20.02096,19.61755,19.81010,19.83126,19.67575,19.47466,19.62044,19.52414,19.82781,19.80530,19.99457,20.22204,20.34157,19.62821,19.67693,19.55102,19.44615,18.94867,18.57803,18.26401,18.10078,17.72623,17.43184,17.00634,16.58451,16.15949,15.91286,15.66203,15.39359,15.14600,15.06785,14.71473,14.31761,13.97772,13.66008,13.52210,13.19628
2021,Campbell St 132_11kV,08MAY2020,MW,13.07520,12.81838,12.65779,12.50334,12.33829,12.14357,11.96159,11.86055,11.76882,11.61761,11.50464,11.48135,11.50672,11.34001,11.46181,11.44187,11.45260,11.44064,11.49260,11.56639,11.73418,12.03798,12.39599,12.67856,13.41771,13.86857,14.34298,14.56202,15.24011,15.82442,16.55080,17.10657,17.77110,18.24000,18.71471,19.04727,19.10287,19.16654,19.37460,19.51675,19.60163,19.68928,19.74721,20.01616,19.85440,19.89379,19.87522,20.09040,20.13846,19.92181,19.95052,19.97796,20.33732,20.36267,20.17062,20.05379,20.02235,20.09963,20.10043,20.14512,19.94615,20.00412,19.65038,19.75183,19.84355,19.62768,19.65445,19.89421,19.79905,19.71833,19.84864,20.04026,19.38172,19.20483,18.92687,18.81349,18.33201,17.78206,17.78485,17.45710,17.05746,16.73002,16.37393,16.31118,15.86150,15.42255,15.18405,14.86889,14.56784,14.78759,14.51323,14.18947,13.83244,13.69949,13.47671,13.35038
2021,Campbell St 132_11kV,09MAY2020,MW,13.15045,13.04800,12.83888,12.63838,12.52939,12.29081,12.04042,12.01403,11.83775,11.68764,11.73190,11.63506,11.65035,11.63477,11.57656,11.46309,11.50983,11.47022,11.40229,11.43582,11.65849,11.64903,11.91189,12.02513,12.22031,12.27125,12.16999,12.34886,12.65498,13.17577,13.45216,13.78908,13.88278,14.24157,14.52625,15.01848,15.24172,15.42193,15.50380,16.03002,16.27571,16.33238,16.19811,16.34409,16.38184,16.35584,16.38022,16.25182,16.36670,16.45661,16.65435,16.44277,16.40439,16.42379,16.09528,16.09565,16.32919,16.20101,16.18327,16.09881,16.23186,16.08639,16.12151,15.94062,16.02228,15.88332,15.97986,16.01636,16.30733,16.71894,16.98462,17.25192,17.25036,17.15219,17.20359,17.06587,16.68065,16.57296,16.28112,16.19201,15.99329,15.49282,15.28346,15.12858,15.06821,14.85544,14.66047,14.45395,14.19342,14.29681,14.14563,13.93420,13.67634,13.46075,13.22561,13.04372
2021,Campbell St 132_11kV,10MAY2020,MW,13.04566,12.78498,12.53234,12.40778,12.24779,12.07568,11.96724,11.82427,11.80319,11.61582,11.50652,11.51803,11.44845,11.36443,11.35297,11.27578,11.36009,11.30703,11.36183,11.38071,11.55542,11.68349,11.70963,11.81842,11.86744,11.95123,12.04043,12.13278,12.46767,12.66195,13.34367,13.55517,13.74477,14.06916,13.97670,14.40025,14.72325,15.04902,15.08576,15.28161,15.33156,15.49952,15.57258,15.72224,15.66101,15.68173,15.89212,15.84602,15.81991,15.56946,15.64178,15.56824,15.48564,15.29712,15.41914,15.28114,15.21656,15.13241,14.92809,15.20197,15.25989,15.27534,15.10166,15.20890,15.41912,15.39033,15.87650,16.18792,16.69440,17.23941,17.75475,18.04255,18.01771,18.07813,18.32004,18.23466,17.87372,17.84118,17.42069,17.21566,17.07198,16.84053,16.69868,16.48421,16.16184,16.09442,15.85081,15.52806,15.26294,15.19767,14.85645,14.42544,14.23991,13.82325,13.64846,13.39270
