year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Camperdown 33_11kV,01MAY2020,MW,11.70942,11.38883,11.83090,11.36262,11.38046,11.17692,10.77641,10.74336,10.78754,10.84618,10.81774,10.76906,10.65668,10.55825,10.39903,10.28454,10.32947,10.68797,10.81083,10.86319,10.66849,10.38265,9.70877,9.48194,9.83672,10.21836,10.69551,10.97397,11.24350,11.47572,11.57209,11.80401,12.03411,12.31395,12.68882,12.77542,12.68834,12.51147,12.16265,12.12391,12.46658,12.44949,12.59838,12.77024,13.19286,14.34071,14.64716,14.73538,14.73946,13.98824,14.02834,14.71299,14.78133,14.72081,14.35276,14.03172,14.20712,14.81916,14.98393,14.93233,14.63283,14.18818,14.64502,14.79275,15.06598,15.20484,15.10456,15.27959,15.38134,15.42072,15.71837,15.99865,15.89634,15.95695,15.84223,15.75311,15.75520,15.61287,14.21895,13.66110,13.42496,14.01745,13.91243,14.31119,14.32710,13.95920,13.77983,13.44921,13.53602,12.97157,13.26190,13.25958,12.70635,12.80052,12.45202,11.95125
2021,Camperdown 33_11kV,02MAY2020,MW,11.84878,11.56183,11.66981,11.65740,11.46509,11.45298,11.54732,11.09438,11.30492,11.39448,11.23776,11.24811,11.02173,11.38876,11.54263,11.39072,10.97156,10.79697,10.75166,11.17630,11.15030,10.78316,9.57848,8.82123,9.01065,9.14195,9.29388,9.55125,9.69162,9.79245,10.04341,10.19373,10.58476,11.11446,11.13245,11.21811,11.30582,11.31466,11.15891,11.35018,11.54099,12.13507,12.93469,13.49564,13.45961,13.86710,13.99084,14.55159,14.44415,14.66469,14.60606,13.90275,13.75586,13.44127,13.18224,13.08317,12.50978,12.65792,12.65774,12.54075,12.51184,12.33675,12.59474,12.98905,13.27641,13.29529,13.42493,13.86119,13.97683,14.34817,15.00783,15.43725,15.77367,15.65289,15.69217,15.53544,15.33163,14.93563,13.72981,13.19144,13.06763,13.82826,14.17545,14.33365,14.43755,14.17391,14.53853,13.92071,13.61553,13.29125,13.41117,13.12472,13.00390,12.69232,12.23169,11.88933
2021,Camperdown 33_11kV,03MAY2020,MW,11.54462,11.46263,11.56563,11.64463,11.60632,11.55984,11.49510,11.52207,11.59947,11.30064,11.08585,11.04019,10.95624,10.82308,10.44763,10.44299,10.33277,10.27025,10.09681,10.55711,10.62862,10.18043,9.61643,9.20340,9.34493,9.53818,9.31839,9.45991,9.44983,9.58484,9.65494,9.78583,10.00023,10.31547,10.31829,10.65719,10.75819,10.87962,10.93458,11.11236,11.25136,12.06532,12.54690,12.90933,12.99774,12.73476,12.69490,12.58486,12.76555,13.12047,12.84524,12.92539,13.03031,12.93121,12.72224,12.85711,12.49033,12.50277,12.78538,12.87512,13.06170,12.83560,12.99975,13.10751,13.60066,13.91168,13.69755,13.69037,13.94281,14.17625,14.52561,15.12131,15.15973,15.36117,15.45400,15.55854,15.45222,15.14083,14.07169,12.85743,13.20506,13.99072,14.18727,13.86480,13.84027,13.68530,13.64527,13.56101,13.08406,12.51566,12.20800,12.15738,11.83191,11.96968,11.75877,11.54601
2021,Camperdown 33_11kV,04MAY2020,MW,11.28862,11.27500,11.03355,10.77329,10.47765,10.51202,10.51199,10.64079,10.17890,10.23679,10.08652,10.16967,10.38186,10.50410,10.42438,10.22601,10.44622,10.50550,10.48041,10.50303,10.56117,9.84730,8.97448,8.99143,9.57645,9.98941,10.40764,11.12812,11.45221,11.42885,11.79501,12.16888,12.39023,12.90387,13.11761,13.45446,13.29441,13.15643,13.17271,13.13090,13.66584,13.76402,14.17745,14.88944,14.88252,14.68566,14.73616,14.70992,15.10175,15.00977,14.88059,15.07860,15.31219,14.96727,14.77390,14.85122,14.80466,15.09835,15.17837,15.12820,14.80779,14.90599,14.70821,14.52593,14.40807,14.13053,14.63383,15.34380,15.54014,15.86622,16.58314,16.65149,16.98090,16.83373,16.93670,17.21013,17.04764,16.94369,15.36033,14.60723,14.09687,14.59567,14.87253,15.13453,14.87638,14.62114,14.79210,14.60280,14.73789,14.72741,14.42958,14.20856,13.64831,13.38106,13.23571,12.91510
2021,Camperdown 33_11kV,05MAY2020,MW,12.55374,12.35385,11.99703,11.77289,11.81861,11.60721,11.43185,11.61798,11.43156,11.57028,11.60052,11.20815,11.31635,11.45350,11.08148,11.08962,10.93275,11.01243,10.98568,10.94866,10.90090,10.40708,9.82496,9.62110,10.13774,10.44325,10.80364,11.24240,11.83576,12.43157,12.57994,12.66424,12.75991,13.08501,12.93717,13.15840,12.97554,12.76612,13.19327,13.56169,13.71156,14.35704,14.71186,14.91537,14.85376,14.61103,14.58911,14.86141,14.85993,15.11588,15.00811,15.12534,15.71042,15.73657,15.62061,15.80728,15.56712,15.39201,15.42174,15.75492,15.88116,15.04104,14.99873,15.31765,15.80583,15.17261,15.20568,15.22958,15.58066,16.14346,16.29290,16.32362,16.42001,16.47038,16.42760,16.54968,16.61330,16.86682,15.29515,14.34123,14.25355,14.40974,14.78667,14.83915,14.81902,14.75512,14.45362,14.29187,14.20584,13.94229,13.50559,13.34338,13.26521,12.85443,12.47879,12.21286
2021,Camperdown 33_11kV,06MAY2020,MW,11.76182,11.90525,11.87739,11.54703,11.40772,11.53868,11.74413,11.86972,11.98101,11.74783,11.62336,11.74106,11.69841,11.61316,11.52797,11.42805,11.64040,11.36402,11.03853,11.34413,11.68616,11.12120,10.05253,9.79083,10.29978,10.83838,11.09565,11.35483,11.80783,12.19575,12.42711,12.49943,12.70294,12.92970,13.23263,13.97816,14.09857,13.60225,13.45605,13.66159,13.51518,13.80669,14.02788,14.34908,14.45765,14.53419,14.77819,14.98404,15.00547,14.85302,14.46614,14.57862,14.52269,14.44863,14.71322,14.69473,14.66073,14.08499,13.92131,13.77351,14.23563,14.34825,14.81090,14.55381,14.77133,14.58083,15.41734,15.52668,15.66161,16.47460,16.57089,16.41151,16.42071,16.78129,16.96333,17.00387,16.54197,15.39650,14.35532,13.67865,13.81384,14.56599,15.38814,15.27468,14.96540,14.70431,14.50745,14.28988,13.89337,13.51226,13.49315,13.17707,12.72118,12.60350,12.50232,12.47713
2021,Camperdown 33_11kV,07MAY2020,MW,12.22349,11.91429,12.18607,11.69217,11.64262,11.29272,11.39954,11.63118,11.52561,11.28645,11.42020,11.55334,11.54185,11.36353,11.19323,10.95388,11.28980,11.24066,11.56325,11.66414,11.32693,10.92008,10.22100,9.92845,10.33886,10.70229,11.06242,11.41447,11.78369,12.13201,12.52703,12.70193,12.91863,13.13473,13.73926,14.01448,13.94437,13.89387,13.94004,13.69983,13.75208,14.01054,14.54653,15.29138,15.16886,15.28197,15.74884,15.62569,15.50392,15.49358,15.64356,15.33729,15.44428,15.60633,15.10424,15.02015,14.55932,14.96990,14.96462,15.13273,14.93845,14.93046,14.77010,14.88326,14.93748,15.28010,15.49481,15.65228,15.29752,15.89189,16.48127,16.67836,16.40489,16.41200,16.70883,16.61141,15.88963,14.48319,13.89331,13.43340,13.30275,13.34251,13.37635,13.84231,13.99843,13.72215,13.45626,13.27556,13.09204,12.91904,12.72861,12.50685,11.91163,11.76587,11.94576,11.62565
2021,Camperdown 33_11kV,08MAY2020,MW,11.31695,11.20584,11.04637,10.82671,10.81427,10.51639,10.48045,10.55309,11.01060,11.21537,11.13245,10.75833,10.97170,10.85267,10.67217,10.79386,10.69147,10.87759,10.87723,10.59634,11.02195,10.75104,10.00800,9.56274,9.98526,10.04057,10.33885,10.43124,10.92850,11.18144,11.38330,11.63534,11.73855,11.96406,12.12090,12.21051,12.34036,12.27942,12.18426,12.15986,12.32595,12.21653,12.13438,12.61272,13.33363,13.61941,14.12540,14.03126,14.07877,14.01517,14.05476,14.43683,14.32617,14.26644,14.21833,13.75171,13.76215,13.76843,13.83470,13.84902,13.84576,13.83539,13.65769,13.99906,13.87700,14.14145,14.18176,13.97634,14.14921,14.16232,14.50026,14.63286,14.94064,14.69808,14.82573,14.83894,14.36530,14.47804,13.85247,13.09631,12.65031,13.08555,13.22289,13.47139,13.20562,13.10402,12.98287,12.53562,11.96663,11.98996,11.88959,11.78885,11.61003,11.85591,11.85606,11.62161
2021,Camperdown 33_11kV,09MAY2020,MW,11.68901,11.35135,10.78488,10.42892,10.39954,10.65244,10.78768,10.42540,10.23176,10.67931,10.20601,10.27290,10.33603,10.26689,10.38217,10.17353,10.40874,10.01740,10.22849,10.16147,10.05054,9.94074,9.23046,8.78746,8.62537,8.64326,8.85952,9.18974,9.45318,9.58389,9.79190,9.88992,10.09584,10.57234,10.90385,11.13559,11.36037,11.82886,11.88338,12.17738,12.43862,12.73784,13.53468,13.74389,13.49441,13.26923,13.31827,13.22859,13.11923,12.73900,12.87548,12.74215,13.13321,13.27727,12.91012,12.86767,12.97160,13.16674,12.88975,12.78048,12.91187,13.10506,13.00771,13.14709,13.30722,13.05636,13.22279,13.42050,13.51984,13.82537,14.31104,14.65295,14.41352,14.61958,14.79644,14.52045,14.03301,13.31320,12.69022,12.52058,12.49358,12.80020,12.79662,12.71758,12.82234,13.03235,12.84456,12.30955,12.14976,12.34724,12.37179,12.06583,11.84060,11.52730,11.53884,11.67781
2021,Camperdown 33_11kV,10MAY2020,MW,11.81676,11.54723,11.79888,11.54528,11.02452,10.91739,11.07769,10.87479,10.66495,10.62125,10.40259,10.03098,10.35103,10.28348,10.18625,10.24350,10.03740,10.14997,10.19077,10.07950,9.81769,9.50222,8.86829,8.63274,8.69942,8.62786,8.74428,8.78381,8.95641,9.02548,9.07389,9.20229,9.49050,9.81555,10.06508,9.99374,10.35474,10.49579,10.51318,10.67055,11.00651,12.04282,12.84474,12.96068,12.79805,12.81906,12.97404,12.60112,12.73965,12.69985,12.65653,12.58190,12.43476,12.51894,12.54250,12.28663,12.43435,12.46337,12.23335,12.52172,12.58548,12.60616,12.66543,12.20662,12.61351,12.78009,13.01308,13.14946,13.60037,13.99195,14.28994,14.63213,14.85303,14.96295,15.15579,15.05833,15.04963,14.82683,14.11746,13.08706,12.93221,13.30678,13.16376,13.23484,13.00923,13.09544,12.80613,12.81036,13.00343,12.74155,12.30895,11.78641,11.66928,11.65629,11.45540,11.36938
