year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Campsie 33_11kV,01MAY2020,MW,26.58653,25.53334,24.57824,23.57043,23.14102,22.28645,21.23524,20.85523,20.49324,20.05787,19.88576,19.59879,19.41938,19.19032,19.19032,19.32412,19.54744,19.81166,20.39860,20.71563,21.52549,22.10635,22.91142,23.63676,24.43857,24.89775,25.83671,26.62900,27.16511,28.03503,28.74590,29.46321,30.06115,30.57465,30.81997,30.49592,30.10873,30.24545,30.14445,29.89582,29.43097,29.60063,29.39428,29.12669,28.88992,29.06315,29.09008,29.25582,29.27796,29.15997,29.42939,29.67431,29.02873,29.67492,29.76974,29.69441,28.48820,28.48592,28.33473,28.91632,29.52791,29.96786,30.33297,31.21880,32.68105,33.84087,34.71540,36.32414,38.24354,39.87197,42.44459,44.03610,44.77304,44.88081,44.38659,43.48237,43.10079,42.17545,41.30029,40.80427,40.00303,39.42259,38.55850,37.91185,37.35804,36.88501,37.85938,37.18087,38.35373,38.42974,38.36511,36.51911,34.66822,32.96385,31.74793,30.51743
2021,Campsie 33_11kV,02MAY2020,MW,29.20187,27.92328,26.65070,25.51218,24.82693,24.12755,23.04225,22.24005,21.89572,21.33970,20.84434,20.58111,20.15416,19.85832,19.73224,19.55292,19.44227,19.81058,19.81058,19.81058,20.42679,20.91952,21.09917,21.78189,21.99108,22.22344,22.34521,22.95225,22.99915,24.19701,24.63386,25.24270,25.53618,25.79153,26.17160,27.13518,28.64902,28.91504,28.94976,28.36168,27.83635,27.57855,27.36365,27.16806,27.05860,27.23648,27.41942,27.17621,26.94213,27.14136,27.01412,27.12762,27.02264,27.08147,27.12470,26.96610,26.83221,26.62631,26.91126,27.31971,27.91970,28.84745,29.47135,30.26738,31.26625,32.25884,33.37853,34.74781,36.92171,39.07281,40.82162,42.23021,42.59576,42.93599,42.56933,42.41401,41.66580,41.12080,40.05822,39.52566,38.65144,38.27339,37.64297,36.81559,36.30738,36.04301,37.57177,36.60504,37.94315,38.35428,38.25241,36.47599,34.93045,33.21703,32.24068,31.00471
2021,Campsie 33_11kV,03MAY2020,MW,29.73428,28.58082,27.35250,26.11205,25.41921,24.32616,23.46087,22.62799,22.05024,21.51544,20.93097,20.44858,20.14699,19.91349,19.67901,19.67901,19.67901,19.67901,19.67901,19.67901,20.10635,20.61585,20.44963,20.75741,21.19746,21.76056,22.00637,22.45997,23.19723,23.78268,24.28651,24.77821,25.40864,26.02305,26.63507,27.31834,27.33163,27.80331,27.57317,27.72465,27.57025,27.56195,27.34021,27.23692,26.88237,26.83505,27.13939,26.91532,27.26797,27.09397,26.83836,26.73108,26.78375,26.65215,26.09454,26.14790,26.13881,26.33329,26.34167,26.75044,27.24829,27.76724,28.44502,29.48527,30.05498,31.37816,32.97477,34.42711,36.58914,38.07062,40.30215,41.70519,42.58980,42.71781,42.49195,41.97316,41.43266,41.38794,41.01522,40.07053,39.46023,38.73844,37.84795,37.00145,36.10157,35.60352,36.85249,36.16528,37.10883,36.93431,36.49480,34.72372,32.86134,31.32726,30.07054,28.95593
2021,Campsie 33_11kV,04MAY2020,MW,28.18268,26.93174,25.92300,24.89533,23.87366,23.01018,22.26079,21.76273,21.14438,20.76915,20.37070,20.09251,20.09251,20.09251,20.09251,20.09251,20.09251,20.40852,20.74056,21.07426,22.28134,23.13096,23.76033,24.18393,25.08569,25.83900,26.59742,27.56310,28.35687,29.55298,30.57076,31.18153,31.70909,32.32158,32.79211,32.96979,32.64359,32.23658,31.85883,31.38624,30.87478,30.42752,29.97582,29.33802,29.30299,29.49478,30.59174,30.86462,31.06004,31.05576,31.05394,30.81993,30.34882,30.11170,30.12374,29.03089,29.94293,30.79411,30.86766,31.43226,31.13509,31.44442,31.78429,32.53754,33.00216,34.53176,35.96943,38.22690,40.72796,42.47154,44.78852,46.26231,46.63209,46.58665,46.33196,45.84197,45.21743,44.40720,43.50986,42.69918,41.58094,40.50898,39.63159,38.96105,37.97140,37.32408,38.18455,37.10177,37.82499,37.39345,36.94868,34.97723,33.16321,31.25448,30.26669,29.12397
2021,Campsie 33_11kV,05MAY2020,MW,27.77264,26.69055,25.64531,24.70592,23.85543,23.25346,22.71573,21.88155,21.13912,20.70623,20.29746,19.91425,19.88576,19.77689,19.74790,19.61108,20.13010,20.20607,20.99780,21.64763,22.32326,23.05632,23.24831,24.15945,24.98205,25.81042,26.46973,27.41406,28.13285,29.35388,30.33634,31.55622,32.51221,32.87829,33.47968,33.73172,32.55458,32.06696,31.23828,31.87866,32.37045,32.87002,32.26651,31.90081,32.14321,31.13938,31.63583,31.58825,31.32100,31.87705,32.60783,31.25789,30.75835,30.84397,30.43299,29.48106,29.12147,29.52638,29.65793,29.45346,29.87001,30.22301,30.37005,31.30137,32.24472,33.31871,34.62733,36.21909,38.50340,40.25821,42.72262,44.00707,44.74994,44.63762,43.93331,43.76034,42.71156,41.48696,40.90230,40.48751,39.62829,38.90370,38.03069,37.08947,36.41223,35.95926,37.03427,36.58297,37.42452,36.55316,36.24110,34.73412,32.74116,31.36054,30.20283,28.81250
2021,Campsie 33_11kV,06MAY2020,MW,27.68775,26.39735,25.72356,24.65833,23.60433,22.91846,22.22619,21.41074,21.23846,20.86102,20.58315,20.24288,20.14635,20.22481,20.10084,20.03770,20.20066,20.56507,21.10690,21.46748,22.42935,23.37161,23.78382,24.55362,25.40727,26.41029,26.98789,27.83023,28.41628,29.43870,30.65798,31.14491,31.69482,31.87567,32.45425,32.55716,32.08036,31.68189,31.24875,31.17173,30.41960,30.09168,29.48096,29.29056,29.27454,29.09047,29.13680,29.44493,29.12433,29.14017,28.81886,28.62268,28.28665,28.28570,28.75660,28.48685,28.46973,28.45998,28.48187,28.76293,29.33355,29.86197,30.23549,30.82133,31.35673,32.53866,33.85216,35.18601,36.91705,39.08409,41.54615,42.71596,43.01405,43.04249,42.85391,42.29718,41.66559,40.81998,39.91706,39.08485,38.00152,37.35396,36.95525,36.19307,35.25513,34.97407,35.93573,35.18938,36.26423,35.76549,35.44958,33.70077,31.98012,30.41662,29.13562,28.20063
2021,Campsie 33_11kV,07MAY2020,MW,27.04727,25.98729,24.90961,24.05926,23.18749,22.59502,21.84162,21.20010,20.58022,20.25413,20.07039,19.82253,19.76483,19.54744,19.54744,19.54744,19.73710,20.14012,20.67980,21.22906,21.87928,22.63774,23.15785,23.68671,24.57604,25.17251,26.19106,26.66488,27.63529,29.09778,30.18659,31.20590,31.48040,32.00639,32.59769,33.14251,33.36341,32.66673,32.32455,32.33145,32.15962,32.28590,31.37167,31.09575,30.44819,29.95367,30.03251,30.43500,30.19829,30.26155,30.80191,29.48028,29.28657,29.59721,29.52841,28.29068,27.84098,28.29138,28.36451,28.49488,28.91100,29.89857,29.97153,31.10534,31.32005,32.51365,34.02283,35.51258,37.05062,38.65674,40.52941,41.42441,41.94844,41.89162,41.37644,40.64925,39.98606,39.20152,38.46023,37.54725,37.06002,36.41288,35.89537,35.05973,34.54517,34.00759,34.86802,34.37660,35.33193,35.14122,34.92333,33.06801,31.25384,29.64912,28.73952,27.37197
2021,Campsie 33_11kV,08MAY2020,MW,26.44151,25.59330,24.59565,23.88727,23.19531,22.32132,21.39754,20.84888,20.14223,19.79057,19.50857,19.37079,19.36071,19.28644,19.11755,19.34069,19.40959,19.67901,20.09700,20.63514,21.27671,22.11683,22.83738,23.16179,23.99195,24.30834,25.11163,25.71452,26.37579,27.35233,28.35020,29.01729,29.34943,29.75131,30.07284,29.91500,29.75695,29.31645,28.72068,28.58167,28.42820,28.34360,28.55051,28.27045,27.70400,27.75815,27.70182,27.92813,28.25855,28.53690,28.03915,28.18898,28.29718,28.32931,27.97842,27.88903,27.98653,27.96787,27.96787,28.05039,28.49133,28.62015,29.13917,29.92716,30.59775,31.43014,32.17956,33.14035,34.29322,35.74229,37.83556,39.09571,39.22373,39.13877,38.58915,37.72906,37.00011,35.66391,35.30917,34.79395,33.98617,33.35950,32.64612,31.98805,31.56723,31.11314,32.24864,31.72404,33.08828,33.34643,33.34319,31.89690,30.56827,29.17181,28.28476,27.10144
2021,Campsie 33_11kV,09MAY2020,MW,26.34722,25.28526,24.36165,23.62234,22.77093,21.89299,21.21576,20.79624,20.41132,19.77174,19.24445,18.81550,18.87029,18.62645,18.51291,18.39514,18.60766,18.60766,18.80727,18.99925,19.40241,19.80565,19.81475,20.46480,21.12627,21.22858,21.13841,21.61061,22.32493,23.19136,23.98091,24.78855,24.47835,24.92367,25.61374,26.25775,27.26990,28.10345,27.27694,29.55042,30.12301,29.62089,28.77710,28.67533,28.76068,29.13616,26.50556,26.24103,26.14018,26.08206,25.99537,25.91021,27.31882,28.65793,27.78546,25.48378,25.61460,26.42782,26.99227,27.14018,27.03928,27.79988,27.45884,28.44202,29.55629,30.04080,30.91110,32.14895,33.29245,34.87268,36.63829,37.59550,37.36741,37.23384,36.62020,35.76551,35.14641,34.48545,34.02368,33.51258,32.69568,31.83271,31.68343,31.15629,30.40907,30.26211,31.55005,31.16022,32.51775,32.75383,33.14535,31.68604,30.47076,29.25019,28.50716,27.21162
2021,Campsie 33_11kV,10MAY2020,MW,26.30171,25.25317,24.42251,23.42961,22.70559,22.16592,21.10045,20.48805,20.03726,19.52558,19.30310,19.17360,18.72587,18.60766,18.49432,18.28813,18.32626,18.34958,18.39781,18.66405,18.73944,18.87898,19.00237,19.21094,19.97398,20.18298,20.80230,21.17433,22.01746,22.94263,23.56392,23.94736,24.76567,25.50770,26.04165,26.60642,27.05247,27.48133,27.47907,27.70255,27.98427,27.53436,27.18412,27.22498,26.88955,26.94865,27.02908,26.92099,26.63506,26.64680,26.13856,25.49832,25.42608,25.39519,25.09624,24.65985,24.60566,24.95269,25.58034,25.66755,26.04596,26.71596,27.68019,28.20004,29.31593,30.19907,31.50951,33.13172,34.71253,36.81265,38.65731,39.85766,40.31710,40.56573,40.83172,40.41170,40.34151,40.04002,39.69812,39.30322,38.70302,38.11055,37.76762,36.79066,36.08937,35.94863,37.12616,36.18414,37.42081,37.69149,37.32343,35.11655,33.39487,31.85510,30.69205,29.13583
2021,Campsie 33_11kV,11MAY2020,MW,27.84850,26.77094,25.99070,25.16291,24.44791,23.47101,22.51241,21.86868,21.50218,20.97385,20.82554,20.45877,20.16769,20.26382,20.18649,20.18649,20.18649,20.65172,21.23658,21.69972,22.62107,23.43776,24.02139,24.73125,25.54875,26.71810,27.83423,28.71845,29.89442,31.45871,32.43393,32.68060,33.40584,33.24265,33.12526,33.20932,33.04726,32.95357,32.66772,32.33551,31.69820,31.25832,30.72278,30.44094,30.28458,30.66730,30.44984,30.08308,30.17633,30.01201,30.00199,29.59387,29.31440,29.73411,29.92675,29.68113,29.37615,29.33136,29.47207,29.82086,30.01950,30.81561,31.59689,32.54772,33.59630,35.09509,36.75829,38.60305,40.89641,42.75239,45.16950,46.80887,47.15348,47.34571,47.45604,46.70112,46.40865,45.46192,44.25096,43.64053,42.83801,42.20317,41.47072,40.65186,39.86240,39.12457,39.57767,38.63789,39.28531,38.90920,38.50932,36.31131,34.18068,32.53599,31.60293,30.23652
2021,Campsie 33_11kV,12MAY2020,MW,28.84108,27.66676,26.56509,25.52449,24.72415,23.84344,23.22699,22.52793,22.05482,21.54080,21.14072,20.82554,20.82554,20.53618,20.66293,20.86313,21.09869,21.29869,21.76863,22.31328,23.15297,24.19233,24.91787,25.80135,26.71865,27.76629,29.52749,30.39139,31.40258,32.67197,33.74218,33.86959,34.33666,34.43261,34.72251,34.65390,34.58254,34.23562,33.78142,32.68886,32.40840,31.98542,31.58911,30.96913,30.98911,30.71470,30.55012,30.63527,30.49091,30.29151,30.05644,29.51425,29.77340,29.90443,29.61642,29.48200,29.34002,29.83386,29.34922,29.58239,31.11954,31.83924,31.91453,32.84542,33.97560,34.94291,36.14413,37.74944,39.80817,42.59503,45.03878,46.58028,46.70710,46.89571,46.74520,46.07421,45.19918,44.49344,43.53277,42.73677,41.97096,41.32164,40.19803,39.61645,38.76346,38.02621,38.56269,37.72988,38.59096,37.94957,37.64414,35.36191,33.86809,32.41554,31.23579,29.89362
2021,Campsie 33_11kV,13MAY2020,MW,28.57777,27.36805,26.15698,25.22628,24.64484,23.71145,22.77515,22.16702,21.68209,21.38941,20.99796,20.69397,20.59489,20.44751,20.54103,20.55811,20.76711,21.10313,21.58416,22.02170,23.01784,23.98310,24.79862,25.29066,26.48650,27.56277,28.47768,29.46118,30.79840,32.02091,32.96202,33.74525,34.16712,34.99097,35.74794,35.94872,35.20214,35.75840,34.82684,35.70534,34.86561,34.88543,35.60155,35.75577,35.77974,35.91743,34.25679,33.00188,33.58603,34.05224,33.48658,34.09828,33.91910,33.51221,32.90283,32.69502,33.42031,32.94775,32.66598,32.03508,32.33569,33.64212,34.77654,35.70229,36.55872,37.92796,39.52935,41.33338,43.21447,45.40581,47.74804,48.75278,48.65433,49.26728,48.89511,48.42590,47.74060,46.76433,45.90449,45.45391,44.53325,43.79682,42.68100,41.84062,40.90023,40.04789,41.00713,40.02682,40.58670,39.96267,39.33622,37.29919,35.59477,33.75957,32.29960,30.96675
