year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Cardiff 33_11kV,01MAY2020,MW,8.30090,7.82839,7.71046,7.88524,7.64394,7.20309,7.00940,6.96602,6.47941,6.21715,5.86795,5.65909,5.46896,5.29208,5.05903,5.08699,5.01431,4.99897,4.98379,5.02460,5.17955,5.31272,5.56461,5.98084,6.28905,6.66551,7.21142,7.33854,7.37327,7.53501,7.79683,8.03581,8.14273,8.12600,7.83162,7.77016,7.62178,7.44548,7.39174,7.14370,7.29047,7.25478,7.75914,7.26008,7.31863,7.68685,7.40611,7.95935,8.40609,8.28432,7.39131,6.50826,6.71591,5.98272,5.92952,5.97355,6.01370,6.15940,6.19985,6.52475,6.70091,7.09898,7.31237,7.47814,7.84039,8.22928,8.75290,9.18675,9.60031,10.24138,10.83148,11.07915,11.06286,10.98495,10.77514,10.68233,10.51304,10.48142,10.16634,10.01086,9.79140,9.56851,9.32074,9.12084,8.92958,8.55847,8.55216,8.32463,9.61477,9.24653,8.76941,8.37935,8.56988,8.15299,8.42218,8.79308
2021,Cardiff 33_11kV,02MAY2020,MW,8.77277,8.54889,8.42878,8.43205,8.06931,7.53593,7.05428,6.55237,6.86735,6.48799,6.15170,5.96382,5.82485,5.61088,5.26169,5.15640,5.01512,4.80722,4.89120,4.89066,5.00994,5.05385,5.24878,5.34594,5.52831,5.64379,5.93876,6.12435,6.33017,6.57065,6.72397,6.74032,6.97918,6.95357,7.03980,7.19494,6.99172,6.94187,6.60982,6.44082,6.21647,5.97750,5.76740,5.47227,5.25330,5.21528,5.09317,4.86822,4.88360,4.81884,4.60338,4.51573,4.48254,4.49183,4.50455,4.75905,4.86634,4.99990,5.09560,5.17901,5.38656,5.63886,5.96953,6.44061,6.67889,7.08929,7.49341,7.84801,8.31312,8.87743,9.45097,9.65952,9.73101,9.66438,9.37988,9.04548,8.94371,8.93581,8.71683,8.42694,8.15281,7.96539,7.89783,7.69702,7.72602,7.49113,8.63813,8.18622,7.84300,7.50975,7.52651,7.36954,8.01296,7.65395,7.16506,7.22303
2021,Cardiff 33_11kV,03MAY2020,MW,7.31518,6.77587,6.82992,7.26235,6.75354,6.26987,5.76898,5.44380,5.56123,5.34754,5.13214,5.01957,5.10174,5.01876,4.87306,4.78776,4.70075,4.67701,4.74262,4.71055,4.75230,4.79740,4.88270,5.03707,5.18890,5.25267,5.50419,5.77243,5.86931,5.98781,6.08760,6.21530,6.24095,6.25476,6.29802,6.19886,6.27051,5.88453,5.72049,5.61777,5.56787,5.36650,5.12468,4.99090,4.82817,4.65390,4.43162,4.38459,4.34938,4.24085,4.08072,4.17956,4.20605,4.66998,4.30155,4.34547,4.61906,5.20389,4.80763,4.98789,5.14031,5.88708,6.12946,6.38992,6.78845,7.12505,7.51655,7.79588,8.35099,8.99596,9.63389,9.88433,9.93586,9.81605,9.64506,9.41811,9.24243,9.31607,8.98513,8.76040,8.60384,8.52283,8.29266,8.07875,7.95934,7.66334,8.87126,8.37979,7.91789,7.49069,7.35027,7.20869,7.85462,7.47033,7.10133,7.20009
2021,Cardiff 33_11kV,04MAY2020,MW,7.10168,6.77155,6.81730,7.16572,6.79568,6.27774,6.01374,5.96522,5.73248,5.43822,5.32191,5.20824,5.23666,5.07821,4.87261,4.87607,4.99399,4.97553,5.05646,5.14968,5.46715,5.60795,5.84383,6.18976,6.68344,7.03887,7.55668,7.93952,8.42651,8.73397,8.88762,9.07510,9.03332,8.75028,8.54717,8.35456,8.06256,7.67397,7.27208,7.04789,6.94915,6.48293,6.24728,6.14268,5.88889,5.77868,5.64352,5.50093,5.40712,5.14825,5.16792,5.14291,5.35645,5.40152,5.45724,5.64786,5.79403,5.69659,5.90041,5.99535,6.25638,6.56376,6.81598,7.04046,7.43992,7.70370,8.14737,8.67540,9.15854,9.95819,10.56449,10.62796,10.60313,10.44359,10.29286,9.92283,9.75324,9.72814,9.37863,9.13997,8.80850,8.61293,8.37088,8.24343,8.02824,7.75778,7.76279,7.52476,8.85828,8.57378,8.24493,7.84093,7.90136,7.59480,7.86341,8.23677
2021,Cardiff 33_11kV,05MAY2020,MW,8.33841,7.77652,7.80046,7.90132,7.65691,7.17942,6.79816,6.86368,6.53735,6.10105,5.80787,5.62060,5.54822,5.35645,5.18847,5.04417,4.94893,4.97316,4.98516,5.04503,5.22618,5.42718,5.56368,5.83506,6.29187,6.64409,7.09630,7.25643,7.40918,7.79943,8.24836,8.87977,8.71753,8.60237,8.16439,8.02307,8.42496,8.10327,7.51840,6.93412,6.54868,6.27078,6.56063,7.47117,8.28968,8.04609,7.55020,7.36371,7.31353,8.19507,8.06163,7.63063,7.26163,7.27510,7.53222,7.28973,6.94234,7.22188,7.06794,7.28311,7.11855,7.45453,7.80918,7.90087,8.20543,8.26716,8.69574,9.19548,9.72068,10.20136,10.65715,10.45466,10.49900,10.27053,10.13045,9.89417,9.59758,9.53115,9.29934,9.03528,8.69728,8.58585,8.37036,8.11537,7.80694,7.59023,7.61976,7.38587,8.86886,8.64106,8.09402,7.81843,8.09171,7.81727,7.97138,8.29960
2021,Cardiff 33_11kV,06MAY2020,MW,8.37529,7.97004,7.74654,7.90465,7.65331,7.27069,7.03363,7.12142,6.57638,6.15036,5.87076,5.50850,5.35806,5.14120,5.11519,5.17252,4.99950,4.93082,4.93703,5.06733,5.17819,5.29008,5.57923,5.89078,6.22908,6.50083,6.96388,7.06066,7.13258,7.42541,7.44904,7.58875,7.59608,7.48145,7.32430,6.98009,6.60813,6.50633,6.20187,5.94906,5.79794,5.69495,5.56052,5.34344,5.17878,5.03419,5.04857,5.13494,5.06696,5.16517,5.16619,5.25423,5.15733,5.05403,5.09774,5.25817,5.41114,5.64413,5.75937,5.89439,5.99606,6.10044,6.23735,6.50894,6.94975,7.39458,7.78757,8.19102,8.48492,9.12882,9.64926,9.61890,9.66353,9.57419,9.20991,8.88419,8.84453,8.84540,8.61299,8.42455,8.16107,7.92543,7.71996,7.59965,7.36442,7.12899,7.19639,7.02300,8.39230,8.11414,7.71745,7.44332,7.68281,7.38752,7.68498,8.04638
2021,Cardiff 33_11kV,07MAY2020,MW,8.11439,7.78441,7.59160,7.72420,7.48368,7.07411,6.83164,6.97150,6.48738,6.07083,5.74879,5.50243,5.31435,5.12328,5.12736,5.02854,4.95809,4.91807,4.96211,4.98227,5.15359,5.25591,5.62128,5.98558,6.36882,6.53670,7.02383,7.14663,7.25903,7.45787,7.56225,7.57797,7.86116,7.62640,7.56177,7.58550,7.58245,7.26551,7.14571,7.21013,7.21767,6.97497,6.70383,6.64366,6.40334,6.23808,6.32649,6.83631,6.76491,6.68089,6.36442,6.03176,5.88853,6.11166,6.25421,6.49784,6.29417,6.78217,6.50781,6.08578,6.74738,6.83231,6.92953,7.22621,7.16744,7.13628,7.56652,8.11584,8.38774,9.01556,9.52542,9.51887,9.49383,9.41642,9.23547,8.93380,8.75329,8.77120,8.43186,8.23719,8.00738,7.85748,7.64926,7.54682,7.39186,7.24497,7.32178,7.16970,8.54375,8.42698,7.94944,7.56797,7.83572,7.51549,7.69976,8.10457
2021,Cardiff 33_11kV,08MAY2020,MW,8.16635,7.78681,7.64487,7.83919,7.47900,7.10983,6.90591,6.94471,6.45205,6.02622,5.69507,5.36423,5.22151,5.14149,5.07481,5.04493,4.92194,4.80119,4.82887,4.89495,5.05150,5.28618,5.55626,5.89782,6.30544,6.45509,6.82217,7.05200,7.19367,7.46068,7.53415,7.56969,7.44040,7.21177,7.03070,6.80024,6.45771,6.21659,5.94828,5.74036,5.86984,5.60227,5.29997,5.22970,5.15452,5.12232,5.01246,5.09408,5.14591,5.04983,5.06175,4.94496,4.97906,5.06506,5.16745,5.40274,5.61737,5.81209,5.78658,5.77208,6.00468,6.10590,6.38368,6.76386,6.98010,7.10427,7.32150,7.46689,7.59830,7.99871,8.41414,8.39496,8.31020,8.13796,8.03518,7.89457,7.73687,7.68135,7.50957,7.35038,7.08160,6.89447,6.83779,6.68700,6.50413,6.38147,6.48975,6.33868,7.75155,7.55906,7.21051,7.05121,7.33484,7.10167,7.36339,7.75566
2021,Cardiff 33_11kV,09MAY2020,MW,7.76608,7.41411,7.27074,7.52497,7.21092,6.73277,6.30522,5.94260,6.24440,5.92780,5.68245,5.32449,5.13296,4.92591,4.92669,4.79673,4.58368,4.55047,4.52865,4.57542,4.65503,4.76258,4.78640,4.88473,5.14301,5.30246,5.34479,5.65908,5.85902,6.09244,5.90035,5.99137,5.69985,6.50858,6.96864,6.50073,5.58335,6.78007,5.58656,6.11687,5.68932,5.92542,6.80613,5.47707,4.82983,4.62762,5.70616,6.01916,6.08816,5.24278,4.28905,5.34518,5.26836,5.97581,6.36785,6.25519,6.40390,6.59759,6.47820,6.57243,6.41207,6.62241,6.89186,6.95448,7.09675,6.82918,6.81246,7.00342,7.26944,7.77982,8.11760,8.08844,8.18644,8.13624,7.91234,7.73039,7.61239,7.66303,7.31965,7.19160,6.94179,6.86440,6.84423,6.69086,6.64827,6.45995,7.64246,7.22788,6.92664,6.65362,6.85790,6.61570,7.36899,7.08747,6.61515,6.68745
2021,Cardiff 33_11kV,10MAY2020,MW,6.75546,6.25556,6.37604,6.80978,6.28166,5.83216,5.54453,5.24151,5.24635,5.01307,4.83397,4.66106,4.56463,4.56892,4.63183,4.56034,4.48658,4.46112,4.44281,4.53427,4.53237,4.54587,4.59364,4.73524,4.89457,4.88870,5.12704,5.40239,5.60534,5.75838,5.78715,5.95757,6.05914,6.21572,6.31567,6.22409,6.01639,5.95605,5.76501,5.57727,5.47337,5.29466,5.13980,4.93218,4.57710,4.40874,4.21641,4.23804,4.15131,3.91721,3.80005,3.82477,3.77062,3.86892,3.84758,4.03433,4.08245,4.18072,4.31272,4.43845,4.62484,4.94709,5.37002,5.78284,6.18256,6.72703,7.16868,7.53039,7.97075,8.73542,9.31867,9.49095,9.54125,9.55983,9.54362,9.44581,9.45642,9.48031,9.24063,9.16436,9.00931,8.91556,8.71504,8.44921,8.36712,8.09025,9.09326,8.60248,8.23611,7.81457,7.77289,7.48648,8.17315,7.84837,7.26236,7.30175
2021,Cardiff 33_11kV,11MAY2020,MW,7.05109,6.78327,6.85947,7.27467,6.84576,6.36751,5.96423,5.96173,5.70292,5.37804,5.30075,5.13240,5.10244,5.06381,5.08945,5.07354,5.00290,5.05134,5.05888,5.20763,5.47231,5.57850,5.93854,6.37073,6.82140,7.27951,7.93698,8.27937,8.67124,9.24519,9.42275,9.39676,9.32809,9.10699,8.90688,8.70565,8.45319,8.00469,7.70623,7.43821,7.20485,7.02732,6.61845,6.29633,6.26312,6.03965,5.88800,5.84672,5.62941,5.66172,5.56063,5.51718,5.60472,5.65015,5.69028,5.77759,5.84401,5.86955,6.01311,6.15424,6.48854,6.77903,7.18308,7.60402,7.84856,8.35772,8.76277,9.30113,9.87776,10.90596,11.61086,11.50904,11.62452,11.45986,11.29066,11.00772,10.88873,10.89934,10.61137,10.39163,10.17140,9.92335,9.67667,9.41420,9.04625,8.77812,8.64903,8.36852,9.55227,9.35600,8.80247,8.45349,8.64162,8.28895,8.29085,8.60932
