year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Careel Bay 33_11kV,01MAY2020,MW,4.98613,4.92722,4.77984,4.62257,4.99995,5.00183,4.79710,4.58351,4.45737,4.35353,4.32520,4.14712,4.12186,4.12186,4.06141,4.04398,4.05758,4.08407,4.12172,4.15570,4.23866,4.33002,4.53520,4.69896,4.94321,5.20598,5.46780,5.72848,5.92277,6.10986,6.35617,6.56507,6.60272,6.57855,6.62703,6.59774,6.67734,6.47552,6.46069,6.46253,6.26892,6.07507,5.93063,5.88264,5.68049,5.69552,5.71859,5.59750,5.64838,5.60435,5.71256,5.95542,6.18027,5.85869,6.07765,6.05986,5.88174,5.84120,5.90056,5.93885,5.96083,6.06233,6.21391,6.40006,6.72323,6.99054,7.28292,7.46869,7.80104,8.51326,9.21894,9.76295,10.00114,10.01213,9.82312,9.85584,9.59935,9.38917,9.18118,8.99053,8.69257,8.41776,8.72721,8.37877,8.08221,7.72030,7.57313,7.15176,7.18486,7.14736,6.88522,6.48734,6.37799,6.08101,6.00292,5.64655
2021,Careel Bay 33_11kV,02MAY2020,MW,5.54637,5.38233,5.18688,5.00062,5.51732,5.39687,5.06346,4.90362,4.78493,4.61819,4.65623,4.45565,4.41931,4.37327,4.32228,4.33246,4.29819,4.28895,4.24223,4.31733,4.40598,4.46659,4.52505,4.63676,4.82185,4.97360,5.25228,5.55926,5.70136,5.83566,5.91440,6.14725,6.29342,6.28000,6.46270,6.49458,6.72515,6.66735,6.54359,6.50416,6.46896,6.27921,6.12974,6.04080,5.98675,5.81537,5.74182,5.74521,5.72356,5.62521,5.64918,5.51094,5.53521,5.65084,5.69130,5.74559,5.56207,5.74470,5.87780,5.93649,5.98973,6.06323,6.19606,6.39683,6.71704,6.95572,7.27671,7.70652,7.89861,8.40762,9.13364,9.55598,9.79161,9.77509,9.64282,9.38032,9.17357,9.01387,8.71565,8.40731,8.16487,7.90466,8.22481,7.93704,7.64214,7.34285,7.38950,7.10091,6.96080,6.89321,6.57245,6.31202,6.22187,5.92476,5.81209,5.61508
2021,Careel Bay 33_11kV,03MAY2020,MW,5.44041,5.27001,5.14716,4.96848,5.45130,5.39163,5.16397,4.99694,4.84278,4.74221,4.56652,4.52787,4.39017,4.34090,4.35179,4.29688,4.36633,4.32500,4.30655,4.41923,4.47793,4.46484,4.55904,4.62483,4.78490,4.97263,5.14147,5.38360,5.65249,5.89849,6.14702,6.38430,6.70741,6.83119,6.88387,6.98759,6.93217,6.75663,6.75017,6.87148,6.81869,6.52680,6.36373,6.20327,5.97702,5.90523,5.87751,5.82250,5.68456,5.61975,5.50824,5.52453,5.49494,5.63448,5.63242,5.53378,5.49565,5.51727,5.68480,5.80433,5.86106,5.81750,5.91362,5.99440,6.26227,6.53637,6.89787,7.31417,7.70040,8.27868,8.84965,9.34014,9.53698,9.62532,9.58634,9.33270,9.17437,8.81851,8.47885,8.41063,8.10928,7.92230,8.12257,7.85448,7.52484,7.13928,7.07389,6.68141,6.49728,6.42455,6.11036,5.67156,5.56664,5.33338,5.26802,5.16644
2021,Careel Bay 33_11kV,04MAY2020,MW,5.15604,4.94901,4.78621,4.66316,5.07497,5.02734,4.84864,4.59510,4.48904,4.44788,4.31207,4.30831,4.28105,4.15480,4.18501,4.22638,4.20513,4.17241,4.16852,4.19036,4.33037,4.44327,4.65259,4.75297,4.99634,5.43500,5.69747,6.02774,6.13891,6.38617,6.52443,6.64893,6.70994,6.91555,7.04246,7.00836,6.93607,6.62160,6.40800,6.30593,6.12609,5.90598,5.72682,5.75841,5.80924,5.63964,5.47876,5.36888,5.41769,5.41498,5.36160,5.38913,5.50423,5.61532,5.64533,5.47014,5.46011,5.33600,5.35744,5.43593,5.51227,5.68356,5.88471,5.93993,6.24950,6.49362,6.99892,7.47021,7.81798,8.58085,9.31432,9.64317,9.79637,9.81101,9.73341,9.49469,9.18066,8.80419,8.45283,8.32887,8.07054,7.87008,8.15222,7.85168,7.35271,7.11426,6.96633,6.60863,6.43587,6.29325,5.95896,5.61484,5.63847,5.26099,5.24329,5.06628
2021,Careel Bay 33_11kV,05MAY2020,MW,5.04505,4.87554,4.77583,4.62929,5.05938,4.96911,4.78896,4.67272,4.53470,4.42807,4.30575,4.27886,4.16086,4.11191,4.16766,4.08753,4.14330,4.15694,4.09719,4.14693,4.24222,4.29899,4.46602,4.67924,4.81387,5.17081,5.47239,5.70254,5.75334,6.06041,6.36186,6.64054,6.91065,6.77632,7.16988,7.23950,7.15576,7.25828,7.22779,7.10911,6.91912,6.70171,6.71215,6.11469,5.87621,5.70634,5.42074,5.35707,5.46084,5.30858,5.21248,5.23363,5.27937,5.34522,5.23028,5.27275,5.19233,5.19359,5.21571,5.27899,5.30815,5.31698,5.50486,5.60956,5.78473,6.02420,6.14615,6.60396,7.06376,7.79652,8.52103,8.91064,9.09084,9.27661,9.04233,8.90657,8.55282,8.24641,8.08210,7.77670,7.49934,7.27016,7.55405,7.18582,6.95343,6.54308,6.40843,6.19622,6.13815,6.08056,5.82472,5.40901,5.41043,5.17644,5.11290,4.96658
2021,Careel Bay 33_11kV,06MAY2020,MW,4.95912,4.67431,4.68015,4.42961,4.81710,4.77820,4.62185,4.46973,4.32144,4.28205,4.21893,4.25500,4.08454,4.07069,3.96799,3.98119,3.95487,3.90669,3.90537,4.06192,4.16296,4.21718,4.33427,4.60130,4.80886,5.12351,5.23085,5.45755,5.61098,5.72185,5.86534,5.93699,6.25474,6.41850,6.46757,6.41562,6.32367,6.13411,5.91502,5.67284,5.54449,5.52669,5.32033,5.28326,5.22320,4.98618,4.95548,4.93662,4.94647,4.96193,4.93352,4.91379,4.88655,4.86964,4.89215,4.86084,4.93283,5.00399,4.95938,4.89737,5.04869,5.07966,5.23891,5.38685,5.57465,5.71157,6.07912,6.38971,6.70306,7.29713,7.91589,8.28303,8.53500,8.62377,8.61655,8.45147,8.10417,7.86945,7.71819,7.49283,7.24240,7.07340,7.33526,7.07951,6.74099,6.34138,6.29890,6.08464,5.93965,5.83107,5.67841,5.28480,5.39534,5.15279,5.09045,4.97771
2021,Careel Bay 33_11kV,07MAY2020,MW,4.90679,4.61518,4.58044,4.46467,4.81729,4.77731,4.67391,4.44561,4.28273,4.19287,4.09834,4.08402,3.98196,3.89634,3.90492,3.98652,3.93802,3.87989,3.98876,4.05598,4.12852,4.19501,4.31498,4.43884,4.73252,4.99732,5.16859,5.41716,5.45186,5.70194,5.88112,6.07378,6.33619,6.39391,6.49611,6.67061,6.52417,6.39049,6.49634,6.47090,6.30623,6.13589,6.11336,6.02115,5.89076,5.76844,5.56075,5.42210,5.54617,5.49451,5.23744,5.31857,5.28019,5.10098,5.08598,5.07450,5.36365,5.04495,5.15771,5.23271,5.12036,5.31579,5.24676,5.42712,5.68642,5.78578,6.14092,6.47899,6.67697,7.10087,7.82542,8.28822,8.44792,8.44133,8.49284,8.36296,8.13073,7.90055,7.62265,7.37731,7.19198,6.97719,7.20103,6.93126,6.58738,6.31587,6.25606,5.93418,5.83206,5.78282,5.54113,5.32349,5.39119,5.10898,5.05684,4.86520
2021,Careel Bay 33_11kV,08MAY2020,MW,4.85541,4.74950,4.55242,4.44969,4.86143,4.75591,4.61499,4.54715,4.33946,4.24513,4.16683,4.06059,4.01122,3.92436,3.94823,4.02324,3.97334,3.95393,3.94136,3.89952,4.01027,4.13151,4.32174,4.41344,4.67155,4.98286,5.08217,5.26485,5.31604,5.50364,5.76681,5.98614,6.11030,6.27459,6.28876,6.17849,6.01640,5.76973,5.70030,5.59891,5.61631,5.49920,5.31870,5.24349,5.11835,5.02927,4.99713,5.00219,4.98815,4.95231,4.93037,4.95448,4.97123,5.00066,5.03382,5.01351,5.08843,5.11717,5.11633,5.14120,5.19232,5.24260,5.39974,5.32523,5.45236,5.52898,5.82005,6.11353,6.40369,6.84499,7.44278,7.66700,7.84283,7.81795,7.56744,7.52269,7.33623,6.97297,6.85560,6.72934,6.50293,6.40829,6.75046,6.37106,6.20499,5.96599,5.91763,5.59396,5.55829,5.53853,5.49223,5.12666,5.20569,4.99467,4.89877,4.74483
2021,Careel Bay 33_11kV,09MAY2020,MW,4.61978,4.44847,4.43153,4.28494,4.76799,4.61804,4.38895,4.20701,4.12949,4.03154,3.97208,3.81612,3.76496,3.76496,3.76496,3.76175,3.79221,3.74083,3.73048,3.80259,3.78180,3.87634,4.04647,4.06407,4.17748,4.34254,4.51557,4.61210,4.78173,4.93952,5.24542,5.46254,5.58107,5.55334,5.74914,5.91028,5.68366,5.63309,5.64386,5.66793,5.64252,5.56244,5.72353,5.88158,5.87247,5.90553,5.61372,5.81647,5.31911,5.10144,5.10299,5.28014,5.21223,5.36504,5.21523,5.43810,5.56000,5.42213,5.54387,5.42351,5.60811,5.66224,5.58861,5.67884,5.75205,5.76600,5.95371,6.15307,6.41200,6.89430,7.36812,7.77495,7.86955,7.94576,7.88673,7.67073,7.50405,7.22051,7.01015,6.75171,6.55656,6.53678,6.84698,6.53974,6.23230,6.02063,5.92800,5.71208,5.57713,5.58935,5.48115,5.11969,5.23723,5.08204,5.04775,4.94118
2021,Careel Bay 33_11kV,10MAY2020,MW,4.85549,4.65573,4.57552,4.42355,4.77929,4.67239,4.42668,4.31013,4.20061,4.06567,4.05309,3.94007,3.90635,3.89647,3.82360,3.90235,3.82563,3.88574,3.93384,3.85419,3.88444,3.95608,4.03210,4.13573,4.37812,4.57211,4.81660,5.01465,5.13415,5.37874,5.85428,6.00525,6.16455,6.36690,6.63892,6.61853,6.60522,6.62747,6.56629,6.43957,6.46842,6.38419,6.12676,5.99877,5.73604,5.69371,5.74456,5.74579,5.73173,5.57038,5.52773,5.46738,5.40759,5.43129,5.45769,5.47147,5.34649,5.26532,5.35382,5.47390,5.59151,5.63383,5.85641,6.04535,6.21904,6.60887,6.76832,7.28860,7.61742,8.14812,8.52365,8.92668,9.04293,9.13514,9.25009,9.07194,8.82962,8.53913,8.40206,8.10104,7.93019,7.80578,8.02190,7.70685,7.41379,7.00773,6.99981,6.60762,6.45178,6.32936,6.07280,5.81213,5.74895,5.56203,5.53052,5.32067
