year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Caringbah 33_11kV,01MAY2020,MW,9.17838,8.89488,8.54050,8.62909,9.05435,9.14294,8.93032,8.45191,8.07981,8.18612,8.11525,7.77859,7.77859,7.61912,7.45965,7.37105,7.26474,7.05211,6.85721,6.91036,7.31790,7.33562,7.67227,7.95578,8.52278,9.07207,9.69223,10.08204,10.43642,10.66677,10.91483,11.07430,11.32236,11.55271,11.55271,11.39324,11.42868,11.44640,11.41096,11.25149,11.12746,11.34008,11.18061,11.05658,10.98571,11.12746,10.93255,11.07430,10.96799,10.80852,10.75536,10.98571,10.70220,11.00342,10.66677,10.64905,10.54273,10.47186,10.45414,10.57817,10.57817,10.48958,10.36554,10.45414,10.80852,11.19833,11.37552,11.69446,11.85393,12.33234,12.89934,13.27144,13.28916,13.36004,12.97022,12.65128,12.33234,11.99568,11.85393,11.99568,11.58815,11.39324,10.98571,10.93255,10.56045,10.17064,9.90485,9.83398,9.62135,9.30241,9.28469,9.32013,9.55048,10.09976,9.95801,9.53276
2021,Caringbah 33_11kV,02MAY2020,MW,9.30241,9.23154,8.82400,8.87716,9.17838,9.32013,9.30241,8.78856,8.38103,8.23928,8.36331,8.39875,8.25700,7.92034,7.49509,7.28246,7.24702,7.15843,7.12299,7.15843,7.30018,7.33562,7.38877,7.40649,7.58368,7.65456,7.90262,8.20384,8.22156,8.38103,8.41647,8.73541,8.87716,9.14294,9.28469,9.46188,9.76310,10.02889,9.58591,9.55048,9.76310,9.56820,9.30241,9.23154,9.24926,9.03663,9.12522,8.94803,9.01891,8.77085,8.80628,8.73541,8.71769,8.69997,8.54050,8.50506,8.59366,8.68225,8.48734,8.55822,8.73541,8.69997,8.80628,9.07207,9.67451,9.65679,9.74538,10.04660,10.70220,10.89711,11.55271,11.87165,12.13743,12.26146,12.01340,11.64130,11.42868,11.30465,11.09202,10.98571,10.79080,10.50730,10.45414,10.06432,9.90485,9.65679,9.58591,9.40873,9.24926,9.16066,9.01891,8.80628,9.12522,9.65679,9.60363,9.44416
2021,Caringbah 33_11kV,03MAY2020,MW,9.19610,8.84172,8.34559,8.43419,8.84172,8.84172,8.61138,8.32787,8.16840,8.04437,7.67227,7.54824,7.67227,7.45965,7.12299,7.06983,6.82177,6.71546,6.64458,6.75089,6.83949,6.96352,7.10527,7.10527,7.21158,7.35334,7.37105,7.51281,7.70771,7.81403,7.86718,7.95578,8.54050,8.69997,8.93032,9.05435,8.93032,8.85944,9.19610,8.94803,8.80628,8.68225,8.52278,8.48734,8.75313,8.78856,8.48734,8.41647,8.34559,8.36331,8.38103,8.38103,8.20384,8.45191,8.34559,8.34559,8.32787,8.25700,8.20384,8.00893,8.18612,8.27472,8.68225,9.16066,9.35557,9.67451,9.97573,10.33011,10.56045,10.80852,11.44640,12.06656,12.38550,12.42093,12.22603,11.92481,11.51727,11.19833,11.34008,11.21605,10.95027,10.86167,10.57817,10.36554,10.01117,9.81626,9.53276,8.93032,8.57594,8.57594,8.43419,8.36331,8.73541,9.30241,9.33785,9.23154
2021,Caringbah 33_11kV,04MAY2020,MW,9.01891,8.73541,8.45191,8.09753,8.68225,8.89488,8.84172,8.34559,8.04437,7.88490,7.76087,7.65456,7.68999,7.53052,7.19387,6.99896,6.99896,6.82177,6.96352,7.01668,7.37105,7.49509,7.70771,8.22156,8.75313,9.30241,9.99345,10.27695,10.57817,10.96799,11.53499,11.88937,12.01340,12.31462,12.50953,12.52725,12.38550,12.19059,12.13743,11.80077,11.78306,11.81849,11.53499,11.60587,11.18061,11.32236,11.21605,11.28693,11.14518,11.07430,11.16289,11.14518,11.16289,11.03886,11.07430,11.14518,11.37552,11.25149,11.26921,11.18061,11.02114,10.87939,11.09202,11.23377,11.34008,11.49955,11.74762,12.13743,12.35006,13.05881,13.53722,13.83845,13.98020,13.98020,13.83845,13.41319,12.97022,12.47409,12.24375,12.04884,11.80077,11.53499,11.39324,10.95027,10.56045,10.20607,9.79854,9.55048,9.46188,9.40873,8.94803,9.01891,9.28469,9.76310,9.60363,9.69223
2021,Caringbah 33_11kV,05MAY2020,MW,9.79854,9.39101,8.82400,8.66453,8.87716,9.10750,9.26697,8.80628,8.48734,8.46962,8.18612,7.92034,7.93806,7.76087,7.70771,7.51281,7.51281,7.44193,7.40649,7.30018,7.45965,7.77859,8.29244,8.59366,8.89488,9.62135,10.02889,10.20607,10.43642,10.96799,11.48183,11.83621,11.97796,12.20831,12.35006,12.36778,12.11971,12.01340,11.58815,11.65902,11.83621,11.71218,11.60587,11.49955,11.69446,11.44640,11.51727,11.46412,11.37552,11.19833,11.14518,11.30465,11.51727,11.44640,11.10974,11.26921,11.34008,11.34008,11.21605,11.26921,11.25149,11.09202,10.91483,11.10974,11.16289,11.19833,11.42868,11.83621,11.97796,12.40322,12.79303,13.14741,13.37775,13.25372,13.05881,12.58040,12.26146,11.85393,11.57043,11.28693,11.14518,10.86167,10.54273,10.33011,10.34783,10.13520,9.95801,9.69223,9.55048,9.19610,8.84172,8.73541,8.93032,9.23154,9.58591,9.42644
2021,Caringbah 33_11kV,06MAY2020,MW,9.35557,9.35557,8.80628,8.62909,8.87716,8.96575,9.19610,8.84172,8.62909,8.43419,8.00893,7.70771,7.68999,7.54824,7.74315,7.74315,7.67227,7.40649,7.38877,7.44193,7.53052,7.81403,8.25700,8.61138,9.23154,9.83398,10.06432,10.61361,10.89711,11.30465,11.69446,12.15515,12.31462,12.13743,12.45637,12.47409,12.29690,12.15515,11.96024,11.87165,11.67674,11.64130,11.65902,11.49955,11.46412,11.49955,11.46412,11.32236,11.53499,11.32236,11.53499,11.35780,11.32236,11.23377,11.19833,11.23377,11.46412,11.60587,11.25149,11.10974,11.07430,10.95027,11.00342,10.93255,11.00342,11.07430,11.16289,11.35780,11.23377,11.65902,12.38550,12.77531,12.81075,12.93478,12.70444,12.35006,12.22603,11.69446,11.21605,11.34008,11.14518,11.10974,10.77308,10.50730,10.50730,9.97573,9.70995,9.47960,9.46188,9.35557,9.03663,8.66453,9.07207,9.83398,9.78082,9.72766
2021,Caringbah 33_11kV,07MAY2020,MW,9.55048,9.10750,8.78856,8.71769,9.08979,9.07207,8.94803,8.68225,8.50506,8.50506,8.36331,7.95578,7.79631,7.56596,7.37105,7.38877,7.51281,7.54824,7.47737,7.54824,7.83174,8.06209,8.38103,8.68225,9.24926,9.85170,10.20607,10.59589,10.75536,11.26921,11.80077,12.31462,12.40322,12.65128,12.88163,12.86391,12.91706,12.95250,12.91706,12.72216,12.68672,12.35006,12.33234,12.04884,12.10199,12.31462,12.03112,11.72990,11.64130,11.71218,11.87165,11.94252,11.65902,11.42868,11.60587,11.58815,11.64130,11.42868,11.39324,11.19833,11.34008,11.18061,11.21605,11.05658,11.18061,11.42868,11.34008,11.53499,11.87165,11.96024,12.38550,12.79303,13.02338,12.77531,12.52725,12.06656,11.87165,11.48183,11.32236,11.05658,10.96799,10.80852,10.61361,10.18836,9.85170,9.85170,9.78082,9.35557,9.14294,8.89488,8.78856,8.68225,9.21382,9.72766,9.56820,9.51504
2021,Caringbah 33_11kV,08MAY2020,MW,9.37329,9.05435,8.61138,8.57594,9.19610,9.23154,9.23154,8.66453,8.16840,8.18612,7.92034,7.86718,7.72543,7.65456,7.44193,7.45965,7.22930,7.14071,7.19387,7.40649,7.60140,7.61912,7.90262,8.20384,8.71769,9.21382,9.55048,9.70995,9.97573,10.40098,10.59589,11.09202,11.32236,11.37552,11.74762,11.85393,11.69446,11.80077,11.62359,11.41096,11.51727,11.41096,11.39324,11.32236,11.00342,11.26921,11.30465,11.55271,11.44640,11.58815,11.55271,11.48183,11.18061,11.25149,11.19833,11.05658,11.30465,11.10974,11.00342,11.12746,10.77308,10.91483,10.89711,10.66677,10.89711,10.82624,10.79080,10.75536,10.70220,11.10974,11.55271,11.74762,11.64130,11.53499,11.28693,11.16289,10.89711,10.71992,10.52501,10.36554,10.31239,10.11748,10.04660,9.74538,9.51504,9.44416,9.30241,9.10750,8.91260,8.68225,8.89488,8.57594,8.96575,9.51504,9.56820,9.47960
2021,Caringbah 33_11kV,09MAY2020,MW,9.24926,8.98347,8.55822,8.59366,8.84172,8.93032,8.73541,8.39875,8.13297,8.09753,8.06209,8.00893,7.74315,7.60140,7.24702,7.10527,6.94580,6.82177,6.98124,7.19387,7.17615,7.24702,7.35334,7.26474,7.38877,7.63684,8.18612,8.20384,8.27472,8.46962,8.64681,8.96575,9.03663,9.17838,9.39101,9.53276,9.62135,9.86942,10.20607,10.20607,10.04660,10.08204,9.62135,9.81626,9.76310,9.32013,9.39101,9.23154,9.12522,9.16066,9.17838,9.19610,9.17838,9.19610,8.87716,8.59366,8.96575,9.05435,9.16066,9.28469,9.12522,9.10750,9.01891,8.93032,9.14294,9.35557,9.51504,9.67451,10.04660,10.33011,10.63133,10.84395,10.66677,10.68448,10.68448,10.47186,10.20607,9.94029,9.83398,9.76310,9.35557,9.33785,9.19610,9.10750,9.00119,8.89488,8.84172,8.52278,8.52278,8.38103,8.22156,8.16840,8.69997,9.21382,9.14294,9.14294
2021,Caringbah 33_11kV,10MAY2020,MW,8.61138,8.45191,8.18612,8.31015,8.43419,8.46962,8.32787,8.04437,7.81403,7.92034,7.70771,7.67227,7.49509,7.12299,6.98124,6.78633,6.76861,6.66230,6.52055,6.76861,6.83949,6.87493,6.80405,6.78633,6.94580,7.12299,7.35334,7.44193,7.51281,7.77859,8.15068,8.46962,8.59366,9.01891,9.16066,9.17838,9.00119,8.94803,9.10750,8.87716,8.77085,8.75313,8.61138,8.62909,8.29244,8.55822,8.46962,8.25700,8.07981,8.45191,8.41647,7.97350,8.09753,8.09753,7.90262,7.90262,7.93806,7.90262,8.04437,8.02665,8.09753,8.31015,8.41647,8.78856,8.94803,9.21382,9.44416,9.99345,10.43642,10.89711,11.34008,11.51727,11.72990,11.87165,11.80077,11.57043,11.60587,11.39324,11.21605,11.02114,10.91483,10.68448,10.68448,10.34783,10.01117,9.85170,9.49732,9.10750,9.00119,8.98347,8.71769,8.52278,8.71769,9.33785,9.30241,9.07207
