year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Cessnock South 33_11kV,01MAY2020,MW,10.67972,10.52401,10.26882,9.67152,9.21130,8.71364,8.18916,7.72154,7.08888,6.73344,6.56744,6.45085,6.35931,6.18492,6.24776,6.22883,6.42210,6.42646,6.66384,6.62316,6.87330,7.06772,7.33530,7.70171,8.04378,8.50606,8.69548,8.96168,8.81414,8.74519,8.74409,8.63033,8.53424,8.28841,7.97478,7.64976,7.39200,7.28756,7.06461,6.89805,6.78101,6.67605,6.64732,6.79212,6.38360,5.80292,6.39605,6.25897,6.05943,5.67193,6.84103,6.14072,5.99237,5.52642,5.31902,5.57730,5.80052,5.64319,6.73216,7.07945,7.19518,7.23856,7.88589,8.37777,8.94707,9.72372,10.27988,10.96558,11.42841,12.36903,13.11356,13.50744,13.70049,13.73616,13.53887,13.58027,13.48745,13.15092,12.83248,12.39098,12.15709,11.92648,11.71466,11.41352,11.17774,11.03110,11.23914,11.00856,10.58879,10.31860,9.94942,9.59300,11.53183,11.57416,11.15945,10.67462
2021,Cessnock South 33_11kV,02MAY2020,MW,11.50810,11.14412,10.80595,10.28198,9.84674,9.27439,8.53079,8.02559,7.56351,7.19937,6.93871,6.81988,6.51890,6.44322,6.43725,6.51920,6.51486,6.47313,6.49439,6.37595,6.36828,6.33754,6.62751,6.81819,7.26281,7.61153,7.83615,7.94112,8.18227,8.42102,8.26823,8.13009,8.05646,8.39479,8.13863,7.72874,7.35467,7.06691,6.65203,6.20734,5.92130,5.65759,5.38841,5.17616,4.91732,4.69770,4.57417,4.45038,4.37996,4.24169,4.34509,4.29068,4.27678,4.64631,5.38441,6.79204,7.42240,6.68842,6.11812,6.65093,6.96933,7.25640,7.20954,7.64303,8.42414,8.83221,9.48220,10.39412,11.21868,11.97700,12.66311,13.22574,13.23889,12.96652,12.89596,12.48455,12.28089,12.15112,11.84032,11.50385,11.14402,10.70473,10.73388,10.83454,10.49188,10.13519,10.04860,9.72650,9.61321,9.43137,9.15729,8.90616,9.17774,8.87965,8.75460,8.65698
2021,Cessnock South 33_11kV,03MAY2020,MW,8.30069,8.05106,8.03813,7.72661,7.59747,7.30041,7.07601,6.81220,6.52061,6.35887,6.20399,6.19755,6.03861,5.99763,5.98557,6.21397,6.20202,6.25528,6.21798,6.21097,6.19453,6.37891,6.43509,6.62765,7.21304,7.47453,7.63513,7.89139,7.95447,8.00362,7.87590,7.97895,7.92137,7.62820,7.45916,7.23770,7.09243,6.63938,6.23910,5.80754,5.56120,5.43133,5.11096,4.87027,4.45474,4.18033,4.27179,4.32336,4.34087,4.21921,4.54400,4.32780,4.47595,4.67479,4.49905,4.39888,4.46507,5.14881,5.24293,5.35633,5.73150,6.03169,6.37163,6.99776,7.59683,8.25224,8.91218,9.79702,10.54270,11.69398,12.69013,13.54731,13.46413,13.34210,13.13558,12.97110,13.05554,12.78543,12.36867,11.93267,11.65044,11.51352,11.43125,11.11749,10.69129,10.29419,10.00069,9.67829,9.53633,9.21526,9.06181,8.71990,8.98693,8.97587,8.64156,8.47039
2021,Cessnock South 33_11kV,04MAY2020,MW,8.43504,8.13038,8.19337,7.76686,7.58803,7.14921,6.92004,6.80763,6.66678,6.42640,6.55523,6.74143,6.54757,6.46306,6.52768,6.58883,6.69873,6.78217,6.81050,7.06303,7.48540,7.69157,8.01535,8.30073,8.72638,9.09534,9.73693,10.24633,9.95850,10.04735,10.07216,9.88542,9.82746,9.56701,9.20216,8.81525,8.43440,7.87961,7.34031,6.75740,6.31856,5.87810,5.34577,5.06493,4.83354,4.49504,4.54602,4.48300,4.24615,4.24194,4.35552,4.22414,4.14309,4.12827,4.36786,4.57868,4.68464,4.73354,4.92673,5.28372,5.54330,5.91354,6.37393,6.93008,7.58487,8.24850,9.16997,9.99771,10.91863,11.77123,12.46896,12.75713,12.77506,12.63525,12.62940,12.46813,12.23282,11.80197,11.39521,11.30889,11.08756,10.99353,10.57479,10.32515,10.15272,10.11152,10.24277,9.90466,9.49088,9.14843,8.79313,8.47173,10.27888,10.35635,10.08021,9.82075
2021,Cessnock South 33_11kV,05MAY2020,MW,10.59846,10.33728,9.91925,9.27712,8.71450,8.44728,7.97634,7.53629,7.15041,6.76562,6.56503,6.46836,6.43796,6.24759,6.05345,6.07812,6.32626,6.35813,6.54633,6.62120,6.83444,7.09505,7.28477,7.27050,7.53216,7.74751,8.12566,8.38837,8.56819,8.76793,8.73693,8.33964,7.72775,7.81795,7.79204,7.43158,7.13075,5.81817,5.69508,5.97908,6.16577,6.37954,6.24520,6.30991,6.41979,5.83782,7.90779,7.91167,7.10877,6.99478,7.99196,8.11438,7.94440,7.85541,8.03761,8.39107,7.98970,8.12314,8.25908,8.09422,8.28366,8.27623,8.69393,8.97030,9.34090,9.86946,10.45963,11.21078,11.86505,12.33027,12.72268,12.81667,12.55000,12.51384,12.31333,11.99002,11.66514,11.30740,11.08392,10.93483,10.71369,10.32390,10.13628,9.89261,9.75676,9.71024,9.75654,9.56120,9.35713,9.07421,8.78596,8.54652,10.61313,10.66479,10.33499,9.72975
2021,Cessnock South 33_11kV,06MAY2020,MW,10.59495,10.47968,9.97289,9.36637,8.91550,8.52488,8.00202,7.51190,7.18235,6.77647,6.58448,6.48053,6.42667,6.24325,6.21476,6.27308,6.56325,6.58805,6.64999,6.74503,7.19609,7.27540,7.53813,7.71142,7.98096,8.43559,8.87678,9.43098,9.42504,9.53011,9.63973,9.79908,9.97668,9.82993,9.88319,9.87599,9.95691,9.88709,9.63883,9.33142,9.05369,8.77234,8.59817,7.96709,7.33353,6.79150,6.22571,5.52092,5.22814,4.72873,4.43413,4.28027,4.21533,4.16575,4.17690,4.25167,4.50883,4.69323,4.93092,5.27507,5.63350,5.91525,6.29280,6.77547,7.40487,7.94236,8.52322,9.25871,10.02056,11.17028,12.12332,12.30304,12.34033,12.33174,12.18779,12.02265,11.94200,11.52690,11.28791,11.22173,11.08702,11.02898,10.81688,10.51189,10.35910,10.23943,10.42479,10.16561,9.82867,9.56954,9.22112,9.05488,10.83806,10.84930,10.53363,10.12374
2021,Cessnock South 33_11kV,07MAY2020,MW,11.01171,10.77487,10.35433,9.83260,9.51683,8.89285,8.29890,7.81916,7.45072,7.09614,6.92251,6.75615,6.63368,6.64260,6.66441,6.66392,6.80147,6.81526,6.90430,7.05401,7.31578,7.65972,7.89361,8.25764,8.85378,9.28515,9.68213,10.03959,9.84592,10.03532,10.02779,10.13039,9.93140,10.22088,10.28042,9.77330,9.34045,9.08031,8.94602,8.21707,7.48832,7.27137,7.07004,6.53476,6.47917,6.73010,6.74054,6.45683,6.09007,6.05558,5.86321,6.08577,6.03109,5.87186,6.14572,5.49723,6.31508,5.94929,6.12469,6.76387,6.38233,7.08332,7.45860,7.44717,7.51394,8.30466,8.90109,9.41448,10.09149,10.95854,11.75274,12.22684,12.20660,12.06123,11.80052,11.53769,11.44228,11.24405,10.99064,10.66530,10.33301,10.01760,10.02361,9.78063,9.66873,9.40448,9.50379,9.48400,9.14380,8.89763,8.55833,8.41521,10.31699,10.52590,10.16796,9.81602
2021,Cessnock South 33_11kV,08MAY2020,MW,10.72848,10.45421,10.08233,9.47411,8.81634,8.27259,8.08354,7.70387,7.30331,6.95767,6.75648,6.47375,6.34928,6.24584,6.20846,6.13152,6.37002,6.56301,6.76392,7.03444,7.28785,7.50873,7.58859,7.81250,8.07305,8.59094,8.96373,9.46783,9.36360,9.26920,9.22800,9.09573,9.07046,8.71515,8.24326,7.71162,7.32261,6.85786,6.47699,5.99547,5.37398,4.89931,4.54180,4.43022,4.36809,4.12093,4.02197,3.96699,4.03506,4.00651,3.98079,3.90895,4.06769,4.17962,4.33658,4.50095,4.74347,4.81408,5.11429,5.41569,5.73789,6.00792,6.44865,6.95423,7.39712,7.73939,8.15607,8.52143,8.91269,9.58808,10.11710,10.34237,10.24991,10.37186,10.27836,9.99697,9.77144,9.37037,9.14836,9.05409,9.07209,8.88104,8.66985,8.50852,8.48752,8.38810,8.75496,8.67019,8.29477,8.12785,7.97410,7.90201,9.89496,9.93575,9.73573,9.39044
2021,Cessnock South 33_11kV,09MAY2020,MW,10.23750,9.98520,9.65837,9.04128,8.54715,7.96263,7.55319,7.01090,6.87267,6.66866,6.46745,6.27931,6.08339,5.93197,5.84721,5.79308,5.84824,5.90107,6.04124,6.12954,6.13627,6.33986,6.40447,6.58964,6.66669,6.97814,7.37981,7.65641,8.20879,8.44134,8.83270,9.04508,9.14990,8.52220,8.37675,8.23582,8.17619,8.42710,8.70735,8.10811,6.04030,5.87009,5.28422,5.37439,4.66042,5.34047,6.89287,6.72765,5.85086,4.25070,4.12282,4.04155,6.77782,7.37146,7.03791,7.15442,7.33392,7.54505,7.88080,7.91801,8.33733,9.11087,8.34140,8.25471,8.43292,8.20299,8.81389,9.59035,10.23702,10.95451,11.69150,11.89262,11.79331,11.76777,11.69672,11.64374,11.32974,10.76318,10.46920,10.28910,10.20372,10.04209,9.78643,9.38700,9.28124,9.15860,9.21214,9.09282,8.68132,8.56706,8.30615,8.12209,8.47381,8.35927,8.16364,8.05509
2021,Cessnock South 33_11kV,10MAY2020,MW,8.05567,7.82841,7.78514,7.50490,7.27563,6.94614,6.61013,6.39046,6.30977,6.22915,6.23161,6.19079,6.10050,5.91560,5.73786,5.74024,5.87401,5.86373,5.82559,6.01197,6.19081,6.23878,6.39680,6.61650,6.66610,6.82118,7.10897,7.31682,7.70088,7.80283,7.94821,8.04512,7.87826,7.57164,7.61573,7.55141,7.42024,7.18842,6.83243,6.41982,6.02938,5.60265,5.35126,5.08388,4.83109,4.54356,4.39231,4.27477,4.27799,4.08893,4.17096,3.97052,3.97263,4.03008,4.13758,4.16007,4.14396,4.35449,4.71029,5.14296,5.57765,6.09646,6.52793,7.01034,7.50095,8.24118,8.98958,10.03102,11.02703,12.25251,13.26108,13.61338,13.55458,13.59586,13.74627,13.85292,13.57926,13.34766,13.14362,13.13421,12.99742,12.71504,12.31223,12.07252,11.56267,11.32408,11.20469,10.92913,10.58996,10.16427,9.78741,9.52352,9.87758,9.51557,9.42945,9.32208
