year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Charlestown 132_11kV,01MAY2020,MW,10.69845,10.08698,10.05269,10.41862,9.93164,9.27824,8.92828,8.94201,8.25118,7.78606,7.52347,7.11621,6.89129,6.64667,6.51263,6.41112,6.38452,6.37421,6.40353,6.49555,6.79565,7.02779,7.16872,7.47863,7.92801,8.68574,9.36896,9.70075,10.17687,10.61281,10.90919,11.09274,11.37684,11.42013,11.27508,10.96757,10.66119,10.35038,10.13473,9.96174,9.86766,9.57109,9.89989,9.84038,9.95891,10.03258,10.12551,10.09867,10.93807,11.13324,10.80070,10.12302,10.07551,9.47022,9.19574,8.98955,8.90861,9.09339,9.32177,9.76059,10.00078,10.49614,10.81531,11.03914,11.36758,12.01638,12.76961,13.53316,14.14606,15.40763,16.12362,16.14845,16.12094,16.05501,16.05406,15.73212,15.44933,15.45282,14.95775,14.44272,14.14209,13.97745,13.70180,13.29583,12.89579,12.42972,12.55708,12.38194,14.62747,13.61843,13.07799,12.36591,12.37290,11.74966,11.75051,12.01264
2021,Charlestown 132_11kV,02MAY2020,MW,11.66908,11.22092,11.06930,11.25234,10.77318,10.32962,9.63416,8.84318,9.30285,8.56710,8.11380,7.73573,7.46099,7.29593,7.14043,6.93919,6.79322,6.70213,6.71702,6.67364,6.76592,6.98704,7.10257,7.25017,7.49381,7.86252,8.39047,8.77623,9.39275,9.97759,10.18345,10.46760,10.81334,10.81643,10.68591,10.73369,10.77407,10.50879,10.14304,10.01677,9.89533,9.38131,9.24422,9.17508,8.88128,8.62336,8.46211,8.38718,8.30161,8.40827,8.34211,8.34212,8.32983,8.17576,8.24003,8.36590,8.40232,8.60637,8.72715,8.96775,9.15422,9.30419,9.50132,9.87747,10.37469,10.99762,11.37860,11.81594,12.49787,13.47288,14.34844,14.45277,14.51505,14.35416,13.82306,13.54299,13.14743,13.26615,12.69194,12.37209,11.99261,11.68262,11.55748,11.30738,11.19315,10.78466,13.12828,12.12036,11.41160,10.79378,11.03051,10.41322,11.09441,10.46980,9.77495,9.83615
2021,Charlestown 132_11kV,03MAY2020,MW,9.71111,8.88672,9.09494,9.73406,8.72236,8.02355,7.52419,7.18464,7.45291,7.02808,6.72182,6.60375,6.48727,6.47258,6.39679,6.38366,6.47882,6.40307,6.44186,6.47182,6.55454,6.58471,6.62172,6.89470,7.27011,7.62571,7.90689,8.35231,8.79392,9.13975,9.51128,9.92998,10.26054,10.50866,10.53303,10.44335,10.17455,9.86211,9.74059,9.40406,9.37188,9.19105,9.05265,8.69922,8.50710,8.37325,8.27275,8.16973,8.10247,8.00543,7.99827,8.27721,8.13571,7.98529,8.04006,8.20176,8.21649,8.18384,8.35434,8.50482,8.46098,9.08601,9.63303,9.98970,10.47055,11.20194,11.69950,12.24273,12.78392,13.62743,14.48580,14.50068,14.44713,14.32571,14.05616,13.66097,13.43594,13.40815,13.03324,12.68813,12.33248,12.06451,12.00306,11.49012,11.40244,10.96537,13.10878,12.17532,11.41790,10.56256,10.91442,10.26880,10.86371,10.21194,9.56119,9.76410
2021,Charlestown 132_11kV,04MAY2020,MW,9.50178,8.79107,8.95821,9.58436,8.77011,8.00592,7.68641,7.51781,7.07062,6.83223,6.54550,6.48132,6.50601,6.41016,6.36647,6.33447,6.36579,6.47533,6.51169,6.58807,6.79676,7.03422,7.38370,7.69162,8.55874,9.26314,9.75162,10.14655,10.85532,11.24215,11.58083,11.83346,12.20732,11.93123,11.88172,11.52589,11.13066,10.59886,10.07400,9.82232,9.71598,9.45298,9.18026,8.96507,8.73501,8.51246,8.41978,8.51242,8.63714,8.49642,8.52195,9.02660,9.01200,9.27759,9.23969,9.03725,8.76014,8.59489,8.76738,8.92703,9.16159,9.39113,9.88873,10.09962,10.58283,11.04945,11.79212,12.60353,13.47372,14.44617,15.53354,15.43394,15.14126,15.09000,14.72103,14.34289,13.93828,13.84049,13.28650,12.87355,12.45430,12.17466,11.84812,11.55818,11.16503,10.84960,10.98614,10.73987,13.06922,12.28650,11.82789,11.06939,11.06705,10.50106,10.59388,10.91199
2021,Charlestown 132_11kV,05MAY2020,MW,10.84174,10.15774,10.05561,10.39800,9.94932,9.34570,9.02750,9.07959,8.49787,8.00152,7.55121,7.25412,7.01971,6.77790,6.65847,6.42645,6.35900,6.43481,6.44165,6.51244,6.79785,7.00029,7.18341,7.66041,8.23755,8.89416,9.53422,9.73337,10.28123,10.89512,11.47301,12.03844,12.12018,12.29906,11.73274,11.71061,11.60192,10.94670,9.98150,10.03268,9.60571,9.28690,10.59231,11.72618,11.75066,11.01496,10.60105,10.64790,10.81594,11.66411,11.45246,10.78059,10.32567,10.75453,10.62611,9.94759,9.86570,9.67449,9.60742,9.34080,9.90181,10.02431,10.12863,10.75683,11.20748,11.53729,12.36558,13.27973,13.82169,14.54533,15.08736,15.08085,14.85390,14.68785,14.48029,13.96327,13.47512,13.61281,13.01605,12.48750,12.30368,12.03522,11.76702,11.33240,10.96283,10.61899,10.80887,10.48499,13.04341,12.22616,11.64427,11.00270,11.05334,10.44587,10.57913,10.89047
2021,Charlestown 132_11kV,06MAY2020,MW,10.75099,10.13505,10.03568,10.32951,9.85386,9.27829,8.97272,9.00486,8.37899,7.82081,7.41443,7.09653,6.88058,6.57692,6.45472,6.29629,6.38684,6.26696,6.31915,6.38627,6.62059,6.81757,7.09845,7.45296,8.13547,8.68878,9.21931,9.26284,9.76481,10.22161,10.42271,10.49489,10.67327,10.63198,10.41435,10.04752,9.81608,9.44619,8.99435,8.74775,8.60887,8.34622,8.21488,8.02991,8.01928,7.77800,7.78258,7.71380,7.82240,7.81525,7.85733,7.96654,7.85116,7.74845,7.93840,7.98011,8.04784,8.28698,8.47155,8.66038,8.85140,9.16991,9.52306,9.74749,10.09440,10.49724,11.20262,11.54213,12.00285,13.14812,13.77363,13.78461,13.66086,13.42523,13.00572,12.83471,12.48685,12.50850,12.14392,11.68468,11.34958,11.03411,10.78985,10.43536,10.06408,9.94182,10.04016,9.90775,12.27398,11.52933,11.15065,10.64912,10.68605,10.16537,10.35223,10.65880
2021,Charlestown 132_11kV,07MAY2020,MW,10.46153,9.94085,9.86283,10.21141,9.81851,9.27586,8.93934,8.84564,8.32505,7.78664,7.35706,7.02240,6.72496,6.55984,6.52971,6.40367,6.36372,6.33991,6.36493,6.51910,6.79831,6.98324,7.35935,7.61433,8.09097,8.59468,9.13750,9.31285,9.61752,10.11691,10.19907,10.51721,10.74752,10.67338,10.55271,10.52995,10.50012,10.26976,10.08332,9.95064,10.02169,9.79946,9.49449,9.32956,9.32519,9.16840,9.15773,9.63910,9.72005,9.73168,9.19229,8.73571,8.81348,8.81939,8.98196,9.10302,8.78695,9.26771,9.43887,8.87277,9.50963,9.82191,9.88335,10.22338,10.51966,10.67693,11.31348,11.90921,12.48975,13.33042,14.05235,13.86719,13.77371,13.46021,13.16235,12.76784,12.47490,12.48694,11.96610,11.56286,11.37002,11.12422,10.89718,10.61015,10.32706,10.02027,10.19922,10.00837,12.34635,11.54926,11.25476,10.53292,10.65575,10.05653,10.13502,10.50857
2021,Charlestown 132_11kV,08MAY2020,MW,10.42731,9.89618,9.82508,10.14372,9.82688,9.12082,8.83387,8.80789,8.20698,7.68674,7.29921,6.95593,6.73286,6.48207,6.35004,6.24637,6.23923,6.25027,6.24300,6.26569,6.52035,6.74620,7.00080,7.27176,7.75878,8.33583,8.75840,9.01811,9.48978,9.79876,9.90657,10.25059,10.24630,10.20583,9.91859,9.58070,9.36957,9.06647,8.95515,8.74160,8.58960,8.32562,8.09129,7.82648,7.64390,7.71437,7.74959,7.79210,7.85547,7.92173,7.86950,7.95813,8.05222,8.13976,8.56623,8.62458,8.58814,8.74936,8.86027,8.97996,8.92696,9.25091,9.67291,10.08192,10.31641,10.54212,10.90272,11.34331,11.60462,12.03046,12.43447,12.29901,12.21287,11.92035,11.67418,11.52189,11.21110,11.25807,10.70001,10.27785,10.08470,9.80293,9.51940,9.40085,9.09831,9.03399,9.26508,9.07215,11.48793,10.80626,10.47010,9.93062,10.00524,9.67381,10.01517,10.33111
2021,Charlestown 132_11kV,09MAY2020,MW,10.18046,9.76287,9.57007,9.86203,9.38506,8.82001,8.19765,7.64057,8.13228,7.65976,7.29770,6.92883,6.57612,6.33194,6.23388,6.07202,5.97747,5.90139,5.87439,5.99175,6.14031,6.23449,6.30109,6.42801,6.79721,6.98805,7.21803,7.63552,7.93175,8.42035,8.66167,8.93134,8.94541,9.48428,10.43696,10.52843,9.28892,10.15870,9.27035,9.33727,9.59350,9.46167,10.01184,8.73482,8.15267,8.10069,8.52871,9.55948,9.96722,9.13797,8.33757,9.38677,9.58419,9.83373,10.40816,10.30104,10.47006,10.41774,10.51611,10.59065,10.44386,10.58174,10.94630,11.25754,11.18207,11.24354,11.07568,10.82248,11.30625,11.87266,12.27501,12.17560,12.08016,11.91789,11.56726,11.31182,11.13432,11.12313,10.66370,10.34726,10.01704,9.78106,9.82719,9.56978,9.51839,9.19432,11.48143,10.65901,10.00324,9.47756,9.84611,9.48470,10.29838,9.68530,9.02588,9.15690
2021,Charlestown 132_11kV,10MAY2020,MW,8.95348,8.18184,8.35599,9.01315,8.16142,7.48417,7.01750,6.59885,6.78941,6.47241,6.22204,6.03071,5.99268,5.97988,5.93898,5.87272,5.91234,5.95778,5.86993,5.89621,5.96750,6.11771,6.18021,6.38329,6.71135,6.95299,7.24607,7.66632,8.16043,8.55604,8.92159,9.35120,9.79285,9.99299,10.16589,10.11456,10.06196,9.82465,9.69211,9.44616,9.19660,8.97084,8.78268,8.49138,8.41285,8.13852,8.00205,7.89301,7.89319,7.73037,7.62493,7.65177,7.62823,7.62392,7.59336,7.52878,7.65960,7.89856,7.89995,8.25476,8.51310,8.91206,9.19521,9.50365,10.07507,10.57480,11.25291,11.73165,12.48190,13.41386,14.12151,14.23146,14.34490,14.19718,13.89093,13.66432,13.49644,13.50012,13.04817,12.87245,12.61468,12.34105,12.26615,11.87555,11.83711,11.25170,13.25934,12.30731,11.56180,10.85728,11.13094,10.51318,11.13458,10.52953,9.81593,9.97626
2021,Charlestown 132_11kV,11MAY2020,MW,9.54284,8.96110,8.92838,9.56616,8.69055,8.11516,7.87451,7.77584,7.29570,7.00615,6.82320,6.76151,6.61441,6.56290,6.55701,6.49701,6.53728,6.67328,6.76115,6.84768,7.14105,7.51323,7.80044,8.25969,8.94836,9.81398,10.58584,11.06538,11.92883,12.84786,13.12238,13.01123,13.11128,12.95546,12.65432,12.34871,11.95618,11.35585,10.86540,10.60241,10.45966,10.17574,9.76971,9.57409,9.31479,9.17054,8.97028,8.90113,9.04534,9.04640,8.91881,8.92965,8.85538,8.92124,8.78972,8.75094,8.78698,8.82777,9.18549,9.29282,9.54150,9.86613,10.41207,10.72217,11.36721,12.19098,13.04625,13.98005,14.76058,15.80744,16.62562,16.52747,16.48933,16.21956,16.06292,15.68237,15.22503,15.20650,14.62347,14.20006,13.80192,13.56694,13.21806,12.83420,12.38152,12.03722,12.04880,11.61530,13.84912,12.89497,12.40965,11.80960,11.73271,11.17358,11.23159,11.50613
2021,Charlestown 132_11kV,12MAY2020,MW,11.39012,10.73213,10.62675,10.89214,10.44454,9.80352,9.50173,9.65711,9.02145,8.49712,8.02137,7.61262,7.49642,7.24126,7.10210,6.93084,6.79965,6.86873,6.93574,6.98672,7.32069,7.80420,8.31981,8.76796,9.46050,10.20840,11.20016,11.70017,12.40749,13.02230,13.41225,13.36934,13.19779,13.09898,12.69700,12.24498,11.67320,11.24285,10.67057,10.29719,10.16482,9.70698,9.49189,9.21917,9.13212,9.08606,8.58945,8.64534,8.71957,9.14597,8.67485,8.77378,8.78476,9.26025,8.98622,9.22165,9.36187,9.44509,9.41804,9.51622,9.47917,9.64113,10.06528,10.60900,11.13543,11.69399,12.28894,13.36363,13.90596,14.99182,15.67509,15.51189,15.34768,15.20602,14.70755,14.40009,14.13431,14.11504,13.54951,13.10332,12.73891,12.48460,12.08489,11.69028,11.37646,10.98557,11.00668,10.76100,13.02496,12.23941,11.72348,11.13708,11.15783,10.65396,10.74434,11.08462
2021,Charlestown 132_11kV,13MAY2020,MW,11.03659,10.44515,10.13660,10.47999,9.95397,9.33386,9.20093,9.26078,8.59260,8.01211,7.62463,7.41439,7.08518,6.84906,6.67941,6.63169,6.57014,6.57640,6.57414,6.74058,7.06800,7.49214,7.96684,8.32012,9.03437,9.65909,10.39530,10.73240,11.48100,11.89239,12.10520,12.07347,12.13237,12.59408,12.61975,11.44049,10.99466,10.72833,10.59625,10.25714,10.38884,10.01253,8.76472,9.30007,10.60653,9.48666,8.66783,8.74388,8.48170,8.44814,8.75371,8.07704,8.51525,8.37377,8.67785,9.93689,10.20519,10.09250,9.49681,10.12517,10.18332,10.37604,10.33548,10.78622,11.26380,11.72911,12.35202,13.09405,13.76230,14.85290,15.58117,15.55774,15.17331,14.92425,14.53499,14.20598,14.02796,14.07540,13.57524,13.25929,12.94633,12.65656,12.41746,12.16428,11.55719,11.29628,11.33623,11.08619,13.51631,12.61834,12.11864,11.40428,11.58200,10.97132,10.95522,11.28512
2021,Charlestown 132_11kV,14MAY2020,MW,11.15821,10.55679,10.31266,10.65802,10.30184,9.77354,9.40243,9.43472,8.67718,8.23328,7.82106,7.56269,7.21946,6.95820,6.91457,6.76062,6.73049,6.67206,6.66586,6.82232,7.08873,7.54011,8.03073,8.39248,9.23265,9.91646,10.59485,11.18102,11.80572,12.46351,12.43677,12.04920,12.22774,12.24876,12.65631,12.40141,12.46188,12.49720,12.07380,12.00457,11.25996,9.91996,10.02508,11.34374,12.26058,12.31010,11.08268,11.83374,12.95486,11.84226,10.50513,10.42686,10.31882,11.77509,12.15087,12.45101,12.20138,11.25298,11.62698,11.65307,12.05049,12.22832,12.37528,12.77179,13.08282,13.73116,14.41251,15.11342,15.91192,17.04755,17.44824,17.14540,16.97954,16.86908,16.46809,16.04309,15.62252,15.55907,14.93008,14.46878,13.96992,13.65063,13.20891,12.96941,12.34298,11.90486,12.14791,11.69103,13.97703,13.09612,12.56322,12.00378,11.92097,11.25940,11.40399,11.53759
2021,Charlestown 132_11kV,15MAY2020,MW,11.39979,10.66562,10.52446,10.85970,10.44517,9.82962,9.44405,9.50199,9.00180,8.39388,7.96855,7.62399,7.25812,7.03011,6.81088,6.72342,6.75014,6.76137,6.87845,6.95423,7.18786,7.61752,8.09473,8.54082,9.17715,9.84107,10.51369,10.81644,11.64794,12.07494,12.65498,12.87626,13.49212,14.10446,14.29344,14.34498,13.60930,12.06047,11.37433,11.41982,11.21790,10.28779,11.74275,12.51644,12.34174,11.88812,11.64021,11.16788,11.09248,10.93971,11.02073,11.14591,11.66609,12.63710,13.10473,12.11684,11.82196,12.15420,12.21405,12.68216,12.39591,12.53863,12.82930,13.17632,13.50475,14.03870,14.63814,15.50834,16.08202,16.82661,17.21560,16.76155,16.58260,16.34315,16.10400,15.67841,15.30524,15.27297,14.79676,14.22419,13.64961,13.33764,13.03512,12.72110,12.29299,11.96026,11.95554,11.54914,13.99913,13.15506,12.74496,12.14147,12.17154,11.52525,11.58263,11.82762
2021,Charlestown 132_11kV,16MAY2020,MW,11.60664,11.02973,10.84212,11.09818,10.57124,9.97658,9.36704,8.85271,9.23029,8.59353,7.98633,7.69206,7.45725,7.19623,7.00458,6.82013,6.76047,6.68270,6.65452,6.68717,6.84239,6.79917,6.91104,7.17895,7.63665,7.81577,8.12836,8.75124,9.52278,9.94550,10.48529,10.95973,11.10774,11.09237,10.81885,11.11597,11.62493,11.73538,11.91653,12.05150,11.38492,10.45204,10.04072,9.62839,9.53230,9.07815,8.87475,8.77748,8.87107,9.57871,10.02725,9.05534,9.12756,9.45228,9.40795,9.09088,9.04620,9.19805,10.10429,10.53698,10.38820,10.40853,10.33427,10.65105,11.07176,11.49807,12.10972,12.64078,13.33769,14.06460,14.65636,14.53481,14.45002,14.29063,13.93545,13.58655,13.39919,13.39978,12.88188,12.50848,12.10227,12.00070,11.96044,11.66954,11.47859,11.02474,13.08073,12.17306,11.50780,10.95316,11.24891,10.75468,11.42679,10.74289,9.93822,10.00870
