year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Charmhaven 132_11kV,01MAY2020,MW,18.01259,18.37755,18.75414,17.46883,16.45595,15.17635,16.05567,15.58344,14.59895,13.68888,12.90238,12.29664,11.94639,11.74482,11.73235,11.49784,11.50304,11.60449,11.61043,11.84168,12.25028,12.45924,12.76057,13.24427,13.90952,14.41777,14.91673,15.63462,14.83285,14.79767,14.66543,14.30025,13.86117,13.30782,12.83260,12.25466,11.44487,10.90375,10.35918,9.76823,9.61458,9.00182,9.05228,8.57455,7.67816,8.25840,7.60949,8.48603,9.98681,7.81355,8.38420,8.24947,8.70194,8.22425,8.11859,8.83043,10.45630,9.17729,10.56796,11.41655,11.80480,12.87118,12.87987,13.47843,14.78447,16.27871,17.57301,19.07213,19.96864,21.43932,22.73280,23.60373,23.91861,23.68619,23.49018,23.30633,22.78804,22.46586,21.85622,21.56128,21.61938,21.28392,20.96911,20.66944,20.50164,20.00026,19.43267,18.73211,18.18509,18.25764,19.42212,18.45633,18.74129,19.06277,19.65886,19.85182
2021,Charmhaven 132_11kV,02MAY2020,MW,19.22292,19.60669,19.80082,18.62639,17.50709,15.95546,16.63167,16.07961,15.24244,14.33961,13.44111,12.60115,12.20403,12.10389,11.96834,11.71326,11.61296,11.63467,11.50954,11.48491,11.79222,11.76094,12.15634,12.45336,12.89388,13.19280,13.67961,13.92701,13.34506,13.43329,13.23616,13.10016,12.74132,12.30174,12.14646,11.56070,10.91542,10.30634,9.68706,9.22462,8.50553,8.05863,7.65061,7.27209,6.95228,6.81054,6.58667,6.42800,6.41403,6.24279,6.27001,6.61404,6.67686,6.84144,6.93407,7.39854,7.70524,8.13578,8.87094,9.42803,10.22990,11.09600,11.95738,12.93996,14.13211,15.21110,16.35712,17.63878,18.53078,19.72624,21.33869,21.90667,21.74357,21.56413,21.24057,20.88763,20.44188,19.96539,19.51510,18.94126,19.19147,19.02407,19.13422,18.71374,18.48098,18.22141,17.63299,16.88793,16.76751,16.77707,18.18297,17.39562,17.64020,17.78063,18.59317,18.96408
2021,Charmhaven 132_11kV,03MAY2020,MW,18.59355,18.96830,19.26183,17.85367,16.73335,15.66528,16.45288,15.99134,15.03290,14.07500,13.07466,12.49775,12.20597,11.80856,11.39162,11.19596,11.05874,11.13198,11.06145,11.13904,11.28761,11.23079,11.34992,11.81916,12.30479,12.53029,13.00774,13.38161,12.98874,12.87876,12.81773,12.76462,12.49841,11.95964,11.65432,11.45566,10.74962,10.21418,9.68017,9.24663,8.78365,8.45091,7.87322,7.58937,7.32742,6.98914,7.15286,6.91274,6.63739,6.72751,7.41365,6.87591,6.70654,6.92763,7.26014,7.60553,8.79312,12.25998,12.86035,12.75212,13.58942,12.20840,12.86615,13.53642,14.47584,15.72102,16.85518,18.16275,19.05801,20.37377,21.89894,22.62444,22.61856,22.35248,22.04391,21.77961,21.55587,21.14556,20.56282,20.09911,20.35305,20.36524,20.10473,19.74606,19.42383,19.11616,18.47702,17.52999,17.41804,17.33728,18.63670,17.76167,17.94704,18.19046,19.26020,19.35849
2021,Charmhaven 132_11kV,04MAY2020,MW,18.95535,19.24997,19.62525,18.46203,17.48529,16.36961,17.23834,16.56391,15.66112,14.58910,13.77159,13.26700,12.76412,12.48209,12.31787,11.94723,12.04180,12.04950,12.16009,12.41843,12.70600,12.80084,13.58153,14.14933,14.82452,15.46347,16.23023,16.71311,16.30319,16.37043,16.51581,16.11244,15.70827,15.07483,14.61144,13.95495,13.12554,12.21078,11.38740,10.74850,10.26226,9.69935,9.16068,8.79306,8.38553,7.97534,7.87425,8.29001,8.04170,7.96468,8.07992,8.32350,7.90079,8.04443,8.28724,8.51804,8.94493,9.28614,10.07885,10.59844,11.53727,12.22169,13.04219,13.96840,15.17333,16.49297,17.83034,19.09457,20.45735,22.13020,23.34009,24.06610,23.81843,23.54976,22.98805,22.60443,21.95856,21.42385,20.91098,20.58473,20.60373,20.78211,20.54693,20.00333,19.62327,19.04672,18.34130,17.64405,17.22678,17.06121,18.34747,17.67154,17.49648,17.80411,18.69638,18.88233
2021,Charmhaven 132_11kV,05MAY2020,MW,18.50529,19.09579,19.10738,17.88123,16.93376,15.79992,16.45864,16.05347,14.91532,14.11008,13.38987,12.77397,12.30767,11.80982,11.71607,11.68546,11.55708,11.56563,11.56541,11.76713,12.23090,12.47762,12.60511,13.19466,13.71438,14.33550,15.01952,15.36481,14.59617,14.67594,15.03753,15.76496,16.36956,16.79761,16.45977,17.06613,15.36627,12.35295,12.40501,13.19431,12.66923,9.97409,10.74330,10.41667,14.29367,14.82652,15.34214,15.44217,16.43037,16.19225,16.87362,17.78537,17.96277,17.56107,17.12216,16.94489,17.79814,17.58797,17.61985,17.86566,18.58382,18.86861,19.36712,19.80151,19.92481,19.89703,19.98832,20.54924,21.32792,22.81363,24.15099,24.70142,24.41756,24.04750,23.65097,23.29209,22.55707,21.98021,21.56090,21.19087,21.38544,21.23153,20.78026,20.27563,19.79090,19.30739,18.54665,17.66095,17.37123,17.17140,18.48998,17.81986,17.96424,18.02960,18.99467,19.10588
2021,Charmhaven 132_11kV,06MAY2020,MW,18.58264,19.08557,19.36413,18.39336,17.21299,15.87138,16.98762,16.44370,15.38619,14.37293,13.54504,12.92358,12.43561,12.09787,11.95221,11.91759,11.96036,11.90088,12.03768,12.18930,12.82538,13.18505,13.51691,13.94803,14.61277,15.43019,16.01503,16.56787,15.79263,15.57854,15.60863,15.31004,14.89483,14.17761,13.47900,12.70861,12.20499,11.27347,10.56258,9.97485,9.58247,9.25607,8.67457,8.42686,8.29862,8.01452,8.07082,7.53537,7.47637,7.85276,7.97430,8.29381,7.80855,8.11844,8.48178,8.72158,9.14081,9.44335,9.92121,10.49759,11.18722,11.86111,12.56761,13.70987,14.87312,15.99999,17.12615,17.92797,18.83039,20.30375,21.66434,22.16190,21.96143,21.71236,21.42801,21.03264,20.48732,20.00551,19.62491,19.30411,19.52487,19.30489,19.30523,18.91348,18.59896,18.16482,17.68252,16.92282,16.72310,16.77319,17.92232,17.17009,17.34894,17.44839,18.25079,18.81558
2021,Charmhaven 132_11kV,07MAY2020,MW,18.24502,18.77611,19.11760,17.90623,16.82551,15.86678,16.65365,16.24551,15.23162,14.16759,13.27162,12.75818,12.36950,12.00838,11.78409,11.73823,11.62847,11.52623,11.79742,12.27894,12.41822,12.80861,13.28380,13.95465,14.49426,15.10602,15.85074,16.48069,15.39715,15.27885,15.27957,15.84863,15.91313,15.44005,15.51488,15.70043,15.12646,14.33967,13.66199,12.95996,13.25112,12.76527,12.31945,12.29027,11.98834,11.63352,10.46874,10.44777,10.51936,11.22911,11.36537,10.08621,10.65513,10.98925,9.28714,9.84192,10.59651,10.23621,11.99966,12.60656,12.68237,12.93447,13.79757,14.93454,14.95346,15.49262,16.63930,17.71519,18.49991,20.01632,21.09628,21.55547,21.34082,21.07569,20.74896,20.55891,19.97680,19.64379,19.13658,18.76413,18.88172,18.76907,18.57002,18.36575,17.94015,17.49101,16.94636,16.39104,16.08672,16.19996,17.73521,16.71621,17.12674,17.42088,18.29079,18.36697
2021,Charmhaven 132_11kV,08MAY2020,MW,17.89262,18.34317,18.76521,17.70710,16.50325,15.23343,16.15470,15.67136,14.69677,13.68890,12.85918,12.53873,12.26487,11.84589,11.68877,11.50325,11.32824,11.45199,11.53669,11.88067,12.19557,12.42654,12.76073,13.24476,13.90016,14.35934,15.21540,15.67885,15.05305,14.91374,14.65326,14.24679,13.89049,13.41701,12.76942,12.24374,11.40766,10.93017,10.22268,9.68849,9.28082,8.84391,8.49716,8.27330,8.07196,7.85244,7.66589,7.78693,7.71858,7.70939,7.84149,7.81671,8.06315,8.34690,8.52784,8.93776,9.31155,9.75271,10.32610,10.98295,11.64080,12.35952,13.11766,13.87144,14.77384,15.55214,16.31300,16.94792,17.21648,18.18355,19.09918,19.46322,19.20812,19.12375,18.81834,18.51079,17.93118,17.51493,17.11971,16.86515,17.14237,16.90760,16.74150,16.55669,16.29946,16.17154,15.81280,15.14077,15.09749,15.13921,16.53468,15.77000,15.96921,16.07166,17.21097,17.49643
2021,Charmhaven 132_11kV,09MAY2020,MW,16.81145,17.37428,17.80509,16.56906,15.61156,14.44286,15.35729,14.69998,13.87358,12.83682,11.94183,11.35979,11.13332,10.84025,10.77053,10.57014,10.51121,10.50813,10.43571,10.74755,10.86809,10.99333,11.27663,11.59360,11.97121,12.39435,12.77750,13.23573,12.83116,12.43204,12.39530,12.77817,13.55619,12.08544,12.76370,14.27230,12.45367,12.75815,10.88596,9.72674,13.37813,12.69520,11.23020,7.54754,7.10829,6.30002,7.36295,12.80756,13.46914,12.49268,12.56793,9.80386,12.51491,11.24773,11.12892,10.23505,10.35756,12.75237,14.03462,14.29176,14.81191,15.41359,15.68638,15.75019,14.89733,15.19408,15.82615,16.46662,16.86087,17.89043,18.89631,19.28419,19.12287,18.89001,18.68042,18.38891,17.72851,17.51808,17.03775,16.67615,16.77246,16.78429,16.67105,16.33079,16.17431,16.02341,15.79291,15.21013,15.14668,15.25020,16.60061,16.13017,16.47618,16.61248,17.66616,18.00636
2021,Charmhaven 132_11kV,10MAY2020,MW,17.51110,18.04136,18.45702,17.07355,16.15910,14.85333,15.97380,15.29673,14.09448,13.21209,12.36830,11.82107,11.48452,11.24719,10.87585,10.72481,10.72689,10.58475,10.72222,10.78779,11.03479,10.96328,11.12117,11.34367,11.94574,12.31560,12.71515,13.12456,12.82575,12.69488,12.77597,12.70040,12.61563,12.33975,11.98447,11.68067,11.14194,10.77921,10.16179,9.60502,9.20945,8.85697,8.44239,8.01564,7.60440,7.16928,7.03966,6.79613,6.71772,6.51746,6.55080,6.53999,6.53303,6.53698,6.71723,6.99638,7.40283,7.76994,8.44090,9.00137,9.98942,10.77172,11.56885,12.59864,13.92859,15.05664,16.65125,18.12838,18.97360,20.32402,21.62343,22.28021,22.31999,22.39931,22.35334,22.38898,22.10961,22.03578,21.65932,21.57674,21.69761,21.70793,21.38321,21.23483,20.78669,20.52209,19.78567,18.93217,18.43291,18.19712,19.44045,18.54363,18.69489,18.64572,19.54540,19.54009
