year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,City South 132_11kV,01MAY2020,MW,28.76079,28.52549,27.83769,27.83769,27.83769,27.83769,27.83769,27.65669,26.95080,26.95080,26.95080,26.95080,26.95080,26.95080,26.95080,26.95080,26.95080,26.95080,26.95080,26.95080,26.95080,28.00059,28.03679,29.01419,31.05948,31.80158,32.59798,33.68397,36.52566,38.02795,39.89225,40.29045,42.31764,43.98283,44.72493,44.72493,45.53943,46.22722,46.64352,47.11412,47.33132,47.33132,47.63902,47.92862,48.39922,48.59831,48.00102,48.27252,49.08701,49.73861,49.82911,49.68431,49.46711,48.79741,48.85171,48.86981,48.86981,48.76121,48.16392,48.47162,48.70691,48.18202,48.09152,47.89242,47.27702,47.02362,47.15032,46.95122,46.11862,45.32223,44.61633,44.01903,40.96014,39.98275,39.51215,38.64335,37.73836,37.59356,36.74286,36.56186,35.74736,35.47586,35.69306,34.67947,33.91927,33.28577,32.85137,32.81517,31.74728,30.80608,30.51648,30.51648,30.51648,29.81059,29.55719,29.26759
2021,City South 132_11kV,02MAY2020,MW,28.45309,28.45309,28.45309,28.45309,28.45309,28.10919,27.47570,27.47570,27.47570,27.47570,27.47570,27.47570,27.47570,27.47570,27.47570,27.47570,27.47570,27.47570,27.47570,27.47570,27.47570,27.47570,27.47570,27.47570,28.38069,28.70649,28.70649,28.70649,30.19068,30.64318,30.64318,30.64318,31.72918,31.94638,31.94638,33.05047,33.32197,34.00977,34.00977,34.84237,35.25867,35.25867,35.74736,36.16366,36.16366,36.39896,36.97816,36.03696,36.25416,36.39896,36.96006,36.96006,36.85146,36.07316,36.90576,36.97816,36.97816,36.97816,36.21796,36.59806,36.85146,36.07316,36.07316,36.07316,36.07316,36.07316,36.07316,36.07316,36.07316,36.07316,36.07316,35.80166,35.18627,35.18627,35.13197,34.87857,34.31747,33.82877,33.46677,33.24957,33.24957,33.24957,33.24957,32.90567,32.94187,32.61608,32.16358,31.49388,31.24048,31.24048,30.38978,30.33548,30.29928,30.29928,29.99159,29.41239
2021,City South 132_11kV,03MAY2020,MW,29.41239,29.41239,29.14089,28.47119,28.47119,28.47119,28.47119,28.47119,27.92819,27.58429,27.58429,27.58429,27.58429,27.58429,27.58429,27.58429,27.58429,27.58429,27.58429,27.58429,27.58429,27.58429,27.58429,27.58429,28.23589,28.61599,29.26759,28.63409,28.95989,29.62959,30.37168,30.51648,31.36718,31.49388,31.49388,31.62058,32.54368,32.68848,33.59347,33.59347,33.59347,34.02787,34.53467,34.53467,35.31297,35.25867,35.71116,36.21796,36.21796,36.21796,36.21796,36.21796,36.21796,36.21796,36.21796,36.21796,36.21796,36.21796,36.21796,35.54826,35.27677,35.27677,35.42156,35.51206,35.45776,35.42156,35.42156,35.42156,35.40346,35.34917,35.16817,35.33107,34.73377,34.40797,34.33557,34.33557,34.22697,33.73827,33.15907,33.17717,33.12287,32.30838,32.30838,32.30838,32.30838,32.14548,31.38528,30.82418,30.48028,30.48028,30.48028,30.48028,29.59339,28.83319,28.61599,28.61599
2021,City South 132_11kV,04MAY2020,MW,28.50739,27.62049,27.62049,27.62049,27.62049,27.62049,27.62049,27.62049,27.56619,26.75170,26.75170,26.75170,26.75170,26.75170,26.75170,26.75170,26.75170,26.75170,26.75170,27.24040,28.21779,28.68839,28.72459,29.77439,31.85588,33.46677,34.08217,35.13197,37.55736,39.09585,40.68864,42.06424,44.27243,45.61183,46.40822,46.53492,47.42182,48.25442,48.36302,48.36302,48.54401,49.12321,49.01461,49.93771,49.82911,50.24541,50.22731,49.93771,50.53501,50.53501,50.71601,50.28161,50.66171,50.58931,50.04631,50.37211,49.99201,49.93771,49.72051,49.41281,49.21371,48.74311,49.28611,48.74311,48.41732,48.32682,48.18202,48.07342,47.36752,46.78832,45.55753,44.59823,41.82894,40.30855,40.18185,39.07775,37.84696,37.10486,36.61616,36.61616,35.76546,35.72926,35.58446,34.69757,34.69757,33.75637,32.77897,32.77897,31.91018,31.42148,30.89658,30.89658,30.11829,29.91919,29.19519,28.95989
2021,City South 132_11kV,05MAY2020,MW,28.95989,28.36259,28.00059,28.00059,28.00059,28.00059,28.00059,28.00059,27.36710,26.96890,26.96890,26.96890,26.96890,26.96890,26.96890,26.96890,26.96890,26.96890,26.96890,27.24040,27.85579,28.63409,28.72459,29.53909,31.38528,32.77897,33.90117,34.82427,37.57546,38.95105,40.58005,41.32214,43.65703,45.08693,46.06432,46.44442,46.66162,47.24082,47.91052,48.05532,48.41732,48.86981,49.05081,49.35851,49.73861,49.63001,49.81101,50.22731,50.13681,50.04631,50.10061,50.93321,50.89701,50.19111,50.06441,50.15491,49.82911,49.30421,50.15491,50.49881,50.08251,49.55761,48.86981,48.59831,48.59831,48.23632,47.67522,47.83812,46.58922,46.31772,44.90593,44.25433,41.73844,40.43525,39.74745,39.33115,38.13655,37.26776,36.94196,36.94196,35.89216,35.13197,34.84237,34.84237,33.95547,33.62967,32.59798,31.92828,31.67488,31.31288,30.73368,30.73368,30.40788,29.84679,29.66579,28.95989
2021,City South 132_11kV,06MAY2020,MW,28.95989,28.95989,28.19969,27.98249,27.98249,27.98249,27.98249,27.98249,27.33090,27.04130,27.04130,27.04130,27.04130,27.04130,27.04130,27.04130,27.04130,27.04130,27.04130,27.04130,27.78339,28.05489,28.88749,29.43049,31.18618,32.85137,33.52107,34.57087,37.50306,38.78815,39.76555,40.77914,42.98734,44.54393,45.23173,46.35392,46.57112,47.62092,47.89242,48.41732,48.77931,49.12321,49.14131,49.59381,50.31781,50.51691,50.44451,50.93321,51.40380,51.60290,51.33140,51.42190,51.49430,51.07801,51.62100,51.54860,51.62100,51.58480,50.86081,50.75221,50.73411,50.67981,50.57121,50.49881,49.90151,49.70241,49.73861,49.12321,48.01912,47.31322,46.06432,45.19553,41.88324,40.48955,40.07325,39.24065,38.22705,36.99626,36.07316,36.18176,35.85596,34.95097,34.93287,34.93287,34.00977,33.05047,32.05498,32.05498,31.33098,31.11378,30.44408,30.19068,30.19068,29.62959,29.28569,29.28569
2021,City South 132_11kV,07MAY2020,MW,28.34449,28.30829,28.30829,28.30829,28.10919,27.40330,27.40330,27.40330,27.40330,27.40330,27.40330,27.40330,27.40330,27.40330,27.40330,27.40330,27.40330,27.40330,27.40330,27.40330,27.80149,28.29019,28.45309,29.32189,31.14998,32.50748,33.46677,34.44417,37.12296,38.55285,39.51215,41.05064,43.16834,44.09143,44.54393,45.01453,46.08242,46.29962,46.44442,47.07792,47.65712,47.53042,47.87432,48.58021,48.61641,48.63451,49.70241,49.93771,50.42641,50.40831,50.75221,50.96941,51.29520,50.87891,50.98751,50.96941,51.22280,50.86081,50.77031,50.64361,51.07801,50.91511,50.71601,50.58931,49.84721,49.64811,48.88791,48.68881,47.92862,47.04172,45.57563,45.14123,41.70224,40.61625,39.83795,39.07775,38.20895,38.06415,37.39446,37.17726,36.29036,35.85596,35.69306,35.09577,33.73827,33.34007,32.59798,32.39888,32.25408,31.38528,30.53458,30.48028,30.48028,29.84679,29.46669,29.46669
2021,City South 132_11kV,08MAY2020,MW,28.61599,28.47119,28.47119,28.47119,28.47119,27.98249,27.43950,27.43950,27.43950,27.43950,27.43950,27.43950,27.43950,27.43950,27.43950,27.43950,27.43950,27.43950,27.43950,27.43950,27.43950,28.09109,28.32639,28.72459,31.02328,32.03688,32.59798,34.06407,36.59806,37.46686,39.54835,40.52575,42.69774,43.98283,44.83353,44.99643,45.72043,46.69782,47.34942,48.32682,49.37661,50.37211,49.97391,50.02821,50.66171,50.87891,51.16850,51.76580,51.76580,51.76580,52.10970,52.38120,52.65270,52.77940,52.32690,52.86990,52.65270,52.61650,52.61650,52.61650,52.18210,52.09160,51.74770,51.87440,51.05991,50.13681,50.04631,50.13681,48.54401,47.47612,45.97382,45.17743,41.84704,40.56195,39.53025,38.84245,37.57546,37.41256,37.30396,36.99626,35.45776,35.16817,35.04147,34.28127,34.11837,33.30387,32.83327,32.52558,31.83778,31.58438,31.58438,30.98708,30.58888,30.58888,29.72009,29.53909
2021,City South 132_11kV,09MAY2020,MW,29.53909,29.43049,29.01419,28.14539,27.71099,27.71099,27.71099,27.71099,27.71099,27.71099,27.71099,27.71099,27.71099,27.71099,27.71099,27.71099,27.71099,27.62049,26.76980,26.76980,26.76980,27.62049,27.76529,27.76529,28.27209,28.68839,29.37619,29.57529,30.00969,30.48028,30.80608,31.54818,31.98258,32.50748,32.50748,33.08667,34.17267,34.33557,34.82427,35.51206,35.89216,36.56186,37.03246,37.55736,37.86506,38.24515,37.93746,38.55285,38.71575,38.71575,38.71575,38.71575,38.86055,38.75195,38.67955,38.67955,38.77005,39.34925,38.66145,38.66145,38.66145,38.67955,38.58905,38.60715,38.31755,38.31755,38.31755,38.13655,37.37636,36.94196,37.01436,36.68856,36.12746,35.72926,35.22247,34.76997,34.76997,33.84687,33.84687,33.84687,33.37627,32.94187,32.94187,32.94187,32.43508,32.01878,31.54818,31.04138,31.04138,30.48028,30.15448,30.15448,30.15448,30.15448,29.55719,28.88749
2021,City South 132_11kV,10MAY2020,MW,28.61599,27.96439,27.96439,27.96439,27.96439,27.96439,27.96439,27.96439,27.09560,26.98700,26.98700,26.98700,26.98700,26.98700,26.98700,26.98700,26.98700,26.98700,26.98700,26.98700,26.98700,26.98700,26.98700,26.98700,27.69289,27.91009,28.19969,27.87389,28.90559,28.90559,28.90559,28.90559,29.93729,29.93729,30.78798,30.82418,31.63868,31.80158,31.80158,32.61608,33.35817,33.62967,34.28127,34.75187,34.75187,34.75187,34.75187,34.80617,35.76546,35.76546,35.76546,35.76546,35.16817,35.49396,35.49396,35.49396,35.49396,35.49396,35.78356,35.47586,35.62066,35.63876,35.63876,35.63876,35.63876,35.63876,35.63876,35.63876,35.63876,35.63876,34.80617,34.73377,34.73377,34.73377,34.73377,34.73377,34.06407,33.75637,33.75637,33.75637,32.88757,32.81517,31.98258,31.98258,31.98258,31.98258,31.98258,30.95088,30.93278,30.93278,30.55268,30.06399,29.10469,28.95989,28.95989,28.95989
