year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Clovelly 132_11kV,01MAY2020,MW,21.17067,20.67701,20.14537,19.99347,19.68967,19.02512,18.94918,18.89221,18.20868,18.20868,18.20868,17.86691,17.35426,17.35426,17.35426,17.35426,17.35426,17.35426,17.35426,17.35426,18.05678,18.74032,18.74032,19.15803,20.25929,21.26561,22.19598,22.87952,24.05672,24.77823,25.87949,26.65796,27.66428,28.17693,28.61364,29.10730,29.08831,28.89844,28.48073,28.38579,28.29085,28.08199,28.30984,27.94908,27.77820,27.62630,27.62630,27.36048,28.21491,28.34782,28.61364,28.84148,28.84148,28.17693,28.17693,28.27187,27.70225,27.60732,27.56934,27.55035,27.41744,27.85415,27.94908,28.59465,28.65161,29.16426,29.52502,30.79716,31.29082,32.52499,34.19586,35.44901,35.67685,36.03761,35.96166,36.15153,35.16420,33.83510,33.43637,32.73385,32.12626,32.06930,31.04399,29.99970,29.67692,28.86047,28.34782,27.87314,27.28453,27.01871,26.24024,25.38582,24.79722,23.69596,23.65799,22.80357
2021,Clovelly 132_11kV,02MAY2020,MW,22.42382,21.96813,21.39852,21.11371,20.99979,20.29726,20.03144,19.65170,19.23398,18.60741,18.55045,18.55045,18.55045,18.55045,18.55045,18.55045,18.55045,18.55045,18.49348,17.92387,18.45551,18.55045,18.49348,18.72133,19.30993,19.51879,20.50612,21.05675,21.39852,21.94915,22.89850,23.62001,24.24659,25.17696,25.91746,26.12632,27.26555,27.66428,27.58833,27.64529,27.55035,27.62630,27.62630,27.39846,27.17061,27.20859,27.09466,27.11365,27.20859,27.15162,27.28453,27.07568,26.84783,26.58201,26.77188,26.56302,26.54404,26.54404,26.24024,26.27822,26.71492,26.71492,26.71492,27.22757,27.98706,28.08199,28.59465,29.65793,31.17690,32.50600,34.44269,35.44901,35.48698,35.79078,35.65787,35.39205,34.70851,34.21484,33.85409,33.01865,32.12626,31.61360,31.38576,30.15159,29.44907,28.86047,28.42376,27.94908,27.58833,27.09466,26.75289,26.10733,25.00608,24.51241,23.90482,23.39217
2021,Clovelly 132_11kV,03MAY2020,MW,23.10736,22.40484,21.75927,21.43649,20.90485,20.63903,20.50612,20.06942,19.82258,19.08209,19.06310,18.74032,18.28463,18.28463,18.28463,18.28463,18.28463,18.28463,18.28463,18.28463,18.28463,18.45551,18.49348,18.49348,18.87323,19.29094,19.29094,19.78461,20.35422,21.26561,21.91117,22.57572,23.60103,24.81621,25.46177,26.25923,26.37315,26.79087,26.99973,26.94277,27.34150,27.49339,27.30352,27.11365,27.60732,27.09466,27.22757,26.84783,26.75289,27.18960,26.98074,26.84783,26.63897,26.20227,26.27822,26.46809,26.46809,26.37315,26.05037,26.06936,26.01240,26.18328,26.48707,26.90479,27.39846,27.75921,29.05034,29.94274,31.36677,32.90473,35.10724,36.30343,36.72115,37.59456,37.59456,37.00596,36.36039,35.69584,34.72750,34.30978,33.49333,32.82878,32.24018,31.23386,30.60729,29.75286,28.97439,28.13896,27.47441,26.69593,25.63265,24.60735,23.94280,23.39217,22.49977,22.17699
2021,Clovelly 132_11kV,04MAY2020,MW,21.94915,21.51244,20.80992,20.39220,20.31625,20.14537,19.67069,18.96816,18.85424,18.85424,18.85424,18.85424,18.85424,18.85424,18.58842,17.99982,17.99982,18.55045,18.26564,18.53146,18.87323,19.30993,20.06942,20.33524,21.51244,22.42382,23.24027,24.68330,26.03138,26.96175,28.15794,29.44907,29.60097,30.75918,31.53766,31.48069,31.23386,30.41741,29.88577,29.84780,29.67692,29.69590,29.35413,29.35413,29.29717,29.22122,28.91743,29.12629,28.95540,29.43008,29.41110,29.06933,29.20224,29.16426,29.16426,28.68958,28.68958,28.67060,28.57566,28.61364,28.67060,28.68958,29.14528,29.39211,29.71489,30.18957,30.94905,32.01234,33.26549,35.20218,37.00596,38.69581,39.62618,39.62618,40.10086,39.64517,38.99961,37.91734,37.10089,35.86673,35.01230,34.36674,33.49333,32.54398,31.68955,30.96804,29.73388,28.89844,27.85415,26.94277,26.08834,24.98709,24.30355,23.37318,23.03141,22.36686
2021,Clovelly 132_11kV,05MAY2020,MW,22.13902,21.74029,20.86688,20.79093,20.52511,19.87955,19.82258,19.08209,19.02512,18.30361,18.28463,18.28463,18.28463,18.28463,18.28463,18.28463,18.28463,18.28463,18.28463,18.28463,18.83525,19.46183,19.99347,20.50612,21.60738,22.53775,23.79090,24.74026,26.14531,27.55035,28.36680,29.29717,30.56931,30.81614,31.46171,31.76550,31.29082,30.77817,30.62627,30.96804,30.91108,30.13261,30.13261,30.34147,30.17058,30.32248,29.96172,29.80983,30.58830,30.58830,30.56931,30.91108,30.36045,30.55032,29.84780,29.80983,29.46806,29.18325,29.08831,29.01237,28.55667,28.57566,29.22122,29.37312,29.35413,29.90476,30.09463,30.91108,32.20221,34.04396,36.17052,37.74645,38.61986,39.09454,39.17049,38.82872,38.31607,37.42367,36.32242,35.29711,34.25282,33.72118,32.31613,31.59462,31.15791,30.53134,29.46806,28.78452,28.13896,27.09466,26.14531,24.93013,23.98077,23.60103,23.22128,22.51876
2021,Clovelly 132_11kV,06MAY2020,MW,22.21497,22.04408,21.26561,20.56308,20.48713,19.89853,19.44284,18.87323,18.77829,18.77829,18.77829,18.77829,18.77829,18.77829,18.77829,18.77829,18.77829,18.77829,18.77829,18.77829,19.25297,19.53778,19.82258,20.69599,21.66434,22.51876,23.48710,24.68330,25.84151,27.01871,28.15794,28.95540,29.77185,30.64526,30.64526,30.74020,29.96172,29.65793,29.31616,29.10730,28.97439,28.44275,28.42376,28.08199,28.30984,27.81617,27.94908,27.70225,28.15794,28.38579,28.36680,28.25288,27.91111,27.81617,27.87314,27.94908,27.51238,27.07568,27.60732,27.32251,27.51238,27.89212,28.11997,28.19592,28.34782,28.42376,29.25920,30.56931,31.36677,33.01865,35.16420,36.22748,36.85406,37.59456,36.83507,36.87305,36.22748,35.67685,35.18319,34.10092,33.17055,32.48701,31.40475,30.74020,30.26552,29.54401,28.72756,28.21491,26.96175,26.25923,25.40481,24.70228,23.77191,23.10736,22.30990,22.10104
2021,Clovelly 132_11kV,07MAY2020,MW,21.77826,20.99979,20.33524,20.60106,20.10739,19.30993,19.25297,18.70234,18.56943,18.56943,18.47450,17.71501,17.71501,17.71501,17.71501,17.71501,17.71501,17.71501,17.71501,18.22766,19.02512,19.30993,19.67069,19.93651,20.94283,21.85421,22.78458,24.03773,24.83519,25.74658,27.05669,28.48073,29.35413,29.90476,30.53134,30.64526,30.64526,30.47438,29.90476,30.37944,29.94274,29.90476,29.77185,29.44907,29.25920,29.27819,28.89844,29.10730,29.01237,29.37312,29.25920,29.14528,29.10730,28.78452,28.57566,28.08199,28.06301,27.75921,27.60732,27.74023,27.83516,27.60732,27.66428,27.98706,28.25288,28.48073,29.29717,30.24653,31.23386,32.75283,34.17687,35.14521,36.17052,36.96798,36.87305,36.62621,35.79078,35.06927,34.15788,33.01865,32.05031,31.61360,30.56931,29.82881,29.77185,29.33515,28.08199,27.07568,26.75289,25.87949,24.79722,24.36051,23.50609,22.95546,22.53775,21.77826
2021,Clovelly 132_11kV,08MAY2020,MW,21.53143,21.34156,20.79093,20.79093,20.50612,19.84157,19.12006,18.60741,18.39855,18.39855,18.39855,18.39855,18.39855,18.39855,18.39855,18.39855,18.39855,18.03779,17.77197,18.41754,18.56943,19.15803,19.29094,19.99347,20.98080,21.62636,22.27193,23.67698,24.18963,25.12000,26.35416,27.34150,28.10098,28.46174,28.53769,28.59465,28.86047,28.57566,28.17693,28.21491,27.77820,27.43643,27.41744,27.37947,27.74023,28.02503,27.72124,27.58833,27.56934,28.13896,28.13896,28.06301,27.83516,28.11997,28.00605,28.00605,27.68326,27.45542,27.56934,27.32251,27.75921,27.77820,28.00605,28.13896,28.30984,28.06301,28.59465,29.41110,29.80983,30.93007,32.73385,32.82878,33.72118,33.87308,33.43637,33.01865,32.22119,31.46171,30.51235,29.75286,29.44907,28.91743,27.94908,27.24656,26.43011,26.54404,26.25923,25.68961,25.13899,24.79722,24.47444,23.88583,23.18331,22.55673,22.53775,22.04408
2021,Clovelly 132_11kV,09MAY2020,MW,21.64535,21.39852,20.80992,19.87955,19.76562,19.25297,18.85424,18.70234,18.20868,17.94286,17.94286,17.94286,17.94286,17.62008,17.18337,17.18337,17.18337,17.33527,17.33527,17.22135,17.71501,17.65805,18.22766,18.37956,19.15803,19.40487,20.06942,20.25929,21.15169,21.37953,22.40484,23.39217,23.69596,23.77191,24.60735,25.38582,25.61367,26.52505,26.35416,26.84783,27.87314,27.64529,27.56934,27.53137,27.43643,27.68326,26.73391,26.12632,26.12632,26.12632,26.69593,26.69593,26.65796,27.18960,26.71492,25.78455,26.27822,26.94277,26.65796,26.41113,26.63897,26.43011,26.50606,26.48707,26.71492,27.15162,27.09466,27.70225,28.65161,29.80983,31.30981,32.52499,32.43005,32.31613,31.82246,31.65158,31.10095,30.32248,29.86679,29.12629,28.08199,27.45542,27.17061,26.58201,25.86050,25.48076,24.93013,24.87317,24.32254,24.05672,23.41116,22.89850,22.40484,22.27193,22.00611,21.58839
2021,Clovelly 132_11kV,10MAY2020,MW,21.22763,20.73397,20.22131,19.82258,19.68967,19.25297,18.77829,18.28463,18.03779,18.03779,17.79096,17.29729,17.29729,17.29729,17.29729,17.29729,17.29729,17.29729,17.24033,17.14540,17.73400,17.82893,17.82893,17.82893,18.01881,18.39855,19.10107,19.65170,20.25929,20.52511,21.68333,21.87320,22.72762,23.29723,23.98077,24.75924,25.29088,25.48076,26.01240,26.27822,26.35416,26.27822,26.82884,26.37315,25.91746,25.93645,25.91746,25.82252,25.48076,25.44278,24.89215,25.04405,24.96810,24.89215,24.98709,24.62633,24.53140,24.13267,24.39849,24.64532,24.64532,25.12000,25.17696,25.49974,25.91746,26.41113,27.26555,28.40478,29.77185,31.25285,32.96169,34.10092,34.57560,35.06927,34.72750,34.74648,34.42370,33.89206,33.17055,32.56296,31.78449,31.63259,30.79716,30.13261,29.24021,28.89844,28.40478,27.60732,26.48707,25.80354,25.10101,24.32254,23.48710,22.89850,22.27193,21.72130
