year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Cronulla 132_11kV,01MAY2020,MW,21.13531,20.02590,19.06691,19.04811,20.11991,20.74044,19.98829,18.76605,17.60022,17.61903,17.14894,16.22756,15.85148,15.19336,14.57284,14.08394,13.78308,13.59505,13.70787,13.98992,14.44121,15.08053,15.58823,16.18995,17.35578,18.74725,20.02590,20.77804,21.00369,22.01908,22.99687,24.16270,24.33193,24.27552,24.46356,24.12509,23.44816,22.16951,21.56780,21.09770,20.55240,20.23274,19.76265,19.49939,19.04811,18.70964,18.46519,18.37117,18.48400,18.78485,18.59682,18.61562,18.82246,20.43958,19.96949,18.97289,18.27716,18.82246,18.95409,19.44298,20.42077,21.45497,21.96267,21.54899,23.16611,24.36954,25.14049,27.11488,29.35251,32.11665,34.82438,36.98680,37.98339,38.39707,38.19023,37.49450,36.57312,35.14404,34.33548,33.41410,32.32349,31.08245,30.06705,29.33371,28.54395,27.60377,26.62598,25.34733,24.65160,24.01227,23.33534,22.56439,23.46697,24.57638,23.65500,23.24132
2021,Cronulla 132_11kV,02MAY2020,MW,22.56439,21.37976,20.47718,20.02590,21.41737,21.64301,20.79685,19.63102,18.54041,17.99510,17.58142,16.84808,16.45320,15.87029,15.34379,14.70446,14.53523,14.29078,14.27198,14.19676,14.17796,14.59164,14.87369,14.96771,15.88909,16.75406,17.41219,17.95749,18.12673,19.49939,20.43958,21.07890,21.58660,21.84985,22.15071,21.84985,22.62080,23.63620,23.48577,22.79003,22.75243,21.64301,20.66522,20.32675,19.59341,18.95409,19.08571,18.89768,18.87887,18.72844,18.57801,18.46519,18.57801,18.27716,18.10792,18.25835,18.25835,18.25835,18.76605,19.33016,19.76265,20.36436,20.85326,21.84985,23.18491,23.82424,25.59178,27.19009,28.99524,31.43972,34.14744,35.80217,36.27226,36.59192,36.10302,35.61413,34.74916,33.30128,32.43631,31.57134,30.68757,29.72858,29.46533,28.65678,27.82941,26.73880,26.02426,25.00887,24.36954,23.59859,23.22252,22.35755,23.33534,24.59519,24.44476,23.71141
2021,Cronulla 132_11kV,03MAY2020,MW,23.24132,22.43276,21.22933,20.74044,21.84985,22.11310,21.32335,20.00709,19.29255,19.02930,18.37117,17.71305,17.13013,16.11474,15.68225,15.08053,14.76087,14.55403,14.29078,14.23437,14.44121,14.55403,14.83609,15.02412,15.70105,16.47200,17.03611,17.76946,18.12673,19.21734,20.08231,21.00369,21.77464,22.39516,22.65841,22.79003,23.12850,22.99687,22.75243,22.22592,21.77464,20.87206,20.28915,19.80025,19.49939,19.19854,19.12332,19.14212,18.97289,18.50280,18.67203,18.61562,18.65323,18.44639,18.42759,18.14553,18.38998,18.44639,19.14212,19.29255,19.81906,20.27034,20.94728,21.39856,22.52678,23.54218,25.00887,26.53196,28.73199,31.47732,34.65514,36.36628,37.21244,37.51330,37.45689,36.32867,35.29447,33.94060,32.98162,31.51493,30.55595,29.72858,29.23969,27.97984,26.87043,25.72341,24.80203,23.50457,22.73362,21.90626,21.22933,20.72163,21.69942,23.18491,22.60200,22.37635
2021,Cronulla 132_11kV,04MAY2020,MW,22.03789,20.98488,20.32675,19.81906,20.96608,21.21053,20.89086,19.66863,18.54041,18.40878,18.12673,17.35578,17.01731,16.05832,15.51302,15.23096,14.85489,14.79848,14.64805,14.51642,15.19336,15.90790,16.20875,17.33697,18.48400,19.34896,20.79685,21.69942,22.22592,23.56098,24.70801,25.42255,25.70460,25.17810,24.82083,24.04988,23.54218,22.58319,22.11310,21.19172,20.74044,19.85666,18.86007,18.65323,18.29596,17.88228,17.86348,17.93869,17.88228,17.80706,18.07032,18.07032,17.88228,17.71305,18.18314,18.46519,19.96949,19.23614,19.23614,19.29255,19.36777,19.76265,20.59001,21.41737,22.60200,23.97466,25.64819,28.03626,30.98843,34.09103,37.32526,39.48768,40.55949,40.54069,39.67572,38.47229,37.34407,35.95260,34.84318,33.20726,31.87220,30.64996,29.69098,28.69438,27.41573,26.09948,25.02767,23.88065,23.14730,22.41396,21.71823,21.00369,22.05669,23.48577,22.95927,22.01908
2021,Cronulla 132_11kV,05MAY2020,MW,21.58660,20.60881,19.80025,19.68743,20.79685,21.66181,21.22933,19.87547,18.86007,18.69084,18.22075,17.33697,16.58483,15.62584,15.06173,14.38480,14.29078,14.40360,14.40360,14.40360,14.89250,15.43780,16.13354,16.73526,17.80706,18.87887,19.91307,20.74044,20.81565,22.41396,23.09089,23.67381,23.95586,23.71141,23.12850,22.58319,21.92507,21.19172,20.87206,20.62761,19.93188,19.34896,19.27375,18.44639,18.70964,18.40878,18.08912,17.54381,17.13013,17.18654,17.43099,16.84808,16.75406,16.79167,16.71645,16.86688,16.84808,16.81047,16.92329,17.46860,18.23955,18.84127,19.63102,20.25154,21.26694,22.26353,23.01568,24.63279,27.00205,29.99184,33.07564,35.46370,36.51671,37.15603,36.66713,35.48250,34.05343,32.36110,31.25168,30.40552,29.35251,28.09267,27.22770,26.51316,25.74221,24.48236,23.86184,22.77123,22.05669,21.45497,20.87206,20.45838,21.32335,22.99687,22.31994,22.13191
2021,Cronulla 132_11kV,06MAY2020,MW,21.58660,20.59001,19.68743,19.49939,20.62761,20.87206,20.42077,19.29255,18.33357,18.46519,18.03271,17.18654,16.92329,16.00191,15.17455,14.38480,13.89590,14.08394,14.19676,14.49762,15.17455,15.87029,16.34038,17.11133,18.42759,19.72504,20.59001,21.32335,21.43617,22.90286,23.78663,24.21911,24.76442,24.74561,24.25672,23.69261,22.75243,21.84985,21.24813,20.75924,19.93188,19.23614,18.72844,18.16433,17.63783,17.05492,16.45320,16.56602,16.35918,16.18995,15.98311,16.15234,16.03952,16.20875,15.96431,16.22756,16.52842,16.22756,16.58483,16.62243,17.37458,17.90108,18.37117,19.12332,20.02590,20.92847,22.35755,23.80543,25.47896,28.60036,31.49613,33.84659,34.89959,34.97481,34.67395,33.65855,32.21067,31.12006,30.19868,29.23969,28.52515,27.17129,26.55077,25.57298,25.02767,23.63620,23.10970,21.90626,21.66181,20.83445,20.43958,19.93188,20.74044,22.31994,21.98148,21.62421
2021,Cronulla 132_11kV,07MAY2020,MW,21.43617,20.15752,19.08571,18.69084,19.96949,20.47718,19.68743,18.61562,18.03271,17.28056,16.71645,16.30277,16.24636,15.21216,14.72326,14.32839,14.08394,13.82069,13.91471,14.21557,14.96771,15.43780,15.92670,17.07372,18.23955,19.01050,20.02590,21.28574,22.33875,24.14390,24.91485,25.66699,26.38153,26.60718,26.64478,26.47555,26.34393,25.49776,24.16270,23.84304,23.86184,22.86525,22.50798,21.79344,20.96608,20.19513,19.19854,18.52160,18.72844,18.67203,18.97289,19.16093,18.65323,18.29596,18.86007,18.23955,17.90108,17.29937,17.37458,17.54381,17.41219,17.39338,18.14553,18.87887,19.76265,20.81565,22.16951,23.78663,26.06187,28.28070,30.55595,32.36110,32.83119,32.90640,32.68076,31.92861,30.74398,29.67217,28.48754,27.64138,26.72000,25.87383,25.47896,24.99006,24.10629,23.14730,22.54559,21.30455,20.59001,20.15752,19.68743,18.95409,20.06350,21.43617,20.32675,19.98829
2021,Cronulla 132_11kV,08MAY2020,MW,19.44298,18.72844,17.88228,17.90108,19.29255,19.10452,18.20194,16.79167,15.71986,15.51302,15.09934,14.44121,14.23437,13.65146,13.18136,13.14376,13.14376,13.14376,13.14376,13.16256,13.70787,14.27198,14.74207,15.85148,16.86688,17.80706,18.87887,19.25495,19.48059,20.62761,21.09770,21.81224,22.13191,22.15071,22.13191,21.51139,20.57120,20.27034,19.40538,19.40538,18.65323,18.03271,17.48740,17.01731,16.79167,16.11474,16.02072,16.00191,15.92670,15.96431,16.18995,16.35918,16.26516,16.26516,16.39679,16.66004,16.58483,16.58483,16.79167,17.43099,18.03271,18.20194,18.65323,18.97289,19.85666,20.55240,21.43617,22.63960,23.91825,25.61058,28.01745,29.25849,29.69098,29.72858,29.33371,28.44994,27.56616,26.49436,25.91144,24.97126,24.40715,23.61740,23.07209,22.43276,21.73703,21.07890,20.49599,19.95068,20.00709,19.74384,19.53700,19.23614,20.27034,22.01908,21.43617,21.17292
2021,Cronulla 132_11kV,09MAY2020,MW,20.60881,19.68743,18.74725,18.74725,19.76265,20.00709,19.16093,17.76946,16.82927,16.73526,16.22756,15.34379,15.06173,14.27198,14.23437,13.91471,13.63265,13.74547,13.42581,13.36940,13.59505,13.87710,13.97112,13.97112,14.64805,15.34379,15.94550,16.32158,16.49081,17.84467,18.86007,19.49939,19.80025,19.61222,20.00709,20.36436,20.53360,20.98488,22.45157,22.18832,22.63960,21.60540,20.74044,20.34556,19.78145,17.95749,17.28056,17.18654,16.84808,16.69765,16.64124,16.64124,17.07372,18.42759,17.09253,16.79167,17.95749,18.76605,19.27375,19.16093,19.31136,19.63102,19.10452,19.74384,20.49599,21.17292,21.64301,22.79003,23.84304,25.38494,27.56616,28.61917,28.93883,28.73199,28.46874,27.96104,26.81402,26.02426,24.83963,24.01227,23.65500,22.92166,22.56439,21.75583,21.19172,20.72163,20.30795,19.59341,19.83786,19.78145,19.36777,19.21734,20.60881,22.33875,21.84985,21.60540
2021,Cronulla 132_11kV,10MAY2020,MW,20.74044,19.70623,18.97289,18.80366,20.06350,20.27034,19.51820,18.31476,17.60022,17.24295,16.77286,16.11474,15.70105,14.66685,13.98992,13.38820,13.61385,13.72667,13.72667,13.59505,13.38820,13.55744,13.83949,14.27198,14.68566,15.45661,16.09593,16.69765,17.20535,18.05151,19.31136,20.49599,21.60540,22.48918,23.03448,23.12850,23.26013,22.94046,22.75243,22.47037,21.69942,21.26694,20.72163,20.25154,19.49939,18.86007,18.69084,18.38998,18.23955,18.01390,17.76946,17.58142,17.43099,16.94210,16.81047,16.81047,16.90449,17.14894,17.16774,17.56262,18.16433,18.65323,19.19854,19.95068,20.92847,22.05669,23.52338,25.38494,27.43454,29.76619,32.11665,33.79017,34.14744,34.18505,33.79017,33.48932,32.81238,32.43631,31.98502,30.91321,30.06705,29.16447,28.67558,28.11147,27.03966,25.89264,24.63279,23.35414,22.56439,21.60540,21.02249,20.17633,21.22933,22.63960,22.05669,22.07550
2021,Cronulla 132_11kV,11MAY2020,MW,21.75583,20.75924,19.83786,19.78145,20.83445,21.09770,20.60881,19.31136,18.35237,18.31476,17.97630,17.13013,16.84808,15.68225,15.34379,14.93010,14.64805,14.61044,14.61044,14.61044,15.26857,15.87029,16.56602,17.52501,18.76605,20.51479,22.03789,22.88405,23.78663,25.74221,27.24650,27.79181,27.79181,27.35932,26.85162,25.83623,24.27552,22.88405,21.92507,21.15412,20.53360,19.76265,19.44298,19.19854,18.86007,18.18314,17.95749,17.76946,17.76946,17.50621,17.75065,17.50621,17.67544,17.48740,17.13013,17.20535,17.24295,17.50621,17.78826,18.10792,18.65323,19.46179,20.23274,20.90967,22.15071,23.89945,25.36614,27.66018,30.25509,33.77137,37.11842,39.33725,40.25863,41.34925,40.93556,39.69452,38.32186,36.96799,35.70815,34.41070,33.26367,32.02263,30.87561,29.67217,28.52515,27.32172,26.06187,24.46356,23.41056,22.31994,21.47378,20.81565,21.45497,23.05329,22.52678,22.16951
2021,Cronulla 132_11kV,12MAY2020,MW,21.60540,20.70283,19.91307,19.68743,20.89086,21.07890,20.72163,19.55580,18.57801,18.29596,18.14553,17.37458,17.05492,16.17115,15.83268,15.17455,14.94891,14.94891,14.57284,14.81728,15.62584,16.03952,16.73526,17.58142,19.29255,21.04129,22.75243,23.73022,24.25672,26.23110,27.32172,27.79181,28.05506,27.39693,26.49436,25.55417,24.80203,23.56098,22.69602,21.77464,20.64642,19.91307,19.16093,18.76605,18.31476,17.71305,17.63783,17.56262,17.22415,17.22415,16.92329,16.99851,17.20535,16.88569,17.11133,17.39338,16.92329,17.24295,17.46860,17.46860,18.03271,19.36777,20.70283,21.22933,22.35755,23.57979,24.85844,27.00205,29.76619,33.18846,36.49790,38.41587,39.20563,39.52529,38.99879,37.92698,36.61072,35.27566,34.26027,32.98162,31.53374,30.33030,29.29610,28.16788,27.11488,25.74221,24.36954,22.95927,22.31994,21.68062,21.11651,20.38317,21.39856,22.84645,22.45157,22.28234
2021,Cronulla 132_11kV,13MAY2020,MW,21.53019,20.62761,19.76265,19.46179,20.49599,20.96608,20.55240,19.42418,18.33357,18.10792,17.73185,16.77286,16.62243,15.77627,15.30618,14.77968,14.70446,14.70446,14.70446,14.70446,15.43780,15.77627,16.30277,17.26176,18.89768,20.64642,21.86865,23.33534,23.95586,25.62939,26.32512,26.43794,27.26531,27.97984,27.60377,26.32512,25.53537,25.47896,25.46015,24.40715,24.89604,24.25672,24.18151,24.27552,23.59859,22.71482,21.26694,20.90967,20.64642,21.07890,20.02590,19.80025,20.32675,20.42077,20.72163,21.13531,21.28574,21.22933,21.24813,21.21053,21.75583,22.31994,23.48577,24.63279,26.24991,27.77300,29.39012,31.13886,33.80898,36.83637,39.93897,41.78173,42.83473,42.96636,42.30823,41.02958,39.75093,38.52870,36.89278,36.04661,34.56112,33.54573,32.17306,30.81920,29.54055,28.07386,26.70120,25.42255,24.35074,23.20371,22.22592,21.47378,22.07550,23.56098,23.27893,22.94046
