year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Croudace Bay 33_11kV,01MAY2020,MW,5.15922,4.94027,4.98262,5.16949,4.89043,4.53934,4.37305,4.33303,4.06804,3.76555,3.47250,3.35613,3.25991,3.05957,2.95400,2.96405,2.88342,2.88947,2.91528,3.02702,2.96960,3.08844,3.32027,3.45724,3.72738,4.02180,4.25917,4.32773,4.44644,4.61143,4.51295,4.55118,4.46838,4.37811,4.23742,4.16048,4.05245,3.76510,3.58533,3.45777,3.29936,3.19185,3.33705,3.25732,3.07084,3.05828,3.33835,3.41955,3.31404,3.91534,3.63963,2.86019,2.89323,2.86492,3.06975,2.92124,3.15613,3.04665,3.17815,3.47145,3.29652,3.56728,3.94788,4.27475,4.51561,4.76443,5.11631,5.52180,6.08316,6.69497,7.18721,7.46935,7.61418,7.57837,7.54176,7.39317,7.26170,7.19138,7.08091,6.87588,6.61641,6.32226,6.25203,6.08307,5.96526,5.82951,5.92948,5.62675,6.30723,6.10280,5.68990,5.55405,5.73498,5.39121,5.41296,5.59771
2021,Croudace Bay 33_11kV,02MAY2020,MW,5.70058,5.51284,5.49527,5.61002,5.33178,4.90531,4.58011,4.22051,4.37031,4.18817,3.95238,3.78121,3.54326,3.38356,3.28053,3.09573,3.00088,2.87007,2.87076,2.97546,2.90982,3.01886,3.11998,3.29385,3.40023,3.53762,3.74721,4.01305,4.03415,4.20873,4.49120,4.55468,4.61204,4.51313,4.72556,4.59592,4.56382,4.49078,4.23913,4.05129,3.77937,3.66355,3.47362,3.22317,3.05835,3.00394,2.99343,2.81832,2.78234,2.85120,2.86625,2.77359,2.75339,2.68527,2.86843,2.84941,2.84714,3.01903,3.08967,3.23786,3.45687,3.49292,3.74359,4.06945,4.35614,4.68828,4.99328,5.31084,5.58260,6.16549,6.70250,6.89190,7.10172,6.93116,6.74761,6.63141,6.44043,6.35065,6.15918,5.95370,5.76993,5.65685,5.57412,5.33354,5.31283,5.01221,5.90968,5.50834,5.14514,4.87484,4.83847,4.79544,5.18142,4.89837,4.41941,4.60441
2021,Croudace Bay 33_11kV,03MAY2020,MW,4.70458,4.36709,4.57834,4.77980,4.27522,3.96227,3.65406,3.43380,3.53402,3.37647,3.20159,3.11573,3.02085,3.02129,2.90348,2.90857,2.84686,2.81186,2.83465,2.83448,2.91008,2.97628,3.00438,3.17429,3.33376,3.40503,3.52810,3.74944,3.93743,3.97635,4.17836,4.22945,4.22778,4.44177,4.38663,4.44908,4.40252,4.27364,4.17570,3.92561,3.67024,3.55992,3.40076,3.29908,3.09422,3.04354,2.93203,2.86446,2.83792,2.84971,2.83651,3.01879,2.92135,2.90781,2.76992,2.90491,3.16032,3.01554,3.21734,3.23304,3.39903,3.74642,3.85645,4.19251,4.38882,4.73220,4.97916,5.36507,5.85214,6.39439,6.95993,7.11995,7.06063,6.96998,6.88011,6.72380,6.55630,6.44801,6.27386,6.02375,5.82782,5.66432,5.55438,5.44020,5.34370,5.12980,5.76521,5.52424,5.21540,4.86423,4.84849,4.72001,5.07110,4.69374,4.38852,4.55143
2021,Croudace Bay 33_11kV,04MAY2020,MW,4.49681,4.31647,4.49859,4.67889,4.20717,3.90924,3.67550,3.72182,3.44029,3.28916,3.23756,3.05661,3.06249,2.97813,2.88181,2.78217,2.81999,2.83071,2.88877,2.96534,3.05556,3.08771,3.29666,3.57163,3.80243,4.08335,4.42797,4.60295,4.80755,4.94340,5.01452,5.02834,4.87941,4.89383,4.70809,4.49390,4.19486,3.91264,3.70812,3.35151,3.21854,2.97473,2.67641,2.60724,2.38560,2.25199,2.17645,2.31408,2.23882,2.15851,2.16782,2.18290,2.35798,2.38807,2.30394,2.41056,2.35605,2.48948,2.67683,2.85667,2.95603,3.29819,3.44821,3.71648,3.91183,4.27807,4.74606,5.30425,5.85819,6.42462,6.95284,7.06383,7.19154,7.18212,7.01644,6.62684,6.43797,6.37269,6.18526,5.93937,5.74543,5.61419,5.34230,5.30354,5.05661,4.97292,5.10349,4.86091,5.64130,5.40963,5.09434,4.90331,5.09898,4.84598,4.93751,5.06457
2021,Croudace Bay 33_11kV,05MAY2020,MW,5.25395,5.02345,5.06622,5.28669,4.99818,4.65022,4.44322,4.55966,4.18930,3.89415,3.59059,3.50965,3.34467,3.18351,3.00416,2.94905,2.99696,2.91915,2.94106,2.94681,3.08984,3.09210,3.23210,3.43548,3.70420,3.90988,4.25686,4.28766,4.27998,4.59427,4.82027,4.92671,4.91203,4.51363,4.09990,4.80464,4.83083,4.13662,3.65038,3.61645,3.44119,2.97021,3.77710,4.18252,4.63246,4.36765,4.23567,4.35309,4.70982,4.78471,4.39481,4.17549,4.26864,4.05335,3.55204,3.31988,3.49970,3.45679,3.49004,3.61612,3.69209,4.07990,4.33263,4.37453,4.69587,4.95487,5.32962,5.97093,6.41660,6.93779,7.33321,7.32081,7.35269,7.25834,7.06526,6.79229,6.59158,6.39629,6.20954,6.01508,5.86623,5.75427,5.52975,5.33329,5.27620,5.06230,5.17166,4.96118,5.71327,5.38043,5.17846,4.90754,5.20796,4.86721,4.96663,5.10144
2021,Croudace Bay 33_11kV,06MAY2020,MW,5.27301,5.00319,5.08241,5.23508,4.94016,4.57929,4.44993,4.54346,4.20196,3.91531,3.61520,3.40740,3.28868,3.19597,3.08346,2.91097,2.88638,2.84346,2.91993,2.91787,2.97692,3.13114,3.21809,3.43838,3.69198,3.95784,4.16103,4.15827,4.27133,4.31052,4.33136,4.34802,4.85079,4.71130,4.65749,4.35737,4.24109,2.70033,2.44724,2.29239,2.17938,2.03643,2.45457,2.32762,2.21425,2.20005,2.13634,2.12082,2.05599,1.97621,2.08270,2.04773,2.11935,2.13239,2.16797,2.19446,2.22403,2.28897,2.49718,2.57689,2.79112,2.93346,3.26804,3.51163,3.69271,3.95722,4.34156,4.72626,5.16487,5.67424,6.16600,6.50425,6.51755,6.55464,6.41353,6.18607,5.95054,5.83127,5.60716,5.42509,5.39456,5.10414,4.98397,4.84040,4.78116,4.60451,4.82871,4.61423,5.44934,5.20635,4.87547,4.76225,4.97397,4.77924,4.70351,4.88939
2021,Croudace Bay 33_11kV,07MAY2020,MW,5.11998,4.88391,5.01444,5.06395,4.84941,4.59299,4.33979,4.42866,4.10231,3.84479,3.57825,3.38261,3.24558,3.17638,3.00300,2.90502,2.88326,2.84515,2.89536,2.98739,2.98903,3.13189,3.29801,3.40026,3.61662,3.85971,4.07996,4.14888,4.06148,4.20197,4.12340,4.29825,4.35568,4.26482,4.20719,4.19764,4.07685,3.97225,3.82397,3.73034,3.72599,3.33875,3.15296,3.09653,3.04230,2.89747,2.90666,3.22454,3.40851,3.47686,2.94334,2.49815,2.77667,2.98855,2.94038,3.21019,2.71477,3.20303,3.25334,3.08846,3.42715,3.62963,3.54451,3.95573,3.90236,4.08761,4.38590,4.85236,5.19215,5.76342,6.25523,6.30197,6.39196,6.39663,6.15041,6.00396,5.81689,5.58215,5.57029,5.40457,5.24658,5.13465,4.99048,4.91400,4.76968,4.54229,4.77816,4.64232,5.38915,5.21788,4.88622,4.84948,5.02411,4.84582,4.75063,4.95627
2021,Croudace Bay 33_11kV,08MAY2020,MW,5.16262,4.90805,4.97513,5.14154,4.90141,4.52509,4.28054,4.42045,4.07088,3.79225,3.51090,3.36865,3.21643,3.09354,2.96697,2.92876,2.96188,2.80104,2.80591,2.87469,2.96331,3.00864,3.16598,3.26536,3.57379,3.76983,3.98386,4.07070,4.01822,4.01580,4.08260,4.12471,4.10488,4.00881,3.90600,3.72996,3.55267,3.26306,3.01440,2.81776,2.71458,2.62670,2.40316,2.28440,2.26633,2.19529,2.14434,2.11789,2.06171,2.14259,2.17165,2.15331,2.25282,2.25837,2.33802,2.42932,2.41116,2.55681,2.68716,2.77013,2.84422,3.12615,3.39529,3.56065,3.79680,4.03354,4.29911,4.52947,4.85431,5.08168,5.57031,5.69421,5.80695,5.70608,5.63906,5.48112,5.20905,5.14689,4.99952,4.76147,4.67071,4.62308,4.51528,4.33220,4.29164,4.21693,4.46117,4.25284,5.10986,4.82838,4.70342,4.48966,4.80362,4.60670,4.74057,4.89679
2021,Croudace Bay 33_11kV,09MAY2020,MW,4.89900,4.82182,4.86886,4.95525,4.84016,4.43550,4.07428,3.76392,4.07538,3.75621,3.54592,3.46170,3.20986,3.05179,2.94629,2.86482,2.83034,2.82779,2.71209,2.71066,2.75297,2.82260,2.93744,2.92016,2.98376,3.09409,3.30775,3.47648,3.65366,3.83865,3.93520,4.05147,4.03128,4.59467,4.69927,3.97339,4.21310,4.41375,3.55106,3.84058,3.23962,3.34238,4.03240,3.35967,2.93654,2.84176,3.07219,4.12144,3.81297,3.82164,2.76290,3.45539,3.74119,4.17527,4.31452,4.05849,4.22589,4.32268,4.30149,4.40566,4.40494,4.40406,4.73000,4.61002,4.61444,4.61301,4.62747,4.71324,5.00960,5.46089,5.69905,5.87524,5.94568,5.87191,5.79893,5.53237,5.39791,5.34144,5.14992,4.90630,4.89092,4.75577,4.58759,4.44550,4.43116,4.27082,5.16595,4.85476,4.75184,4.48715,4.58842,4.48840,4.89589,4.72141,4.31203,4.48218
2021,Croudace Bay 33_11kV,10MAY2020,MW,4.54650,4.15254,4.38576,4.61360,4.20170,3.79582,3.44449,3.24778,3.38757,3.20528,2.95601,2.96081,2.95210,2.81657,2.83176,2.76201,2.71412,2.68975,2.77340,2.72906,2.69290,2.70373,2.73306,2.87603,3.03087,3.14772,3.35439,3.60955,3.72849,3.94659,4.09275,4.26053,4.35604,4.53062,4.59981,4.47730,4.49409,4.44315,4.24782,4.02267,3.78811,3.59077,3.34113,3.16669,3.05798,2.92355,2.80627,2.78515,2.79994,2.68985,2.66183,2.58594,2.55328,2.72327,2.51433,2.70406,2.66726,2.65507,2.77266,2.83433,3.10514,3.31694,3.49292,3.82932,4.06742,4.38097,4.85837,5.20597,5.61869,6.09702,6.58843,6.73888,6.76681,6.83917,6.74376,6.62731,6.44152,6.46395,6.23934,6.04697,5.87111,5.82322,5.78847,5.58131,5.48328,5.29665,5.95570,5.60795,5.23243,4.96127,4.87259,4.63214,5.07785,4.70794,4.40967,4.46440
