year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Crows Nest 132_11kV,01MAY2020,MW,13.41677,13.22216,12.77104,12.61648,12.45874,12.32507,12.03397,12.02222,12.02222,11.52876,11.42797,11.42797,11.42797,11.30021,11.20397,11.26671,11.65500,11.49661,11.40511,11.43752,11.59515,11.94780,12.26300,12.43630,13.53442,14.26532,15.57061,16.39131,18.01039,18.98905,19.87337,20.50173,21.09137,21.61885,21.92350,21.91219,21.68527,21.37887,21.30027,21.18600,21.02156,20.95872,20.99591,20.77086,20.81049,20.93140,20.66929,20.78757,20.99776,21.02486,20.90932,21.14869,21.08339,20.90210,20.72611,20.92821,20.83393,20.71405,20.45241,20.30110,20.21749,20.40375,20.44129,20.47253,20.46049,20.65606,21.22629,21.74316,22.08861,23.05707,24.22815,24.59613,24.60715,25.12047,24.63293,24.31266,23.92503,23.43877,23.17090,22.53725,22.12457,21.52039,21.26745,20.90478,20.41673,20.02037,19.59688,19.05854,18.53753,17.94487,17.37396,16.84001,16.40837,15.77661,15.28652,14.86556
2021,Crows Nest 132_11kV,02MAY2020,MW,14.43368,13.98724,13.72553,13.26093,13.15359,12.63362,12.51635,12.26391,12.01080,12.06929,12.00508,11.83190,11.70796,11.57572,11.52689,11.46716,11.41654,11.53536,11.60481,11.43940,11.58676,11.75938,11.84954,12.15430,12.91384,13.01055,13.06788,13.21442,13.82061,14.41314,14.95209,15.46130,16.12022,16.25004,16.84999,17.37449,17.69595,17.85716,18.06659,18.18523,18.36953,18.36347,18.24219,18.10827,18.02111,18.00573,17.95551,18.08730,18.11665,17.95513,17.96477,17.86759,17.66193,17.52017,17.57615,17.60896,17.20352,17.07757,17.34814,17.16164,17.24384,17.32480,17.32480,17.44726,17.62936,18.20053,18.57200,19.29280,20.28179,21.36210,22.52293,23.44542,23.82705,24.23873,24.13087,23.58650,23.27731,22.83943,22.55114,21.85903,21.55681,21.10303,20.87728,20.53606,20.20950,19.90284,19.32470,18.90609,18.70759,18.23191,17.32450,16.95158,16.46021,15.67666,15.23067,14.74648
2021,Crows Nest 132_11kV,03MAY2020,MW,14.58785,14.09223,13.73642,13.45019,13.27965,12.81075,12.81075,12.78289,12.24409,12.22221,12.22221,12.03093,11.90900,11.59939,11.62067,11.74539,11.60510,11.60510,11.60510,11.61158,12.08953,12.17112,12.21079,12.21079,12.49672,12.59857,12.78345,13.23292,13.72072,14.08026,14.70177,15.04883,15.51948,16.19691,16.39562,16.78135,17.09393,17.37745,17.44145,17.45622,17.53883,17.54042,17.41173,17.32156,17.44569,17.36652,17.25973,17.18119,17.26921,17.16012,17.24672,17.28004,17.00611,16.84818,16.83297,16.81640,16.81728,16.79340,16.50388,16.61120,16.59510,16.72211,16.94197,16.94197,17.44822,17.73545,18.51926,19.27363,20.42350,21.72740,22.96379,24.00455,24.56358,24.75298,24.76057,24.62803,24.26985,23.65818,23.25454,22.58853,22.07507,21.70169,21.34123,20.98964,20.52873,20.21141,19.48654,18.81825,18.46209,17.67816,16.98579,16.15977,15.70639,15.27511,15.13828,14.23980
2021,Crows Nest 132_11kV,04MAY2020,MW,13.75534,13.59272,13.17065,12.87018,12.66873,12.46220,12.46220,12.22205,12.17079,12.17079,11.91824,11.87366,11.68812,11.54796,11.54796,11.54796,11.54796,11.54796,11.56959,11.84509,12.12206,12.56499,12.79361,13.27130,14.45894,15.28523,16.59933,17.52312,19.37188,20.47862,21.71224,22.27096,23.01714,23.67649,23.72595,24.02993,23.79756,23.38235,23.15733,22.97974,22.97567,23.05031,22.71648,22.47105,22.41659,22.16063,22.08392,22.19972,22.34374,22.34117,22.18269,22.38513,22.35455,22.02694,21.98390,21.78031,21.28546,21.52092,21.43528,21.45305,21.67622,21.49554,21.68699,21.38760,21.53009,21.89928,22.46956,23.30660,24.06799,25.28098,26.63959,27.46649,27.51500,27.82868,27.33787,27.18786,26.73280,26.13167,25.27926,24.65974,24.04980,23.30066,22.88871,22.35410,22.01426,21.15578,20.61472,19.83438,19.07108,18.29680,17.60776,16.86242,16.14425,15.46832,15.07653,14.53638
2021,Crows Nest 132_11kV,05MAY2020,MW,14.44283,14.01799,13.63338,13.32458,13.10563,12.91186,12.71846,12.30221,12.30221,12.30221,12.22148,11.77317,11.95046,11.67367,11.67367,11.67367,11.67367,11.75009,11.99365,11.82243,12.27574,12.71532,12.90585,13.26653,14.25147,15.38273,16.46268,17.84947,19.31326,20.64468,21.65821,22.25265,23.16694,23.89766,24.21113,24.13264,23.76217,23.38786,22.84153,22.48014,22.42900,22.61418,22.39263,22.66448,22.77758,22.62084,22.46299,22.00496,22.31070,22.12980,22.48391,22.10188,22.70132,21.74195,21.71439,21.55613,21.44394,20.96360,21.23792,21.12545,21.00254,21.12738,20.84041,20.70896,21.10870,21.60671,21.99830,22.29029,22.94022,24.28618,25.33820,26.25440,26.03329,26.27383,26.16363,25.76416,25.60558,25.18847,24.35686,23.91253,23.42765,22.98901,22.64648,22.13816,21.46833,20.69380,20.04221,19.14482,18.61727,17.91872,17.33094,16.66195,16.02340,15.37365,15.10100,14.74889
2021,Crows Nest 132_11kV,06MAY2020,MW,14.35145,14.03886,13.55520,13.26787,13.00771,12.56697,12.37649,12.37649,12.24418,12.27735,12.09079,12.09079,12.09079,12.09079,12.09079,12.09079,12.09079,12.05135,11.79401,12.08639,12.61833,12.80628,13.08747,13.53389,14.41452,15.21175,16.40526,17.42139,19.15228,20.15535,20.93554,21.71521,22.51501,22.97366,23.31283,23.28700,23.14139,22.65678,22.59201,22.30960,21.97649,21.80526,21.81123,21.69362,21.83542,21.63606,21.55303,21.49409,21.58012,21.46235,21.65094,21.44706,21.39899,21.13369,21.09103,21.01164,20.74792,20.51277,20.58862,20.77792,20.59998,20.56173,20.64488,20.73063,20.84538,21.06446,21.51720,21.89464,22.55055,23.67107,24.62782,25.51834,25.28194,25.43692,25.05592,24.81012,24.58853,24.03171,23.41923,22.94421,22.29504,21.73369,21.52712,21.06012,20.65442,19.90954,19.43354,18.76290,18.49930,17.74108,16.94753,16.28552,15.64947,15.07466,14.69800,14.16839
2021,Crows Nest 132_11kV,07MAY2020,MW,13.96760,13.76034,13.48546,13.24502,13.05546,12.62819,12.34792,12.34792,12.16117,11.73701,11.72510,11.72510,11.72510,11.72510,11.70649,11.40511,11.45577,11.69653,11.69653,11.69653,12.01015,12.28507,12.61668,12.94987,13.98236,14.88969,15.98661,16.91762,18.42332,19.36701,20.46476,21.40230,21.96967,22.50847,23.02037,23.14612,23.18174,22.91371,22.54160,22.46975,22.18613,21.84517,21.78005,21.84689,21.60623,21.35442,21.51740,21.57292,22.06577,21.97375,21.85434,21.44343,21.27049,21.17494,21.21796,20.85157,20.70165,20.65451,20.68268,20.55813,20.33114,20.40339,20.25972,20.56348,20.97090,21.11267,21.34111,21.80470,22.39171,23.13013,24.09320,24.39631,24.58829,24.75946,24.40837,24.19301,24.02885,23.40909,22.98416,22.66763,21.93333,21.28475,20.89605,20.67784,20.15526,19.34000,18.84581,18.28390,17.80673,17.25460,16.85939,16.18230,15.62991,14.97169,14.43517,14.10178
2021,Crows Nest 132_11kV,08MAY2020,MW,13.78213,13.63404,13.16502,12.83702,12.59257,12.29650,12.29650,11.98845,11.96509,11.96509,11.78660,11.47611,11.33083,11.46162,11.57227,11.57653,11.57653,11.58141,11.55368,11.55368,11.77001,12.15852,12.47363,12.92760,13.80005,14.24640,15.24553,16.47509,17.75997,18.77140,19.54479,19.95399,20.67787,20.98667,21.42103,21.76357,21.74713,20.99213,21.08616,20.88259,20.70948,20.59667,20.38123,19.97038,19.83660,20.20502,20.23513,20.06273,20.60637,20.81056,20.59980,20.71187,20.71623,20.57456,20.58375,20.61397,20.20133,20.53367,20.48008,20.58025,20.61283,20.32517,20.05396,20.07607,20.17844,20.15718,20.25852,20.58540,20.80445,21.59700,22.71525,22.61727,22.42024,22.47695,22.35386,21.92330,21.70721,21.06911,20.73537,20.24977,19.93723,19.53207,19.01286,18.77761,18.47046,17.92477,17.81298,17.29052,17.13071,16.66769,16.12910,15.74559,15.42966,14.82903,14.42781,14.11758
2021,Crows Nest 132_11kV,09MAY2020,MW,13.80499,13.68689,13.24180,13.05352,12.57648,12.47313,12.00271,11.98794,11.71402,11.50171,11.38226,11.38226,11.38226,11.38226,11.38226,11.38226,11.38226,11.38226,11.38226,11.38226,11.41225,11.48926,11.64510,11.64510,12.09861,12.58791,12.80509,12.89327,13.39925,13.84425,14.32436,14.90579,15.08080,15.65888,16.13792,16.66580,16.88997,17.14468,17.55783,18.11745,18.16529,17.99007,17.78004,18.07605,18.08604,17.73969,17.40812,17.24114,17.20856,17.14159,17.16599,17.16399,17.23999,17.38054,16.95532,16.80320,17.03396,16.99718,16.60603,16.38824,16.74336,16.88308,16.40098,16.60376,16.83911,16.85637,17.39083,18.05562,18.61103,19.44728,20.14728,20.54393,20.87890,20.97344,21.16172,20.81834,20.53606,19.96487,19.59961,19.10846,18.72298,18.65616,18.34799,17.76478,17.57117,17.09919,17.01045,17.18719,16.77328,16.38872,16.38640,16.13271,15.07013,14.73315,14.29639,13.97619
2021,Crows Nest 132_11kV,10MAY2020,MW,13.65642,13.42763,13.06199,12.96317,12.41649,12.41649,12.17234,12.09554,11.82224,11.82224,11.62409,11.52511,11.34202,11.22798,11.22798,11.22798,11.22798,11.22798,11.22798,11.22798,11.22798,11.22798,11.47611,11.51939,11.82853,12.11365,12.38655,12.58564,12.90925,13.44706,14.08460,14.32562,14.76343,15.28934,15.91226,16.25057,16.65518,17.13537,17.24134,17.46986,17.50226,17.41747,17.37051,17.34806,17.25644,17.05053,16.96335,17.02787,17.00482,17.13046,16.82644,16.64485,16.36933,16.42199,16.37646,16.22467,16.06051,16.06253,15.94515,15.85631,15.85631,16.21651,16.37433,16.67984,16.88519,17.32312,18.02912,18.56831,19.55031,21.00036,22.09687,22.93200,23.39062,23.39550,23.43248,23.61627,23.17201,22.81668,22.58637,22.06365,21.57029,21.57029,21.37654,21.02846,20.65186,20.14719,19.56543,19.03915,18.61219,17.93676,17.23703,16.47471,15.80951,15.16756,14.91180,14.37266
