year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Croydon 132_11kV,01MAY2020,MW,13.92816,13.35508,12.82153,12.49100,12.50173,12.01918,11.77412,11.33462,10.70016,10.61802,10.45371,10.31586,10.16161,10.13165,10.31501,10.72907,10.84528,10.77604,10.56268,10.73495,10.82465,11.13400,11.08290,11.35758,11.87961,12.40432,13.31379,14.09986,14.95977,15.93401,16.43034,17.01988,17.80284,18.12435,17.93145,17.58481,17.23050,17.00455,17.15729,16.84420,16.70503,16.64298,16.35179,16.50236,16.44022,16.04261,16.21765,16.17995,16.23849,16.37116,16.92707,18.18874,17.34301,16.91341,16.68425,16.93370,16.78059,16.88028,16.89715,17.06530,17.11809,17.59201,17.36862,16.75905,17.08808,17.69485,18.27585,18.42209,19.13174,20.23332,21.44617,22.21385,22.47199,22.70968,22.77747,22.54477,22.31624,22.03958,21.58257,21.12980,20.55625,20.33125,20.03995,19.71576,19.05623,18.76902,18.43136,18.13877,18.23398,17.68474,17.34935,16.86864,16.33718,15.56142,15.28701,14.88841
2021,Croydon 132_11kV,02MAY2020,MW,14.83284,14.53559,14.14565,13.85057,13.60326,13.28019,12.80805,12.29568,11.95290,11.68195,11.26787,11.13351,11.06494,10.74286,10.51352,10.93751,11.20074,11.17419,11.13335,11.01095,11.32437,11.39050,11.09787,10.90185,11.37044,11.72417,12.20337,12.55008,12.82541,13.61352,14.43840,15.15677,15.21739,15.68706,15.98625,16.76013,17.03053,17.43163,16.97757,17.20181,17.16045,17.25293,16.77489,16.38788,16.45634,16.24258,16.16188,16.12112,16.00463,15.98742,16.11320,16.29885,16.30522,16.23278,16.09593,16.28701,15.95279,15.92144,15.78025,15.90249,16.05999,16.39761,16.54401,16.71707,16.78822,17.14947,17.55290,18.15753,18.84653,19.92949,21.19835,22.22104,22.38644,22.66950,22.24322,21.99565,21.65395,21.07788,20.85089,20.49617,20.20920,20.33071,20.25128,19.99996,19.67857,19.49980,19.31228,18.92056,18.99071,19.35740,18.42254,17.79766,17.46786,17.25216,16.51234,16.12815
2021,Croydon 132_11kV,03MAY2020,MW,15.74453,15.50931,14.79987,14.66865,14.64434,13.60328,12.93260,12.38021,11.99754,11.60867,11.40951,11.31161,11.01937,10.76857,10.85840,10.90127,11.15204,11.17599,11.28661,11.35682,11.69778,11.66752,11.12260,10.92790,11.34036,11.45712,11.97697,12.78712,13.11895,13.54913,14.09273,14.67741,15.23098,15.82263,15.71114,16.36562,16.56109,16.59597,16.95112,17.04710,16.50349,16.66341,16.60043,16.18798,16.29214,16.04212,15.70183,16.03979,15.82801,15.65762,15.19192,15.20868,15.57947,15.46577,15.77792,15.74669,15.48682,15.60829,15.37895,15.15819,15.16482,15.44962,16.04614,16.09558,16.07016,16.61317,17.15150,17.90902,18.78976,20.10828,21.56202,22.67454,23.01477,23.07252,23.27539,23.08893,22.61293,22.06089,21.44419,21.03652,20.93755,21.57575,22.19448,21.70333,21.13751,20.59674,20.11737,19.19338,18.82959,18.41445,18.24460,17.69724,16.94031,16.13318,15.80696,15.01148
2021,Croydon 132_11kV,04MAY2020,MW,14.68598,14.23827,13.58042,13.23616,13.46727,13.22802,12.64241,12.03916,11.55639,11.33722,11.22117,11.24879,11.38232,11.11258,11.07922,10.99850,10.90834,11.04718,11.23476,11.64180,11.90032,12.51192,12.65276,12.31890,12.78850,13.76949,14.69052,15.68888,16.55855,17.38452,18.11283,18.56302,18.93388,19.61535,19.87522,19.77180,19.17295,18.58127,18.36863,17.98779,17.60686,17.69594,17.73728,18.06851,17.41889,17.54815,17.90853,17.84506,18.06144,18.57865,18.46270,17.97741,17.62572,17.48449,17.22012,16.62894,17.04451,17.37575,17.88005,18.25337,18.02419,17.78441,17.78639,17.15865,17.40191,18.11985,18.51871,18.89663,20.03797,21.38990,23.26410,24.19386,24.51092,24.62172,24.63993,24.43057,23.91907,23.36284,22.76569,22.52885,21.97199,22.12971,22.14397,21.27315,20.72656,20.38321,19.71917,19.24499,19.06653,19.03077,18.41133,17.74461,17.17998,16.48891,16.45919,15.60240
2021,Croydon 132_11kV,05MAY2020,MW,15.16138,14.95326,14.39259,14.42175,14.06737,13.13840,12.50149,12.29840,11.99365,11.91542,11.58068,11.74328,11.83637,11.49456,11.41212,11.48748,11.35396,11.38677,11.60428,11.40062,11.35959,11.44277,11.61754,11.93182,12.40593,12.96920,13.63890,14.42991,15.38177,16.26245,17.32306,17.99796,19.02268,19.25178,18.91242,18.68775,18.72837,18.76638,18.72856,19.01744,19.07111,19.38456,19.06353,18.85221,18.73615,18.20776,17.98843,17.76172,18.01329,18.33133,18.08222,18.17492,17.17497,16.73829,16.76024,16.43418,16.76211,16.56737,16.87233,16.71878,16.80329,16.93064,16.76087,16.71633,17.05391,17.46128,17.85969,18.57187,19.42924,20.45958,21.90708,22.80569,23.46361,23.62742,23.35614,23.34948,23.01092,22.52823,21.84960,21.55362,21.05752,20.69879,20.52415,20.50521,20.10081,19.56753,19.19053,18.84431,18.16459,17.78155,17.18718,16.29547,15.46108,15.09024,14.86168,14.59510
2021,Croydon 132_11kV,06MAY2020,MW,14.48277,14.08188,13.61641,13.40796,13.13596,12.70106,12.33814,12.17466,11.80420,11.74653,11.56565,11.53062,11.28157,11.39260,11.25395,11.41656,11.57065,12.06543,11.87195,11.88299,12.00810,12.41619,12.65931,12.83867,12.93062,13.65932,14.63585,15.70263,16.30873,16.82955,17.53063,17.75163,18.02691,18.67683,18.89624,19.00168,18.79399,18.66739,18.29252,17.90714,17.70404,17.57851,17.07324,16.72537,16.36962,16.29723,16.08936,16.20141,16.53480,16.51745,16.63021,16.34369,16.22345,16.27860,16.02859,15.73695,15.74274,15.57774,15.88193,16.09434,16.34448,16.54354,16.83267,16.37079,16.57490,16.96944,17.38022,18.05988,18.77934,20.17577,21.71123,22.46373,22.66915,22.82325,22.82962,22.64592,22.33164,21.89276,21.61338,21.24651,20.87861,20.73343,20.79268,20.51742,20.59242,20.28931,19.73214,19.22304,18.66481,18.52996,17.67032,16.66096,15.78541,15.57348,15.71150,15.57580
2021,Croydon 132_11kV,07MAY2020,MW,15.05397,15.01866,14.52885,13.79643,13.74944,13.38933,12.77865,12.47254,12.15369,11.75858,11.59445,11.64971,11.87862,11.48037,11.41097,11.27468,11.17621,11.19422,11.61983,11.97710,12.51415,12.87973,12.69388,12.57906,12.82015,13.54627,14.42756,14.86108,15.36294,16.43176,17.12931,17.77743,18.42073,19.08274,19.36330,19.55170,19.52553,19.41956,19.36409,19.14810,18.89322,18.55434,18.57755,18.12302,17.98663,17.25975,17.38132,17.64278,17.45940,17.62398,17.51118,17.16707,16.84230,16.55787,16.65626,16.01808,15.80805,15.92841,16.30434,16.56715,16.64071,17.30866,16.66018,16.74032,17.03479,17.05932,17.42990,18.16112,18.77293,19.69028,20.87865,21.39901,21.87297,22.28032,22.57676,22.12077,21.63542,21.29697,20.95711,20.33649,19.99678,19.42874,19.65835,19.75274,19.77526,19.18333,18.44256,17.95493,17.53557,17.03707,16.93771,16.26973,15.91905,15.52393,15.54379,15.08666
2021,Croydon 132_11kV,08MAY2020,MW,14.78575,14.34934,13.66623,12.98412,12.70007,12.25529,11.86151,11.58909,11.20736,11.10827,10.72614,10.47330,10.75221,10.97890,11.03775,11.30467,11.41449,11.48470,11.61673,11.72161,12.08061,12.04794,11.97762,12.22056,12.30219,13.11435,14.01220,14.76656,15.26511,16.29143,16.93958,17.35179,17.35195,17.20646,16.69266,17.13768,17.57002,17.21568,17.15971,16.94011,16.72678,16.74817,16.48255,16.19411,16.23095,15.80185,15.65232,15.76247,15.81200,16.19112,16.31206,15.93569,16.08728,16.22208,16.26571,16.41208,16.28740,15.91731,15.72112,15.77103,16.13347,16.25081,16.13958,15.66288,15.99125,16.31226,16.65276,17.12069,17.77315,18.42415,19.75482,20.17807,20.40502,20.34731,20.36950,20.32059,19.92788,19.65580,19.05761,18.73535,18.12050,18.01793,18.44878,18.45223,17.84060,17.24368,16.60520,16.52455,17.07088,16.53987,16.27392,15.65111,15.02639,14.58336,14.81193,14.06237
2021,Croydon 132_11kV,09MAY2020,MW,13.72992,14.15347,13.88181,13.55819,13.58001,12.88133,12.42350,12.21098,11.48967,11.26877,11.03989,10.95453,10.83097,10.90907,10.87831,10.89109,10.86844,10.82795,10.79584,10.77167,10.82159,11.08670,11.20367,10.95727,11.15787,11.60411,12.10148,12.58938,13.03205,13.61683,14.43696,14.77985,14.59953,15.02709,15.04375,15.85657,15.68367,15.89905,16.20962,17.44533,17.90255,17.70313,17.20619,16.79839,16.67646,16.70702,15.83276,15.64033,15.69148,15.69254,15.22261,15.59572,15.99532,16.47107,16.06542,15.09158,15.09222,15.06347,14.79067,15.57414,15.37888,15.40581,15.30511,15.08562,15.35239,15.62449,16.02226,16.31928,16.86834,17.65039,18.60149,19.19211,19.17601,19.33916,19.10559,18.71704,18.28581,17.97201,17.34715,17.01282,16.90926,16.56645,16.74778,16.66189,16.36239,16.03571,16.01336,15.88161,15.59471,15.48822,15.12756,14.87076,14.45368,14.18631,14.38336,13.80276
2021,Croydon 132_11kV,10MAY2020,MW,13.86547,13.53037,13.04756,12.68221,12.51768,11.80041,11.52623,11.11097,10.84001,10.71025,10.50758,10.63304,10.58265,10.39651,10.47379,10.44699,10.57277,10.65047,10.73752,10.61432,10.74427,10.72795,10.49368,10.60371,10.89477,11.42314,11.72372,12.03558,12.35088,12.70943,13.03911,13.89487,14.33131,14.82632,15.14540,15.37762,15.83460,16.13274,16.00723,16.01370,16.07016,16.18193,16.18659,15.81396,15.97071,15.91863,15.85519,15.71216,15.41882,15.54808,15.48130,15.23051,14.95220,14.72152,14.89079,14.62520,14.11236,14.42173,14.61140,14.80289,14.89808,14.94946,15.08948,15.05238,15.32957,15.92843,16.59804,17.32194,18.13857,19.04135,20.33125,21.14232,21.32263,21.49370,21.49437,21.27409,21.14939,20.86806,20.45189,20.26544,19.89337,19.80830,20.18801,20.12571,19.52480,19.31215,18.93812,18.30260,17.77577,17.35128,16.80909,16.24401,15.45261,14.84156,14.76168,14.38335
