year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Dalley St 132_11kV,01MAY2020,MW,18.00025,17.98165,17.98165,17.98165,17.98165,17.98165,17.59115,17.14486,17.14486,17.14486,17.14486,17.14486,17.14486,17.14486,17.14486,17.14486,17.14486,17.14486,17.14486,17.14486,17.77710,17.92587,17.92587,18.63249,19.41349,20.19449,20.65938,21.58914,23.50446,24.76894,25.88465,25.94044,27.29790,27.83716,28.04171,27.93014,28.20907,28.58097,28.59957,28.59957,29.10164,29.62231,28.93428,28.99007,29.04585,29.39917,29.15743,29.02726,28.91569,29.02726,28.85990,28.95288,28.89709,28.93428,28.93428,28.93428,28.72973,28.09749,28.19047,28.19047,28.19047,28.15328,27.42806,27.42806,27.68840,26.96318,26.88880,26.88880,26.88880,26.72144,26.31235,25.95904,23.80198,22.87222,22.74205,22.10981,21.68212,21.29162,21.12426,20.45483,20.45483,20.08292,19.78540,19.82259,19.82259,19.82259,19.82259,19.28332,18.93001,18.70687,18.16761,18.18620,18.03744,18.03744,18.03744,18.03744
2021,Dalley St 132_11kV,02MAY2020,MW,18.03744,18.03744,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.72132,18.03744,18.09322,18.09322,18.72546,18.91142,18.91142,18.91142,18.91142,18.91142,18.91142,19.26473,19.67382,19.67382,19.67382,19.67382,19.67382,19.67382,19.67382,19.67382,19.67382,19.67382,19.67382,19.67382,19.67382,19.67382,19.67382,19.67382,19.67382,19.67382,19.67382,19.07878,18.91142,18.91142,19.67382,19.69242,19.69242,19.69242,19.69242,19.69242,19.02299,18.79985,18.79985,18.79985,18.79985,19.07878,19.59944,19.59944,19.59944,19.59944,19.59944,19.54366,18.76266,18.76266,18.13042,17.98165,17.98165,17.98165,17.98165,17.98165,17.98165,17.98165,17.98165,17.98165,17.98165,17.98165,17.98165,17.98165,17.98165,17.83289,17.18206,17.18206
2021,Dalley St 132_11kV,03MAY2020,MW,17.18206,17.18206,17.18206,17.18206,17.18206,17.18206,17.18206,17.18206,17.18206,17.18206,17.18206,17.18206,17.18206,17.18206,17.18206,17.18206,17.18206,17.18206,17.18206,17.18206,17.18206,17.18206,17.18206,17.18206,17.18206,17.18206,17.18206,17.44239,18.05603,18.05603,18.05603,18.05603,18.05603,18.05603,18.05603,18.05603,18.05603,18.79985,18.83704,18.83704,18.83704,18.83704,18.83704,18.83704,18.83704,18.83704,18.83704,19.13456,19.61804,19.61804,19.61804,19.61804,19.61804,19.61804,19.61804,19.61804,19.61804,19.61804,19.61804,19.61804,19.35770,18.68827,19.22754,19.45068,19.45068,19.45068,19.45068,18.85563,19.50647,18.94861,19.37630,19.50647,19.50647,19.50647,19.50647,18.68827,18.63249,18.63249,18.63249,18.63249,18.63249,18.63249,18.63249,18.63249,18.63249,17.96306,17.77710,17.77710,17.77710,17.77710,17.77710,17.77710,17.77710,17.77710,17.77710,17.77710
2021,Dalley St 132_11kV,04MAY2020,MW,17.18206,17.01470,17.01470,17.01470,17.01470,17.07048,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.08908,17.23784,17.79570,17.87008,18.52092,18.72546,19.56225,20.54780,21.55195,22.18419,24.67596,26.12639,27.57683,27.78137,28.46940,29.34338,29.45495,29.41776,30.31034,29.90124,30.44050,30.44050,30.44050,30.44050,30.44050,30.44050,29.88264,30.21736,30.29174,30.16157,29.90124,30.23595,30.10579,29.90124,29.58512,29.62231,29.78967,29.91983,29.69669,29.75248,29.12024,29.12024,29.12024,29.12024,28.32064,28.19047,28.19047,27.57683,27.42806,27.42806,27.24211,26.64706,26.64706,26.29375,24.04372,23.05817,22.40733,22.27717,21.83088,21.47757,20.78954,20.60359,20.10152,19.82259,19.82259,19.82259,19.82259,19.33911,18.91142,18.91142,18.91142,18.50232,17.98165,17.98165,17.98165,17.98165,17.98165,17.98165
2021,Dalley St 132_11kV,05MAY2020,MW,17.60975,17.20065,17.20065,17.20065,17.20065,17.20065,17.20065,17.20065,17.20065,17.20065,17.20065,17.20065,17.20065,17.20065,17.20065,17.20065,17.20065,17.20065,17.20065,17.31222,17.33082,18.07463,18.07463,18.07463,19.30192,20.41764,20.86392,21.19864,24.32265,25.32680,26.14499,26.88880,28.30204,28.76693,28.71114,28.91569,29.04585,28.95288,29.06445,29.00866,29.67810,29.32478,29.04585,29.23181,29.69669,29.39917,29.04585,29.58512,29.86405,29.90124,30.01281,29.90124,29.90124,29.90124,29.90124,29.91983,29.88264,29.88264,29.23181,29.13883,29.12024,29.21321,29.02726,29.02726,28.61816,28.04171,28.19047,28.19047,27.61402,26.49830,26.51689,26.25656,24.41563,23.11396,23.11396,22.70486,21.97964,21.66352,21.21723,21.08707,20.71516,20.28747,20.60359,19.98995,19.30192,18.96720,18.96720,18.96720,18.96720,18.96720,18.27918,18.05603,18.05603,18.05603,18.05603,18.05603
2021,Dalley St 132_11kV,06MAY2020,MW,18.05603,18.05603,18.05603,18.05603,18.05603,18.05603,18.05603,18.05603,18.05603,18.05603,18.05603,18.05603,18.05603,17.18206,16.94032,16.94032,16.94032,16.94032,16.94032,17.21925,17.90727,17.90727,17.90727,17.90727,19.35770,19.95275,21.23583,21.64493,24.13670,25.60572,26.20077,26.68425,27.78137,28.45081,29.04585,29.41776,29.38057,29.41776,29.80826,30.21736,30.21736,30.01281,30.18017,30.32893,30.49629,30.16157,30.16157,30.49629,30.40331,30.40331,30.40331,30.21736,30.21736,30.19876,30.36612,30.18017,30.23595,30.10579,30.01281,30.27314,30.12438,30.10579,29.54793,29.12024,28.72973,28.72973,28.46940,27.85576,27.85576,27.57683,27.01897,26.29375,24.26686,23.29991,22.90941,22.50031,21.99824,21.32881,21.32881,21.31021,20.41764,20.41764,20.41764,20.41764,19.71102,19.48787,19.48787,19.00439,18.61389,18.61389,18.61389,18.52092,17.72132,17.72132,17.72132,17.72132
2021,Dalley St 132_11kV,07MAY2020,MW,17.72132,17.72132,17.72132,17.72132,17.72132,17.72132,17.72132,17.72132,17.12627,16.81015,16.81015,16.81015,16.81015,16.81015,16.81015,16.81015,16.81015,16.81015,16.81015,16.81015,17.36801,17.98165,18.39075,18.39075,19.45068,19.61804,20.62219,21.08707,23.61603,25.02927,25.68011,26.81442,27.33509,28.22766,28.20907,28.63676,28.95288,29.00866,29.10164,29.19462,29.64090,29.36198,29.34338,29.49214,29.54793,29.54793,29.54793,29.77107,30.27314,30.68224,30.60786,30.10579,30.10579,30.10579,30.10579,30.42191,30.40331,30.25455,30.25455,30.77522,30.18017,30.01281,29.56652,29.26900,28.80412,28.80412,28.56238,28.06030,27.91154,27.91154,27.29790,26.25656,24.62017,23.37429,22.55610,22.55610,22.46312,21.75650,21.31021,20.84533,20.84533,20.84533,20.36185,20.06433,19.91556,19.15316,19.15316,19.15316,19.15316,19.15316,19.04158,18.39075,17.92587,17.47958,17.47958,17.47958
2021,Dalley St 132_11kV,08MAY2020,MW,17.47958,17.47958,17.47958,17.47958,17.47958,17.47958,17.47958,17.47958,17.47958,17.47958,17.47958,17.47958,17.47958,17.47958,17.47958,17.47958,17.47958,17.47958,17.47958,17.47958,17.47958,17.47958,17.47958,18.09322,19.22754,19.58085,20.21309,20.95690,23.11396,24.21108,24.63877,25.02927,26.74004,27.79997,27.96733,28.74833,29.10164,29.10164,29.10164,29.10164,29.10164,29.10164,29.49214,29.65950,30.01281,29.77107,29.38057,29.38057,29.13883,29.26900,28.99007,29.54793,29.75248,29.75248,29.75248,29.65950,29.62231,29.64090,29.54793,29.54793,29.54793,29.06445,29.64090,28.85990,28.24626,27.91154,27.85576,27.91154,27.26071,26.33094,25.86606,25.53134,23.44867,22.23998,21.66352,21.04988,21.04988,20.39904,20.13871,19.98995,19.30192,19.30192,18.87423,18.52092,18.52092,17.79570,17.60975,17.60975,17.60975,17.60975,17.60975,17.60975,17.05189,16.79155,16.79155,16.79155
2021,Dalley St 132_11kV,09MAY2020,MW,16.79155,16.79155,16.79155,16.79155,16.79155,16.62420,16.02915,16.02915,16.02915,16.02915,16.02915,16.02915,16.02915,16.02915,16.02915,16.02915,16.02915,16.02915,16.02915,16.02915,16.02915,16.02915,16.02915,16.02915,16.64279,16.92172,16.92172,16.92172,16.92172,16.92172,17.31222,17.70272,17.70272,18.22339,18.48373,18.48373,19.30192,19.41349,19.41349,19.41349,19.41349,19.41349,19.41349,19.41349,19.41349,19.72961,20.21309,20.21309,20.21309,20.21309,20.21309,20.21309,20.21309,20.21309,19.58085,19.33911,19.33911,19.33911,19.52506,19.37630,19.37630,19.19035,18.52092,18.52092,18.52092,18.52092,18.52092,18.52092,18.52092,18.52092,18.52092,18.52092,18.52092,18.52092,17.70272,17.68413,17.68413,17.68413,17.68413,17.68413,17.68413,17.68413,17.34941,17.40520,17.08908,16.71717,16.71717,16.71717,16.71717,16.71717,16.71717,16.71717,16.71717,15.91757,15.88038,15.88038
2021,Dalley St 132_11kV,10MAY2020,MW,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,15.88038,16.01055,16.73577,16.73577,16.73577,16.73577,16.73577,16.73577,16.73577,16.73577,17.29363,17.70272,17.70272,17.98165,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.85149,17.51677,17.57256,17.57256,17.57256,17.57256,17.57256,16.97751,17.03329,17.03329,17.03329,17.03329,17.03329,17.03329,17.03329,17.03329,17.03329,17.03329,17.03329,17.03329,17.03329,16.90313,16.21510
