year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Dee Why West 33_11kV,01MAY2020,MW,14.49681,14.03157,13.51051,12.91500,13.90131,13.73382,13.30580,12.89639,12.30089,11.96592,11.74260,11.50068,11.50068,11.20293,11.14710,11.14710,11.14710,11.25875,11.33319,11.57512,11.83565,12.30089,12.72891,13.49190,14.44098,15.44589,16.20888,16.82300,17.71626,18.59090,19.26084,19.61443,19.93079,20.22854,20.35881,20.22854,19.68886,19.33528,19.03753,18.44203,18.03262,17.88374,17.88374,17.51155,17.73486,17.51155,17.04631,16.95327,16.93466,17.47433,18.10706,18.64673,17.93957,17.19519,16.97187,16.67412,16.65551,17.21380,16.89744,17.06492,17.47433,17.71626,18.31176,18.64673,19.11197,20.19132,21.17762,22.14532,22.31280,23.89461,25.66252,26.96518,27.63513,27.78400,27.44903,27.03962,26.33246,25.68113,25.02979,24.09932,23.61547,23.33633,24.30402,23.39216,22.42446,21.62425,21.34511,20.09827,19.91218,19.67025,19.03753,18.34898,18.73978,17.56738,17.06492,16.35776
2021,Dee Why West 33_11kV,02MAY2020,MW,15.74365,14.94344,14.31071,13.93852,14.92483,14.72012,13.99435,13.56633,13.17553,12.84056,12.26367,11.92870,11.63095,11.61234,11.46346,11.37041,11.37041,11.37041,11.37041,11.33319,11.59373,11.76121,11.79843,12.24506,12.65447,13.26858,13.67799,14.70151,15.44589,15.98557,16.56247,16.84161,17.36267,17.75347,17.90235,18.34898,18.12566,18.25593,18.14427,17.93957,17.97679,17.51155,17.15797,17.00909,16.58108,16.58108,16.13445,16.00418,15.98557,15.91113,15.81809,15.89252,16.07862,16.09723,16.22749,16.04140,15.96696,16.11584,16.28332,16.50664,16.89744,17.06492,17.62321,18.14427,18.57229,19.27945,20.24715,21.53121,22.49890,24.11793,25.84861,26.98379,27.15128,27.15128,26.85353,26.07193,25.43920,24.82509,24.17376,23.48520,22.90831,22.27559,23.50381,22.46168,21.43816,20.67517,20.15410,19.57721,19.31667,19.18641,18.27454,17.62321,18.08845,17.06492,16.45081,15.91113
2021,Dee Why West 33_11kV,03MAY2020,MW,15.65060,14.92483,14.32932,13.77104,15.03649,14.73873,13.97574,13.45468,12.93361,12.44976,11.96592,11.92870,11.68677,11.51929,11.37041,11.31458,11.12849,11.05405,11.16571,11.35180,11.35180,11.57512,11.68677,12.00314,12.54281,12.98944,13.51051,14.32932,15.03649,15.59477,16.39498,16.99048,17.32546,17.75347,18.10706,18.27454,18.60951,18.57229,18.23732,17.80930,17.71626,17.41850,16.89744,16.56247,16.33915,15.89252,15.83669,16.02279,15.57616,15.44589,15.42729,15.40868,15.44589,15.42729,15.22258,15.18536,15.27841,15.55755,15.63199,15.92974,16.17167,16.37637,17.06492,17.90235,18.64673,19.46555,20.48907,21.73591,22.25698,24.00627,25.92305,27.35598,27.93288,27.78400,26.98379,26.44412,25.75556,25.04840,24.43429,23.50381,23.05719,22.68500,23.78296,22.75943,21.62425,20.69378,20.45185,19.20502,18.75839,18.46064,17.71626,16.74856,17.12075,16.33915,16.04140,15.31563
2021,Dee Why West 33_11kV,04MAY2020,MW,14.88761,14.34793,13.78965,13.30580,14.29211,14.23628,13.60355,13.00805,12.72891,12.33811,11.92870,11.68677,11.64955,11.37041,11.33319,11.29597,11.29597,11.35180,11.42624,11.68677,11.98453,12.50559,12.97083,13.80826,14.77595,15.72504,16.54386,17.62321,18.59090,19.53999,20.20993,20.71239,21.06597,21.34511,20.93570,20.58212,20.04244,19.63304,19.07475,18.47925,18.14427,17.75347,17.25102,17.06492,16.63690,16.50664,16.22749,16.09723,16.63690,17.28824,17.86513,18.20010,17.56738,17.19519,17.28824,17.26963,16.69273,16.82300,17.43711,17.26963,17.71626,17.71626,17.92096,18.31176,19.07475,20.02383,21.27067,22.70360,23.83878,25.68113,27.82122,29.04945,29.29137,29.57051,28.95640,28.15619,27.30015,26.35107,25.38337,24.63899,23.87600,23.16884,24.32263,23.16884,22.05227,20.87987,20.50768,19.52138,19.13058,18.70256,17.82791,16.63690,17.04631,16.30193,15.74365,15.11092
2021,Dee Why West 33_11kV,05MAY2020,MW,14.70151,14.03157,13.65938,13.17553,14.32932,14.10601,13.71521,13.32441,12.87778,12.35672,11.96592,11.57512,11.51929,11.51929,11.31458,11.27736,11.09127,11.31458,11.35180,11.42624,11.94731,12.41254,12.84056,13.51051,14.86900,15.68782,16.45081,17.49294,18.18149,18.88865,19.89357,21.08458,22.10810,22.53612,21.17762,20.67517,20.93570,20.34020,19.44694,18.73978,18.62812,18.49785,18.23732,18.34898,17.97679,18.44203,17.75347,17.54877,18.01401,18.46064,18.18149,17.86513,17.69765,17.19519,16.59968,16.33915,16.61829,16.87883,16.87883,16.52525,16.84161,17.25102,17.54877,17.84652,18.55368,19.11197,20.11688,21.23345,22.31280,24.06210,25.97888,27.35598,27.97010,28.00732,27.57930,26.89074,25.86722,24.91814,24.19237,23.46659,23.03858,22.12671,23.46659,22.21976,21.28928,20.28437,19.91218,18.94448,18.40481,18.27454,17.45572,16.71134,17.19519,16.13445,15.70643,15.11092
2021,Dee Why West 33_11kV,06MAY2020,MW,14.66430,13.97574,13.56633,13.15693,14.36654,14.18045,13.71521,13.00805,12.52420,12.22645,12.00314,11.81704,11.63095,11.53790,11.27736,11.27736,11.44485,11.50068,11.51929,11.70538,12.09618,12.41254,13.06388,13.67799,14.70151,15.42729,16.37637,17.45572,17.93957,18.96309,19.48416,19.89357,20.07966,20.17271,20.04244,19.37250,18.90726,18.27454,17.88374,17.43711,17.41850,16.71134,16.22749,16.11584,15.89252,15.79948,15.65060,15.76226,15.72504,15.91113,16.26471,15.96696,16.04140,16.00418,15.87391,16.02279,15.74365,15.92974,16.19028,16.17167,16.48803,16.87883,17.21380,17.58599,18.16288,18.85144,19.72608,20.56351,21.32650,23.26189,25.16006,26.40690,26.55577,26.53716,26.07193,25.55086,24.84370,24.21098,23.35494,22.87109,22.27559,21.45677,22.74082,21.77313,20.93570,19.89357,19.55860,18.73978,18.18149,17.93957,17.30685,16.26471,16.74856,15.74365,15.53894,14.86900
2021,Dee Why West 33_11kV,07MAY2020,MW,14.51542,13.73382,13.36163,12.93361,14.01296,13.78965,13.41746,13.04527,12.61725,12.26367,11.87287,11.66816,11.51929,11.48207,11.27736,11.12849,11.35180,11.27736,11.35180,11.57512,11.91009,12.52420,13.00805,13.58494,14.66430,15.53894,16.17167,17.00909,17.77208,18.59090,19.61443,20.48907,20.86126,20.97292,21.12180,21.12180,20.93570,20.32159,20.39603,20.13549,19.55860,19.03753,18.88865,18.79561,18.66534,17.86513,17.47433,17.58599,18.06984,17.95818,17.64182,17.04631,16.61829,16.45081,16.24610,15.94835,16.50664,16.37637,16.43220,16.58108,16.54386,16.45081,16.80439,17.45572,18.12566,18.51646,19.37250,20.63795,21.36372,22.53612,24.30402,25.36476,25.81139,26.01610,25.47642,24.89953,24.35985,23.39216,22.46168,22.07088,21.75452,21.23345,22.66639,21.49399,20.43324,19.46555,19.03753,18.21871,17.99540,17.67904,17.12075,16.32054,16.91605,15.91113,15.52033,14.94344
2021,Dee Why West 33_11kV,08MAY2020,MW,14.44098,13.91991,13.56633,12.98944,14.05018,13.97574,13.45468,13.02666,12.59864,12.13340,11.72399,11.57512,11.31458,11.20293,11.20293,11.05405,11.07266,11.05405,11.12849,11.25875,11.63095,12.15201,12.52420,13.08249,14.12462,14.73873,15.42729,16.20888,16.99048,17.82791,18.16288,18.66534,19.01892,19.16780,19.26084,19.05614,18.53507,18.27454,17.97679,17.47433,17.26963,16.80439,16.56247,16.17167,16.00418,15.81809,15.68782,15.83669,15.72504,15.63199,15.79948,15.68782,15.70643,15.63199,15.68782,15.57616,15.61338,15.52033,15.59477,15.79948,15.94835,16.26471,16.52525,16.89744,17.47433,18.03262,18.60951,19.50277,19.68886,20.84265,22.46168,23.15023,23.22467,23.13162,23.09440,22.49890,21.95922,21.21484,20.71239,20.07966,19.63304,18.96309,20.37742,19.22363,18.59090,17.71626,17.49294,16.80439,16.61829,16.58108,16.33915,15.53894,16.26471,15.55755,15.07370,14.55264
2021,Dee Why West 33_11kV,09MAY2020,MW,14.31071,13.65938,13.04527,12.56142,13.54772,13.54772,13.06388,12.52420,12.15201,11.72399,11.29597,10.97961,10.83074,10.58881,10.58881,10.58881,10.60742,10.55159,10.70047,10.58881,10.64464,10.90517,10.90517,11.07266,11.66816,12.18923,12.31950,13.13832,13.56633,14.34793,15.46450,16.24610,16.39498,16.11584,16.56247,16.69273,17.08353,16.91605,16.45081,16.00418,16.35776,16.24610,16.28332,17.73486,17.43711,17.66043,15.66921,15.57616,14.70151,14.92483,14.77595,14.88761,15.72504,16.00418,15.33424,14.29211,15.39007,16.17167,15.76226,15.27841,15.61338,16.28332,15.96696,16.32054,16.72995,16.80439,17.47433,18.29315,19.03753,20.41463,21.71730,22.36863,22.31280,22.31280,21.94061,21.49399,20.74961,20.20993,19.52138,19.14919,18.62812,18.23732,19.67025,18.60951,17.71626,16.99048,17.10214,16.71134,16.52525,16.48803,16.07862,15.40868,16.17167,15.18536,14.73873,14.36654
2021,Dee Why West 33_11kV,10MAY2020,MW,14.05018,13.49190,12.91500,12.41254,13.54772,13.54772,12.78473,12.33811,11.74260,11.38902,11.10988,10.75630,10.75630,10.73769,10.47716,10.45855,10.27245,10.34689,10.43994,10.53298,10.57020,10.73769,10.81213,10.96100,11.38902,12.05896,12.61725,13.52912,13.91991,14.60847,15.57616,16.22749,17.00909,17.53016,17.75347,18.12566,18.21871,18.33037,18.36759,18.12566,17.62321,17.38128,16.89744,16.54386,16.19028,15.85530,15.52033,15.63199,15.31563,15.31563,15.20397,14.92483,14.88761,14.72012,14.85039,14.66430,14.60847,14.79456,15.01788,15.24119,15.61338,15.72504,16.41359,16.93466,17.66043,18.55368,19.44694,20.58212,21.68008,23.00136,24.52734,25.42059,25.66252,25.94166,25.64391,25.34616,24.86231,24.19237,23.57825,23.00136,22.70360,22.33141,23.61547,22.40585,21.45677,20.45185,20.15410,19.26084,18.73978,18.33037,17.97679,16.80439,17.28824,16.33915,15.91113,15.35285
