year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Drummoyne 132_11kV,01MAY2020,MW,17.71635,17.19163,16.46641,16.02383,15.85690,15.34672,14.94445,14.51431,14.23472,13.91319,13.73978,13.56752,13.47144,13.32957,13.35678,13.19448,13.30669,13.34612,13.40297,13.56243,13.93366,14.14278,14.42903,15.02722,16.10487,16.97058,18.02609,19.07679,19.95424,20.97652,21.93016,22.60851,23.07928,23.67378,24.03738,24.00120,23.37439,22.98762,22.99795,22.79280,22.41379,22.52792,22.62669,21.93335,21.84754,21.81707,21.59818,21.58729,21.76655,21.69386,22.16693,22.47645,22.11076,21.85492,21.96485,21.81375,21.82328,21.85193,21.60393,21.72664,21.81593,21.93572,22.39734,22.84767,23.10913,23.83839,24.84455,25.85974,27.29742,29.16590,31.38541,32.78664,33.49372,34.09635,34.30434,33.98112,33.20606,32.77533,32.08123,31.38800,30.46099,29.57124,29.06883,28.64721,27.80710,27.13672,26.60813,25.57901,24.76766,24.24961,23.39346,22.30912,21.68553,20.94892,20.59229,19.70687
2021,Drummoyne 132_11kV,02MAY2020,MW,19.33567,18.84967,18.04091,17.45562,17.34659,16.65530,16.16450,15.48862,15.14796,14.85613,14.48302,14.30363,14.25500,14.00691,14.07691,14.03692,14.01312,13.99900,14.02546,14.08976,14.24234,14.32078,14.60509,14.81690,15.47455,15.74424,16.49845,17.31839,17.68659,18.39466,19.04772,19.81273,20.77917,21.37398,21.94352,22.24483,22.81817,22.74159,22.62243,22.95292,23.03264,22.71215,22.77309,22.42768,22.05146,21.74298,21.93681,21.76907,21.67971,21.81798,21.72411,21.49231,21.47232,21.33636,21.35444,21.30637,21.44019,21.57402,21.57544,21.77654,22.06209,22.30267,22.50695,22.91908,23.51533,24.28707,24.98662,26.22257,27.68079,29.57695,31.71136,33.11658,33.64820,33.96872,33.62206,33.17224,32.55320,31.74006,31.07503,30.31204,29.33696,28.92252,28.44306,27.92397,27.00181,26.30845,26.04729,25.38855,24.80349,24.25920,23.40262,22.53612,21.79658,21.23302,21.08778,20.29373
2021,Drummoyne 132_11kV,03MAY2020,MW,19.84510,19.14217,18.42826,17.88868,17.65465,16.94900,16.41455,15.88176,15.57215,15.10537,14.88040,14.60257,14.41966,14.34333,14.25190,14.16047,14.09585,13.94926,14.05562,14.13022,14.27280,14.39123,14.65651,14.86472,15.33558,15.75556,16.28616,16.92968,17.68370,18.19635,19.08389,19.75170,20.53557,21.16498,21.67288,22.15865,22.69679,22.78524,22.76000,23.04243,23.20319,22.96240,22.67013,22.39599,22.09557,21.78817,21.62648,21.78511,21.73681,21.55650,21.59219,21.57109,21.50195,21.24905,21.14002,20.96070,20.90840,20.85197,20.84829,20.88600,21.16446,21.51806,21.78597,22.17306,22.77492,23.80976,24.96126,26.27542,27.70595,29.69507,32.14752,33.83387,34.42200,34.63671,34.65699,34.49665,34.02455,33.32169,32.35884,31.60030,30.80368,29.94070,29.06454,28.31955,27.63835,26.62353,25.79724,24.78616,24.06502,23.13945,22.04723,21.10403,20.39915,19.67743,19.39607,18.79256
2021,Drummoyne 132_11kV,04MAY2020,MW,18.49453,18.09734,17.46701,17.02047,16.99630,16.37247,15.73772,15.40048,15.07349,14.64736,14.41217,14.27074,14.09132,14.02710,13.94536,13.90486,14.08498,14.15187,14.17916,14.36425,14.67942,15.08553,15.54618,16.13890,17.00372,17.99336,19.18416,20.58516,21.68630,22.92195,24.00755,24.99089,25.71591,26.47112,26.66259,26.67127,26.29870,25.55305,24.88993,24.49809,23.97091,23.52393,23.24988,22.76264,22.32319,21.97484,21.98143,22.31807,23.27980,23.20304,23.06895,22.89433,22.83291,22.66671,22.40935,22.01360,22.28302,22.53724,22.49601,22.84894,22.69605,23.01375,23.30865,23.91012,24.57260,25.34841,26.40767,28.15591,30.03897,32.59849,34.98503,36.56355,37.69241,37.84222,37.89353,37.57797,36.57131,35.83402,34.73040,33.98756,32.69508,31.77059,30.96120,30.31022,28.99980,28.04199,26.88473,25.57880,24.58773,23.62458,22.54894,21.43235,20.54960,19.79081,19.59996,18.91927
2021,Drummoyne 132_11kV,05MAY2020,MW,18.62318,18.08483,17.37831,16.88069,16.78281,16.21829,15.76250,15.36403,14.94183,14.65237,14.52132,14.34191,14.17835,14.10782,14.09988,13.97871,14.02108,14.15607,14.09719,14.24937,14.63402,14.91629,15.49416,16.13153,17.05198,17.89721,19.08339,20.37014,21.74566,23.00025,24.27103,25.23040,26.08960,26.04545,26.06547,26.10560,25.32822,24.66044,24.27775,24.14345,24.19349,24.47889,24.21869,24.37365,24.74237,24.31745,23.87125,23.16823,22.90350,23.45508,22.89722,22.74007,22.56633,22.42222,21.94447,21.57989,21.23038,21.04740,21.05391,21.24010,21.23930,21.45664,21.83815,22.34279,22.81103,23.62509,24.56407,25.70410,27.32405,29.53201,32.04740,33.78517,34.64232,35.34315,35.33080,35.04398,34.45531,33.41285,32.51682,31.56515,31.13062,30.15269,29.41153,28.74477,27.70857,26.60865,25.84875,24.69623,23.94497,23.34192,22.18691,21.14955,20.33481,19.70766,19.35185,18.64758
2021,Drummoyne 132_11kV,06MAY2020,MW,18.29775,17.79406,17.16510,16.78951,16.63106,16.10574,15.64132,15.15917,14.83380,14.53448,14.25238,14.16613,13.98021,13.86584,13.88815,13.86828,13.95485,13.95611,14.20080,14.44663,14.66545,14.89276,15.36800,15.93936,16.80521,17.84022,18.97896,20.09513,21.36637,22.44433,23.35199,24.12573,24.80490,25.23675,25.33733,25.13880,24.86166,24.26752,23.67710,23.39585,23.07313,22.45857,22.22121,21.92087,21.69935,21.30756,21.15696,21.03046,21.17538,21.33629,21.20381,21.19354,21.09284,20.84367,20.47268,20.24372,19.93318,20.22258,20.17172,20.38367,20.39006,20.69121,21.13858,21.53828,21.91317,22.65114,23.28721,24.37747,25.90713,28.33761,30.40982,31.84310,32.84402,33.48982,33.51834,33.39684,32.84813,31.93502,31.10955,30.33497,29.63151,28.72291,28.02165,27.33294,26.72692,25.87336,25.02525,23.88840,23.23978,22.63483,21.64740,20.59847,19.88431,19.12010,18.99533,18.25919
2021,Drummoyne 132_11kV,07MAY2020,MW,18.06371,17.52234,16.88957,16.53445,16.35046,15.87083,15.37484,14.94519,14.66754,14.37417,14.10394,14.00030,13.89090,13.68197,13.64239,13.71406,13.77323,13.77547,13.99029,14.12373,14.42137,14.74782,15.07056,15.46307,16.56214,17.35649,18.44807,19.42242,20.39008,21.78928,22.84831,23.57428,24.49931,25.23418,25.71292,25.79389,25.54481,25.09233,24.91680,24.43847,24.41602,23.99391,23.53739,23.30621,22.66961,22.05554,22.20045,22.33984,22.33940,22.37201,22.35589,21.76736,21.35828,21.32232,20.90350,20.75552,20.44208,20.36474,20.81907,20.76552,20.42521,20.99145,20.93782,21.65367,22.15921,22.87978,23.72920,24.83918,26.32686,28.02337,30.01380,31.24537,31.95827,32.23525,32.39408,31.90947,31.24172,30.75999,30.10926,29.44704,28.66035,27.76888,27.12380,26.40246,25.80020,24.91615,24.04400,23.30946,22.59720,22.05756,21.21049,20.20946,19.58011,18.85967,18.62761,18.10216
2021,Drummoyne 132_11kV,08MAY2020,MW,17.78077,17.21804,16.58902,16.13744,16.08690,15.56380,15.01814,14.64822,14.22819,13.97305,13.81048,13.64906,13.50623,13.29936,13.40185,13.44054,13.40458,13.60909,13.60301,13.74526,13.98021,14.28300,14.79253,15.23065,15.88376,16.71945,17.72458,18.75105,19.59019,20.47247,21.26811,21.81730,22.44287,22.75959,22.92629,22.95773,22.84993,22.70488,22.08122,21.83105,21.50098,21.24141,20.75775,20.50260,20.27829,20.02516,19.88877,19.91561,19.91874,19.93498,20.19379,20.04114,19.84909,20.03128,19.89712,19.88251,19.70970,19.74807,19.65946,19.87788,20.19511,20.41592,20.56047,21.00642,21.36654,21.69423,22.11340,22.84104,23.87635,25.49466,27.04528,27.97409,28.38723,28.64999,28.67430,28.26399,27.72577,27.05507,26.33727,25.68816,24.88564,24.44376,24.03807,23.46013,23.00007,22.23423,21.98253,21.29290,20.99959,20.56371,19.99913,19.35924,19.00667,18.57806,18.39266,17.81793
2021,Drummoyne 132_11kV,09MAY2020,MW,17.61891,17.10817,16.42128,16.09249,15.83925,15.22989,14.78075,14.30135,14.03406,13.73621,13.51342,13.33020,13.22396,13.06926,13.00894,12.97062,12.98810,12.95306,13.02623,13.00177,13.19342,13.26869,13.50661,13.72005,14.35406,14.84745,15.13979,15.69560,16.25416,16.89418,17.54820,18.08143,18.72290,19.20832,19.79526,20.76309,20.59444,20.62654,20.98518,22.19230,22.58524,21.99399,22.14797,22.14750,22.21325,22.08665,21.13753,20.32262,20.40943,20.35771,20.13065,20.00651,20.65919,20.75910,20.25613,19.39821,19.72513,20.03678,19.89319,20.04153,19.99123,20.15747,20.52538,20.95708,21.33270,21.78967,22.31803,23.20673,24.24644,25.53652,27.15066,28.10956,28.29379,28.47666,28.09041,27.62599,27.05978,26.39475,25.52852,24.84521,24.23519,23.60878,23.09626,22.72293,22.18775,21.70402,21.58600,21.02791,20.71703,20.38879,20.01308,19.23601,18.80560,18.53537,18.57621,18.02573
2021,Drummoyne 132_11kV,10MAY2020,MW,17.83578,17.39047,16.61185,16.28220,16.11105,15.52146,14.98008,14.49853,14.15068,13.82247,13.64656,13.47380,13.34674,13.28703,13.15333,13.09186,13.04421,13.14657,13.03541,13.15333,13.18453,13.31784,13.44437,13.70100,14.44651,14.86390,15.22079,15.83571,16.47270,17.18985,18.11284,18.76908,19.62986,20.24794,21.05462,21.64383,22.29189,22.51303,22.39873,22.50233,22.41299,22.20092,22.28422,22.00059,21.76390,21.69508,21.55163,21.33021,21.06994,20.81034,20.58507,20.50551,20.26767,19.97900,19.65992,19.59549,19.52669,19.52156,19.64826,19.72003,19.96898,20.04379,20.48677,21.13810,21.88827,22.58475,23.32788,24.62751,26.23523,28.36717,30.02918,31.24174,32.01396,32.39575,32.33300,32.16535,31.91411,31.27521,30.79396,30.22797,29.74065,29.13787,28.59008,27.86337,26.96322,26.55125,25.56416,24.57692,23.67440,22.95285,22.06212,21.09640,20.27277,19.63658,19.38616,18.81165
