year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Dulwich Hill 33_11kV,01MAY2020,MW,16.90220,16.40015,15.97249,15.60060,15.00558,14.50354,14.33619,14.09446,13.92711,13.72258,13.48085,13.20194,13.09037,12.92302,12.92302,12.92302,12.92302,13.16475,12.92302,13.16475,13.40648,13.88993,14.18743,14.41057,15.34028,15.67498,16.47453,17.21830,18.29677,18.96616,19.54259,20.47230,20.69543,21.27186,21.73671,21.47639,21.27186,21.04872,20.67684,20.28636,20.34214,20.15620,20.08182,20.04463,19.67275,19.54259,19.74712,19.93307,19.78431,19.44962,19.69134,20.95575,20.24917,19.65415,19.87728,19.44962,19.18930,19.18930,19.24508,19.61696,19.89588,20.23058,20.39792,21.25326,21.73671,22.36892,23.11269,24.24694,25.34400,26.29231,28.05877,29.15583,29.63928,29.78803,29.62069,29.56490,29.21161,28.61660,28.07736,27.57532,27.18484,26.60841,26.32950,25.82745,25.13947,24.93493,25.13947,24.65601,24.71180,24.19116,23.67052,22.75940,21.84828,20.95575,20.11901,19.44962
2021,Dulwich Hill 33_11kV,02MAY2020,MW,18.92898,18.12942,17.23690,16.69766,16.47453,16.02827,15.39606,14.83823,14.39197,14.13165,14.07587,13.72258,13.44366,13.44366,13.46226,13.55523,13.38788,13.36929,13.42507,13.53664,13.31350,13.57382,13.87133,14.05727,14.37338,14.54073,14.61510,15.17293,15.80514,16.28859,16.79063,17.60878,18.18520,18.72444,18.98476,19.39383,20.41652,20.50949,20.11901,20.08182,20.32355,19.87728,19.72853,19.78431,19.63556,19.56118,19.63556,19.61696,19.31946,19.18930,19.46821,19.54259,19.33805,19.20789,19.05914,19.28227,19.56118,19.48680,19.63556,19.69134,19.87728,20.23058,20.54668,21.21607,21.51358,22.38751,23.07550,24.06100,25.21384,26.57122,28.13314,29.39756,29.58350,29.84382,29.82522,29.37896,28.65378,28.37487,27.96580,27.24062,26.92452,26.31090,26.18074,25.73448,25.08368,24.67461,24.78617,24.22835,23.98662,23.89365,23.63333,22.55486,21.88547,20.88138,20.23058,19.24508
2021,Dulwich Hill 33_11kV,03MAY2020,MW,18.53850,18.16661,17.49722,17.16252,16.54891,15.87951,15.48903,15.22871,14.74526,14.33619,14.03868,13.98290,13.62961,13.46226,13.20194,13.36929,13.38788,13.25772,13.20194,13.36929,13.59242,13.83414,13.85274,14.07587,14.59651,14.74526,15.15434,15.37747,15.99108,16.58610,17.23690,17.55300,17.99926,18.76163,19.59837,19.98885,20.13760,20.37933,20.50949,20.45371,20.39792,20.08182,19.95166,19.98885,19.78431,19.91447,20.13760,20.02604,20.02604,20.06323,19.76572,19.57978,19.48680,19.52399,19.56118,19.61696,19.63556,19.54259,19.59837,19.65415,19.76572,20.17479,20.36074,21.03013,21.71812,22.40611,23.01972,23.98662,25.12087,26.70138,28.67238,29.84382,30.77353,30.86650,30.43883,29.88101,29.60209,29.24880,28.72816,28.09596,27.37078,27.03608,26.77576,26.36669,25.77167,25.10228,25.23244,24.47007,24.15397,23.61473,22.88956,21.68093,20.65824,19.91447,18.98476,18.12942
2021,Dulwich Hill 33_11kV,04MAY2020,MW,18.07364,17.46003,16.71626,16.25140,15.93530,15.43325,15.17293,14.78245,14.52213,14.31759,14.18743,13.96430,13.81555,13.62961,13.53664,13.61101,13.70398,13.85274,13.77836,13.79695,14.07587,14.41057,14.83823,15.39606,16.12124,16.92079,17.86910,18.31536,19.35664,20.39792,21.53218,22.48048,22.85237,23.44739,23.63333,23.83787,23.59614,22.92675,22.70361,22.12719,21.77390,21.71812,21.36483,20.84419,20.56527,20.52808,20.95575,22.09000,21.94125,21.12310,21.45780,21.12310,21.16029,20.78840,20.24917,19.70994,19.98885,20.65824,20.69543,21.30904,20.88138,20.82559,21.45780,21.95984,22.27595,23.22425,24.19116,25.49276,27.03608,29.00708,30.66197,31.74043,32.55858,32.74453,32.53999,32.31686,31.53590,31.10823,30.64337,29.71366,29.21161,28.52362,27.94720,27.27781,26.58982,25.95761,25.66010,24.80477,24.61883,24.00521,23.35441,22.10860,20.99294,20.02604,19.24508,18.33396
2021,Dulwich Hill 33_11kV,05MAY2020,MW,18.07364,17.40425,16.97658,16.41875,15.93530,15.35887,14.98699,14.83823,14.41057,14.13165,14.03868,13.72258,13.72258,13.42507,13.31350,13.35069,13.40648,13.59242,13.74117,14.13165,14.44775,14.44775,14.89402,15.48903,16.17702,17.10674,17.55300,18.07364,19.05914,20.11901,20.93716,22.12719,22.64783,22.81518,23.76349,23.94943,23.26144,22.85237,23.03831,23.20566,23.52176,23.18707,22.33173,22.44329,22.74080,22.35032,21.64374,21.08591,21.10451,21.43920,21.51358,21.03013,21.38342,20.39792,19.91447,19.50540,19.50540,19.46821,19.63556,19.63556,19.91447,20.08182,20.50949,20.84419,21.42061,22.09000,22.81518,23.67052,25.23244,27.01749,28.78394,29.82522,30.06695,30.71775,30.99666,30.68056,30.14133,29.56490,29.34177,28.28190,28.07736,27.51953,26.81295,26.36669,25.62292,24.99071,25.00931,24.06100,24.02381,23.76349,23.14988,22.03422,20.84419,19.95166,18.98476,18.42693
2021,Dulwich Hill 33_11kV,06MAY2020,MW,17.98067,17.10674,16.64188,16.25140,15.76795,15.35887,14.80105,14.72667,14.54073,13.98290,13.94571,13.66680,13.64820,13.62961,13.48085,13.44366,13.72258,13.72258,13.72258,13.94571,14.15025,14.50354,15.11715,15.52622,16.10265,16.88361,17.70175,18.42693,19.22648,20.45371,21.34623,22.22016,22.90815,23.14988,23.24285,23.09409,22.74080,22.29454,21.99703,21.86687,21.19748,21.06732,20.76981,20.47230,20.17479,20.08182,19.65415,19.56118,19.43102,19.78431,20.11901,19.98885,19.69134,19.54259,18.78022,18.61287,18.70584,18.65006,18.74303,18.91038,18.98476,19.11492,19.85869,20.19339,20.76981,21.10451,21.81109,22.94534,24.22835,25.95761,27.50094,28.74676,29.73225,29.84382,29.76944,29.17442,28.67238,28.59800,28.00298,27.50094,27.18484,26.38528,26.18074,25.86464,24.84196,24.19116,24.32132,23.70771,23.52176,23.18707,22.51767,21.29045,20.45371,19.44962,18.70584,17.94348
2021,Dulwich Hill 33_11kV,07MAY2020,MW,17.40425,16.73485,16.21421,15.78654,15.26590,14.89402,14.67089,14.41057,13.90852,13.85274,13.85274,13.64820,13.64820,13.20194,13.16475,13.29491,13.27632,13.03459,13.25772,13.59242,13.83414,14.13165,14.26181,15.13574,15.74935,16.64188,17.25549,17.70175,18.70584,19.46821,20.43511,21.66234,22.01563,23.00112,23.52176,23.46598,23.22425,22.61064,22.44329,22.31313,22.40611,22.49908,22.03422,21.51358,21.03013,20.62106,20.86278,20.69543,20.60246,20.73262,20.88138,20.00744,19.76572,19.72853,19.30086,18.57568,18.35255,18.65006,19.13351,19.04054,19.17070,19.65415,19.44962,20.17479,20.52808,21.30904,22.20157,23.22425,24.00521,25.41838,27.18484,28.28190,28.50503,28.74676,28.67238,28.31909,27.77985,27.27781,27.01749,26.51544,26.16215,25.45557,24.95352,24.32132,23.78208,23.54036,23.57755,22.79659,22.57345,21.99703,21.71812,20.73262,19.76572,18.89179,18.24099,17.44143
2021,Dulwich Hill 33_11kV,08MAY2020,MW,17.08814,16.47453,15.73076,15.39606,15.32169,14.76386,14.28041,13.92711,13.62961,13.49945,13.23913,13.05318,12.92302,12.99740,12.92302,12.92302,12.92302,12.92302,13.05318,13.38788,13.81555,13.85274,14.35478,14.78245,15.48903,15.91670,16.45594,17.06955,17.85051,18.78022,19.63556,20.19339,20.49090,20.95575,21.01154,20.91856,20.78840,20.63965,20.26776,19.91447,19.84010,19.46821,19.13351,19.02195,18.78022,18.59428,18.63147,18.78022,19.11492,19.09632,19.05914,19.26367,18.92898,18.63147,18.18520,18.03645,18.05504,18.18520,18.53850,18.66866,18.81741,19.04054,19.18930,19.56118,19.97026,20.32355,21.04872,21.90406,22.72221,24.00521,25.15806,25.88324,25.95761,26.27372,26.18074,25.62292,24.99071,24.41429,24.15397,23.37301,23.13128,22.64783,22.23876,21.82968,21.47639,21.12310,21.32764,20.88138,20.84419,20.63965,20.45371,19.85869,19.24508,18.46412,18.07364,17.27409
2021,Dulwich Hill 33_11kV,09MAY2020,MW,16.88361,16.43734,15.74935,15.58201,14.98699,14.42916,14.24322,13.98290,13.55523,13.31350,13.14616,12.97881,12.77427,12.69989,12.69989,12.69989,12.69989,12.69989,12.79286,12.75568,12.97881,12.97881,13.22053,13.49945,13.77836,14.05727,14.11306,14.39197,15.06137,15.50763,16.13983,16.32578,16.73485,17.81332,18.01786,18.78022,18.92898,18.78022,19.00335,20.60246,21.43920,20.84419,20.49090,20.49090,20.17479,19.82150,18.61287,18.38974,18.35255,18.18520,18.12942,18.18520,19.07773,19.67275,19.74712,17.98067,17.79472,18.24099,18.74303,18.61287,18.37115,19.00335,18.91038,19.30086,19.61696,20.21198,20.84419,21.45780,22.16438,23.28004,24.61883,25.00931,25.19525,25.23244,25.34400,25.04649,24.32132,23.74489,23.11269,22.66643,22.18297,21.66234,21.34623,20.76981,20.50949,20.30495,20.60246,20.11901,20.10042,20.23058,20.06323,19.20789,18.55709,18.03645,17.77613,16.99517
2021,Dulwich Hill 33_11kV,10MAY2020,MW,16.45594,15.91670,15.50763,15.34028,14.83823,14.20603,13.83414,13.57382,13.27632,13.10897,13.10897,12.84865,12.83005,12.83005,12.66270,12.55114,12.56973,12.53254,12.69989,12.45817,12.56973,12.97881,13.22053,13.33210,13.38788,13.74117,14.11306,14.54073,15.04277,15.82373,16.40015,16.93939,17.32987,17.96207,18.72444,19.26367,19.63556,19.74712,19.74712,19.89588,19.57978,19.84010,19.84010,19.46821,19.41243,19.04054,18.79882,18.65006,18.74303,18.57568,18.48271,18.12942,17.90629,17.92488,17.72035,17.72035,17.73894,17.68316,17.83191,18.25958,18.29677,18.61287,18.85460,19.31946,20.43511,20.73262,21.68093,22.49908,23.29863,24.91633,26.53404,27.81704,28.20752,28.59800,28.46784,28.31909,28.52362,28.13314,27.81704,27.31500,27.11046,26.53404,25.86464,25.51135,24.74899,24.63742,24.80477,24.11678,23.65192,23.07550,22.40611,21.43920,20.56527,19.67275,18.87319,18.12942
