year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Edgeworth 33_11kV,01MAY2020,MW,7.94339,7.60057,7.37379,7.31611,7.07315,6.72858,6.46957,6.39869,6.01409,5.77744,5.57329,5.37925,5.27105,5.16875,5.03772,5.04241,5.09104,5.06015,5.20559,5.34588,5.46752,5.55310,5.74771,6.05688,6.37683,6.75847,7.10634,7.21903,7.11208,6.95094,6.83247,6.62007,6.28318,6.00989,5.65191,5.28789,5.01796,4.70782,4.24212,3.84485,3.44532,3.67261,4.02094,4.08665,3.74716,3.26097,3.28962,3.26101,3.82094,3.24718,3.11517,3.32153,2.79966,2.84196,3.01931,3.02867,3.05227,3.36431,3.92063,4.38542,4.91621,5.39925,5.64766,6.40687,6.74407,7.30490,7.98196,8.80318,9.64428,10.38376,11.18407,11.63891,11.71528,11.76153,11.65404,11.52906,11.27297,11.09023,10.74887,10.62151,10.44083,10.17632,9.97702,9.76059,9.56920,9.36395,9.24104,8.96168,9.40069,9.18748,8.88733,8.58265,9.00303,8.74222,8.71546,8.71131
2021,Edgeworth 33_11kV,02MAY2020,MW,8.65968,8.35849,8.05181,7.80797,7.40633,7.03733,6.60082,6.17939,6.36913,6.11184,5.89624,5.71969,5.50766,5.45948,5.34507,5.31472,5.17376,5.15309,5.12519,5.16471,5.28211,5.37904,5.48139,5.68803,5.88495,6.05656,6.24093,6.51225,6.55451,6.80165,6.67780,6.57139,6.47701,6.10835,5.86720,5.88410,5.50907,4.96503,4.61730,4.30155,3.94573,3.66359,3.47841,3.26484,3.11641,2.90511,2.77613,2.73585,2.71287,2.69532,2.68981,2.85258,2.81653,2.76708,2.93889,3.08431,3.24084,4.17242,5.14857,4.14538,4.66506,5.03027,6.21532,6.98618,6.86287,7.12087,7.88666,8.50714,9.16104,9.95791,10.62727,10.96358,10.99664,10.82996,10.63820,10.33569,10.07340,9.93934,9.56871,9.21510,8.92749,8.82636,8.65231,8.46234,8.41848,8.23219,8.72682,8.42109,8.19036,7.84841,7.77546,7.47662,8.04403,7.82480,7.35060,7.21134
2021,Edgeworth 33_11kV,03MAY2020,MW,7.23385,6.82093,6.68322,6.85617,6.38382,6.04672,5.79845,5.55822,5.55069,5.40016,5.20136,5.19008,5.06401,4.94336,4.90072,4.89035,4.92367,4.93764,4.97032,5.06846,5.10575,5.15304,5.23394,5.41687,5.65464,5.80710,5.95325,6.21944,6.16394,6.10647,6.10672,6.11960,6.06016,5.88620,5.75206,5.47761,5.25593,4.90606,4.52743,4.19418,4.01243,3.74053,3.50920,3.30443,3.07771,3.03685,2.82365,2.76796,2.87416,2.91894,3.00276,2.71904,3.14870,3.13137,3.31135,3.39026,3.24321,3.41302,4.38010,4.24043,5.25565,5.18831,5.69332,6.87315,7.07056,7.45331,8.01765,8.51123,9.22915,10.07826,10.78771,10.98781,10.99621,10.89820,10.55009,10.40433,10.25938,10.03904,9.79721,9.53026,9.34552,9.19568,9.10723,8.90805,8.66935,8.54367,8.96407,8.53875,8.23412,7.90355,7.94830,7.57708,8.14792,7.78339,7.29039,7.19228
2021,Edgeworth 33_11kV,04MAY2020,MW,7.07901,6.85165,6.82587,6.89739,6.53269,6.09903,5.92233,5.84246,5.62830,5.51219,5.38921,5.32468,5.21930,5.15762,5.02356,5.03221,5.10740,5.06590,5.26586,5.51116,5.73998,5.81992,6.08261,6.39745,6.80772,7.28451,7.73318,7.94007,8.04681,8.11640,7.96061,7.63413,7.29904,6.99978,6.39722,5.91935,5.40532,4.95107,4.50773,3.98386,3.67169,3.36677,2.96443,2.82946,2.66359,2.53336,2.44861,2.48492,3.22469,2.74416,3.42837,3.15300,3.52508,2.91983,2.74927,2.85812,2.91472,3.17683,3.48745,3.73695,4.14024,4.48257,4.99175,5.46860,6.11083,6.82542,7.73871,8.56923,9.43585,10.28712,11.06405,11.22741,11.13327,10.92635,10.74411,10.59150,10.31732,10.16288,9.87752,9.67326,9.46329,9.17476,8.89566,8.78649,8.56585,8.41686,8.34237,8.15560,8.60176,8.31569,8.02157,7.59134,7.94382,7.74568,7.71972,7.76666
2021,Edgeworth 33_11kV,05MAY2020,MW,7.88493,7.53329,7.29974,7.32211,7.00792,6.57436,6.34270,6.30647,6.03132,5.77465,5.54966,5.36596,5.31197,5.19833,5.05622,4.94010,4.96836,4.92115,5.05870,5.20944,5.35291,5.57945,5.77735,5.95395,6.26817,6.58178,6.87991,6.96765,6.65170,6.84227,7.01970,7.38635,7.53409,6.77928,5.80063,4.92303,5.29333,6.13064,5.87871,4.40593,3.93122,3.87574,3.51049,4.45299,5.59449,6.34994,6.03319,5.39220,5.32603,6.04079,5.81042,5.93884,5.76705,5.20283,5.34148,5.34564,3.88477,4.70144,5.48601,5.59167,5.34138,5.86765,6.59803,7.20156,7.43336,7.83513,8.54610,9.21067,9.76632,10.62863,11.29942,11.39645,11.15752,10.91602,10.67623,10.44102,10.07916,9.95435,9.65038,9.39612,9.21841,9.01975,8.74329,8.53693,8.41511,8.17000,8.12205,7.86533,8.39258,8.13507,7.78827,7.60402,8.02906,7.78209,7.83874,7.93416
2021,Edgeworth 33_11kV,06MAY2020,MW,7.98444,7.61062,7.40837,7.34455,6.89293,6.53263,6.36934,6.42132,6.19625,5.85986,5.59915,5.40623,5.22588,5.12556,5.01653,4.93116,4.94226,4.89794,5.05927,5.22430,5.37627,5.59743,5.77703,6.02934,6.29579,6.63948,6.89900,6.99478,6.84764,6.84799,6.52657,6.22059,5.87840,5.49602,5.01296,4.64580,4.30557,3.84861,3.54247,3.28155,2.93635,2.68049,2.58552,2.41448,2.31352,2.17458,2.10946,2.11659,2.07836,2.08663,2.03593,2.20995,2.20299,2.16816,2.27262,2.44482,2.50864,2.76663,3.02493,3.35623,3.68167,4.05055,4.51351,5.05777,5.59544,6.20094,6.81791,7.59719,8.43305,9.22305,9.83143,10.08181,10.09407,9.91415,9.73658,9.58996,9.38671,9.29931,9.05592,8.87013,8.61703,8.37024,8.18804,8.00660,7.80408,7.62573,7.64146,7.49725,8.09036,7.86573,7.57363,7.32799,7.78698,7.55032,7.59579,7.64639
2021,Edgeworth 33_11kV,07MAY2020,MW,7.69815,7.32496,7.19810,7.23847,6.83545,6.48909,6.24746,6.29279,5.96153,5.62807,5.48330,5.25843,5.12584,5.00169,4.96280,4.88115,4.91141,4.92602,5.00767,5.16589,5.29445,5.40101,5.71768,5.96789,6.33613,6.66787,7.00807,6.96147,6.66494,6.54681,6.50330,6.34167,6.10457,5.76481,5.78890,5.64419,5.24158,4.97027,4.78334,4.78415,4.61381,3.80568,3.98915,3.76554,3.56231,3.57466,4.03564,4.30254,4.38699,4.24011,4.00579,3.85346,3.51528,3.88750,3.85288,4.11115,3.81522,4.33568,3.95996,4.14579,5.24952,5.07781,5.59152,5.88391,5.99307,6.32187,7.05606,7.78014,8.36926,9.15139,9.76179,9.88439,9.79027,9.75103,9.50680,9.38366,9.12485,9.01246,8.82465,8.71845,8.49896,8.32825,8.12804,7.96009,7.69888,7.55046,7.51489,7.34581,8.03611,7.77572,7.61172,7.35552,7.83217,7.49121,7.54265,7.57916
2021,Edgeworth 33_11kV,08MAY2020,MW,7.60831,7.26053,7.18717,7.17960,6.79553,6.47602,6.29672,6.19331,5.87604,5.61489,5.35582,5.20641,5.05367,4.92065,4.92507,4.85806,4.83560,4.87327,5.01530,5.10982,5.32771,5.55228,5.69249,5.86113,6.22878,6.43155,6.68429,6.80517,6.68248,6.65640,6.44810,6.18191,5.83964,5.46456,5.11100,4.65363,4.30087,3.81100,3.49824,3.19698,2.91210,2.67862,2.51701,2.37132,2.14723,2.05938,2.00340,2.03129,2.15576,2.19898,2.21215,2.29510,2.28916,2.35853,2.49593,2.60077,2.84420,3.03767,3.24911,3.60250,3.94733,4.30742,4.71917,5.16703,5.65257,6.10366,6.66880,7.20804,7.63620,8.06355,8.66089,8.85194,8.81644,8.72621,8.52427,8.31203,8.18119,8.06655,7.87003,7.69305,7.50359,7.34690,7.24386,7.12744,6.96796,6.92597,6.96292,6.87282,7.56533,7.34688,7.14176,6.85933,7.41510,7.16958,7.36099,7.44475
2021,Edgeworth 33_11kV,09MAY2020,MW,7.40006,7.13205,6.88922,6.83703,6.58258,6.21529,5.86257,5.65629,5.75907,5.53587,5.32906,5.06126,4.93265,4.83210,4.73731,4.72072,4.72109,4.67675,4.69172,4.74989,4.86611,4.91390,4.94849,5.04975,5.23865,5.46514,5.61494,5.77172,5.85999,6.05699,5.94106,5.85567,5.37495,6.53539,6.23641,5.45065,5.80012,6.37761,4.47590,4.24180,5.05431,5.37252,4.38542,3.03702,2.77697,2.60218,3.03854,5.03229,4.82477,3.08938,3.74565,5.22037,4.23162,5.38664,5.74050,5.91751,6.12200,6.28191,6.40256,6.49712,6.56934,6.95346,7.22001,7.12925,6.99656,7.04785,7.17610,7.65406,8.10702,8.75145,9.32808,9.45109,9.23836,9.07298,8.83940,8.60279,8.44431,8.40540,8.16592,7.95918,7.87028,7.64049,7.59657,7.43677,7.39774,7.25085,7.76304,7.51006,7.39551,7.15014,7.16492,6.94264,7.46721,7.24391,6.91599,6.78580
2021,Edgeworth 33_11kV,10MAY2020,MW,6.77431,6.39990,6.36029,6.44537,5.96220,5.62933,5.38958,5.15467,5.30079,5.07912,4.91160,4.86213,4.78152,4.74184,4.69689,4.73035,4.72286,4.72865,4.73522,4.83003,4.85826,4.84059,4.92705,4.99907,5.25060,5.57274,5.73004,5.97964,6.07079,6.15768,6.14961,6.12379,6.10023,5.97033,5.82376,5.59476,5.23363,4.92634,4.77244,4.33116,4.09345,3.86082,3.55033,3.28916,3.01530,2.87166,2.77907,2.71680,2.70624,2.65837,2.51866,2.49628,2.54855,2.57764,2.64177,2.82411,2.99963,3.20699,3.40956,3.63892,3.97597,4.48572,4.89917,5.53790,6.19173,6.86798,7.59943,8.33592,9.06238,10.04153,10.74541,10.95005,11.08377,10.97837,10.82854,10.78599,10.66416,10.74675,10.52157,10.37315,10.31374,10.09948,9.88450,9.60912,9.49669,9.18717,9.50182,9.03223,8.65167,8.25109,8.20195,7.81804,8.36663,8.02956,7.59038,7.52459
