year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Empire Bay 66_11kV,01MAY2020,MW,6.44374,7.42923,6.98113,6.40759,5.89560,5.66424,6.08339,5.49464,4.90524,4.47515,4.06869,3.77080,3.58223,3.28423,3.30680,3.11040,3.11522,3.01216,3.01688,3.08893,3.21684,3.35124,3.39775,3.61537,3.84191,4.23477,4.62100,4.73643,4.52961,4.64008,4.78734,4.79070,4.75575,4.78800,4.88629,4.65888,4.51956,4.20665,3.93892,3.74668,3.47954,3.49426,3.23696,3.14498,2.89174,2.80791,2.65908,2.87797,2.90492,2.78653,2.81251,3.42893,3.60513,2.89967,2.76173,2.68687,2.99420,2.98807,3.00214,3.30172,3.27177,3.45807,3.73036,4.16866,4.44931,4.82972,5.33669,5.77210,6.20790,6.90083,7.57084,7.92955,8.11065,8.25947,8.08635,8.07161,7.71255,7.46831,7.32927,7.12478,7.29420,6.92300,6.97508,6.70427,6.77778,6.32824,6.03587,5.88361,5.80989,6.63261,6.92779,6.43937,7.10765,6.83508,7.64147,7.15048
2021,Empire Bay 66_11kV,02MAY2020,MW,6.89670,8.10023,7.47881,6.84544,6.29918,5.95016,6.29235,5.73294,5.09571,4.60962,4.22745,3.85657,3.61227,3.44593,3.35636,3.27265,3.18219,3.14378,3.18968,3.13418,3.02994,3.10344,3.09276,3.23588,3.43112,3.62944,3.91950,4.08092,3.89756,4.16406,4.20165,4.23400,4.43839,4.45248,4.47935,4.46133,4.38567,4.22566,4.11284,3.92548,3.82183,3.64779,3.39300,3.26831,2.98913,2.90465,2.77718,2.64856,2.67718,2.61870,2.68303,2.61405,2.69389,2.58128,2.74131,2.72306,2.78004,3.03643,2.99292,3.17852,3.42623,3.64058,3.89753,4.21326,4.58461,4.85056,5.28930,5.78414,5.94742,6.77635,7.27862,7.59101,7.61127,7.60076,7.67657,7.50280,7.22433,6.95888,6.84471,6.65011,6.90173,6.41132,6.58585,6.21785,6.39860,5.82322,5.59136,5.35518,5.30363,6.17059,6.49513,6.22475,6.88845,6.59568,7.45226,7.04310
2021,Empire Bay 66_11kV,03MAY2020,MW,6.81722,7.84202,7.30971,6.66370,6.21002,6.05830,6.43367,5.78227,5.30617,4.77268,4.34591,4.02106,3.88671,3.56070,3.39638,3.22906,3.18395,3.10710,3.11206,3.15990,3.10282,3.05784,3.12148,3.26626,3.34852,3.52358,3.90290,4.15962,4.04988,4.21688,4.30712,4.43147,4.61301,4.70506,4.73095,4.71743,4.75150,4.41823,4.26842,4.18781,3.90582,3.82722,3.59982,3.29596,3.13541,3.04194,2.87760,2.81965,2.73394,2.81659,2.72613,2.67859,2.58901,2.66247,2.60890,2.75464,2.81589,3.05098,3.03850,3.16359,3.40151,3.60023,3.76968,4.01045,4.28373,4.73603,5.09926,5.70501,5.91089,6.53012,7.14382,7.53906,7.68416,7.66839,7.57030,7.39688,7.14898,6.84131,6.56242,6.35991,6.67980,6.24711,6.48028,6.11686,6.22473,5.76181,5.53252,5.18738,5.03957,5.83601,6.23031,5.86146,6.70033,6.43799,7.18874,6.83940
2021,Empire Bay 66_11kV,04MAY2020,MW,6.84658,7.78781,7.33157,6.79786,6.39527,6.16106,6.60680,6.01408,5.44933,4.88251,4.42482,4.11476,3.75969,3.60336,3.43402,3.25926,3.26352,3.10600,3.13515,3.19156,3.32240,3.34745,3.51331,3.74077,4.14439,4.51859,4.92610,5.21832,4.83946,5.16220,5.24065,5.25289,5.30508,5.17670,4.91568,4.69434,4.48131,4.30054,3.96450,3.73450,3.59825,3.17303,3.03736,2.83523,2.65719,2.52979,2.49532,2.41358,2.36054,2.33941,2.22443,2.23853,2.28161,2.29312,2.34371,2.28909,2.46907,2.53628,2.60289,2.59797,2.88188,3.18247,3.57647,3.88169,4.31359,4.59851,5.16867,5.69194,6.20426,6.94842,7.60804,7.97608,8.02920,8.03462,7.80204,7.51968,6.97192,6.72881,6.53696,6.28649,6.61609,6.21843,6.40817,6.05382,6.07113,5.55257,5.24075,4.91076,4.93944,5.75960,6.03636,5.64921,6.39397,6.16619,6.95467,6.58668
2021,Empire Bay 66_11kV,05MAY2020,MW,6.55308,7.57685,7.07132,6.48068,6.08621,5.95061,6.20059,5.62789,5.11787,4.55286,4.07879,3.80108,3.65387,3.37632,3.20463,3.09271,3.05069,3.03270,3.00392,3.13281,3.15050,3.13049,3.26398,3.49507,3.74024,4.12869,4.47268,4.61446,4.33616,4.53055,4.67978,4.64234,4.91907,5.05723,5.21891,5.45096,5.34156,5.18027,5.37229,5.43608,5.07311,5.01671,4.89901,4.86168,4.52842,4.64957,4.53170,4.22997,3.96778,3.38835,3.39976,3.38384,2.94396,2.56503,2.45684,2.51023,2.62044,2.68358,2.71504,2.85344,3.02646,3.30692,3.47857,3.75197,3.89360,4.21540,4.60071,4.95320,5.50233,6.16426,6.78500,7.23304,7.41279,7.35082,7.11960,6.79120,6.59503,6.27060,6.02436,5.74180,6.15562,5.81157,5.87186,5.47840,5.64417,5.23703,4.93769,4.63197,4.65830,5.56749,5.87663,5.52403,6.31375,6.02142,6.93271,6.50291
2021,Empire Bay 66_11kV,06MAY2020,MW,6.54038,7.52721,6.93249,6.27099,5.80707,5.68658,5.94500,5.38281,5.08525,4.46182,4.04650,3.73046,3.43448,3.31714,3.18587,3.10065,3.05790,3.08653,2.95426,3.04152,3.16229,3.22024,3.26649,3.55930,3.94553,4.27603,4.53005,4.73517,4.33822,4.57917,4.53602,4.48314,4.54420,4.45533,4.23415,4.15847,3.88012,3.69047,3.48413,3.21291,2.96044,2.87693,2.55431,2.45861,2.25938,2.18650,2.10944,2.09754,2.11112,2.09641,2.07009,2.06974,2.03101,2.07365,2.10322,2.14708,2.23604,2.29613,2.45720,2.65784,2.67961,2.88356,3.19470,3.47487,3.70655,3.91653,4.25966,4.73398,5.05247,5.68611,6.30905,6.56141,6.79794,6.75658,6.73618,6.52088,6.28373,6.03097,5.88028,5.62850,5.91527,5.49919,5.78280,5.38162,5.65599,5.21279,4.92122,4.67081,4.75389,5.66259,6.07809,5.65626,6.37768,6.09406,6.85332,6.50528
2021,Empire Bay 66_11kV,07MAY2020,MW,6.43957,7.51230,6.95538,6.34083,5.95143,5.78145,6.02949,5.54502,4.95261,4.47368,3.96724,3.67092,3.51706,3.25719,3.14462,3.18730,3.07962,3.03584,3.06993,3.12804,3.13010,3.16134,3.33531,3.60822,3.88606,4.27846,4.57714,4.80514,4.32620,4.37409,4.49014,4.59676,4.60493,4.67833,4.79716,4.79411,4.72933,4.54708,4.31295,4.07599,3.86528,3.76775,3.71699,3.59638,3.37064,3.21367,3.08365,2.99909,2.98000,2.73274,2.65138,2.94260,2.64832,2.39243,2.32646,2.50397,2.93149,2.49484,2.58710,2.65300,2.73867,2.94969,3.13027,3.47239,3.73196,4.01477,4.44445,4.68069,5.03361,5.57524,6.14182,6.48001,6.55378,6.72234,6.48129,6.23038,6.09161,5.69458,5.69653,5.40796,5.76686,5.39837,5.68431,5.28454,5.43793,5.02664,4.68251,4.46670,4.60467,5.44887,5.82760,5.44798,6.28605,6.05406,6.75618,6.36184
2021,Empire Bay 66_11kV,08MAY2020,MW,6.26171,7.41585,6.89485,6.28787,5.84267,5.79130,5.89494,5.42634,4.95659,4.39803,3.97373,3.68916,3.41781,3.28056,3.11645,3.06622,3.00673,2.95684,2.93521,3.04234,3.08677,3.06493,3.20860,3.38364,3.67879,3.99731,4.33049,4.42483,4.04560,4.28102,4.15928,4.11634,4.20640,4.11268,4.01036,3.85506,3.60835,3.39727,3.25394,2.94321,2.79421,2.65276,2.41391,2.32522,2.13208,1.96753,1.99147,2.00421,2.03022,1.93872,2.02736,2.03691,2.04112,2.09110,2.07572,2.14885,2.24128,2.25495,2.49135,2.60747,2.83647,2.97297,3.15907,3.31639,3.60717,3.88755,4.12761,4.38400,4.52349,4.92810,5.46311,5.72816,5.96407,5.92175,5.91068,5.61525,5.33573,5.20629,5.03364,4.90070,5.20261,4.95414,5.05748,4.66945,4.99006,4.64550,4.39535,4.25606,4.42508,5.35549,5.83325,5.41830,6.25292,5.92754,6.69077,6.30090
2021,Empire Bay 66_11kV,09MAY2020,MW,6.25724,7.24537,6.76270,6.21176,5.72302,5.59320,5.91325,5.27832,4.69820,4.33703,3.79307,3.47816,3.35018,3.08895,3.04104,2.91908,2.84663,2.82262,2.80029,2.75748,2.75824,2.78819,2.89577,2.93634,3.00819,3.33323,3.54673,3.54519,3.30222,3.29864,3.64901,3.71629,3.87703,3.89615,3.75405,3.78839,3.78229,3.52076,3.44356,3.29619,3.32427,2.98318,2.73445,2.47034,2.97656,3.65221,2.54357,2.64929,2.69235,2.30134,2.35601,2.67800,3.00582,2.29357,3.22070,3.13204,3.39960,3.47043,3.39914,3.73802,3.97389,4.08092,4.14541,4.04077,3.99056,4.10068,4.32518,4.63237,4.89859,5.41588,5.87175,5.98473,6.09786,6.02462,5.95467,5.76931,5.58940,5.34544,5.14855,5.05474,5.36260,4.92776,5.09730,4.77861,5.01689,4.60800,4.47310,4.24226,4.37998,5.32244,5.64421,5.35233,6.27676,5.95862,6.73402,6.33680
2021,Empire Bay 66_11kV,10MAY2020,MW,6.32379,7.44489,6.96973,6.27379,5.89926,5.69060,6.07240,5.35355,4.84568,4.34941,3.99973,3.74724,3.43855,3.27239,3.09854,3.02617,2.95867,2.85709,2.83589,2.81392,2.87210,2.91636,2.93119,3.01348,3.14625,3.36760,3.49384,3.73679,3.61884,3.83376,4.05571,4.29299,4.49082,4.60993,4.64196,4.62432,4.51690,4.38227,4.27995,4.15419,3.93678,3.78630,3.61892,3.48038,3.41620,3.14691,2.91372,2.87104,2.91019,2.75136,2.71966,2.75037,2.71079,2.65681,2.64923,2.57120,2.64460,2.83985,2.85706,3.10987,3.21797,3.48795,3.68885,3.96969,4.28598,4.82801,5.22125,5.52963,6.00179,6.55372,7.09977,7.49088,7.51449,7.43607,7.44891,7.21318,6.98435,6.88497,6.75008,6.61348,6.93366,6.55890,6.81556,6.43080,6.46648,6.02888,5.74712,5.34070,5.23068,6.02143,6.26162,5.93895,6.66849,6.29319,7.04141,6.90275
