year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Engadine 132_11kV,01MAY2020,MW,12.73477,12.32267,11.84849,13.78220,14.30523,15.10264,14.69471,13.67530,12.59169,12.67860,12.42391,11.64042,11.04491,10.30481,9.95298,9.66516,9.33526,8.83488,8.83565,8.65052,8.87872,9.02067,9.34615,9.76523,10.28522,10.78077,11.61390,12.13250,11.64990,12.25225,12.74156,13.01044,13.07883,13.03566,12.91285,12.67426,12.39996,12.07800,11.20450,10.89071,10.53591,10.18718,9.96158,9.74706,9.42772,9.20924,9.09970,8.95778,9.12087,9.44601,9.15570,9.08244,9.53875,10.00575,9.57754,8.96168,9.07783,9.20107,9.79402,9.99557,10.33521,11.50657,11.94286,11.89669,12.45610,13.84358,14.76673,15.94727,16.97194,18.39785,19.70025,20.70928,21.11958,21.25073,21.08127,20.73276,20.19458,19.54292,18.98132,18.57287,18.10445,17.66922,17.13965,16.78917,16.23079,15.53509,15.14990,14.52444,14.52764,14.40229,14.20321,14.07690,15.31746,16.49713,16.57979,16.12995
2021,Engadine 132_11kV,02MAY2020,MW,15.86456,15.24985,14.52605,14.29675,15.40976,15.62292,15.12557,14.03218,13.02703,12.90647,12.57632,11.71512,11.09731,10.21299,9.54229,8.95312,8.54623,8.20542,8.10139,7.98371,8.00109,8.03360,8.05274,8.19502,8.87637,9.02834,9.45783,9.64237,9.53410,10.13126,10.47969,10.74391,11.12724,11.10698,10.91543,11.51856,12.27427,12.91025,13.12265,12.17179,11.26372,10.87943,10.70811,10.43395,9.97662,9.53257,9.26372,9.07918,9.19260,9.18634,9.01038,8.89336,8.88135,8.70092,8.74009,8.88536,8.91971,9.04891,9.32715,9.59620,9.79233,10.25699,10.87929,11.41138,12.04524,12.73165,13.61314,14.75140,16.10099,17.62830,19.13431,20.24123,20.43493,20.32882,19.80569,19.47001,19.01954,18.56390,18.23769,17.85427,17.29423,16.75903,16.35236,16.11982,15.74393,15.12152,14.79953,14.25912,14.34181,14.09697,14.12926,14.05770,15.28219,16.54671,16.57396,16.36644
2021,Engadine 132_11kV,03MAY2020,MW,15.95532,15.36098,14.88524,14.66613,15.65285,15.97426,15.33273,14.48589,13.46361,13.29970,12.86152,12.07429,11.45728,10.45920,9.65329,9.10157,8.64643,8.38587,8.19212,8.07987,7.91824,7.93630,8.03869,8.19499,8.61822,8.93913,9.23997,9.79345,9.56577,10.08575,10.68514,11.13896,11.52098,11.83468,11.80164,11.89278,11.83868,11.63680,11.35590,11.01486,10.53866,10.14537,9.88477,9.42915,8.99763,8.68481,8.58825,8.46383,8.52727,8.37124,8.40006,8.15656,8.13821,8.13550,8.02241,7.94723,8.15410,8.36792,8.63073,8.77620,8.88774,9.31500,9.71645,10.08241,10.73444,11.51098,12.47000,13.45308,14.62587,16.19944,17.81367,18.96586,19.11940,19.15790,18.80335,18.37615,17.85822,17.34018,16.93726,16.50823,16.02559,15.64716,15.29407,14.79742,14.27278,13.63637,13.25421,12.70233,12.79074,12.61268,12.64228,12.57167,13.86503,15.21598,15.32678,15.19075
2021,Engadine 132_11kV,04MAY2020,MW,15.09051,14.58047,14.14014,14.08723,15.07756,15.49337,14.94287,13.96347,13.04138,13.07700,12.75905,12.03247,11.33391,10.51214,9.79687,9.10442,8.67267,8.44719,8.34318,8.40065,8.58029,8.83911,9.13057,9.59105,10.22073,11.09292,11.98530,12.40351,11.82831,12.37540,12.76367,12.95235,13.10242,13.02756,12.77678,12.40580,12.10302,11.47704,10.85301,10.18904,9.70829,9.34441,9.00395,8.75999,8.39406,8.12814,8.05529,8.31899,8.20099,7.97094,8.05957,8.00813,7.98412,7.75094,7.95809,8.51240,8.68893,8.76427,8.89256,8.75956,8.97458,9.36526,9.92559,10.36000,11.04883,11.96030,13.02391,14.56583,15.83441,17.52928,19.32755,20.39167,20.79133,20.68623,20.15461,19.55679,18.63450,17.93959,17.43291,17.12191,16.52518,15.85429,15.25912,14.80379,14.50092,13.77885,13.29848,12.57073,12.64166,12.55361,12.37091,12.38956,13.69953,15.00799,15.12150,14.87482
2021,Engadine 132_11kV,05MAY2020,MW,14.85461,14.31303,13.89112,13.86209,14.96736,15.39061,14.66662,13.67804,12.71315,12.71882,12.31455,11.59279,10.80098,9.83054,9.21987,8.75434,8.34451,8.11421,8.04269,8.01510,8.16900,8.42268,8.77802,9.34108,10.06940,10.65882,11.11788,11.59597,11.00696,11.29208,11.50069,11.70925,11.70300,11.57458,11.31427,10.92765,10.60955,10.02886,9.51321,9.15835,8.81686,8.52543,8.61542,9.43136,9.16768,7.87927,8.21900,8.23803,9.00315,8.41286,8.12920,8.21290,8.05380,8.08195,7.57545,7.86519,8.04062,7.70546,7.74674,7.99293,8.26399,8.63437,9.08369,9.67206,10.00373,10.59597,11.50293,12.61338,13.91268,15.42046,17.09998,18.02926,18.23292,18.34273,17.78786,17.18301,16.68174,16.05445,15.60251,15.33040,15.00440,14.47763,14.03074,13.77786,13.33033,12.83347,12.45167,11.93370,12.00920,11.97978,12.20173,12.13384,13.40928,14.78383,14.94455,14.83075
2021,Engadine 132_11kV,06MAY2020,MW,14.56490,14.13487,13.50819,13.58789,14.60918,14.96991,14.53254,13.52802,12.45589,12.28218,11.89485,11.10785,10.52175,9.61595,8.83909,8.43801,8.04950,7.86462,7.81499,7.99467,8.14636,8.41795,8.86515,9.42802,10.06278,10.88528,11.60951,11.79643,11.24937,11.65036,11.87346,12.02917,12.02784,11.98864,11.64807,11.25963,10.62601,10.26947,9.89117,9.31138,8.81488,8.48140,8.09207,7.85466,7.55588,7.44668,7.26899,7.17384,7.16589,7.18606,7.32337,7.18997,7.19181,7.16377,7.02005,7.00452,7.10066,7.24422,7.33760,7.72125,8.15018,8.38655,8.68777,9.04455,9.62821,10.32740,11.01497,11.87285,12.83155,14.44350,16.00770,16.94271,17.16678,17.27007,16.68365,16.40424,15.73881,15.02469,14.72820,14.26396,14.01070,13.59086,13.40658,12.99628,12.69772,12.11929,11.85728,11.44430,11.68883,11.62432,11.67163,11.66718,13.08115,14.46694,14.66611,14.41035
2021,Engadine 132_11kV,07MAY2020,MW,14.28451,13.72169,13.22655,13.20470,14.35559,14.69529,14.11472,13.07174,12.20147,12.16428,11.69730,10.65731,10.19110,9.28312,8.65040,8.29402,7.92879,7.73727,7.78103,7.87853,8.05472,8.24666,8.71284,9.22115,9.81930,10.58429,11.20711,11.65197,10.95982,11.55260,12.00033,12.22088,12.51358,12.43506,12.58833,12.47393,12.46400,11.76730,11.33912,11.14514,11.05483,10.62258,10.40439,9.73035,9.05638,8.80544,8.37254,8.12760,8.22959,7.87014,8.28195,7.95591,7.83868,8.11157,8.34365,7.54962,7.63541,7.44128,7.96497,8.12799,8.20644,8.24577,8.89864,9.38550,10.04373,10.62728,11.33197,12.37571,13.22818,14.36764,15.78432,16.58980,16.41072,16.40084,15.97292,15.58644,15.01917,14.38284,14.10540,13.81578,13.55820,13.16515,12.83759,12.55920,12.20735,11.79885,11.37174,11.03115,11.18955,11.34900,11.50370,11.38842,12.90927,14.33465,14.48373,14.36470
2021,Engadine 132_11kV,08MAY2020,MW,14.22730,13.63737,13.13053,12.99013,14.24351,14.64924,14.08423,13.09491,12.05788,12.04701,11.56392,10.67932,10.00755,9.17988,8.58172,8.19778,7.85100,7.60098,7.54246,7.52378,7.68915,7.98067,8.40084,8.73688,9.28302,9.93377,10.41034,10.56240,9.86365,10.28130,10.58717,10.81313,11.01069,11.06851,10.80647,10.50552,10.26093,9.55660,9.09790,8.75780,8.46738,8.36400,8.12840,7.67656,7.41726,7.12378,7.03175,7.02915,7.12135,7.30723,7.31624,7.20192,7.31038,7.41840,7.30961,7.43161,7.38218,7.49895,7.62810,7.91697,8.15163,8.52702,8.74927,9.08311,9.54430,9.89809,10.38248,11.14422,11.79388,12.75964,13.76481,14.40779,14.57493,14.70236,14.24214,13.76205,13.18647,12.70134,12.30338,12.01388,11.72045,11.48665,11.15788,10.90747,10.74036,10.46598,10.36064,10.14897,10.38309,10.65737,11.01747,11.18152,12.51390,13.78912,13.94404,13.85919
2021,Engadine 132_11kV,09MAY2020,MW,13.69491,13.29465,12.72397,12.58058,13.78214,14.08440,13.46271,12.52052,11.47455,11.34155,10.68850,9.84879,9.32400,8.59872,8.09460,7.72672,7.27679,7.09104,7.18193,6.96609,7.00994,7.17145,7.18357,7.32679,7.69819,8.01933,8.28829,8.40406,8.15266,8.53411,9.09533,9.65142,9.48668,9.73940,9.81203,9.57422,9.55839,10.87390,11.06491,11.02694,10.90448,9.53908,9.31974,9.96074,8.63865,7.74478,7.78850,7.64928,7.60172,7.36680,7.52942,7.49652,9.28575,8.02622,7.75053,7.69731,9.01735,9.52083,9.39771,9.75004,9.18179,8.78149,9.25763,9.79666,10.19001,10.34119,10.75535,11.47830,12.14549,13.12317,14.16795,14.70738,14.58596,14.50662,14.35167,13.82696,13.21194,12.85522,12.61958,12.12233,11.77807,11.49764,11.26219,11.23979,10.90977,10.57501,10.64351,10.45375,10.80122,11.00563,11.27933,11.51060,13.08931,14.47841,14.63690,14.48215
2021,Engadine 132_11kV,10MAY2020,MW,14.35337,13.87423,13.25703,13.09788,14.25439,14.60028,13.94934,12.95474,12.03522,11.93835,11.39206,10.77728,10.15840,9.20342,8.56879,8.18343,7.81956,7.55168,7.30857,7.36391,7.35457,7.38874,7.47563,7.50508,7.93225,8.18223,8.47798,8.91622,8.82776,9.45171,9.99720,10.58498,11.37986,11.81633,11.98138,11.87016,11.95581,11.85648,11.69198,11.28504,10.94669,10.55944,10.23288,9.74271,9.31732,8.86699,8.74980,8.65979,8.29206,8.23970,8.17255,7.91564,7.89448,7.73935,7.67859,7.62228,7.74159,7.80387,7.92548,8.07126,8.42452,9.01420,9.41587,9.73108,10.35407,11.15108,12.14754,13.16182,14.21849,15.74920,17.18140,17.72545,17.99619,17.98814,18.18158,17.92370,17.69434,17.27880,17.17501,16.84777,16.39518,16.05491,15.71735,15.34847,14.79898,14.29733,13.89514,13.22397,13.04074,12.82568,12.79238,12.76279,13.94148,15.14674,15.32314,15.25599
