year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Epping 66_11kV,01MAY2020,MW,23.66360,23.53374,22.82785,22.29309,22.15579,21.47690,20.78565,20.27778,19.69482,19.07876,18.66327,18.22718,17.83544,17.54863,17.47465,17.44119,17.51101,17.66780,17.66537,17.63223,17.84349,17.91626,18.35800,18.69620,19.84782,20.78455,21.43928,22.33337,23.27526,24.30854,25.23829,25.64026,26.35109,26.54513,26.99016,27.03864,27.00149,26.49385,26.28508,26.10194,25.47287,25.39726,25.34398,25.21631,25.20257,24.97970,25.10117,24.81941,24.88987,25.44318,25.26672,25.85344,25.10262,25.05217,25.04386,25.10943,24.97023,24.74782,24.65135,25.07012,25.42663,25.47262,25.87753,26.68371,26.94375,26.99655,27.74798,28.35097,28.93433,30.15150,31.45806,32.29395,32.45470,32.47897,32.22847,32.10806,31.40723,30.88973,30.58424,30.18871,30.11931,29.98015,29.61055,29.13944,28.71804,28.13089,27.76319,27.34934,27.63758,27.89660,27.39646,26.73369,26.01080,25.83074,25.83484,25.23308
2021,Epping 66_11kV,02MAY2020,MW,24.92648,24.53793,23.58543,23.26454,23.22767,22.29445,21.61281,20.89769,20.24763,19.61318,19.17137,18.49684,18.41875,18.12923,17.89873,17.81116,17.83209,17.65174,17.68529,17.52253,17.68338,17.64304,17.83830,17.91677,18.56816,18.85892,19.30283,19.49287,19.99335,20.59566,21.04758,21.51115,21.85856,22.11998,22.61680,23.16653,23.56119,23.36800,23.48686,23.44273,23.53205,23.41700,23.11451,23.12697,23.05975,23.00588,22.70788,22.72046,22.96864,23.17808,22.84006,22.71848,22.77955,22.76195,22.59116,22.57363,22.57213,22.50241,22.65379,22.82245,22.74953,23.08270,23.57095,24.15438,24.30798,24.83193,25.52455,26.26902,27.29991,28.50090,29.96948,30.90990,31.04786,30.97961,31.06699,30.77908,30.14980,29.88233,29.51697,29.38786,29.26965,28.69853,28.44169,28.17630,28.00941,27.57440,27.24725,26.74345,27.09867,27.60434,26.98026,26.39256,25.85132,25.74191,25.98817,25.50540
2021,Epping 66_11kV,03MAY2020,MW,25.19689,24.99257,24.15685,23.69166,23.57768,22.72369,22.02417,21.38275,20.76779,20.16527,19.46481,19.03407,18.66871,18.59734,18.37177,18.18845,18.00390,18.07807,17.97069,17.88738,17.93931,18.09889,18.18985,18.27075,18.84297,19.22826,19.21908,19.50642,19.72899,20.23667,20.90019,21.51264,22.10927,22.48071,22.62299,23.13624,23.61137,23.74049,23.77383,23.82990,23.43068,23.04699,23.05333,23.05988,22.82955,22.89698,23.03488,22.66958,22.93942,22.94052,22.83591,22.76449,22.64488,22.66290,22.43509,22.29910,22.41380,22.22566,22.32290,22.43588,22.68100,22.80162,23.02299,23.54333,23.84155,24.37199,24.88476,25.90804,26.91278,28.12068,29.54237,30.73858,30.99220,31.23807,31.14436,30.80031,30.54277,30.45723,30.09483,29.88663,29.52244,29.28498,29.03471,28.95823,28.35768,27.93600,27.69296,27.08980,27.43922,27.71254,27.21670,26.48601,25.64971,25.38054,25.54354,24.95149
2021,Epping 66_11kV,04MAY2020,MW,24.60834,24.32318,23.53901,23.35681,23.38488,22.46818,21.78563,21.15476,20.75335,20.11150,19.58351,19.10525,18.78815,18.46924,18.48591,18.41835,18.28417,18.35163,18.33222,18.38955,18.48994,18.83992,19.28444,19.65825,21.29934,22.32593,23.08395,24.03297,25.28504,26.52559,27.52485,28.01192,28.92614,29.19710,29.48020,29.53674,29.31833,28.74467,28.36105,27.88967,27.37282,26.81951,26.42113,26.32872,26.35865,25.97975,25.86374,25.78218,25.74322,25.79032,25.95906,25.76703,25.66426,26.29275,25.91695,25.32732,24.84532,24.56553,25.03298,25.17506,25.26967,25.63869,25.98989,26.34931,26.76702,27.15882,27.92288,29.17521,29.94950,31.22836,32.36942,33.35888,33.35181,33.09499,33.05759,32.49485,32.12145,31.66601,31.22942,31.05850,30.68626,30.17824,29.92925,29.56978,28.95689,28.26175,27.85465,27.03889,26.99786,27.45931,26.93469,26.31716,25.49402,25.16539,25.32037,24.70089
2021,Epping 66_11kV,05MAY2020,MW,24.50503,24.30357,23.41589,22.98105,22.96225,22.15474,21.44496,21.03003,20.39520,19.80492,19.26142,18.75513,18.43077,18.11799,17.88350,17.93664,17.99143,18.00169,18.03101,17.93789,17.96175,18.17005,18.58103,19.10354,20.08671,21.04413,22.10016,22.52986,23.57332,24.67364,25.60474,26.59080,27.47461,28.24002,28.33517,27.75872,27.33221,26.74320,26.69084,26.45891,25.74186,25.62958,25.19084,25.90751,25.78526,25.43253,25.61606,25.39431,25.72632,25.78789,25.62290,25.84846,25.52120,25.28393,25.25960,24.61338,24.80335,24.23714,24.21869,24.43012,24.67035,24.86364,24.99396,25.33364,25.76067,26.16554,26.72783,27.57718,28.56365,29.61472,31.17658,31.91674,31.96389,31.98184,31.61014,31.25973,30.81156,30.49554,30.15178,30.07404,29.65525,29.10146,28.78558,28.39333,27.78326,27.44366,27.04228,26.48494,26.79925,27.25806,26.66649,25.91921,25.22314,24.84550,25.05955,24.40500
2021,Epping 66_11kV,06MAY2020,MW,24.19550,23.87367,22.99243,22.58670,22.74378,21.95689,21.39043,20.89426,20.15726,19.67884,19.22120,18.76736,18.42475,18.26468,18.00662,18.07361,18.10669,18.19432,18.23361,18.32636,18.45070,18.49625,18.99006,19.55762,21.06657,22.02490,22.67027,23.39970,24.12073,25.26355,26.21866,26.98586,27.67952,28.03762,28.05662,27.84314,27.71743,27.14776,26.98650,26.15323,25.60315,25.11742,24.82194,24.78477,24.75556,24.36124,24.38463,24.56008,24.96618,24.87875,24.81453,24.60351,24.61728,24.39463,24.24291,24.04301,24.12037,24.23147,24.16398,24.15610,24.03072,24.45491,24.75103,25.13272,25.46347,25.79147,26.41873,26.82754,27.57777,28.82090,30.40479,31.23901,31.44779,31.52200,31.08396,30.70489,30.49604,30.14364,29.73511,29.49226,29.02070,28.49445,28.13621,27.82415,27.15450,26.60726,26.38160,25.81796,26.08088,26.47840,26.14666,25.48030,24.85928,24.29108,24.64718,24.16029
2021,Epping 66_11kV,07MAY2020,MW,23.94383,23.58326,23.01409,22.69815,22.54876,21.48927,20.93160,20.21227,19.54118,19.10080,18.74712,18.35686,18.06573,17.78491,17.75220,17.58469,17.66255,17.78589,17.73059,17.61008,17.80098,18.09179,18.43209,19.28911,20.65165,21.43795,22.11789,22.67770,23.78708,25.18023,26.16557,26.91082,27.64056,28.38421,28.40115,28.53057,28.45344,28.13452,28.03305,27.28668,27.22288,26.76886,26.05714,26.09271,25.70174,25.25062,25.40970,25.78604,25.88459,25.83684,25.78093,25.79871,25.59242,25.11698,24.92577,24.94127,24.92942,24.33389,24.81659,24.75678,24.76684,25.19572,25.20131,25.94662,26.01654,26.16406,26.62475,27.43779,28.03472,29.27460,30.23190,30.84213,30.69707,30.41385,30.43776,30.34125,29.77577,29.34840,28.80516,28.70834,28.46258,28.07876,27.79173,27.35572,26.60970,26.14628,25.81179,25.33500,25.52920,25.84267,25.46642,24.89776,24.10748,23.93250,24.22278,23.60691
2021,Epping 66_11kV,08MAY2020,MW,23.43643,23.03940,22.23910,21.96407,21.94372,21.18065,20.56097,19.82838,19.19208,18.80163,18.42783,17.94694,17.76076,17.31133,17.26382,17.06972,17.18868,17.25260,17.22757,17.22793,17.47655,17.55380,17.74411,18.04412,19.35675,20.12101,21.21338,21.67874,22.23811,23.27188,24.09886,24.41307,24.86941,25.37117,25.28794,25.41538,25.61544,25.40414,25.41341,25.05861,24.59345,24.22974,24.11505,24.06711,24.31474,23.96203,23.72357,24.13555,24.67792,24.70041,25.12353,25.33660,25.07113,24.85288,24.98577,24.91348,24.77329,24.78390,24.70328,24.60450,24.89380,24.91877,24.94685,25.32708,25.44172,25.82292,26.02541,26.45428,26.97144,27.76546,28.55111,29.06645,28.74626,28.55828,28.16862,27.64258,27.15675,26.90002,26.49278,26.05512,25.52656,25.39104,24.98599,24.58522,24.23275,24.02153,23.71900,23.31558,23.49279,24.10730,24.19173,23.78158,23.08346,22.88589,23.32268,22.76227
2021,Epping 66_11kV,09MAY2020,MW,22.72222,22.56854,21.89080,21.58688,21.64172,20.72410,20.00154,19.26495,18.93694,18.41437,17.87514,17.39633,17.13222,17.03437,16.85075,16.65480,16.62760,16.58010,16.54980,16.57679,16.62561,16.65854,16.66669,16.70382,17.15171,17.78958,18.05237,18.03096,18.26654,18.76982,19.26023,19.57327,20.30972,20.61786,21.13716,22.07614,21.61047,22.19499,23.25971,22.81120,23.37231,23.31727,23.08064,23.38746,22.69136,22.12499,21.98303,22.15724,22.20221,22.41778,22.51312,22.58931,23.22730,23.29459,22.03041,22.22940,22.90278,22.39796,22.38326,22.93736,22.36522,22.41877,22.59828,23.10901,23.18872,23.39925,23.69520,24.57275,25.11224,25.87931,26.71773,27.18128,27.05654,27.01038,26.85761,26.43918,26.30063,26.10488,25.74506,25.20678,24.71694,24.44584,24.12817,24.11462,23.75864,23.44434,23.28858,22.77942,23.34617,23.89316,23.84176,23.58122,23.01341,22.93373,23.25790,22.88624
2021,Epping 66_11kV,10MAY2020,MW,22.84018,22.66044,21.93705,21.49730,21.50432,20.63037,19.97477,19.58182,18.99789,18.51512,18.09549,17.77458,17.48934,17.11114,17.02653,16.86508,16.82490,16.81342,16.84921,16.76987,16.86816,16.79947,16.83094,16.91052,17.35695,17.77413,18.07859,18.36843,18.58778,19.22173,19.97505,20.44595,21.11902,21.42749,21.85967,22.27071,23.02739,22.65053,22.88539,23.06753,22.87032,22.92420,22.96792,22.75949,22.70813,22.29363,22.03034,22.07293,22.17188,22.22556,22.32150,22.24941,22.19875,22.15424,22.14229,21.96350,21.62931,21.62105,21.78008,21.86675,22.22619,22.75974,22.94120,23.23565,23.65737,24.10040,24.65924,25.79829,26.81628,28.07608,29.41931,30.32631,30.34408,30.65907,30.60312,30.53404,30.32613,30.26843,29.88143,29.76479,29.37200,29.27014,29.16531,28.66866,28.24442,27.81182,27.50031,26.98880,27.20505,27.65000,27.35876,26.41226,25.57766,25.32095,25.36242,24.89746
