year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Flemington 132_11kV,01MAY2020,MW,30.00788,29.32383,29.26983,28.80180,28.72980,28.62179,28.00975,27.86574,27.61373,27.64973,27.10970,26.94769,27.03769,26.82168,27.09169,26.82168,27.63173,28.04575,27.93775,28.00975,28.69379,28.96381,29.26983,29.82787,31.33996,31.73598,32.34802,32.74405,33.44609,33.89612,33.77011,33.91412,34.29214,34.20214,34.16614,34.52616,34.83218,34.07613,33.42809,33.60810,33.28408,32.99606,32.92406,32.81605,32.61804,32.61804,32.31202,32.07801,31.64598,32.02400,33.08607,33.39209,31.80799,31.86199,31.97000,31.69998,32.00600,31.78999,32.25802,32.42003,33.17608,33.44609,33.41009,33.75211,34.25614,34.22014,34.45416,34.59816,35.13820,35.24620,35.46222,35.53422,35.08419,34.56216,34.50816,34.14814,33.84212,33.15807,33.33809,33.35609,32.83405,32.65404,32.00600,31.32196,30.99794,30.96194,30.87193,31.10595,31.64598,31.30396,30.83593,30.69192,30.43990,29.89987,29.61185,29.16182
2021,Flemington 132_11kV,02MAY2020,MW,29.26983,28.94581,28.60379,27.91975,27.64973,27.46972,27.59573,27.14570,27.00169,26.71367,26.65967,26.42565,26.49766,26.42565,25.70561,25.88562,26.33565,26.67767,25.99363,26.11963,26.91168,27.18170,27.05569,27.09169,27.75774,27.70373,27.52372,27.03769,26.67767,26.35365,26.29964,26.67767,26.47966,26.29964,25.77761,26.96569,27.05569,27.01969,25.59760,25.88562,25.90362,26.08363,26.13763,25.57960,25.92162,25.70561,25.70561,25.74161,26.33565,26.06563,26.31765,26.47966,26.19164,26.51566,26.51566,26.51566,26.37165,26.44365,26.82168,26.55166,27.12770,27.41571,27.84774,27.90175,28.58579,28.99981,29.23383,29.73786,30.27789,30.78193,31.41196,31.84399,32.16801,32.13201,31.89800,31.82599,31.77199,31.33996,31.50197,31.21395,31.08794,31.10595,30.90793,30.15189,30.34990,30.20589,30.24189,30.20589,30.13388,29.84587,29.50385,29.19783,28.98181,29.01781,28.92781,28.62179
2021,Flemington 132_11kV,03MAY2020,MW,28.38778,28.09976,27.37971,27.03769,26.74967,26.67767,26.38965,26.22764,25.90362,26.42565,25.88562,25.66961,25.75961,25.68761,25.68761,25.68761,25.99363,26.19164,26.19164,26.10163,25.95762,26.22764,26.22764,26.42565,26.82168,26.62367,26.42565,26.35365,26.40765,26.22764,25.92162,25.90362,25.90362,25.57960,25.65160,25.50760,25.50760,25.54360,25.12957,25.20158,24.84155,25.21958,25.11157,24.93156,24.51753,24.51753,25.09357,25.09357,25.38159,26.40765,26.13763,25.57960,25.86762,26.19164,26.04763,25.90362,26.04763,26.28164,26.49766,26.38965,26.87568,27.21770,27.70373,27.81174,28.45978,28.29777,28.58579,29.39584,29.80986,30.63792,31.32196,31.97000,31.77199,32.02400,31.82599,31.39396,31.32196,30.99794,30.76392,30.97994,30.78193,31.32196,31.48397,31.19595,30.92593,30.88993,30.76392,30.29589,30.27789,30.20589,29.93587,29.73786,29.50385,29.16182,29.68386,29.25183
2021,Flemington 132_11kV,04MAY2020,MW,29.32383,29.08982,28.65779,28.42378,28.40578,28.13576,28.09976,27.79374,27.75774,27.52372,27.48772,27.28971,27.03769,27.12770,27.37971,27.77574,28.11776,28.49578,29.16182,29.08982,29.55785,30.16989,31.10595,31.60998,33.42809,34.58016,34.34615,35.22820,36.41628,36.57829,37.17233,37.15432,37.42434,37.85637,38.21639,38.07238,37.89237,37.85637,37.42434,36.27227,35.44422,35.19220,35.48022,34.97619,35.06619,35.04819,35.24620,34.63417,34.36415,34.45416,34.07613,34.25614,36.14626,35.46222,34.88618,34.31015,34.31015,34.45416,35.10220,35.46222,34.50816,34.72417,34.95819,35.17420,35.39021,35.53422,36.11026,36.18226,36.25427,36.74030,37.15432,37.46034,36.93831,36.70430,36.11026,35.93025,35.42622,34.74217,34.45416,34.74217,34.47216,34.29214,34.11213,33.66211,33.03207,32.74405,32.47403,32.54604,31.69998,31.23195,30.79993,30.27789,29.84587,29.25183,29.41384,28.47778
2021,Flemington 132_11kV,05MAY2020,MW,28.33377,28.42378,28.47778,27.93775,27.43372,27.48772,27.36171,27.54172,27.39771,27.45172,27.32571,27.21770,27.03769,27.00169,27.00169,27.10970,27.81174,27.99175,28.31577,28.74780,29.32383,29.62985,30.16989,30.92593,32.67204,33.30208,33.60810,34.09413,35.42622,35.80424,35.66023,36.21827,37.33434,37.64035,36.57829,37.01031,36.34427,35.51622,35.64223,35.24620,35.89425,36.48828,36.63229,36.74030,36.57829,36.18226,35.01219,35.12020,36.14626,35.78624,35.87624,35.22820,36.03825,34.97619,35.96625,35.82224,35.40821,35.24620,35.40821,35.51622,35.85824,35.89425,35.64223,35.69623,36.27227,36.11026,36.81230,37.02832,37.04632,37.02832,37.51435,37.28033,36.54229,35.80424,35.78624,35.12020,34.58016,34.38215,34.32815,34.16614,33.78811,33.48209,32.99606,32.69004,32.42003,31.77199,31.64598,31.64598,31.26796,30.99794,31.03394,30.18789,29.84587,29.70186,29.71986,28.98181
2021,Flemington 132_11kV,06MAY2020,MW,29.98988,30.20589,29.80986,29.80986,29.61185,29.41384,29.41384,29.16182,28.87381,28.78380,28.83780,28.69379,28.67579,28.56779,29.26983,29.19783,29.19783,29.57585,30.20589,30.27789,30.87193,30.99794,31.98800,32.60004,34.29214,35.15620,35.06619,34.49016,34.70617,35.37221,36.00225,35.91225,36.92031,36.48828,36.41628,36.23627,35.84024,35.89425,36.12826,35.80424,35.73223,35.12020,34.90418,35.06619,34.83218,35.24620,35.01219,35.24620,35.73223,35.48022,35.69623,35.60623,34.79618,34.94019,34.77818,35.03019,35.39021,35.80424,35.96625,35.96625,35.85824,36.38028,36.56029,36.90231,37.11832,36.54229,37.08232,38.00038,38.64842,38.95444,39.20645,39.31446,38.84643,38.09038,37.33434,37.51435,36.93831,36.43428,36.00225,35.93025,35.26421,35.13820,34.95819,34.58016,34.09413,33.39209,33.30208,33.06807,32.43803,31.89800,31.97000,31.62798,31.37596,31.39396,31.37596,31.01594
2021,Flemington 132_11kV,07MAY2020,MW,30.79993,30.47591,29.95387,29.68386,30.06188,29.84587,29.59385,29.30583,29.66586,29.53985,29.57585,29.64785,29.28783,29.68386,29.05382,29.17983,29.82787,30.00788,30.25989,29.89987,30.56591,31.50197,31.62798,32.36602,33.91412,34.76017,34.72417,35.08419,36.29027,36.59629,36.99231,37.71236,38.03638,38.52241,38.79243,38.93644,38.57641,38.63042,38.50441,37.83837,37.44234,37.24433,36.05626,34.68817,34.02213,34.31015,34.85018,34.90418,35.19220,35.35421,35.19220,35.13820,35.10220,35.12020,34.65217,34.92218,35.21020,35.37221,36.05626,35.62423,36.02025,36.56029,36.47028,36.95631,36.65029,37.24433,36.92031,37.06432,36.79430,36.56029,37.20833,37.02832,35.96625,35.57022,35.71423,34.94019,34.32815,34.18414,33.55410,32.94206,31.01594,30.42190,30.22389,29.91787,29.30583,28.60379,28.56779,28.72980,28.33377,28.31577,27.50572,27.12770,27.55972,27.68573,27.32571,27.01969
2021,Flemington 132_11kV,08MAY2020,MW,26.69567,26.49766,26.49766,26.33565,26.28164,26.02963,25.95762,25.86762,25.66961,25.52560,25.61560,25.57960,25.68761,26.08363,26.10163,26.06563,26.06563,26.33565,26.64167,26.89368,27.66773,27.73974,27.97375,27.93775,29.53985,30.34990,30.20589,29.98988,31.10595,31.30396,31.50197,31.68198,31.86199,32.07801,32.24002,32.38403,33.03207,33.15807,32.99606,33.05007,33.23008,33.01406,33.15807,33.28408,34.05813,34.31015,33.93212,33.68011,33.53610,32.78005,32.56404,32.72605,32.90606,32.52803,32.67204,33.69811,33.55410,33.64410,34.00413,34.07613,33.80611,33.86012,34.40015,34.40015,34.65217,33.98613,33.78811,33.87812,33.89612,33.77011,34.07613,32.99606,32.27602,32.11401,31.89800,31.59198,30.90793,30.36790,29.86387,30.06188,29.79186,29.08982,28.89181,28.51378,28.27977,28.26177,27.97375,27.90175,27.66773,27.03769,26.67767,26.65967,26.71367,26.31765,26.19164,25.66961
2021,Flemington 132_11kV,09MAY2020,MW,24.98556,24.87756,24.98556,24.78755,24.06751,24.24752,24.22952,24.40953,23.74349,23.77949,23.23945,23.38346,24.26552,24.69754,24.67954,24.67954,24.55354,24.75155,24.48153,24.67954,24.91356,25.23758,25.63360,25.38159,26.01163,26.02963,25.83162,25.68761,25.16557,25.29158,25.36359,25.11157,25.32758,25.07557,25.83162,25.77761,26.02963,25.63360,26.62367,27.16370,25.99363,25.30958,24.75155,25.14757,25.32758,25.38159,23.16745,23.45547,23.92350,24.08551,24.49953,24.35552,25.65160,25.72361,25.03957,24.48153,24.85955,25.34559,25.41759,25.30958,26.02963,25.84962,26.04763,26.17364,26.60566,26.96569,27.19970,27.45172,27.37971,27.79374,28.29777,28.08176,27.79374,28.17176,27.70373,27.32571,27.34371,27.14570,27.28971,27.30771,27.05569,26.94769,26.71367,26.26364,25.92162,25.90362,25.83162,25.92162,25.70561,25.84962,25.65160,25.38159,24.93156,25.18358,24.80555,24.48153
2021,Flemington 132_11kV,10MAY2020,MW,24.71555,24.39153,23.97750,23.95950,23.70748,24.67954,24.55354,23.97750,24.22952,23.90550,23.41946,23.59948,23.72548,23.86949,23.86949,23.61748,23.43747,23.47347,24.24752,24.35552,24.26552,24.06751,23.95950,23.95950,24.40953,24.73355,24.42753,24.67954,23.86949,23.54547,23.63548,23.31146,23.22145,23.32946,22.80743,22.80743,23.16745,22.69942,22.62742,22.23139,22.41140,22.73542,22.42940,22.24939,22.50141,22.14138,22.26739,22.41140,22.60941,22.69942,23.04144,22.89743,22.89743,23.07744,23.09544,23.58147,23.50947,23.77949,24.12151,24.12151,24.62554,24.94956,25.56160,25.57960,26.08363,26.13763,26.83968,26.94769,27.23570,27.99175,27.97375,28.31577,28.27977,28.27977,28.26177,28.44178,28.44178,28.27977,28.00975,27.95575,28.15376,28.02775,28.02775,27.48772,27.77574,27.66773,27.19970,27.14570,27.19970,26.94769,26.73167,26.73167,26.42565,26.08363,26.17364,25.95762
