year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Galston 132_11kV,01MAY2020,MW,5.80875,5.57215,5.30668,5.03646,4.70239,4.45923,4.18625,3.94265,3.61719,3.50308,3.40101,3.29153,3.16959,3.23066,3.13276,3.08454,3.06159,3.00978,3.05475,3.13193,3.25753,3.43495,3.58322,3.67934,3.87911,4.16979,4.70025,4.38156,4.48762,4.69369,4.86114,4.98180,5.13481,5.16320,4.95306,4.85315,4.78631,4.55300,4.28007,4.12568,3.98840,3.97817,3.59437,3.37880,3.37738,3.29661,3.30931,3.29234,3.36864,3.64970,3.59295,3.60290,3.40006,3.37226,3.50467,3.72896,3.78655,3.53770,3.82207,3.93576,3.90286,3.98818,4.04571,4.46665,4.68792,4.98175,5.13228,5.59397,6.31238,6.49325,6.94104,7.26352,7.37176,7.47615,7.46145,7.42001,7.27128,7.00039,6.87857,6.82588,6.67556,6.52976,6.47513,6.23027,6.21636,6.30332,6.18400,5.95251,5.91494,6.16955,6.25391,5.99321,6.16467,6.00988,5.89734,6.09260
2021,Galston 132_11kV,02MAY2020,MW,6.10822,5.90952,5.73337,5.39142,5.09221,4.71801,4.46891,4.19596,3.95661,3.70969,3.61228,3.50504,3.36368,3.32912,3.24555,3.19345,3.12277,3.09962,3.18353,3.16971,3.25883,3.28307,3.32851,3.31647,3.54415,3.60350,3.79895,3.98194,3.97095,4.13110,4.27381,4.34740,4.38479,4.54054,4.61965,4.39833,4.37190,4.23112,4.11165,3.97968,3.89785,3.64885,3.56091,3.33109,3.15851,2.91417,2.87511,2.76037,2.66230,2.67820,2.68320,2.70155,2.67412,2.74722,2.75721,2.82883,2.91236,2.98230,3.12613,3.17695,3.43150,3.70688,3.89222,4.06092,4.32295,4.69458,5.06628,5.41561,5.72831,6.18382,6.66120,7.09141,7.21332,7.15520,7.01119,6.80524,6.65434,6.50414,6.46785,6.28713,6.11993,6.01944,5.90446,5.80570,5.80304,5.98030,5.94872,5.85872,5.75893,5.88251,5.95008,5.82108,6.00551,5.96753,5.80100,6.00462
2021,Galston 132_11kV,03MAY2020,MW,6.22983,6.02603,5.85100,5.44782,5.16679,4.83463,4.53228,4.25154,4.03646,3.94651,3.80304,3.64797,3.55517,3.41704,3.29010,3.34402,3.31794,3.33309,3.38971,3.32134,3.26509,3.35890,3.36099,3.48361,3.61304,3.77496,3.91570,4.06704,4.08619,4.26172,4.32456,4.43270,4.59577,4.61125,4.59952,4.50793,4.45183,4.27311,4.08072,3.92771,3.79811,3.64067,3.44527,3.25487,3.06562,2.91513,2.82333,2.74156,2.64040,2.62180,2.64224,2.59803,2.59055,2.75303,3.04718,3.12969,3.12428,3.26025,3.28244,3.39289,3.39468,3.49165,3.63816,3.77129,3.96497,4.16099,4.51514,4.88160,5.39164,5.77946,6.22396,6.68847,6.83472,6.88210,6.89396,6.79995,6.69053,6.50736,6.32194,6.10861,6.00443,5.94205,5.81053,5.69839,5.70412,5.80971,5.76264,5.49472,5.37923,5.56001,5.72236,5.53465,5.69862,5.69249,5.61030,5.86014
2021,Galston 132_11kV,04MAY2020,MW,6.05621,5.77106,5.58320,5.33513,5.08770,4.79081,4.59497,4.31086,3.94625,3.82353,3.64550,3.53860,3.42587,3.45098,3.34229,3.25085,3.27099,3.30443,3.30884,3.41738,3.55178,3.71096,3.92916,4.01029,4.22693,4.58489,4.91406,5.23953,5.48420,5.61463,5.72627,5.71768,5.90150,5.97605,5.85862,5.74678,5.59494,5.30133,5.07757,4.77111,4.54407,4.30189,4.04694,3.78513,3.62228,3.46471,3.38871,3.22906,3.14887,3.15405,3.10920,3.11797,3.14154,3.11562,3.16887,3.10814,3.13798,3.33863,3.49083,3.51312,3.71976,3.88530,4.14262,4.33799,4.53672,4.76887,5.00737,5.34043,5.75086,6.23155,6.82238,7.15339,7.20743,7.21919,7.02633,6.89780,6.75326,6.68381,6.68875,6.54002,6.42094,6.21511,5.95023,5.75058,5.77919,5.89002,5.86735,5.64521,5.52718,5.73718,5.77896,5.45706,5.63466,5.61356,5.66497,5.80557
2021,Galston 132_11kV,05MAY2020,MW,5.97022,5.75109,5.42769,5.09076,4.86294,4.57318,4.31150,4.07959,3.91661,3.81179,3.65653,3.42306,3.32105,3.23237,3.20372,3.15463,3.16895,3.12654,3.16179,3.27496,3.47658,3.60489,3.70566,3.76771,3.98145,4.24019,4.47601,4.65821,4.88009,5.04797,5.32536,5.58260,5.85072,6.06159,6.22532,6.12656,5.97224,5.43017,5.02169,4.57285,4.23708,4.00865,3.81790,3.65743,3.76160,3.74021,3.43687,3.24680,3.55566,3.75344,3.41253,3.33850,3.68609,3.32346,3.21474,3.25902,3.11367,3.18318,3.34713,3.37369,3.63801,3.70317,3.94652,4.12450,4.26877,4.49933,4.71512,4.87132,5.33685,5.70164,6.26860,6.56273,6.61268,6.74496,6.61902,6.36951,6.23154,6.10393,6.02801,5.80251,5.78013,5.65878,5.56808,5.52225,5.47903,5.56916,5.52167,5.21286,5.19122,5.50368,5.59056,5.28997,5.51858,5.39185,5.40702,5.68566
2021,Galston 132_11kV,06MAY2020,MW,5.87887,5.53847,5.38025,5.08917,4.83476,4.50290,4.28387,4.00595,3.79493,3.65126,3.49485,3.40814,3.28944,3.21214,3.18613,3.14533,3.14003,3.10027,3.19803,3.31353,3.42813,3.51842,3.65627,3.70227,3.90883,4.23895,4.61865,4.86056,4.90046,5.17232,5.25063,5.34923,5.42125,5.38678,6.21541,5.01571,4.78134,4.49135,4.14254,3.91785,3.76009,3.59965,3.52327,3.38589,3.20592,3.01984,2.97422,2.82141,2.79430,2.80668,2.88211,2.80770,2.78428,2.70871,2.64346,2.69303,2.74422,2.81536,2.94517,3.19698,3.33300,3.49160,3.65828,3.79913,3.94347,4.11226,4.39791,4.72919,5.05113,5.44889,5.87990,6.22558,6.42639,6.44365,6.34225,6.16729,6.01282,5.84426,5.79903,5.62337,5.59787,5.47230,5.31791,5.26353,5.24263,5.31245,5.26751,5.08924,5.01418,5.34575,5.45065,5.20617,5.49942,5.40340,5.37630,5.66980
2021,Galston 132_11kV,07MAY2020,MW,5.82044,5.55324,5.31520,4.96252,4.82866,4.56120,4.26061,4.00997,3.87840,3.64118,3.50116,3.38444,3.31155,3.20458,3.10781,3.09444,3.10232,3.05491,3.16139,3.21895,3.41961,3.51178,3.65981,3.68963,3.96589,4.13811,4.37288,4.56394,5.00748,4.07623,4.25509,4.36637,4.52685,4.60870,4.65698,4.49461,4.40378,4.36203,4.04916,3.81669,3.78479,3.58843,3.62736,3.46945,3.28922,3.05565,2.96579,3.13476,2.94800,2.57928,2.64754,2.53221,2.45396,2.37912,2.39399,2.74834,2.64990,2.73660,2.84759,2.73985,2.90247,2.99589,4.26706,4.08785,4.02069,4.20354,4.44984,4.77713,5.11926,5.38097,5.74508,6.09362,6.18162,6.10364,5.98413,5.90691,5.81871,5.62998,5.44178,5.35203,5.23313,5.12668,5.01344,4.88758,4.89558,4.92919,4.97518,4.80430,4.80104,5.15667,5.27106,5.09047,5.34586,5.36094,5.24795,5.56042
2021,Galston 132_11kV,08MAY2020,MW,5.73373,5.42974,5.17446,4.87330,4.62212,4.33619,4.01508,3.85097,3.67946,3.44958,3.35952,3.24370,3.12945,3.02849,3.03537,3.06232,3.03465,2.93881,3.03063,3.14675,3.27165,3.42446,3.51103,3.63617,3.79609,3.91615,3.99143,4.11047,4.22444,4.37243,4.46027,4.51650,4.55234,4.51279,4.34041,4.23947,4.17490,3.89110,3.72175,3.59520,3.35364,3.24887,2.92676,2.90560,2.69296,2.60703,2.53159,2.54815,2.56121,2.53382,2.50996,2.46977,2.53191,2.60956,2.61981,2.76845,2.82377,2.89001,3.00860,3.14094,3.28238,3.41310,3.52281,3.72272,3.76944,3.86882,4.05819,4.32993,4.55152,4.79955,5.05465,5.29969,5.26406,5.13234,5.07354,5.15886,5.04522,4.89616,4.75840,4.68807,4.56637,4.53419,4.41405,4.31694,4.42718,4.60020,4.59554,4.47364,4.46290,4.88840,5.04793,4.90262,5.13038,5.16562,5.07350,5.29868
2021,Galston 132_11kV,09MAY2020,MW,5.47497,5.18126,4.92363,4.59113,4.35254,4.08390,3.94011,3.67047,3.41778,3.28742,3.17093,3.05324,2.96810,2.88906,2.82414,2.82682,2.81948,2.84161,2.77249,2.78057,2.87063,2.86836,2.88285,2.99563,3.11928,3.24541,3.28511,3.36153,3.37997,3.52814,3.56258,3.63031,3.57926,3.44696,3.47483,3.78817,3.39349,3.23817,3.42625,3.64168,3.62424,3.63063,3.37398,3.53331,2.64778,2.56252,2.37739,2.34159,2.24943,2.28509,2.22800,2.61733,3.04850,2.77626,2.32341,2.79087,3.23213,3.02439,3.34753,3.49202,3.19235,3.27940,3.47337,3.60505,3.64445,3.84179,4.01730,4.16894,4.41524,4.72379,5.14123,5.50159,5.51232,5.41754,5.31714,5.20418,5.07541,4.90574,4.67503,4.55033,4.49361,4.46030,4.33788,4.21762,4.34701,4.49692,4.55273,4.44008,4.50920,4.92069,5.19865,5.03875,5.15970,5.14913,5.05572,5.34135
2021,Galston 132_11kV,10MAY2020,MW,5.55612,5.30236,5.08070,4.82787,4.55115,4.28952,4.02882,3.84333,3.65453,3.43301,3.35252,3.20554,3.15963,3.05241,2.98294,2.92063,2.92082,2.91944,2.91499,2.92016,2.98081,3.02721,3.00289,3.01303,3.20767,3.34351,3.46624,3.55044,3.71625,3.95030,4.14267,4.20148,4.26668,4.27965,4.32474,4.29803,4.18048,4.11930,4.02598,3.76274,3.62545,3.40151,3.39441,3.21737,3.19428,3.00634,2.87753,2.86954,2.71990,2.62952,2.66337,2.55520,2.52145,2.47566,2.54099,2.57476,2.66016,2.80984,2.90148,3.11850,3.28594,3.46628,3.61267,3.83907,4.14133,4.38708,4.70424,4.95708,5.41358,5.91605,6.23931,6.62800,6.67304,6.78323,6.77472,6.79036,6.69418,6.55706,6.40507,6.26626,6.12751,6.12655,5.98892,5.84364,5.89171,6.05873,5.87880,5.65115,5.58662,5.91006,5.88868,5.66310,5.81104,5.87034,5.74898,6.02385
