year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Gateshead 33_11kV,01MAY2020,MW,7.65733,7.12152,6.93078,7.02167,6.87524,6.36473,6.02180,6.13457,5.70886,5.34827,4.94789,4.76820,4.70724,4.58092,4.54631,4.49206,4.36577,4.46729,4.45305,4.60273,4.76334,4.87739,5.20720,5.44251,5.82209,6.10170,6.33589,6.48376,6.74921,7.10050,7.21379,7.17532,7.39134,7.24445,7.10448,7.05333,6.94429,6.86608,6.58326,6.53853,6.58235,6.26860,6.00470,6.09138,5.95890,5.86746,5.91655,5.64594,5.87521,6.48976,6.32639,5.81639,6.19272,6.10312,5.68635,5.47233,5.53665,6.06680,5.82719,5.78086,6.08964,6.15151,6.46147,6.80616,6.76842,7.12470,7.57772,8.03020,8.26166,8.78126,9.12836,9.19046,9.19275,9.33661,9.34843,9.28404,9.03935,8.89485,8.60391,8.45212,8.31776,8.15419,7.95293,7.86060,7.64749,7.43580,7.37620,7.24624,8.00931,7.84939,7.60166,7.26482,7.48068,7.18622,7.35108,7.75789
2021,Gateshead 33_11kV,02MAY2020,MW,7.82381,7.54532,7.25320,7.26136,6.95194,6.46142,6.05649,5.50903,5.92969,5.69957,5.34026,5.02139,4.88484,4.65370,4.51093,4.41720,4.33173,4.25430,4.25430,4.25430,4.25430,4.33605,4.46580,4.66393,5.04764,5.21641,5.37201,5.51439,5.75852,6.00680,5.99430,6.19020,6.27632,6.27143,6.29872,6.29165,6.27918,6.18378,6.16042,5.94016,5.76522,5.53635,5.38724,5.34177,5.17158,4.90632,4.79653,4.83899,4.75749,4.85061,4.66381,4.77149,4.82118,4.74487,4.78002,4.81158,4.77310,4.69260,4.73888,4.98540,5.05890,5.24309,5.38164,5.64290,5.77579,6.10548,6.54039,6.68667,7.01401,7.44644,7.86671,7.84205,7.80570,7.91289,7.79051,7.61913,7.48121,7.41464,7.20995,6.86141,6.74910,6.59607,6.58137,6.45098,6.53436,6.38052,6.98809,6.72149,6.32912,6.07415,6.50035,6.39488,6.74122,6.46460,5.92351,6.20759
2021,Gateshead 33_11kV,03MAY2020,MW,6.22055,5.75447,5.59528,6.13803,5.62099,5.05991,4.77295,4.56936,4.75463,4.59207,4.50442,4.44045,4.24440,4.07568,4.03290,4.03290,4.03290,4.03290,4.03290,4.03290,4.12245,4.38750,4.40711,4.39181,4.69742,4.81730,4.98499,5.13106,5.22921,5.41267,5.42241,5.54615,5.76641,5.73324,5.73303,5.86076,5.70747,5.59933,5.70140,5.46820,5.16467,4.93530,4.76552,4.76906,4.63499,4.60351,4.63196,4.44671,4.38750,4.45407,4.38886,4.33901,4.32636,4.39885,4.35684,4.30334,4.39488,4.56997,4.62900,4.67718,5.01388,5.14856,5.40681,5.71870,6.09945,6.46020,6.71765,6.82863,7.15964,7.59653,8.08835,8.31700,8.24201,8.18925,8.05084,7.85120,7.73716,7.75986,7.51767,7.34355,7.18649,7.06230,6.97168,6.73100,6.63480,6.48724,7.06138,6.81045,6.42960,6.30962,6.56673,6.39348,6.83995,6.71932,6.31651,6.43250
2021,Gateshead 33_11kV,04MAY2020,MW,6.40394,5.94495,5.89303,6.26040,5.73405,5.32868,5.05288,5.14159,4.85177,4.62029,4.54636,4.40463,4.31384,4.22711,4.21020,4.21020,4.21020,4.28975,4.42170,4.56135,4.89735,5.02517,5.17809,5.54128,6.18139,6.52291,6.65793,6.70087,6.93918,7.12299,7.31555,7.17247,7.46402,7.53723,7.30541,7.12393,6.98601,6.71392,6.54195,6.33969,6.06115,5.90661,5.68662,5.52235,5.52722,5.33604,5.23863,5.21699,5.39780,5.44781,5.98989,6.02169,6.06343,5.95466,5.68475,5.55696,5.38507,5.50272,5.51250,5.76338,5.84887,5.93974,6.12488,6.47844,6.67632,7.04733,7.29922,7.66416,8.12983,8.76626,9.19836,9.33486,9.36522,9.18622,8.95952,8.76131,8.55652,8.43988,8.08684,8.04260,7.77330,7.76842,7.57226,7.40907,7.19476,7.07379,6.92010,6.81990,7.55903,7.34042,7.19195,6.99652,7.25214,7.06612,7.27315,7.59706
2021,Gateshead 33_11kV,05MAY2020,MW,7.73639,7.31465,7.12006,7.09299,6.93237,6.34915,6.19840,6.29195,5.92139,5.55012,5.13108,4.88853,4.81116,4.67160,4.39792,4.36860,4.36860,4.51598,4.57021,4.56324,4.91305,5.09330,5.27895,5.54049,5.90657,6.24217,6.45975,6.35284,6.62134,6.97048,7.39426,7.61372,7.57017,7.68906,7.60298,7.78252,7.69888,7.23299,6.79932,6.61320,6.40393,6.23872,7.28135,7.59870,7.40263,6.91284,6.92538,6.84618,7.30809,7.35457,7.02296,6.64882,6.82290,7.11719,6.77246,6.33276,6.18343,5.82322,6.18590,6.00929,6.17703,6.53286,6.30556,6.70988,6.99961,7.19592,7.49329,8.11694,8.49536,8.89733,9.22999,9.18895,9.25765,9.11645,8.72229,8.49276,8.46741,8.39394,7.94957,7.91208,7.64530,7.52011,7.46049,7.14173,6.89599,6.71026,6.81211,6.67195,7.42808,7.22676,7.11676,6.94496,7.09623,6.86231,7.04982,7.40970
2021,Gateshead 33_11kV,06MAY2020,MW,7.67978,7.19464,7.02783,7.19189,6.89046,6.63015,6.39033,6.39468,5.95792,5.58444,5.35452,5.00354,4.74210,4.69807,4.55850,4.35578,4.33390,4.36554,4.34610,4.37747,4.81703,5.00575,5.08509,5.31321,5.67095,5.88725,6.12877,6.09127,6.28364,6.42923,6.53012,6.73147,6.58375,6.40587,6.50157,6.37732,6.13540,5.87410,5.65943,5.63488,5.55442,5.38167,5.30924,5.25735,5.08975,4.93470,4.92743,4.97558,4.89091,4.88250,4.96440,5.10759,5.14552,5.04507,5.14666,5.17306,5.16007,5.31703,5.47404,5.39713,5.62857,5.77640,5.71365,5.90318,6.26205,6.64002,7.95230,8.45206,8.91875,9.57138,10.11086,10.11935,10.22999,10.13187,10.05694,9.74925,9.35375,9.28527,8.99106,8.76270,8.52855,8.41902,8.19516,8.04445,7.78293,7.66348,7.66790,7.49806,8.34300,8.19290,8.10794,7.90131,8.28152,8.08982,8.39983,8.65447
2021,Gateshead 33_11kV,07MAY2020,MW,8.85099,8.39445,8.38104,8.61167,8.20529,7.58239,7.36024,7.49451,6.89558,6.53378,6.10007,5.76387,5.68017,5.42662,5.39095,5.22841,5.22295,5.17224,5.27216,5.30543,5.62988,5.82731,5.90421,6.28501,6.71789,7.18929,7.37078,7.34178,7.51536,7.66390,7.72902,8.03435,8.30754,8.10705,8.01064,8.07047,8.07773,7.72825,7.46907,7.33384,7.68714,7.55442,7.15021,7.09487,7.02450,6.78971,6.58583,6.85626,7.08818,7.07726,6.88441,6.08190,6.30692,6.73923,6.73822,6.87261,6.48359,6.60454,6.97973,6.62835,6.82299,6.88706,6.04227,6.30557,6.39880,6.46386,6.75378,7.20032,7.43200,7.97572,8.37340,8.31198,8.33903,8.28874,8.07628,8.03374,7.70147,7.52733,7.24196,7.03475,7.05850,6.85093,6.70936,6.54152,6.42128,6.25983,6.27350,6.29719,7.08597,6.96717,6.84946,6.74414,6.86111,6.67036,6.91406,7.18967
2021,Gateshead 33_11kV,08MAY2020,MW,7.33131,6.94301,6.70058,6.90175,6.69388,6.15922,5.96697,6.10718,5.60576,5.20842,4.84775,4.72107,4.58280,4.46090,4.18023,4.15800,4.15800,4.15800,4.29823,4.33530,4.48141,4.77553,4.96710,5.09372,5.53912,5.64548,5.91834,5.86942,6.19085,6.27124,6.29543,6.31836,6.40316,6.29157,6.17094,6.13871,5.97777,5.74566,5.65074,5.47833,5.34945,5.22779,5.18800,5.08671,5.05328,5.07894,5.17704,5.13933,5.14286,5.20439,5.12932,5.15050,5.31423,5.24565,5.20565,5.28356,5.31286,5.30229,5.44079,5.64692,5.44701,5.61374,5.68254,5.83438,6.02713,6.28674,6.40112,6.67889,6.68508,7.05771,7.32013,7.30199,7.26482,7.12757,7.00029,6.92015,6.70148,6.90499,6.48304,6.26962,6.28372,6.13707,6.01650,5.84426,5.73166,5.71936,5.84530,5.74301,6.53566,6.46322,6.52068,6.25852,6.41999,6.20673,6.52218,6.93685
2021,Gateshead 33_11kV,09MAY2020,MW,6.97046,6.60380,6.44039,6.48247,6.18051,5.76238,5.38323,5.06007,5.39284,5.12338,4.79694,4.52551,4.33890,4.29003,4.05797,4.07532,3.92145,4.02667,3.96308,4.11388,4.10453,4.12408,4.24231,4.35357,4.51761,4.64468,4.78040,4.89850,5.09558,5.34562,5.40450,5.44535,5.27288,5.45764,6.26495,6.32424,5.67337,6.31446,5.51581,5.17295,5.72313,5.32898,5.60526,5.03997,4.55167,4.55954,4.90685,5.19266,5.80082,5.52310,4.77151,5.10427,5.65370,5.70384,6.07466,5.84193,5.82399,5.89207,5.89827,6.02280,5.91724,6.00837,6.18527,6.37328,6.30000,6.35904,6.35038,6.36386,6.36003,6.70508,7.11498,7.10822,7.14155,7.05527,6.87394,6.77695,6.73398,6.63774,6.49943,6.27142,6.12480,5.93242,5.90133,5.85796,5.88545,5.77214,6.40674,6.22478,5.85729,5.60970,5.89010,5.73390,6.18981,6.01315,5.52425,5.74787
2021,Gateshead 33_11kV,10MAY2020,MW,5.91737,5.33608,5.31077,5.79656,5.15729,4.72074,4.44965,4.21020,4.26590,4.35985,4.21020,3.99668,3.78900,3.78900,3.78900,3.69413,3.58920,3.58920,3.75881,3.78900,3.78900,3.83517,4.02570,4.05747,4.17182,4.38345,4.51462,4.73657,4.92222,5.06681,5.09117,5.33590,5.44686,5.30417,5.44043,5.62704,5.63225,5.44466,5.36420,5.41483,5.21170,5.06547,4.67763,4.52647,4.49592,4.31909,4.14917,4.15416,4.04180,4.11962,4.07662,4.08898,3.90265,3.96336,4.13112,4.13351,4.19411,4.15572,4.31550,4.42624,4.57999,4.93339,5.12841,5.38869,5.66650,6.16935,6.54862,6.54515,6.84236,7.40256,7.91783,7.83457,8.22064,7.90062,7.91721,7.81619,7.74090,7.66957,7.40395,7.31700,7.21745,7.12530,6.95687,6.76176,6.70050,6.52606,7.15133,6.89341,6.55191,6.24392,6.51034,6.26013,6.64588,6.40007,5.92112,6.22932
2021,Gateshead 33_11kV,11MAY2020,MW,6.06021,5.68861,5.60345,6.04812,5.58521,5.07419,4.88280,5.04924,4.89365,4.66386,4.53240,4.34865,4.20132,4.13212,4.10760,4.32076,4.33080,4.33080,4.33619,4.63969,4.94200,5.13791,5.21228,5.40791,6.09599,6.28777,6.70674,6.99866,7.39005,7.79856,7.86567,7.97539,8.14034,7.89699,7.79954,7.72159,7.47825,7.09285,6.82379,6.63082,6.37262,6.26189,6.16025,5.89664,5.80321,5.79048,5.81352,5.64563,5.52576,5.43064,5.52817,5.39092,5.44241,5.28937,5.39536,5.47182,5.48313,5.47104,5.55949,5.74608,5.86643,6.00787,6.19005,6.39957,6.83215,7.10959,7.52385,7.89261,8.40596,9.12456,9.70716,9.62473,9.51579,9.61632,9.54897,9.37770,9.10563,9.22536,8.76108,8.52805,8.30438,8.30776,8.18324,7.84484,7.67668,7.40857,7.33650,7.18609,7.88814,7.64057,7.55325,7.37082,7.54892,7.23125,7.49496,7.84266
