year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Graving Dock No 2 33_11kV,01MAY2020,MW,3.54949,3.56664,3.60093,3.60093,3.49805,3.56664,3.48090,3.58379,3.53234,3.48090,3.56664,3.54949,3.56664,3.60093,3.56664,3.58379,3.51520,3.56664,3.60093,3.61808,3.66952,3.65238,3.61808,3.85814,3.92673,3.84100,3.92673,3.90959,4.09821,3.94388,3.94388,3.99532,4.02962,4.06391,4.09821,4.04676,4.18394,4.11535,4.13250,4.11535,4.16679,4.14965,4.11535,4.04676,4.13250,4.18394,4.14965,4.16679,4.13250,3.99532,3.82385,3.97817,4.14965,3.97817,3.96103,3.97817,4.01247,3.99532,4.09821,4.01247,3.94388,4.06391,3.85814,3.87529,3.82385,3.80670,3.82385,3.85814,3.82385,3.75526,3.82385,3.80670,3.78955,3.75526,3.70382,3.66952,3.72096,3.68667,3.63523,3.63523,3.61808,3.63523,3.54949,3.49805,3.60093,3.49805,3.53234,3.60093,3.49805,3.48090,3.51520,3.46376,3.49805,3.48090,3.51520,3.48090
2021,Graving Dock No 2 33_11kV,02MAY2020,MW,3.41231,3.44661,3.51520,3.51520,3.48090,3.44661,3.44661,3.53234,3.51520,3.44661,3.49805,3.51520,3.51520,3.44661,3.46376,3.49805,3.54949,3.51520,3.48090,3.51520,3.53234,3.51520,3.63523,3.48090,3.65238,3.75526,3.54949,3.36087,3.44661,3.30943,3.41231,3.65238,3.63523,3.63523,3.75526,3.58379,3.73811,3.73811,3.73811,3.70382,3.73811,3.70382,3.66952,3.72096,3.66952,3.72096,3.72096,3.60093,3.30943,3.22369,2.98363,3.18940,3.17225,3.18940,3.20655,3.12081,3.12081,3.17225,3.18940,3.22369,3.17225,3.12081,3.18940,3.18940,3.13796,3.32658,3.41231,3.42946,3.48090,3.46376,3.53234,3.54949,3.51520,3.49805,3.49805,3.53234,3.54949,3.48090,3.48090,3.56664,3.48090,3.44661,3.48090,3.46376,3.42946,3.42946,3.42946,3.49805,3.48090,3.32658,3.46376,3.46376,3.41231,3.44661,3.44661,3.39517
2021,Graving Dock No 2 33_11kV,03MAY2020,MW,3.41231,3.48090,3.39517,3.46376,3.39517,3.46376,3.48090,3.46376,3.46376,3.46376,3.36087,3.39517,3.44661,3.36087,3.48090,3.48090,3.44661,3.48090,3.49805,3.48090,3.56664,3.49805,3.49805,3.56664,3.51520,3.56664,3.54949,3.53234,3.56664,3.56664,3.56664,3.53234,3.56664,3.49805,3.65238,3.58379,3.56664,3.65238,3.63523,3.51520,3.54949,3.51520,3.56664,3.63523,3.54949,3.51520,3.56664,3.42946,3.51520,3.61808,3.44661,3.48090,3.51520,3.46376,3.49805,3.46376,3.46376,3.51520,3.51520,3.48090,3.51520,3.37802,3.46376,3.49805,3.49805,3.51520,3.56664,3.44661,3.49805,3.49805,3.41231,3.53234,3.49805,3.48090,3.58379,3.36087,3.44661,3.46376,3.49805,3.42946,3.51520,3.34372,3.44661,3.51520,3.41231,3.51520,3.48090,3.49805,3.51520,3.46376,3.39517,3.48090,3.42946,3.39517,3.42946,3.39517
2021,Graving Dock No 2 33_11kV,04MAY2020,MW,3.39517,3.48090,3.41231,3.44661,3.49805,3.46376,3.42946,3.46376,3.44661,3.49805,3.46376,3.42946,3.44661,3.49805,3.42946,3.51520,3.46376,3.44661,3.54949,3.53234,3.58379,3.61808,3.70382,3.87529,3.90959,3.84100,3.90959,4.08106,3.80670,3.70382,3.77241,3.42946,3.25799,3.24084,3.29228,3.32658,3.29228,3.27513,3.32658,3.30943,3.25799,3.34372,3.34372,3.37802,3.36087,3.30943,3.29228,3.29228,3.20655,3.32658,3.24084,3.20655,3.34372,3.30943,3.18940,3.27513,3.25799,3.68667,3.85814,3.65238,3.80670,3.84100,3.73811,3.82385,4.06391,4.62977,4.66407,4.66407,4.61262,4.71551,4.56118,4.69836,4.64692,4.64692,4.68121,4.56118,4.62977,4.64692,4.61262,4.52689,4.69836,4.56118,4.52689,4.57833,4.56118,4.56118,4.59548,4.57833,4.50974,4.57833,4.49259,4.54404,4.52689,4.50974,4.59548,4.61262
2021,Graving Dock No 2 33_11kV,05MAY2020,MW,4.47545,4.56118,4.52689,4.50974,4.56118,4.50974,4.44115,4.44115,4.57833,4.56118,4.56118,4.56118,4.50974,4.52689,4.56118,4.54404,4.59548,4.62977,4.61262,4.69836,4.73266,4.61262,4.78410,4.86983,4.88698,4.69836,4.09821,3.70382,3.85814,3.85814,3.87529,3.90959,3.82385,3.90959,4.01247,3.94388,3.94388,4.01247,3.90959,4.02962,4.13250,4.04676,4.09821,4.11535,4.06391,4.18394,4.11535,4.04676,4.13250,4.06391,4.01247,3.99532,3.90959,3.89244,3.90959,3.82385,3.89244,3.80670,4.01247,4.64692,4.73266,4.68121,4.61262,4.52689,4.49259,4.56118,4.45830,4.50974,4.83554,4.74980,4.73266,4.66407,4.59548,4.64692,4.61262,4.54404,4.59548,4.66407,4.56118,4.54404,4.50974,4.54404,4.56118,4.50974,4.56118,4.57833,4.44115,4.47545,4.54404,4.40686,4.45830,4.50974,4.47545,4.47545,4.52689,4.44115
2021,Graving Dock No 2 33_11kV,06MAY2020,MW,4.47545,4.52689,4.45830,4.45830,4.49259,4.45830,4.50974,4.45830,4.49259,4.56118,4.50974,4.44115,4.50974,4.47545,4.49259,4.56118,4.50974,4.57833,4.57833,4.56118,4.69836,4.73266,4.74980,4.86983,4.92128,4.64692,4.69836,4.69836,4.76695,4.80124,4.76695,4.86983,4.90413,4.81839,4.88698,4.90413,4.88698,5.05845,4.97272,4.98987,4.98987,4.95557,4.86983,4.73266,4.92128,4.93842,4.93842,4.92128,4.64692,4.42400,4.42400,4.45830,4.62977,4.47545,4.64692,4.68121,4.68121,4.73266,4.74980,4.68121,4.69836,4.47545,4.18394,4.11535,4.11535,4.25253,4.32112,4.49259,4.76695,4.71551,4.73266,4.76695,4.64692,4.56118,4.61262,4.54404,4.57833,4.52689,4.50974,4.57833,4.54404,4.57833,4.59548,4.44115,4.42400,4.11535,4.04676,4.06391,4.01247,4.33827,4.45830,4.49259,4.42400,4.33827,4.38971,4.32112
2021,Graving Dock No 2 33_11kV,07MAY2020,MW,4.38971,4.45830,4.35541,4.30397,4.35541,4.32112,4.44115,4.38971,4.37256,4.49259,4.42400,4.37256,4.45830,4.44115,4.38971,4.40686,4.44115,4.49259,4.50974,4.42400,4.61262,4.62977,4.59548,4.81839,4.76695,4.83554,4.98987,4.92128,5.02416,5.09275,5.07560,5.10990,5.10990,5.12704,5.38425,4.62977,4.14965,4.16679,4.28683,4.45830,4.42400,4.45830,4.45830,4.52689,4.50974,4.76695,4.73266,4.76695,4.59548,4.64692,4.52689,5.29852,5.41855,5.26422,5.38425,5.34996,5.38425,5.16134,5.05845,5.00701,5.14419,5.07560,5.04131,5.07560,5.05845,5.14419,5.04131,5.04131,4.92128,5.00701,5.00701,5.24707,4.88698,4.47545,4.64692,4.68121,4.68121,4.52689,4.45830,4.57833,4.54404,4.66407,4.50974,4.54404,4.54404,4.45830,4.49259,4.44115,4.49259,4.40686,4.28683,4.40686,4.37256,4.33827,4.45830,4.25253
2021,Graving Dock No 2 33_11kV,08MAY2020,MW,4.32112,4.30397,4.30397,4.40686,4.35541,4.33827,4.21824,4.30397,4.32112,4.33827,4.38971,4.32112,4.33827,4.35541,4.26968,4.35541,4.25253,4.42400,4.30397,4.35541,4.45830,4.49259,4.59548,4.68121,4.71551,4.85269,4.86983,5.00701,5.04131,5.12704,5.16134,5.26422,5.24707,5.26422,5.17849,5.52143,5.55573,5.53858,5.53858,5.57287,5.40140,5.24707,5.33281,5.38425,5.29852,5.29852,5.40140,5.28137,5.41855,5.46999,5.19563,5.22993,5.29852,5.28137,5.14419,5.14419,5.19563,5.14419,5.24707,5.28137,5.14419,5.12704,5.09275,5.00701,4.90413,4.85269,4.90413,4.76695,4.81839,4.88698,4.83554,4.74980,4.76695,4.81839,4.71551,4.64692,4.71551,4.64692,4.61262,4.57833,4.62977,4.61262,4.69836,4.64692,4.57833,4.52689,4.52689,4.56118,4.57833,4.50974,4.59548,4.50974,4.45830,4.47545,4.47545,4.52689
2021,Graving Dock No 2 33_11kV,09MAY2020,MW,4.56118,4.54404,4.49259,4.37256,4.50974,4.45830,4.52689,4.47545,4.49259,4.44115,4.45830,4.38971,4.37256,4.45830,4.45830,4.42400,4.45830,4.50974,4.38971,4.49259,4.49259,4.42400,4.50974,4.57833,4.64692,4.57833,4.52689,4.62977,4.49259,4.49259,4.64692,4.59548,4.59548,4.57833,4.66407,4.62977,4.56118,4.64692,4.57833,4.57833,4.68121,4.59548,4.57833,4.57833,4.57833,4.56118,4.49259,4.50974,4.57833,4.52689,4.23538,4.11535,4.20109,4.11535,4.02962,4.08106,4.06391,4.08106,4.09821,4.09821,4.04676,4.13250,4.01247,4.06391,4.02962,4.01247,4.13250,4.09821,4.06391,4.13250,4.04676,4.04676,4.08106,3.99532,4.14965,4.02962,3.99532,3.96103,4.04676,4.06391,4.01247,4.01247,4.01247,3.94388,3.94388,3.99532,3.97817,4.02962,4.02962,4.04676,4.02962,3.92673,3.90959,3.97817,4.01247,4.01247
2021,Graving Dock No 2 33_11kV,10MAY2020,MW,4.01247,4.04676,3.97817,4.01247,4.01247,4.01247,3.97817,3.87529,4.01247,4.04676,3.97817,4.04676,4.06391,3.92673,4.01247,4.04676,4.04676,4.01247,3.96103,4.18394,4.06391,4.14965,4.14965,4.23538,4.14965,4.08106,4.14965,4.18394,4.04676,4.14965,4.21824,4.25253,4.20109,4.13250,4.28683,4.16679,4.23538,4.26968,4.33827,4.33827,4.21824,4.14965,4.30397,4.21824,4.32112,4.23538,4.26968,4.25253,4.18394,4.28683,4.18394,4.18394,4.18394,4.25253,4.23538,4.14965,4.13250,4.21824,4.06391,4.18394,4.13250,4.16679,4.16679,4.13250,4.28683,4.11535,4.14965,4.14965,4.18394,4.11535,4.13250,4.16679,4.21824,4.13250,4.14965,4.18394,4.08106,4.09821,4.06391,4.16679,4.04676,4.04676,4.13250,4.13250,4.06391,4.09821,4.14965,4.18394,3.99532,3.99532,4.06391,4.14965,4.06391,4.09821,4.16679,4.14965
