year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Greenacre Park 132_11kV,01MAY2020,MW,23.54840,22.75015,22.33202,22.40804,22.29401,21.81886,21.43874,20.73552,19.91826,19.48112,18.89194,18.66386,18.35977,18.35977,18.41679,18.11269,18.37878,19.48112,20.14633,20.03229,19.95627,20.73552,20.37440,20.05130,20.26037,20.65949,21.19166,21.93289,22.04693,22.44605,22.44605,22.63611,23.56741,23.98554,23.87150,24.04255,24.63174,24.59373,24.51770,24.36566,24.44168,24.49870,24.72677,24.38466,24.55572,25.01186,25.04987,24.55572,24.34665,24.44168,25.41098,24.68876,25.25894,25.52502,25.65806,25.84812,25.82912,25.77210,25.90514,25.96216,26.49433,27.61568,27.08351,27.74872,28.41393,29.36423,29.78236,30.86570,31.32184,30.58061,29.72534,30.44757,30.63763,30.20049,30.23850,29.74435,29.70633,29.25019,29.38323,29.00311,29.09814,29.06013,28.35691,28.35691,27.74872,27.23556,27.21655,27.14053,26.91246,27.50164,27.33059,27.82474,26.83643,26.22824,26.43731,26.34228
2021,Greenacre Park 132_11kV,02MAY2020,MW,25.33496,24.51770,23.70045,23.47238,23.73846,22.97822,22.04693,21.53377,21.07762,20.01329,19.69019,18.87293,18.43579,18.60685,19.00597,18.45480,18.89194,19.13901,19.63317,19.27206,19.63317,19.29106,18.98697,18.73989,19.00597,18.87293,18.85392,18.89194,18.98697,19.12001,19.06299,19.15802,19.44311,19.63317,19.70919,20.94458,21.91389,22.33202,21.17265,21.03961,21.15365,21.38172,21.32470,21.32470,21.34371,21.19166,21.21066,21.19166,21.26768,20.90657,21.17265,21.15365,21.19166,21.72383,21.70482,21.81886,21.91389,22.23699,22.23699,22.50307,23.11126,23.35834,23.51039,24.25162,24.70776,25.54403,26.55134,27.78673,28.33790,27.19755,26.70339,27.76773,28.01480,28.14784,27.74872,27.59667,27.88176,28.12884,28.18586,27.69170,27.84375,27.52065,27.19755,26.79842,26.28526,26.55134,25.98116,25.81011,25.88613,26.64637,25.71508,26.28526,26.03818,25.39198,25.75309,25.67707
2021,Greenacre Park 132_11kV,03MAY2020,MW,25.03087,24.34665,23.71945,23.43436,22.92120,22.71214,21.89488,21.13464,20.26037,19.88025,18.85392,18.75889,18.75889,18.43579,18.28375,18.28375,18.03667,18.79691,19.13901,19.15802,19.34808,19.48112,18.75889,18.47380,18.41679,18.41679,18.41679,18.41679,18.62585,18.24573,18.16971,18.53082,18.94895,19.13901,19.06299,19.32907,19.32907,19.61416,19.74721,19.84223,20.27937,19.95627,19.89925,19.93726,20.14633,20.31738,20.07031,20.43142,21.19166,20.77353,20.35540,20.41241,20.41241,20.62148,20.60247,21.09663,21.70482,21.70482,21.64780,21.85687,21.98991,22.35102,22.61711,23.24430,23.58641,24.55572,25.52502,26.34228,27.23556,26.07619,25.92415,26.79842,27.23556,27.10252,26.77941,26.85544,26.81743,26.72240,26.74140,26.57035,26.36128,26.53234,26.49433,26.11421,26.09520,25.52502,25.90514,25.98116,25.65806,25.79110,25.52502,26.43731,25.67707,24.59373,24.17560,24.15659
2021,Greenacre Park 132_11kV,04MAY2020,MW,24.15659,23.60542,22.67412,22.61711,22.52208,21.62880,21.02061,20.37440,19.95627,19.29106,18.83492,18.56883,18.03667,18.01766,18.01766,18.01766,18.32176,19.19603,19.63317,19.80422,20.50744,21.28669,21.24868,20.75452,21.05862,21.91389,22.33202,22.80717,23.22530,23.71945,23.64343,24.11858,24.84081,25.25894,25.41098,25.63906,26.19023,25.98116,25.94315,25.65806,26.11421,25.82912,25.50601,25.46800,25.54403,25.60104,25.58204,25.04987,24.66975,25.39198,26.41830,26.98848,26.81743,26.34228,26.09520,25.98116,26.64637,26.62737,27.14053,27.31158,27.12152,27.19755,27.65369,28.14784,28.85107,29.44025,30.39055,31.96805,32.55723,30.77067,30.48558,31.18880,31.35985,31.20781,30.56160,30.29552,30.20049,30.23850,29.80136,29.59230,28.88908,28.54697,27.95778,27.59667,28.03381,27.63468,27.36860,26.51333,26.15222,26.58935,26.09520,26.68438,25.84812,25.22092,25.04987,24.91683
2021,Greenacre Park 132_11kV,05MAY2020,MW,24.68876,23.90951,23.13027,22.54108,22.50307,21.97090,21.43874,20.88756,20.29838,19.55715,19.27206,18.75889,18.66386,18.79691,18.56883,18.16971,18.30275,19.08200,19.67118,20.03229,20.69750,20.73552,20.24136,20.48844,20.75452,21.32470,21.55277,22.27500,22.54108,23.70045,24.11858,24.32764,25.86713,26.45631,25.67707,25.31595,25.69607,25.58204,25.23993,25.94315,27.65369,28.07182,28.16685,27.93878,27.48264,27.15953,26.91246,27.02649,26.85544,26.96947,25.84812,26.96947,27.33059,27.17854,26.98848,27.40661,27.36860,27.38761,27.34959,27.34959,27.69170,27.93878,27.99580,28.66101,28.96510,29.53528,30.63763,31.72097,31.64494,30.14347,30.25751,31.07476,30.88470,30.40956,30.21950,30.02944,29.53528,29.25019,28.92709,28.98411,28.43293,28.14784,27.88176,27.46363,26.96947,27.36860,27.04550,26.87444,26.36128,26.70339,26.57035,27.17854,26.77941,25.69607,25.52502,24.68876
2021,Greenacre Park 132_11kV,06MAY2020,MW,24.13758,23.89051,23.85249,23.75747,23.24430,22.46506,21.76184,21.11564,20.37440,19.84223,19.82323,19.36709,19.34808,18.79691,18.87293,19.36709,19.46212,20.14633,20.60247,20.64049,21.07762,21.72383,21.72383,21.53377,21.83786,22.21798,22.50307,23.35834,23.62442,23.96653,24.15659,24.76478,25.35397,25.62005,25.35397,25.50601,26.15222,25.92415,25.62005,25.63906,25.94315,25.73409,25.22092,25.69607,25.16391,25.35397,25.75309,25.71508,25.62005,25.48701,25.65806,26.01918,26.00017,26.41830,26.58935,26.77941,26.77941,26.74140,26.51333,26.64637,27.40661,27.53965,27.93878,28.60399,28.71802,29.78236,30.56160,31.39787,31.32184,29.55429,29.74435,30.18148,30.35254,29.42124,29.36423,28.88908,28.50896,28.09083,27.76773,27.67270,27.61568,27.34959,26.91246,26.96947,26.74140,26.39930,26.79842,26.20924,25.48701,25.46800,24.93584,26.05719,24.93584,24.13758,24.40367,24.27063
2021,Greenacre Park 132_11kV,07MAY2020,MW,23.81448,23.18729,22.16096,22.10395,21.98991,21.03961,20.73552,20.56446,19.69019,19.25305,18.91094,18.70188,18.89194,18.72088,19.06299,18.75889,19.02498,19.65218,19.95627,20.50744,20.50744,20.83055,20.58347,20.71651,21.66681,21.66681,22.31301,22.75015,23.14927,23.43436,23.62442,24.32764,25.25894,25.90514,26.03818,26.24725,26.85544,26.57035,26.20924,26.64637,27.27357,26.98848,27.04550,26.74140,26.34228,26.39930,26.68438,26.87444,26.11421,26.24725,26.64637,26.28526,26.39930,27.50164,27.40661,26.93146,26.87444,27.02649,27.61568,27.08351,27.33059,28.41393,28.26188,28.85107,29.19317,29.70633,30.37154,31.26482,30.88470,28.56598,28.50896,29.02212,28.77504,28.24287,28.07182,27.97679,27.42562,27.27357,26.85544,26.72240,26.51333,26.53234,26.39930,26.19023,25.54403,25.39198,25.31595,24.87882,25.08788,24.66975,24.09957,25.22092,24.63174,23.89051,23.87150,23.83349
2021,Greenacre Park 132_11kV,08MAY2020,MW,23.16828,22.54108,21.97090,22.40804,22.88319,22.27500,21.41973,21.15365,20.20335,19.27206,18.94895,18.45480,18.37878,17.97965,18.01766,18.09369,18.15070,18.77790,18.92995,19.44311,19.72820,20.07031,19.78522,20.05130,20.35540,20.69750,20.65949,20.84955,21.49575,21.57178,22.10395,22.46506,22.86418,23.24430,23.39635,23.60542,24.59373,24.59373,24.78379,24.93584,24.80279,24.85981,25.25894,25.18291,25.10689,25.18291,25.42999,25.58204,25.60104,25.84812,25.88613,26.17122,26.57035,26.66538,26.72240,26.77941,26.91246,27.31158,27.67270,27.52065,27.90077,27.95778,28.10983,28.88908,29.00311,29.45926,30.20049,30.86570,29.91540,28.39492,28.39492,28.37592,27.74872,27.34959,26.57035,26.45631,26.26625,25.79110,25.37297,25.56303,25.63906,25.46800,25.39198,25.16391,24.72677,24.40367,24.59373,24.55572,24.42267,24.21361,24.19460,24.95484,24.09957,23.54840,23.56741,23.52939
2021,Greenacre Park 132_11kV,09MAY2020,MW,23.30132,23.11126,22.16096,22.65512,22.46506,21.59078,20.52645,19.78522,18.89194,18.47380,18.30275,17.90363,17.82760,17.82760,17.82760,17.82760,18.09369,18.26474,18.24573,18.30275,18.32176,18.15070,17.96064,17.92263,18.18872,18.18872,17.84661,17.14339,17.29543,17.73257,17.86561,17.80860,17.99866,18.39778,18.60685,18.81591,20.37440,21.17265,21.05862,21.95190,21.97090,21.53377,21.87587,22.92120,23.30132,23.28232,22.29401,22.17997,22.08494,21.79985,21.95190,22.12295,23.54840,24.23261,22.76915,22.17997,23.18729,23.81448,24.06156,23.92852,23.85249,24.25162,24.85981,24.93584,25.39198,26.00017,26.76041,27.29258,26.93146,25.63906,25.41098,25.73409,26.07619,25.54403,25.39198,24.89782,24.70776,25.27794,25.16391,25.06888,24.68876,24.65075,23.77647,23.24430,22.67412,22.56009,22.33202,22.82617,23.13027,23.41536,22.90220,23.98554,23.49138,22.56009,23.18729,22.80717
2021,Greenacre Park 132_11kV,10MAY2020,MW,22.54108,22.21798,21.32470,21.79985,21.85687,21.11564,20.41241,19.25305,18.64486,18.62585,17.96064,17.63754,17.37146,17.18140,16.97233,16.91532,17.12438,17.40947,17.58052,17.58052,17.77058,17.69456,17.10537,17.27643,17.16239,17.08637,17.23842,17.44748,17.50450,17.42848,17.37146,17.77058,18.07468,18.16971,18.49281,18.81591,18.89194,19.36709,19.91826,19.95627,20.20335,20.71651,20.29838,20.26037,20.31738,20.39341,20.43142,20.56446,20.98259,20.41241,20.54546,20.67850,20.94458,21.09663,20.90657,21.13464,21.36271,21.64780,21.72383,22.02792,21.97090,22.63611,23.52939,23.90951,24.87882,24.97385,25.96216,27.00749,26.64637,25.92415,26.43731,27.10252,27.17854,27.14053,27.15953,27.00749,26.60836,26.77941,26.81743,26.70339,26.87444,26.79842,27.36860,26.68438,26.70339,26.66538,26.60836,26.87444,26.93146,26.53234,25.90514,26.96947,26.28526,25.16391,25.25894,25.23993
