year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Gwawley Bay 33_11kV,01MAY2020,MW,11.04286,10.49415,10.04832,9.91114,10.45985,10.47700,10.09976,9.49961,8.96804,8.76227,8.62509,8.38503,8.31644,8.16212,7.83632,7.81917,7.87061,7.87061,8.00779,8.02494,8.16212,8.43647,8.88230,9.58534,10.30553,10.95713,11.38581,11.74590,12.20888,12.70615,13.25487,13.39204,13.73499,13.99220,13.83787,13.85502,13.59781,13.34060,13.51207,13.32345,13.04910,13.46063,12.79189,12.79189,12.56897,12.63756,12.60327,12.67186,12.75759,12.14029,12.27747,12.20888,12.15744,13.61496,12.36321,12.39750,12.26032,12.51753,12.72330,12.46609,12.67186,13.04910,13.18628,12.96336,13.28916,13.49493,13.82073,14.48947,14.90101,15.36398,16.15276,16.80436,16.73577,16.75292,16.35853,16.10132,15.79267,15.31254,14.83242,14.54091,14.06079,13.85502,13.66640,13.25487,13.03195,12.77474,12.48324,12.12314,11.91738,11.88308,11.78020,11.66017,12.03741,12.62042,12.32891,11.95167
2021,Gwawley Bay 33_11kV,02MAY2020,MW,11.72876,11.02572,10.47700,10.39127,10.75136,10.80280,10.32268,9.75682,9.32813,9.17381,8.88230,8.65939,8.64224,8.19641,7.90491,7.78488,7.73343,7.64770,7.64770,7.49337,7.66484,7.81917,8.09353,8.02494,8.65939,8.83086,9.03663,9.20810,9.27669,9.73967,10.09976,10.18550,10.44271,10.54559,10.37412,10.75136,11.36866,11.31722,11.23148,10.88854,11.11145,10.68277,10.54559,10.37412,10.20265,9.97973,10.11691,10.08261,10.11691,9.84255,9.77396,9.75682,9.75682,9.65393,9.48246,9.51675,9.56820,9.68823,9.79111,9.99688,10.04832,10.30553,10.63133,10.90568,11.28293,11.59158,12.08885,12.68900,13.04910,13.80358,14.72953,15.12392,15.44972,15.24395,14.93530,14.64380,14.35229,14.07794,13.92361,13.70070,13.51207,13.10054,12.72330,12.55183,12.26032,12.03741,11.91738,11.43725,11.28293,11.12860,10.97427,10.73421,11.47155,12.02026,11.91738,11.60872
2021,Gwawley Bay 33_11kV,03MAY2020,MW,11.35151,10.87139,10.49415,10.27123,10.59703,10.57989,10.21979,9.77396,9.15666,9.08807,8.81371,8.52221,8.40218,8.09353,7.66484,7.64770,7.64770,7.56196,7.45908,7.27046,7.45908,7.57911,7.68199,7.83632,8.17926,8.23071,8.45362,8.67654,8.89945,9.12237,9.43102,9.55105,9.82540,9.96258,9.97973,10.23694,10.51130,10.49415,10.32268,10.44271,10.33982,9.87685,9.80826,9.97973,9.72252,9.65393,9.49961,9.44816,9.31099,9.31099,9.31099,9.25954,9.08807,9.08807,9.10522,8.93374,9.01948,9.20810,9.37957,9.55105,9.67108,9.79111,10.04832,10.51130,10.76851,11.07716,11.42010,12.08885,12.63756,13.28916,14.19797,14.81527,15.10677,14.86671,14.60950,14.42088,14.24941,13.99220,13.66640,13.51207,13.11769,12.55183,12.48324,12.20888,11.86593,11.54013,11.36866,10.90568,10.92283,10.57989,10.47700,10.20265,10.73421,11.45440,11.36866,11.18004
2021,Gwawley Bay 33_11kV,04MAY2020,MW,10.83710,10.42556,10.06547,9.87685,10.27123,10.21979,9.97973,9.55105,9.05378,8.96804,8.67654,8.36788,8.38503,7.88776,7.80202,7.69914,7.57911,7.54481,7.54481,7.75058,7.99064,8.29929,8.79657,9.44816,10.09976,10.93998,11.54013,11.98596,12.41465,13.11769,13.76928,14.11223,14.38659,14.45518,14.42088,14.21511,14.14652,13.92361,13.78643,13.76928,13.58066,13.34060,13.18628,12.89477,12.84333,12.74045,12.77474,12.86048,12.63756,12.58612,12.58612,12.60327,12.44894,12.31176,12.27747,12.72330,12.91192,12.87762,12.75759,12.86048,12.62042,12.86048,12.82618,12.87762,13.04910,13.46063,14.12938,14.78098,15.29539,16.11846,16.83865,17.25019,16.99298,16.85580,16.28994,15.96414,15.63834,15.27825,14.95245,14.72953,14.38659,13.99220,13.63211,13.18628,12.80904,12.36321,12.12314,11.74590,11.50584,11.18004,11.19719,10.97427,11.35151,12.05455,11.84879,11.71161
2021,Gwawley Bay 33_11kV,05MAY2020,MW,11.24863,10.73421,10.44271,10.39127,10.83710,10.99142,10.39127,9.80826,9.32813,9.27669,8.98519,8.79657,8.62509,8.31644,8.11067,8.02494,7.95635,7.99064,8.00779,8.24785,8.24785,8.47077,8.71083,9.56820,10.13406,10.83710,11.36866,11.90023,12.39750,12.96336,13.35775,14.26656,14.91815,14.62665,14.09508,13.88932,13.63211,13.30631,13.20342,13.16913,13.15198,12.99766,12.72330,12.60327,13.04910,12.70615,12.82618,12.86048,13.23772,12.77474,12.99766,12.80904,12.89477,12.56897,12.50038,13.04910,13.06624,12.87762,12.56897,12.79189,12.55183,12.63756,12.65471,12.79189,12.89477,13.11769,13.37490,13.78643,14.36944,15.07248,15.87840,16.13561,15.98129,15.91270,15.46687,15.31254,14.67809,14.38659,14.14652,13.92361,13.52922,13.32345,13.10054,12.80904,12.27747,12.14029,11.86593,11.48869,11.36866,11.07716,10.95713,10.90568,11.55728,12.10600,12.03741,11.71161
2021,Gwawley Bay 33_11kV,06MAY2020,MW,11.26578,10.85424,10.40841,10.39127,10.83710,10.92283,10.44271,9.73967,9.34528,9.34528,9.07092,8.83086,8.67654,8.36788,8.17926,8.02494,8.21356,8.16212,8.28215,8.28215,8.48791,8.81371,9.20810,9.77396,10.27123,11.07716,11.83164,12.27747,12.68900,13.13483,13.64925,13.82073,14.23226,14.31800,14.31800,14.19797,13.87217,13.64925,13.78643,13.61496,13.25487,13.13483,13.11769,12.91192,12.94621,12.65471,12.68900,12.50038,12.56897,12.44894,12.43179,12.51753,12.50038,12.46609,12.38035,12.24317,12.32891,12.29462,12.44894,12.36321,12.53468,12.51753,12.60327,12.67186,12.79189,13.11769,13.30631,13.59781,14.00935,14.81527,15.44972,15.65549,15.55260,15.58690,15.24395,14.86671,14.42088,14.18082,14.07794,13.59781,13.32345,13.01480,12.72330,12.41465,12.32891,12.12314,11.78020,11.36866,11.18004,10.87139,10.88854,10.75136,11.40296,12.15744,11.84879,11.62587
2021,Gwawley Bay 33_11kV,07MAY2020,MW,11.30007,10.66562,10.18550,10.11691,10.54559,10.57989,10.28838,9.79111,9.25954,9.27669,8.95089,8.67654,8.64224,8.33359,8.09353,8.05923,8.05923,8.05923,8.05923,8.12782,8.33359,8.55650,9.15666,9.70537,10.30553,10.92283,11.42010,12.12314,12.55183,13.25487,13.88932,14.45518,14.96960,15.03818,15.26110,15.34684,15.36398,15.31254,14.98674,14.96960,15.07248,14.76383,14.64380,14.16367,13.88932,13.70070,13.30631,13.10054,13.13483,13.49493,13.64925,13.22057,12.84333,13.08339,13.03195,12.74045,12.79189,12.65471,12.68900,12.99766,12.87762,12.80904,12.91192,13.08339,12.99766,13.11769,13.58066,13.88932,14.07794,14.66094,15.20966,15.58690,15.80981,15.72408,15.53546,15.20966,14.52377,14.28370,13.85502,13.59781,13.23772,13.13483,12.70615,12.55183,12.07170,11.66017,11.28293,10.85424,10.85424,10.63133,10.64848,10.54559,11.02572,11.60872,11.48869,11.26578
2021,Gwawley Bay 33_11kV,08MAY2020,MW,11.07716,10.59703,10.16835,10.08261,10.52844,10.54559,10.16835,9.63678,9.10522,8.98519,8.76227,8.55650,8.36788,8.02494,7.85346,7.78488,7.71629,7.87061,7.76773,7.90491,8.00779,8.29929,8.57365,9.22525,9.85970,10.33982,10.81995,11.24863,11.48869,12.12314,12.32891,12.55183,12.99766,13.08339,13.01480,13.03195,13.11769,13.15198,12.79189,12.55183,12.51753,12.55183,12.41465,12.39750,12.38035,12.27747,12.50038,12.46609,12.51753,12.56897,12.62042,12.53468,12.46609,12.65471,12.44894,12.36321,12.56897,12.53468,12.65471,12.82618,12.79189,12.92907,12.82618,12.92907,12.89477,13.08339,13.08339,13.04910,13.23772,13.68355,14.07794,14.19797,14.00935,13.87217,13.56352,13.16913,12.77474,12.44894,12.22603,11.90023,11.74590,11.45440,11.14575,11.09431,10.80280,10.44271,10.37412,10.13406,10.20265,10.06547,10.15120,10.03117,10.59703,11.38581,11.14575,10.85424
2021,Gwawley Bay 33_11kV,09MAY2020,MW,10.57989,10.13406,9.75682,9.60249,9.97973,10.03117,9.79111,9.22525,8.69368,8.48791,8.17926,7.93920,8.00779,7.57911,7.42478,7.21901,7.21901,7.21901,7.21901,7.32190,7.25331,7.35619,7.45908,7.68199,8.12782,8.40218,8.48791,8.55650,8.88230,9.37957,9.67108,10.09976,10.08261,9.97973,10.03117,10.30553,10.54559,11.19719,11.64302,11.47155,11.81449,11.52299,11.26578,11.04286,10.90568,10.15120,9.87685,9.87685,9.85970,9.79111,9.63678,9.72252,9.97973,10.75136,9.87685,9.49961,10.18550,10.44271,10.68277,10.49415,10.57989,10.78565,10.32268,10.69992,10.99142,11.00857,11.24863,11.50584,11.48869,12.03741,12.56897,12.79189,12.65471,12.58612,12.31176,12.15744,11.78020,11.67731,11.36866,11.33437,10.93998,10.56274,10.32268,10.13406,10.09976,9.79111,9.60249,9.46531,9.48246,9.55105,9.49961,9.51675,10.16835,10.87139,10.80280,10.66562
2021,Gwawley Bay 33_11kV,10MAY2020,MW,10.37412,9.91114,9.41387,9.44816,9.82540,9.87685,9.55105,9.07092,8.64224,8.57365,8.36788,8.12782,7.97350,7.68199,7.25331,7.04754,7.04754,7.04754,6.96181,6.94466,7.01325,7.15043,7.16757,7.30475,7.68199,7.90491,8.11067,8.35074,8.43647,8.88230,9.19095,9.39672,9.67108,9.84255,9.87685,10.09976,10.30553,10.33982,10.45985,10.39127,10.27123,10.06547,10.03117,9.94544,9.63678,9.41387,9.43102,9.29384,9.15666,9.13951,9.10522,8.98519,9.01948,8.79657,8.77942,8.77942,8.76227,8.81371,8.88230,9.07092,9.29384,9.48246,9.67108,10.04832,10.21979,10.59703,11.11145,11.69446,12.34606,13.15198,13.73499,14.12938,14.23226,14.33515,14.16367,14.09508,13.90646,13.18628,12.48324,12.10600,11.93452,11.71161,11.36866,11.96882,12.56897,12.02026,11.74590,11.23148,11.00857,10.76851,10.69992,10.49415,10.90568,11.54013,11.42010,11.18004
