year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Hornsby 132_11kV,01MAY2020,MW,33.42496,34.06994,32.64720,31.96428,32.51441,31.11063,29.38437,27.79090,26.40610,25.26790,24.28147,23.35195,22.68800,22.51727,22.02405,21.49290,21.32217,21.70156,21.83435,21.83435,22.17581,22.72594,23.31401,24.12971,26.08361,27.75296,28.85322,30.67433,31.03475,32.89380,33.95612,34.84770,35.66341,36.11869,36.40324,36.83954,36.40324,36.09972,35.62547,35.28401,35.49268,35.03740,34.24067,33.80436,33.95612,33.51981,33.25423,33.27320,33.51981,34.77182,35.07534,34.79079,33.21629,33.15938,32.74204,33.23526,32.81792,32.57132,32.60926,32.43853,32.66617,33.29217,33.82333,33.95612,34.65800,36.02384,37.42761,38.20538,39.30563,41.12674,43.17549,44.65514,45.66055,45.94509,46.03994,45.33806,44.38956,43.91532,42.98579,42.13214,41.80966,41.37335,40.31103,39.74194,39.07799,38.31919,37.67422,36.55499,36.70675,37.16203,36.68778,35.47371,34.33552,34.29758,35.98590,35.51165
2021,Hornsby 132_11kV,02MAY2020,MW,35.37886,35.89105,34.18376,33.33011,34.24067,32.36265,30.82609,29.25158,28.20824,26.80447,25.41966,24.35735,23.95898,23.27607,22.72594,22.42242,22.00508,21.91023,21.91023,21.91023,21.91023,21.91023,21.91023,22.61212,23.44679,24.14868,25.00233,25.95082,25.79906,26.86138,27.86678,28.72043,29.36540,29.95347,30.90196,32.30574,31.85046,32.09707,31.90737,31.60385,31.60385,31.09166,30.56051,30.25699,30.44669,30.01038,29.68789,29.53613,29.46025,29.32746,29.80171,29.57407,29.44128,28.98600,29.04291,28.92910,28.91013,28.91013,29.23261,29.23261,29.66892,29.93450,30.52257,31.64179,32.19192,33.12144,34.62006,36.64984,37.71216,39.30563,41.75275,43.19446,43.70665,43.59283,43.46004,42.66330,41.80966,41.35438,40.63352,40.17825,39.53327,38.75550,38.41404,37.86392,37.25688,36.53602,35.98590,35.66341,35.47371,36.02384,35.54959,34.65800,33.82333,33.86127,36.02384,35.11328
2021,Hornsby 132_11kV,03MAY2020,MW,35.20813,35.53062,34.20273,33.34908,34.39243,32.98865,31.03475,29.78274,28.32206,26.93726,25.74215,24.88851,23.75031,22.93461,22.51727,22.27066,22.00508,21.73950,21.73950,21.73950,21.73950,21.73950,21.73950,21.92920,22.93461,23.38988,24.30044,25.22997,25.21100,26.19743,27.25974,27.96163,28.87219,28.98600,29.15673,29.97244,30.54154,30.86402,30.76918,30.56051,30.46566,29.87759,29.23261,28.77734,28.70146,28.54970,27.99957,28.22721,28.43588,27.99957,27.98060,27.86678,27.90472,27.73399,27.73399,27.39253,26.86138,27.43047,27.48738,27.80987,28.45485,28.72043,29.23261,29.99141,30.67433,31.71767,33.04556,34.33552,35.75826,38.05362,40.57661,42.41669,42.89094,43.27034,43.42210,43.23240,42.41669,42.01833,41.63893,41.33541,40.31103,39.57121,39.09696,38.41404,37.61731,36.59293,36.09972,35.26504,34.92358,35.18916,34.92358,33.89921,32.87483,33.02659,34.69594,33.95612
2021,Hornsby 132_11kV,04MAY2020,MW,34.18376,35.01843,33.72848,33.04556,33.99406,32.53338,31.16754,29.63098,28.41691,27.18386,25.95082,25.05924,24.66087,24.12971,23.18122,22.91564,22.66903,22.66903,22.66903,22.70697,23.71237,24.20559,24.81263,25.89391,27.77193,29.47922,31.54694,33.44393,34.20273,35.56856,36.91542,38.22435,39.43842,40.25412,41.16468,41.44923,41.05086,40.00752,39.17284,38.58477,38.11053,36.83954,36.08075,35.87208,35.26504,34.62006,34.46831,34.41140,34.41140,34.22170,34.27861,34.20273,33.80436,33.14041,33.08350,33.48187,33.08350,32.32471,31.83149,32.36265,32.95071,33.17835,33.86127,34.62006,35.56856,36.32736,37.75010,39.72297,40.72837,42.58742,44.92072,46.66595,47.19711,47.93693,47.82311,47.17814,45.92612,45.01557,44.23780,43.59283,43.08064,42.56845,41.98039,41.20262,40.42485,39.02108,38.12950,37.27585,36.87748,36.87748,36.40324,35.11328,33.91818,34.03200,35.91002,35.54959
2021,Hornsby 132_11kV,05MAY2020,MW,35.34092,35.75826,34.71491,33.76642,34.69594,33.21629,31.52797,30.08626,28.83425,27.29768,26.21640,25.24893,24.71778,23.88310,23.35195,23.35195,23.35195,23.35195,23.16225,23.08637,23.75031,24.24353,24.85057,25.81803,27.52532,29.23261,30.88299,32.32471,33.08350,34.43037,35.89105,37.35173,39.26769,40.86116,41.03189,40.51970,39.09696,38.20538,37.08615,36.28942,35.56856,34.84770,34.46831,34.35449,34.71491,34.69594,34.60109,34.62006,34.50625,34.44934,34.50625,34.84770,34.86667,33.70951,33.23526,32.68514,32.24883,32.32471,32.45750,32.40059,32.60926,32.83689,33.29217,33.51981,34.10788,34.86667,35.73929,37.40864,38.26229,40.04546,42.32184,43.99119,44.61720,44.90175,44.38956,43.46004,42.64433,41.88554,41.80966,41.33541,40.40588,39.77988,39.47636,38.50889,37.50349,36.83954,36.34633,35.28401,35.41680,35.85311,35.43577,33.82333,33.21629,33.55775,35.49268,34.50625
2021,Hornsby 132_11kV,06MAY2020,MW,34.37346,35.05637,33.84230,33.06453,33.82333,32.30574,30.95887,29.68789,28.24618,26.91829,25.93185,25.00233,24.35735,23.84516,23.35195,23.33298,23.33298,23.12431,23.08637,23.23813,23.67443,24.47117,24.85057,26.06464,28.17030,29.61201,31.16754,32.57132,33.27320,34.39243,35.92899,36.99130,37.57937,38.09156,38.07259,38.11053,37.88289,36.87748,35.85311,35.73929,34.94255,34.27861,33.53878,33.27320,32.96968,32.74204,32.38162,32.19192,32.09707,32.09707,32.15398,32.28677,32.15398,32.07810,31.56591,31.75561,31.35724,30.95887,31.14857,31.45209,31.81252,32.02119,32.36265,32.74204,33.29217,34.01303,35.07534,36.00487,37.27585,39.11593,40.42485,41.84760,42.64433,42.77712,42.28390,41.99936,41.56305,40.82322,40.25412,39.68503,38.96417,38.56580,37.92083,37.46555,36.27045,35.79620,35.32195,34.37346,34.44934,35.05637,34.48728,33.59569,32.59029,32.98865,34.63903,33.72848
2021,Hornsby 132_11kV,07MAY2020,MW,33.69054,34.52522,33.06453,32.38162,33.55775,31.83149,30.23802,28.83425,27.63914,26.48198,25.45760,24.50911,23.86413,22.91564,22.61212,22.28963,22.08096,22.08096,22.00508,22.17581,22.49830,22.97255,23.76928,24.81263,26.33022,27.88575,29.08085,30.61742,30.54154,33.15938,34.46831,36.19457,37.40864,37.75010,38.22435,38.54683,38.56580,38.12950,37.76907,37.10512,36.83954,35.98590,36.00487,35.18916,34.73388,34.03200,33.82333,34.56316,34.58212,33.50084,33.33011,33.17835,32.72307,32.09707,31.62282,31.58488,32.05913,31.12960,31.52797,31.33827,30.84505,31.50900,30.92093,32.24883,32.68514,33.46290,34.06994,35.53062,36.53602,38.35713,40.06443,41.08880,41.60099,41.77172,41.37335,41.06983,40.12134,38.92623,38.66065,38.16744,37.31379,36.80160,36.28942,35.66341,34.79079,34.16479,33.44393,32.49544,33.14041,33.42496,33.15938,32.24883,31.26239,31.67973,33.72848,32.57132
2021,Hornsby 132_11kV,08MAY2020,MW,32.76101,33.46290,32.09707,31.58488,32.40059,31.07269,29.42231,28.01854,26.65271,25.40069,24.50911,23.69340,23.14328,22.32757,22.09993,21.64465,21.64465,21.64465,21.51186,21.51186,21.92920,22.38448,22.80182,23.44679,25.11615,26.44404,27.75296,28.70146,28.91013,30.14317,31.14857,32.30574,32.98865,33.33011,33.46290,33.46290,33.02659,32.40059,32.34368,31.73664,31.14857,30.76918,30.42772,30.06729,29.97244,29.70686,29.93450,29.78274,30.06729,30.23802,30.08626,30.08626,30.14317,29.91553,29.82068,29.80171,29.46025,29.46025,29.49819,29.82068,29.68789,30.21905,30.71227,31.18651,31.26239,31.69870,32.22986,33.04556,33.34908,34.84770,36.02384,37.37070,37.21894,37.14306,36.72572,36.32736,35.32195,34.75285,34.18376,33.61466,32.95071,32.40059,31.86943,31.47106,30.88299,30.27596,29.78274,29.46025,30.16214,30.88299,30.97784,30.16214,29.63098,30.08626,32.47647,31.37621
2021,Hornsby 132_11kV,09MAY2020,MW,31.71767,32.43853,30.99681,30.44669,31.11063,29.42231,28.09442,26.76653,25.55245,24.28147,22.85873,22.30860,21.72053,21.20835,20.75307,20.50646,20.01324,20.01324,20.01324,20.01324,20.01324,20.01324,20.03221,20.43058,21.15144,21.91023,22.32757,22.57418,22.57418,23.44679,24.56602,24.98336,25.55245,26.10258,26.29228,28.47382,28.37897,27.50635,28.13236,29.25158,30.75021,29.93450,29.11879,29.00497,28.66352,27.16489,27.67708,27.41150,27.10798,27.29768,27.48738,27.69605,29.13776,28.49279,26.31125,27.01314,28.70146,27.39253,27.96163,28.91013,28.15133,27.90472,28.30309,28.98600,28.98600,29.42231,30.04832,30.69330,31.37621,33.08350,34.67697,35.58753,35.70135,35.79620,35.49268,35.09431,34.12685,33.31114,32.74204,32.72307,31.52797,31.30033,30.78815,30.33287,29.80171,29.04291,29.21364,28.77734,29.27055,30.54154,30.33287,29.91553,29.00497,29.49819,31.88840,31.22445
2021,Hornsby 132_11kV,10MAY2020,MW,31.50900,32.26780,31.09166,30.42772,31.28136,29.87759,28.32206,27.03211,25.53348,24.43323,23.40885,22.51727,21.83435,20.99968,20.84792,20.50646,20.31676,20.31676,20.25985,19.80457,20.07015,20.31676,20.35470,20.88586,21.70156,22.04302,22.49830,23.31401,23.44679,24.64190,25.60936,26.17846,27.41150,27.71502,28.47382,29.08085,29.85862,29.70686,29.80171,30.12420,30.12420,29.63098,28.92910,28.54970,28.53073,28.05648,27.92369,27.88575,28.05648,27.69605,27.43047,27.37356,27.14592,26.59580,26.53889,26.25434,26.33022,26.33022,27.01314,27.07005,27.33562,27.99957,28.96704,29.78274,30.82609,31.86943,33.04556,34.75285,36.02384,37.99671,40.12134,41.69584,42.51154,43.09961,42.83403,42.68227,42.37875,41.84760,41.16468,40.88013,40.17825,39.51430,39.28666,39.09696,38.20538,37.38967,36.95336,36.13766,35.53062,35.72032,35.58753,34.27861,33.40599,33.27320,35.13225,34.46831
